Entity,Year,CO₂ concentration (Scripps)
World,1493,284.903
World,1494,284.834
World,1495,284.763
World,1496,284.69
World,1497,284.616
World,1498,284.54
World,1499,284.464
World,1500,284.386
World,1501,284.307
World,1502,284.227
World,1503,284.146
World,1504,284.065
World,1505,283.983
World,1506,283.901
World,1507,283.818
World,1508,283.735
World,1509,283.651
World,1510,283.568
World,1511,283.485
World,1512,283.402
World,1513,283.32
World,1514,283.237
World,1515,283.156
World,1516,283.074
World,1517,282.994
World,1518,282.915
World,1519,282.836
World,1520,282.759
World,1521,282.682
World,1522,282.607
World,1523,282.534
World,1524,282.462
World,1525,282.391
World,1526,282.322
World,1527,282.256
World,1528,282.191
World,1529,282.128
World,1530,282.067
World,1531,282.009
World,1532,281.953
World,1533,281.9
World,1534,281.849
World,1535,281.801
World,1536,281.755
World,1537,281.713
World,1538,281.674
World,1539,281.638
World,1540,281.605
World,1541,281.576
World,1542,281.55
World,1543,281.528
World,1544,281.509
World,1545,281.495
World,1546,281.484
World,1547,281.477
World,1548,281.475
World,1549,281.477
World,1550,281.483
World,1551,281.493
World,1552,281.509
World,1553,281.529
World,1554,281.554
World,1555,281.584
World,1556,281.618
World,1557,281.659
World,1558,281.704
World,1559,281.755
World,1560,281.811
World,1561,281.873
World,1562,281.939
World,1563,282.009
World,1564,282.082
World,1565,282.154
World,1566,282.226
World,1567,282.296
World,1568,282.363
World,1569,282.425
World,1570,282.48
World,1571,282.528
World,1572,282.567
World,1573,282.595
World,1574,282.612
World,1575,282.616
World,1576,282.605
World,1577,282.578
World,1578,282.534
World,1579,282.471
World,1580,282.389
World,1581,282.284
World,1582,282.157
World,1583,282.006
World,1584,281.829
World,1585,281.626
World,1586,281.394
World,1587,281.132
World,1588,280.839
World,1589,280.514
World,1590,280.159
World,1591,279.776
World,1592,279.371
World,1593,278.947
World,1594,278.506
World,1595,278.053
World,1596,277.592
World,1597,277.126
World,1598,276.658
World,1599,276.193
World,1600,275.733
World,1601,275.284
World,1602,274.847
World,1603,274.427
World,1604,274.028
World,1605,273.652
World,1606,273.305
World,1607,272.989
World,1608,272.707
World,1609,272.465
World,1610,272.264
World,1611,272.109
World,1612,272
World,1613,271.933
World,1614,271.907
World,1615,271.917
World,1616,271.962
World,1617,272.039
World,1618,272.144
World,1619,272.275
World,1620,272.43
World,1621,272.604
World,1622,272.796
World,1623,273.003
World,1624,273.222
World,1625,273.45
World,1626,273.684
World,1627,273.921
World,1628,274.159
World,1629,274.395
World,1630,274.627
World,1631,274.853
World,1632,275.073
World,1633,275.287
World,1634,275.494
World,1635,275.693
World,1636,275.885
World,1637,276.067
World,1638,276.24
World,1639,276.404
World,1640,276.557
World,1641,276.699
World,1642,276.83
World,1643,276.951
World,1644,277.062
World,1645,277.163
World,1646,277.255
World,1647,277.337
World,1648,277.41
World,1649,277.474
World,1650,277.531
World,1651,277.579
World,1652,277.619
World,1653,277.652
World,1654,277.677
World,1655,277.696
World,1656,277.707
World,1657,277.713
