Entity,Year,Universal suffrage to women (OWID based on Paxton et al (2006)),First women in parliament (OWID based on Paxton et al (2006)),10% Share of women in parliament (OWID based on Paxton et al (2006)),20% Share of women in parliament (OWID based on Paxton et al (2006)),30% Share of women in parliament (OWID based on Paxton et al (2006))
East Germany,1949,Yes,No,No,No,No
East Germany,1950,Yes,Yes,Yes,Yes,No
East Germany,1951,Yes,Yes,Yes,Yes,No
East Germany,1952,Yes,Yes,Yes,Yes,No
East Germany,1953,Yes,Yes,Yes,Yes,No
East Germany,1954,Yes,Yes,Yes,Yes,No
East Germany,1955,Yes,Yes,Yes,Yes,No
East Germany,1956,Yes,Yes,Yes,Yes,No
East Germany,1957,Yes,Yes,Yes,Yes,No
East Germany,1958,Yes,Yes,Yes,Yes,No
East Germany,1959,Yes,Yes,Yes,Yes,No
East Germany,1960,Yes,Yes,Yes,Yes,No
East Germany,1961,Yes,Yes,Yes,Yes,No
East Germany,1962,Yes,Yes,Yes,Yes,No
East Germany,1963,Yes,Yes,Yes,Yes,No
East Germany,1964,Yes,Yes,Yes,Yes,No
East Germany,1965,Yes,Yes,Yes,Yes,No
East Germany,1966,Yes,Yes,Yes,Yes,No
East Germany,1967,Yes,Yes,Yes,Yes,Yes
East Germany,1968,Yes,Yes,Yes,Yes,Yes
East Germany,1969,Yes,Yes,Yes,Yes,Yes
East Germany,1970,Yes,Yes,Yes,Yes,Yes
East Germany,1971,Yes,Yes,Yes,Yes,Yes
East Germany,1972,Yes,Yes,Yes,Yes,Yes
East Germany,1973,Yes,Yes,Yes,Yes,Yes
East Germany,1974,Yes,Yes,Yes,Yes,Yes
East Germany,1975,Yes,Yes,Yes,Yes,Yes
East Germany,1976,Yes,Yes,Yes,Yes,Yes
East Germany,1977,Yes,Yes,Yes,Yes,Yes
East Germany,1978,Yes,Yes,Yes,Yes,Yes
East Germany,1979,Yes,Yes,Yes,Yes,Yes
East Germany,1980,Yes,Yes,Yes,Yes,Yes
East Germany,1981,Yes,Yes,Yes,Yes,Yes
East Germany,1982,Yes,Yes,Yes,Yes,Yes
East Germany,1983,Yes,Yes,Yes,Yes,Yes
East Germany,1984,Yes,Yes,Yes,Yes,Yes
East Germany,1985,Yes,Yes,Yes,Yes,Yes
East Germany,1986,Yes,Yes,Yes,Yes,Yes
East Germany,1987,Yes,Yes,Yes,Yes,Yes
East Germany,1988,Yes,Yes,Yes,Yes,Yes
East Germany,1989,Yes,Yes,Yes,Yes,Yes
Ecuador,1893,No,No,No,No,No
Ecuador,1894,No,No,No,No,No
Ecuador,1895,No,No,No,No,No
Ecuador,1896,No,No,No,No,No
Ecuador,1897,No,No,No,No,No
Ecuador,1898,No,No,No,No,No
Ecuador,1899,No,No,No,No,No
Ecuador,1900,No,No,No,No,No
Ecuador,1901,No,No,No,No,No
Ecuador,1902,No,No,No,No,No
Ecuador,1903,No,No,No,No,No
Ecuador,1904,No,No,No,No,No
Ecuador,1905,No,No,No,No,No
Ecuador,1906,No,No,No,No,No
Ecuador,1907,No,No,No,No,No
Ecuador,1908,No,No,No,No,No
Ecuador,1909,No,No,No,No,No
Ecuador,1910,No,No,No,No,No
Ecuador,1911,No,No,No,No,No
Ecuador,1912,No,No,No,No,No
Ecuador,1913,No,No,No,No,No
Ecuador,1914,No,No,No,No,No
Ecuador,1915,No,No,No,No,No
Ecuador,1916,No,No,No,No,No
Ecuador,1917,No,No,No,No,No
Ecuador,1918,No,No,No,No,No
Ecuador,1919,No,No,No,No,No
Ecuador,1920,No,No,No,No,No
Ecuador,1921,No,No,No,No,No
Ecuador,1922,No,No,No,No,No
Ecuador,1923,No,No,No,No,No
Ecuador,1924,No,No,No,No,No
Ecuador,1925,No,No,No,No,No
Ecuador,1926,No,No,No,No,No
Ecuador,1927,No,No,No,No,No
Ecuador,1928,No,No,No,No,No
Ecuador,1929,Yes,No,No,No,No
Ecuador,1930,Yes,No,No,No,No
Ecuador,1931,Yes,No,No,No,No
Ecuador,1932,Yes,No,No,No,No
Ecuador,1933,Yes,No,No,No,No
Ecuador,1934,Yes,No,No,No,No
Ecuador,1935,Yes,No,No,No,No
Ecuador,1936,Yes,No,No,No,No
Ecuador,1937,Yes,No,No,No,No
Ecuador,1938,Yes,No,No,No,No
Ecuador,1939,Yes,No,No,No,No
Ecuador,1940,Yes,No,No,No,No
Ecuador,1941,Yes,No,No,No,No
Ecuador,1942,Yes,No,No,No,No
Ecuador,1943,Yes,No,No,No,No
Ecuador,1944,Yes,No,No,No,No
Ecuador,1945,Yes,No,No,No,No
Ecuador,1946,Yes,No,No,No,No
Ecuador,1947,Yes,No,No,No,No
Ecuador,1948,Yes,No,No,No,No
Ecuador,1949,Yes,No,No,No,No
Ecuador,1950,Yes,No,No,No,No
Ecuador,1951,Yes,No,No,No,No
Ecuador,1952,Yes,No,No,No,No
Ecuador,1953,Yes,No,No,No,No
Ecuador,1954,Yes,No,No,No,No
Ecuador,1955,Yes,No,No,No,No
Ecuador,1956,Yes,Yes,No,No,No
Ecuador,1957,Yes,Yes,No,No,No
Ecuador,1958,Yes,Yes,No,No,No
Ecuador,1959,Yes,Yes,No,No,No
Ecuador,1960,Yes,Yes,No,No,No
Ecuador,1961,Yes,Yes,No,No,No
Ecuador,1962,Yes,Yes,No,No,No
Ecuador,1963,Yes,Yes,No,No,No
Ecuador,1964,Yes,Yes,No,No,No
Ecuador,1965,Yes,Yes,No,No,No
Ecuador,1966,Yes,Yes,No,No,No
Ecuador,1967,Yes,Yes,No,No,No
Ecuador,1968,Yes,Yes,No,No,No
Ecuador,1969,Yes,Yes,No,No,No
Ecuador,1970,Yes,Yes,No,No,No
Ecuador,1971,Yes,Yes,No,No,No
Ecuador,1972,Yes,Yes,No,No,No
Ecuador,1973,Yes,Yes,No,No,No
Ecuador,1974,Yes,Yes,No,No,No
Ecuador,1975,Yes,Yes,No,No,No
Ecuador,1976,Yes,Yes,No,No,No
Ecuador,1977,Yes,Yes,No,No,No
Ecuador,1978,Yes,Yes,No,No,No
Ecuador,1979,Yes,Yes,No,No,No
Ecuador,1980,Yes,Yes,No,No,No
Ecuador,1981,Yes,Yes,No,No,No
Ecuador,1982,Yes,Yes,No,No,No
Ecuador,1983,Yes,Yes,No,No,No
Ecuador,1984,Yes,Yes,No,No,No
Ecuador,1985,Yes,Yes,No,No,No
Ecuador,1986,Yes,Yes,No,No,No
Ecuador,1987,Yes,Yes,No,No,No
Ecuador,1988,Yes,Yes,No,No,No
Ecuador,1989,Yes,Yes,No,No,No
Ecuador,1990,Yes,Yes,No,No,No
Ecuador,1991,Yes,Yes,No,No,No
Ecuador,1992,Yes,Yes,No,No,No
Ecuador,1993,Yes,Yes,No,No,No
Ecuador,1994,Yes,Yes,No,No,No
Ecuador,1995,Yes,Yes,No,No,No
Ecuador,1996,Yes,Yes,No,No,No
Ecuador,1997,Yes,Yes,No,No,No
Ecuador,1998,Yes,Yes,Yes,No,No
Ecuador,1999,Yes,Yes,Yes,No,No
Ecuador,2000,Yes,Yes,Yes,No,No
Ecuador,2001,Yes,Yes,Yes,No,No
Ecuador,2002,Yes,Yes,Yes,No,No
Ecuador,2003,Yes,Yes,Yes,No,No
Ecuador,2004,Yes,Yes,Yes,No,No
Ecuador,2005,Yes,Yes,Yes,No,No
Ecuador,2006,Yes,Yes,Yes,Yes,No
Ecuador,2007,Yes,Yes,Yes,Yes,No
Ecuador,2008,Yes,Yes,Yes,Yes,No
Ecuador,2009,Yes,Yes,Yes,Yes,Yes
Ecuador,2010,Yes,Yes,Yes,Yes,Yes
Ecuador,2011,Yes,Yes,Yes,Yes,Yes
Ecuador,2012,Yes,Yes,Yes,Yes,Yes
Ecuador,2013,Yes,Yes,Yes,Yes,Yes
Ecuador,2014,Yes,Yes,Yes,Yes,Yes
Ecuador,2015,Yes,Yes,Yes,Yes,Yes
Ecuador,2016,Yes,Yes,Yes,Yes,Yes
Ecuador,2017,Yes,Yes,Yes,Yes,Yes
Egypt,1922,No,No,No,No,No
Egypt,1923,No,No,No,No,No
Egypt,1924,No,No,No,No,No
Egypt,1925,No,No,No,No,No
Egypt,1926,No,No,No,No,No
Egypt,1927,No,No,No,No,No
Egypt,1928,No,No,No,No,No
Egypt,1929,No,No,No,No,No
Egypt,1930,No,No,No,No,No
Egypt,1931,No,No,No,No,No
Egypt,1932,No,No,No,No,No
Egypt,1933,No,No,No,No,No
Egypt,1934,No,No,No,No,No
Egypt,1935,No,No,No,No,No
Egypt,1936,No,No,No,No,No
Egypt,1937,No,No,No,No,No
Egypt,1938,No,No,No,No,No
Egypt,1939,No,No,No,No,No
Egypt,1940,No,No,No,No,No
Egypt,1941,No,No,No,No,No
Egypt,1942,No,No,No,No,No
Egypt,1943,No,No,No,No,No
Egypt,1944,No,No,No,No,No
Egypt,1945,No,No,No,No,No
Egypt,1946,No,No,No,No,No
Egypt,1947,No,No,No,No,No
Egypt,1948,No,No,No,No,No
Egypt,1949,No,No,No,No,No
Egypt,1950,No,No,No,No,No
Egypt,1951,No,No,No,No,No
Egypt,1952,No,No,No,No,No
Egypt,1953,No,No,No,No,No
Egypt,1954,No,No,No,No,No
Egypt,1955,No,No,No,No,No
Egypt,1956,Yes,No,No,No,No
Egypt,1957,Yes,Yes,No,No,No
Egypt,1958,Yes,Yes,No,No,No
Egypt,1959,Yes,Yes,No,No,No
Egypt,1960,Yes,Yes,No,No,No
Egypt,1961,Yes,Yes,No,No,No
Egypt,1962,Yes,Yes,No,No,No
Egypt,1963,Yes,Yes,No,No,No
Egypt,1964,Yes,Yes,No,No,No
Egypt,1965,Yes,Yes,No,No,No
Egypt,1966,Yes,Yes,No,No,No
Egypt,1967,Yes,Yes,No,No,No
Egypt,1968,Yes,Yes,No,No,No
Egypt,1969,Yes,Yes,No,No,No
Egypt,1970,Yes,Yes,No,No,No
Egypt,1971,Yes,Yes,No,No,No
Egypt,1972,Yes,Yes,No,No,No
Egypt,1973,Yes,Yes,No,No,No
Egypt,1974,Yes,Yes,No,No,No
Egypt,1975,Yes,Yes,No,No,No
Egypt,1976,Yes,Yes,No,No,No
Egypt,1977,Yes,Yes,No,No,No
Egypt,1978,Yes,Yes,No,No,No
Egypt,1979,Yes,Yes,No,No,No
Egypt,1980,Yes,Yes,No,No,No
Egypt,1981,Yes,Yes,No,No,No
Egypt,1982,Yes,Yes,No,No,No
Egypt,1983,Yes,Yes,No,No,No
Egypt,1984,Yes,Yes,No,No,No
Egypt,1985,Yes,Yes,No,No,No
Egypt,1986,Yes,Yes,No,No,No
Egypt,1987,Yes,Yes,No,No,No
Egypt,1988,Yes,Yes,No,No,No
Egypt,1989,Yes,Yes,No,No,No
Egypt,1990,Yes,Yes,No,No,No
Egypt,1991,Yes,Yes,No,No,No
Egypt,1992,Yes,Yes,No,No,No
Egypt,1993,Yes,Yes,No,No,No
Egypt,1994,Yes,Yes,No,No,No
Egypt,1995,Yes,Yes,No,No,No
Egypt,1996,Yes,Yes,No,No,No
Egypt,1997,Yes,Yes,No,No,No
Egypt,1998,Yes,Yes,No,No,No
Egypt,1999,Yes,Yes,No,No,No
Egypt,2000,Yes,Yes,No,No,No
Egypt,2001,Yes,Yes,No,No,No
Egypt,2002,Yes,Yes,No,No,No
Egypt,2003,Yes,Yes,No,No,No
Egypt,2004,Yes,Yes,No,No,No
Egypt,2005,Yes,Yes,No,No,No
Egypt,2006,Yes,Yes,No,No,No
Egypt,2007,Yes,Yes,No,No,No
Egypt,2008,Yes,Yes,No,No,No
Egypt,2009,Yes,Yes,No,No,No
Egypt,2010,Yes,Yes,Yes,No,No
Egypt,2011,Yes,Yes,Yes,No,No
Egypt,2012,Yes,Yes,Yes,No,No
Egypt,2013,Yes,Yes,Yes,No,No
Egypt,2014,Yes,Yes,Yes,No,No
Egypt,2015,Yes,Yes,Yes,No,No
Egypt,2016,Yes,Yes,Yes,No,No
Egypt,2017,Yes,Yes,Yes,No,No
El Salvador,1893,No,No,No,No,No
El Salvador,1894,No,No,No,No,No
El Salvador,1895,No,No,No,No,No
El Salvador,1896,No,No,No,No,No
El Salvador,1897,No,No,No,No,No
El Salvador,1898,No,No,No,No,No
El Salvador,1899,No,No,No,No,No
El Salvador,1900,No,No,No,No,No
El Salvador,1901,No,No,No,No,No
El Salvador,1902,No,No,No,No,No
El Salvador,1903,No,No,No,No,No
El Salvador,1904,No,No,No,No,No
El Salvador,1905,No,No,No,No,No
El Salvador,1906,No,No,No,No,No
El Salvador,1907,No,No,No,No,No
El Salvador,1908,No,No,No,No,No
El Salvador,1909,No,No,No,No,No
El Salvador,1910,No,No,No,No,No
El Salvador,1911,No,No,No,No,No
El Salvador,1912,No,No,No,No,No
El Salvador,1913,No,No,No,No,No
El Salvador,1914,No,No,No,No,No
El Salvador,1915,No,No,No,No,No
El Salvador,1916,No,No,No,No,No
El Salvador,1917,No,No,No,No,No
El Salvador,1918,No,No,No,No,No
El Salvador,1919,No,No,No,No,No
El Salvador,1920,No,No,No,No,No
El Salvador,1921,No,No,No,No,No
El Salvador,1922,No,No,No,No,No
El Salvador,1923,No,No,No,No,No
El Salvador,1924,No,No,No,No,No
El Salvador,1925,No,No,No,No,No
El Salvador,1926,No,No,No,No,No
El Salvador,1927,No,No,No,No,No
El Salvador,1928,No,No,No,No,No
El Salvador,1929,No,No,No,No,No
El Salvador,1930,No,No,No,No,No
El Salvador,1931,No,No,No,No,No
El Salvador,1932,No,No,No,No,No
El Salvador,1933,No,No,No,No,No
El Salvador,1934,No,No,No,No,No
El Salvador,1935,No,No,No,No,No
El Salvador,1936,No,No,No,No,No
El Salvador,1937,No,No,No,No,No
El Salvador,1938,No,No,No,No,No
El Salvador,1939,Yes,No,No,No,No
El Salvador,1940,Yes,No,No,No,No
El Salvador,1941,Yes,No,No,No,No
El Salvador,1942,Yes,No,No,No,No
El Salvador,1943,Yes,No,No,No,No
El Salvador,1944,Yes,No,No,No,No
El Salvador,1945,Yes,No,No,No,No
El Salvador,1946,Yes,No,No,No,No
El Salvador,1947,Yes,No,No,No,No
El Salvador,1948,Yes,No,No,No,No
El Salvador,1949,Yes,No,No,No,No
El Salvador,1950,Yes,No,No,No,No
El Salvador,1951,Yes,No,No,No,No
El Salvador,1952,Yes,No,No,No,No
El Salvador,1953,Yes,No,No,No,No
El Salvador,1954,Yes,No,No,No,No
El Salvador,1955,Yes,No,No,No,No
El Salvador,1956,Yes,No,No,No,No
El Salvador,1957,Yes,No,No,No,No
El Salvador,1958,Yes,No,No,No,No
El Salvador,1959,Yes,No,No,No,No
El Salvador,1960,Yes,No,No,No,No
El Salvador,1961,Yes,Yes,No,No,No
El Salvador,1962,Yes,Yes,No,No,No
El Salvador,1963,Yes,Yes,No,No,No
El Salvador,1964,Yes,Yes,No,No,No
El Salvador,1965,Yes,Yes,No,No,No
El Salvador,1966,Yes,Yes,Yes,No,No
El Salvador,1967,Yes,Yes,Yes,No,No
El Salvador,1968,Yes,Yes,Yes,No,No
El Salvador,1969,Yes,Yes,Yes,No,No
El Salvador,1970,Yes,Yes,Yes,No,No
El Salvador,1971,Yes,Yes,Yes,No,No
El Salvador,1972,Yes,Yes,Yes,No,No
El Salvador,1973,Yes,Yes,Yes,No,No
El Salvador,1974,Yes,Yes,Yes,No,No
El Salvador,1975,Yes,Yes,Yes,No,No
El Salvador,1976,Yes,Yes,Yes,No,No
El Salvador,1977,Yes,Yes,Yes,No,No
El Salvador,1978,Yes,Yes,Yes,No,No
El Salvador,1979,Yes,Yes,Yes,No,No
El Salvador,1980,Yes,Yes,Yes,No,No
El Salvador,1981,Yes,Yes,Yes,No,No
El Salvador,1982,Yes,Yes,Yes,No,No
El Salvador,1983,Yes,Yes,Yes,No,No
El Salvador,1984,Yes,Yes,Yes,No,No
El Salvador,1985,Yes,Yes,Yes,No,No
El Salvador,1986,Yes,Yes,Yes,No,No
El Salvador,1987,Yes,Yes,Yes,No,No
El Salvador,1988,Yes,Yes,Yes,No,No
El Salvador,1989,Yes,Yes,Yes,No,No
El Salvador,1990,Yes,Yes,Yes,No,No
El Salvador,1991,Yes,Yes,Yes,No,No
El Salvador,1992,Yes,Yes,Yes,No,No
El Salvador,1993,Yes,Yes,Yes,No,No
El Salvador,1994,Yes,Yes,Yes,No,No
El Salvador,1995,Yes,Yes,Yes,No,No
El Salvador,1996,Yes,Yes,Yes,No,No
El Salvador,1997,Yes,Yes,Yes,No,No
El Salvador,1998,Yes,Yes,Yes,No,No
El Salvador,1999,Yes,Yes,Yes,No,No
El Salvador,2000,Yes,Yes,Yes,No,No
El Salvador,2001,Yes,Yes,Yes,No,No
El Salvador,2002,Yes,Yes,Yes,No,No
El Salvador,2003,Yes,Yes,Yes,No,No
El Salvador,2004,Yes,Yes,Yes,No,No
El Salvador,2005,Yes,Yes,Yes,No,No
El Salvador,2006,Yes,Yes,Yes,No,No
El Salvador,2007,Yes,Yes,Yes,No,No
El Salvador,2008,Yes,Yes,Yes,No,No
El Salvador,2009,Yes,Yes,Yes,No,No
El Salvador,2010,Yes,Yes,Yes,No,No
El Salvador,2011,Yes,Yes,Yes,No,No
El Salvador,2012,Yes,Yes,Yes,Yes,No
El Salvador,2013,Yes,Yes,Yes,Yes,No
El Salvador,2014,Yes,Yes,Yes,Yes,No
El Salvador,2015,Yes,Yes,Yes,Yes,Yes
El Salvador,2016,Yes,Yes,Yes,Yes,Yes
El Salvador,2017,Yes,Yes,Yes,Yes,Yes
Equatorial Guinea,1968,Yes,Yes,No,No,No
Equatorial Guinea,1969,Yes,Yes,No,No,No
Equatorial Guinea,1970,Yes,Yes,No,No,No
Equatorial Guinea,1971,Yes,Yes,No,No,No
Equatorial Guinea,1972,Yes,Yes,No,No,No
Equatorial Guinea,1973,Yes,Yes,No,No,No
Equatorial Guinea,1974,Yes,Yes,No,No,No
Equatorial Guinea,1975,Yes,Yes,No,No,No
Equatorial Guinea,1976,Yes,Yes,No,No,No
Equatorial Guinea,1977,Yes,Yes,No,No,No
Equatorial Guinea,1978,Yes,Yes,No,No,No
Equatorial Guinea,1979,Yes,Yes,No,No,No
Equatorial Guinea,1980,Yes,Yes,No,No,No
Equatorial Guinea,1981,Yes,Yes,No,No,No
Equatorial Guinea,1982,Yes,Yes,No,No,No
Equatorial Guinea,1983,Yes,Yes,No,No,No
Equatorial Guinea,1984,Yes,Yes,No,No,No
Equatorial Guinea,1985,Yes,Yes,No,No,No
Equatorial Guinea,1986,Yes,Yes,No,No,No
Equatorial Guinea,1987,Yes,Yes,No,No,No
Equatorial Guinea,1988,Yes,Yes,Yes,No,No
Equatorial Guinea,1989,Yes,Yes,Yes,No,No
Equatorial Guinea,1990,Yes,Yes,Yes,No,No
Equatorial Guinea,1991,Yes,Yes,Yes,No,No
Equatorial Guinea,1992,Yes,Yes,Yes,No,No
Equatorial Guinea,1993,Yes,Yes,Yes,No,No
Equatorial Guinea,1994,Yes,Yes,Yes,No,No
Equatorial Guinea,1995,Yes,Yes,Yes,No,No
Equatorial Guinea,1996,Yes,Yes,Yes,No,No
Equatorial Guinea,1997,Yes,Yes,Yes,No,No
Equatorial Guinea,1998,Yes,Yes,Yes,No,No
Equatorial Guinea,1999,Yes,Yes,Yes,No,No
Equatorial Guinea,2000,Yes,Yes,Yes,No,No
Equatorial Guinea,2001,Yes,Yes,Yes,No,No
Equatorial Guinea,2002,Yes,Yes,Yes,No,No
Equatorial Guinea,2003,Yes,Yes,Yes,No,No
Equatorial Guinea,2004,Yes,Yes,Yes,No,No
Equatorial Guinea,2005,Yes,Yes,Yes,No,No
Equatorial Guinea,2006,Yes,Yes,Yes,No,No
Equatorial Guinea,2007,Yes,Yes,Yes,No,No
Equatorial Guinea,2008,Yes,Yes,Yes,No,No
Equatorial Guinea,2009,Yes,Yes,Yes,No,No
Equatorial Guinea,2010,Yes,Yes,Yes,No,No
Equatorial Guinea,2011,Yes,Yes,Yes,No,No
Equatorial Guinea,2012,Yes,Yes,Yes,No,No
Equatorial Guinea,2013,Yes,Yes,Yes,No,No
Equatorial Guinea,2014,Yes,Yes,Yes,Yes,No
Equatorial Guinea,2015,Yes,Yes,Yes,Yes,No
Equatorial Guinea,2016,Yes,Yes,Yes,Yes,No
Equatorial Guinea,2017,Yes,Yes,Yes,Yes,No
Eritrea,1993,Yes,No,No,No,No
Eritrea,1994,Yes,Yes,Yes,Yes,No
Eritrea,1995,Yes,Yes,Yes,Yes,No
Eritrea,1996,Yes,Yes,Yes,Yes,No
Eritrea,1997,Yes,Yes,Yes,Yes,No
Eritrea,1998,Yes,Yes,Yes,Yes,No
Eritrea,1999,Yes,Yes,Yes,Yes,No
Eritrea,2000,Yes,Yes,Yes,Yes,No
Eritrea,2001,Yes,Yes,Yes,Yes,No
Eritrea,2002,Yes,Yes,Yes,Yes,No
Eritrea,2003,Yes,Yes,Yes,Yes,No
Eritrea,2004,Yes,Yes,Yes,Yes,No
Eritrea,2005,Yes,Yes,Yes,Yes,No
Eritrea,2006,Yes,Yes,Yes,Yes,No
Eritrea,2007,Yes,Yes,Yes,Yes,No
Eritrea,2008,Yes,Yes,Yes,Yes,No
Eritrea,2009,Yes,Yes,Yes,Yes,No
Eritrea,2010,Yes,Yes,Yes,Yes,No
Eritrea,2011,Yes,Yes,Yes,Yes,No
Eritrea,2012,Yes,Yes,Yes,Yes,No
Eritrea,2013,Yes,Yes,Yes,Yes,No
Eritrea,2014,Yes,Yes,Yes,Yes,No
Eritrea,2015,Yes,Yes,Yes,Yes,No
Eritrea,2016,Yes,Yes,Yes,Yes,No
Eritrea,2017,Yes,Yes,Yes,Yes,No
Estonia,1991,Yes,Yes,No,No,No
Estonia,1992,Yes,Yes,Yes,No,No
Estonia,1993,Yes,Yes,Yes,No,No
Estonia,1994,Yes,Yes,Yes,No,No
Estonia,1995,Yes,Yes,Yes,No,No
Estonia,1996,Yes,Yes,Yes,No,No
Estonia,1997,Yes,Yes,Yes,No,No
Estonia,1998,Yes,Yes,Yes,No,No
Estonia,1999,Yes,Yes,Yes,No,No
Estonia,2000,Yes,Yes,Yes,No,No
Estonia,2001,Yes,Yes,Yes,No,No
Estonia,2002,Yes,Yes,Yes,No,No
Estonia,2003,Yes,Yes,Yes,No,No
Estonia,2004,Yes,Yes,Yes,No,No
Estonia,2005,Yes,Yes,Yes,No,No
Estonia,2006,Yes,Yes,Yes,No,No
Estonia,2007,Yes,Yes,Yes,Yes,No
Estonia,2008,Yes,Yes,Yes,Yes,No
Estonia,2009,Yes,Yes,Yes,Yes,No
Estonia,2010,Yes,Yes,Yes,Yes,No
Estonia,2011,Yes,Yes,Yes,Yes,No
Estonia,2012,Yes,Yes,Yes,Yes,No
Estonia,2013,Yes,Yes,Yes,Yes,No
Estonia,2014,Yes,Yes,Yes,Yes,No
Estonia,2015,Yes,Yes,Yes,Yes,No
Estonia,2016,Yes,Yes,Yes,Yes,No
Estonia,2017,Yes,Yes,Yes,Yes,No
Ethiopia,1941,No,No,No,No,No
Ethiopia,1942,No,No,No,No,No
Ethiopia,1943,No,No,No,No,No
Ethiopia,1944,No,No,No,No,No
Ethiopia,1945,No,No,No,No,No
Ethiopia,1946,No,No,No,No,No
Ethiopia,1947,No,No,No,No,No
Ethiopia,1948,No,No,No,No,No
Ethiopia,1949,No,No,No,No,No
Ethiopia,1950,No,No,No,No,No
Ethiopia,1951,No,No,No,No,No
Ethiopia,1952,No,No,No,No,No
Ethiopia,1953,No,No,No,No,No
Ethiopia,1954,No,No,No,No,No
Ethiopia,1955,Yes,No,No,No,No
Ethiopia,1956,Yes,No,No,No,No
Ethiopia,1957,Yes,Yes,No,No,No
Ethiopia,1958,Yes,Yes,No,No,No
Ethiopia,1959,Yes,Yes,No,No,No
Ethiopia,1960,Yes,Yes,No,No,No
Ethiopia,1961,Yes,Yes,No,No,No
Ethiopia,1962,Yes,Yes,No,No,No
Ethiopia,1963,Yes,Yes,No,No,No
Ethiopia,1964,Yes,Yes,No,No,No
Ethiopia,1965,Yes,Yes,No,No,No
Ethiopia,1966,Yes,Yes,No,No,No
Ethiopia,1967,Yes,Yes,No,No,No
Ethiopia,1968,Yes,Yes,No,No,No
Ethiopia,1969,Yes,Yes,No,No,No
Ethiopia,1970,Yes,Yes,No,No,No
Ethiopia,1971,Yes,Yes,No,No,No
Ethiopia,1972,Yes,Yes,No,No,No
Ethiopia,1973,Yes,Yes,No,No,No
Ethiopia,1974,Yes,Yes,No,No,No
Ethiopia,1975,Yes,Yes,No,No,No
Ethiopia,1976,Yes,Yes,No,No,No
Ethiopia,1977,Yes,Yes,No,No,No
Ethiopia,1978,Yes,Yes,No,No,No
Ethiopia,1979,Yes,Yes,No,No,No
Ethiopia,1980,Yes,Yes,No,No,No
Ethiopia,1981,Yes,Yes,No,No,No
Ethiopia,1982,Yes,Yes,No,No,No
Ethiopia,1983,Yes,Yes,No,No,No
Ethiopia,1984,Yes,Yes,No,No,No
Ethiopia,1985,Yes,Yes,No,No,No
Ethiopia,1986,Yes,Yes,No,No,No
Ethiopia,1987,Yes,Yes,No,No,No
Ethiopia,1988,Yes,Yes,No,No,No
Ethiopia,1989,Yes,Yes,No,No,No
Ethiopia,1990,Yes,Yes,No,No,No
Ethiopia,1991,Yes,Yes,No,No,No
Ethiopia,1992,Yes,Yes,No,No,No
Ethiopia,1993,Yes,Yes,No,No,No
Ethiopia,1994,Yes,Yes,No,No,No
Ethiopia,1995,Yes,Yes,No,No,No
Ethiopia,1996,Yes,Yes,No,No,No
Ethiopia,1997,Yes,Yes,No,No,No
Ethiopia,1998,Yes,Yes,No,No,No
Ethiopia,1999,Yes,Yes,No,No,No
Ethiopia,2000,Yes,Yes,No,No,No
Ethiopia,2001,Yes,Yes,No,No,No
Ethiopia,2002,Yes,Yes,No,No,No
Ethiopia,2003,Yes,Yes,No,No,No
Ethiopia,2004,Yes,Yes,No,No,No
Ethiopia,2005,Yes,Yes,Yes,Yes,No
Ethiopia,2006,Yes,Yes,Yes,Yes,No
Ethiopia,2007,Yes,Yes,Yes,Yes,No
Ethiopia,2008,Yes,Yes,Yes,Yes,No
Ethiopia,2009,Yes,Yes,Yes,Yes,No
Ethiopia,2010,Yes,Yes,Yes,Yes,No
Ethiopia,2011,Yes,Yes,Yes,Yes,No
Ethiopia,2012,Yes,Yes,Yes,Yes,No
Ethiopia,2013,Yes,Yes,Yes,Yes,No
Ethiopia,2014,Yes,Yes,Yes,Yes,No
Ethiopia,2015,Yes,Yes,Yes,Yes,Yes
Ethiopia,2016,Yes,Yes,Yes,Yes,Yes
Ethiopia,2017,Yes,Yes,Yes,Yes,Yes
Fiji,1970,Yes,Yes,No,No,No
Fiji,1971,Yes,Yes,No,No,No
Fiji,1972,Yes,Yes,No,No,No
Fiji,1973,Yes,Yes,No,No,No
Fiji,1974,Yes,Yes,No,No,No
Fiji,1975,Yes,Yes,No,No,No
Fiji,1976,Yes,Yes,No,No,No
Fiji,1977,Yes,Yes,No,No,No
Fiji,1978,Yes,Yes,No,No,No
Fiji,1979,Yes,Yes,No,No,No
Fiji,1980,Yes,Yes,No,No,No
Fiji,1981,Yes,Yes,No,No,No
Fiji,1982,Yes,Yes,No,No,No
Fiji,1983,Yes,Yes,No,No,No
Fiji,1984,Yes,Yes,No,No,No
Fiji,1985,Yes,Yes,No,No,No
Fiji,1986,Yes,Yes,No,No,No
Fiji,1987,Yes,Yes,No,No,No
Fiji,1988,Yes,Yes,No,No,No
Fiji,1989,Yes,Yes,No,No,No
Fiji,1990,Yes,Yes,No,No,No
Fiji,1991,Yes,Yes,No,No,No
Fiji,1992,Yes,Yes,No,No,No
Fiji,1993,Yes,Yes,No,No,No
Fiji,1994,Yes,Yes,No,No,No
Fiji,1995,Yes,Yes,No,No,No
Fiji,1996,Yes,Yes,No,No,No
Fiji,1997,Yes,Yes,No,No,No
Fiji,1998,Yes,Yes,No,No,No
