Entity,Year,Value of global merchandise imports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data),Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data)
Cameroon,1973,19.09437,20.95418
Cameroon,1974,19.39813,23.2183
Cameroon,1975,21.75488,16.92408
Cameroon,1976,19.79397,17.68606
Cameroon,1977,23.49143,22.09669
Cameroon,1978,23.76154,21.52242
Cameroon,1979,21.97595,21.75726
Cameroon,1980,23.97342,26.89687
Cameroon,1981,19.94695,25.93052
Cameroon,1982,21.6638,26.5576
Cameroon,1983,17.28366,25.88885
Cameroon,1984,17.33137,30.60504
Cameroon,1985,16.94001,31.87455
Cameroon,1986,14.80663,18.22928
Cameroon,1987,13.96191,16.39341
Cameroon,1988,10.24999,14.64195
Cameroon,1989,11.43019,18.17992
Cameroon,1990,13.94296,21.00293
Cameroon,1991,10.81687,15.54673
Cameroon,1992,10.20365,16.14882
Cameroon,1993,8.14358,12.38899
Cameroon,1994,11.74561,20.64085
Cameroon,1995,13.73444,25.59668
Cameroon,1996,12.60243,23.64902
Cameroon,1997,13.88332,23.83736
Cameroon,1998,15.52154,21.72935
Cameroon,1999,12.5645,18.67048
Cameroon,2000,16.04437,23.98609
Cameroon,2001,19.21373,22.18704
Cameroon,2002,16.5973,19.09111
Cameroon,2003,16.38984,19.958
Cameroon,2004,14.21901,22.88148
Cameroon,2005,15.45856,21.92075
Cameroon,2006,16.65088,28.00081
Cameroon,2007,18.06175,25.63228
Cameroon,2008,19.27722,25.2451
Cameroon,2009,16.89036,17.18114
Cameroon,2010,21.39157,19.69031
Cameroon,2011,25.5754,21.53183
Cameroon,2012,24.57761,20.92895
Cameroon,2013,23.16987,17.8374
Cameroon,2014,24.38777,17.92148
Canada,1867,15.99045,12.64917
Canada,1870,21.95941,17.51524
Canada,1871,25.47647,19.16801
Canada,1872,28.00305,19.2661
Canada,1873,25.30052,17.89549
Canada,1874,24.20967,15.93286
Canada,1875,20.65194,17.76511
Canada,1876,22.42313,17.8908
Canada,1877,20.84834,18.30021
Canada,1878,19.41542,17.44931
Canada,1879,15.84836,19.47085
Canada,1880,18.85322,20.31958
Canada,1881,19.66711,18.07248
Canada,1882,19.84333,15.77708
Canada,1883,17.43401,14.63799
Canada,1884,17.17236,14.93996
Canada,1885,17.38642,15.39423
Canada,1886,18.78697,16.10312
Canada,1887,16.58999,14.78316
Canada,1888,17.30692,13.81378
Canada,1889,17.0858,14.33987
Canada,1890,16.31497,14.12993
Canada,1891,16.36116,15.93435
Canada,1892,16.44558,16.30258
Canada,1893,16.00627,17.0342
Canada,1894,15.54312,16.77426
Canada,1895,16.63,18.37219
Canada,1896,16.76018,20.98938
Canada,1897,17.64844,22.41072
Canada,1898,19.46267,20.24641
Canada,1899,21.0603,22.27765
Canada,1900,19.73988,21.62515
Canada,1901,19.99838,21.31806
Canada,1902,20.19993,20.19993
Canada,1903,20.83757,18.01937
Canada,1904,20.98255,16.73608
Canada,1905,20.9296,18.20286
Canada,1906,21.89933,16.81868
Canada,1907,20.40777,15.24785
Canada,1908,18.07196,15.84823
Canada,1909,20.48306,15.21911
Canada,1910,22.84031,13.56307
Canada,1911,24.50675,12.99119
Canada,1912,27.11725,14.28104
Canada,1913,23.93446,16.30107
Canada,1914,24.30476,16.93936
Canada,1915,19.82166,27.11783
Canada,1916,26.45156,34.87137
Canada,1917,23.96499,37.86708
Canada,1918,20.86874,27.60175
Canada,1919,23.16212,26.9734
Canada,1920,20.80332,20.23889
Canada,1921,16.43867,16.56392
Canada,1922,18.15371,20.43505
Canada,1923,18.96171,22.3658
Canada,1924,16.32669,21.73291
Canada,1925,18.48737,26.06031
Canada,1926,19.99022,24.12035
Canada,1927,19.91162,21.91219
Canada,1928,20.92986,22.43207
Canada,1929,20.44792,18.23736
Canada,1930,15.86102,13.89761
Canada,1931,11.91744,11.79901
Canada,1932,11.87729,13.05716
Canada,1933,11.48339,15.32073
Canada,1934,12.92517,16.52809
Canada,1935,12.78772,17.1588
Canada,1936,13.70307,20.52223
Canada,1937,15.43599,19.30929
Canada,1938,12.84143,16.10395
Canada,1939,13.36061,16.65184
Canada,1940,16.11798,17.77149
Canada,1941,17.49577,19.80198
Canada,1942,16.01559,23.23429
Canada,1943,15.6971,27.151
Canada,1944,14.84639,29.39737
Canada,1945,13.11641,27.53941
Canada,1946,15.69205,19.68027
Canada,1947,19.10488,20.87137
Canada,1948,19.3609,21.27694
Canada,1949,18.46891,19.04865
Canada,1950,19.45476,17.96585
Canada,1951,21.07654,28.88208
Canada,1952,18.44334,18.67597
Canada,1953,18.94948,16.99231
Canada,1954,17.64313,15.79623
Canada,1955,18.44266,16.41289
Canada,1956,20.01608,15.99875
Canada,1957,18.66081,15.23201
Canada,1958,16.62927,14.67968
Canada,1959,16.98301,14.58561
Canada,1960,15.73973,14.2037
Canada,1961,15.7869,15.06994
Canada,1962,15.70434,15.18465
Canada,1963,15.24638,15.22578
Canada,1964,16.01581,16.44807
Canada,1965,16.90535,15.72157
Canada,1966,17.69424,16.58177
Canada,1967,17.74974,17.41034
Canada,1968,18.43355,18.98262
Canada,1969,19.10178,19.29249
Canada,1970,17.27289,19.66441
Canada,1971,17.70248,19.30946
Canada,1972,18.88439,18.96731
Canada,1973,20.12666,20.27091
Canada,1974,22.92064,21.85038
Canada,1975,22.2468,19.60134
Canada,1976,20.86239,19.65291
Canada,1977,21.31116,20.58213
Canada,1978,22.65931,22.18029
Canada,1979,25.02846,23.98371
Canada,1980,24.5038,24.73224
Canada,1981,24.42393,23.75044
Canada,1982,19.90026,22.72377
Canada,1983,20.40311,22.53622
Canada,1984,23.50241,25.40863
Canada,1985,23.7255,24.8883
Canada,1986,24.2792,23.76852
Canada,1987,23.06542,22.74614
Canada,1988,23.87148,22.94668
Canada,1989,22.84642,21.74776
Canada,1990,22.16458,21.79632
Canada,1991,21.7093,21.18192
Canada,1992,23.18212,23.09142
Canada,1993,25.71267,25.35136
Canada,1994,28.82904,29.34195
Canada,1995,29.73735,32.59319
Canada,1996,29.75898,33.0337
Canada,1997,32.93729,33.48342
Canada,1998,34.69063,35.09201
Canada,1999,34.84678,35.87035
Canada,2000,35.40056,37.83961
Canada,2001,33.08687,36.41802
Canada,2002,32.21674,34.33316
Canada,2003,29.51015,31.07458
Canada,2004,29.22891,31.36967
Canada,2005,29.58906,31.00712
Canada,2006,29.26832,29.51836
Canada,2007,28.56297,28.68939
Canada,2008,28.98986,29.50163
Canada,2009,25.75913,23.13569
Canada,2010,26.73418,24.01633
Canada,2011,27.7643,25.23247
Canada,2012,27.88429,24.95493
Canada,2013,27.65222,24.94341
Canada,2014,28.42431,26.608
Cape Verde,1975,64.19018,3.19533
Cape Verde,1976,71.31252,2.46629
Cape Verde,1977,84.44827,4.22985
Cape Verde,1978,77.58493,5.37161
Cape Verde,1979,84.88976,3.90099
Cape Verde,1980,103.20274,3.56039
Cape Verde,1981,92.97693,5.02458
Cape Verde,1982,92.81097,4.18593
Cape Verde,1983,95.93576,2.92343
Cape Verde,1984,86.5175,2.53584
Cape Verde,1985,93.13351,4.59145
Cape Verde,1986,61.54855,3.63434
Cape Verde,1987,59.31802,4.77245
Cape Verde,1988,50.66371,3.48077
Cape Verde,1989,51.64007,3.35504
Cape Verde,1990,53.62999,2.72561
Cape Verde,1991,52.52427,1.923
Cape Verde,1992,51.51011,3.39671
Cape Verde,1993,38.60671,2.71104
Cape Verde,1994,56.12982,1.77102
Cape Verde,1995,53.47256,2.95311
Cape Verde,1996,67.76199,3.61241
Cape Verde,1997,47.60882,5.45598
Cape Verde,1998,44.48711,3.70248
Cape Verde,1999,44.94338,3.57241
Cape Verde,2000,46.87697,3.75476
Cape Verde,2001,43.9885,3.04956
Cape Verde,2002,46.00746,3.93106
Cape Verde,2003,43.12747,3.92237
Cape Verde,2004,46.41582,2.44625
Cape Verde,2005,44.90417,2.91275
Cape Verde,2006,51.54451,3.84975
Cape Verde,2007,49.28802,2.19524
Cape Verde,2008,47.60362,2.88707
Cape Verde,2009,41.37083,2.49803
Cape Verde,2010,46.53496,3.24449
Cape Verde,2011,56.42249,3.96938
Cape Verde,2012,44.74765,4.90489
Cape Verde,2013,46.70586,4.04743
Cape Verde,2014,45.07337,6.57631
Central African Republic,1960,17.47572,12.3935
Central African Republic,1961,18.02532,11.14944
Central African Republic,1962,19.96164,11.84876
Central African Republic,1963,20.40515,17.00429
Central African Republic,1964,20.77098,20.34852
Central African Republic,1965,18.06411,17.33358
Central African Republic,1966,22.03508,19.56563
Central African Republic,1967,26.79762,17.64126
Central African Republic,1968,20.18069,18.35557
Central African Republic,1969,20.02136,21.66091
Central African Republic,1970,18.77806,25.23763
Central African Republic,1971,16.9102,22.15678
Central African Republic,1972,17.58676,19.82651
Central African Republic,1973,20.42907,20.26048
Central African Republic,1974,22.18696,22.80039
Central African Republic,1975,17.83685,16.28849
Central African Republic,1976,12.10278,18.59216
Central African Republic,1977,17.6617,22.96421
Central African Republic,1978,13.05607,17.29425
Central African Republic,1979,11.68735,13.73157
Central African Republic,1980,12.91803,14.76398
Central African Republic,1981,14.00885,17.44877
Central African Republic,1982,15.0941,14.34094
Central African Republic,1983,10.4092,16.87609
Central African Republic,1984,10.47191,20.84285
Central African Republic,1985,11.98976,13.74712
Central African Republic,1986,16.56373,11.6186
Central African Republic,1987,9.63287,7.38029
Central African Republic,1988,10.95732,8.09182
Central African Republic,1989,13.56122,11.16388
Central African Republic,1990,12.74898,21.6802
Central African Republic,1991,11.53172,20.81151
Central African Republic,1992,11.56229,15.71172
Central African Republic,1993,9.82013,8.5813
Central African Republic,1994,15.50293,16.83145
Central African Republic,1995,16.92036,16.79835
Central African Republic,1996,17.50254,18.98011
Central African Republic,1997,14.29957,18.82431
Central African Republic,1998,16.69726,25.11308
Central African Republic,1999,15.38624,23.85161
Central African Republic,2000,13.19945,26.86437
Central African Republic,2001,14.42511,19.81896
Central African Republic,2002,14.20917,23.45977
Central African Republic,2003,12.97393,11.77221
Central African Republic,2004,15.91388,11.10141
Central African Republic,2005,16.68843,9.29384
Central African Republic,2006,20.67937,8.55021
Central African Republic,2007,20.54088,8.59417
Central African Republic,2008,24.84847,8.1522
Central African Republic,2009,18.28384,6.091
Central African Republic,2010,29.49449,6.97291
Central African Republic,2011,41.58111,7.54634
Central African Republic,2012,24.07961,7.99979
Central African Republic,2013,41.34355,9.28983
Central African Republic,2014,28.60863,5.91932
Chad,1960,8.05462,4.22562
Chad,1961,7.58466,6.42021
Chad,1962,8.13741,4.62602
Chad,1963,7.8292,6.10646
Chad,1964,8.8167,6.75841
Chad,1965,7.48643,6.53132
Chad,1966,7.45249,5.47377
Chad,1967,13.05284,6.78489
Chad,1968,11.9224,6.76384
Chad,1969,11.34403,6.59749
Chad,1970,13.21057,6.29682
Chad,1971,12.42529,5.60721
Chad,1972,10.6221,6.11953
Chad,1973,12.68958,5.88922
Chad,1974,13.39167,5.73294
Chad,1975,15.3577,5.52337
Chad,1976,13.36178,7.31233
Chad,1977,20.2198,11.39122
Chad,1978,19.50723,8.88319
Chad,1979,8.48718,8.78862
Chad,1980,7.16358,6.87317
Chad,1981,12.31559,9.46476
Chad,1982,13.06375,6.95135
Chad,1983,18.86077,12.61389
Chad,1984,19.6931,14.25302
Chad,1985,16.06862,6.00153
Chad,1986,19.85338,9.27115
Chad,1987,19.42537,9.36887
Chad,1988,15.37842,9.71269
Chad,1989,16.74007,10.81129
Chad,1990,16.39245,10.81326
Chad,1991,13.26487,10.33488
Chad,1992,12.91284,9.67135
Chad,1993,13.6682,8.95267
Chad,1994,15.00206,12.5441
Chad,1995,25.24344,16.80591
Chad,1996,20.65518,14.80702
Chad,1997,21.62247,15.34289
Chad,1998,20.40355,15.0161
Chad,1999,20.5907,15.83399
Chad,2000,22.88712,13.21244
Chad,2001,39.72276,11.05685
Chad,2002,82.81251,9.3076
Chad,2003,28.86723,21.96102
Chad,2004,21.58585,49.62707
Chad,2005,14.29289,46.35326
Chad,2006,18.18892,45.1617
Chad,2007,20.83644,42.43948
Chad,2008,19.32006,40.26838
Chad,2009,21.61348,30.25887
Chad,2010,22.51892,33.77838
Chad,2011,22.21056,39.48544
Chad,2012,24.25601,37.19254
Chad,2013,21.62187,31.66059
Chad,2014,25.13966,30.1676
Chile,1827,6.50898,2.39888
Chile,1828,6.55079,2.4369
Chile,1829,6.41076,2.62098
Chile,1830,5.52151,2.65822
Chile,1831,6.06929,2.56812
Chile,1832,6.59756,2.76052
Chile,1833,7.46118,2.68632
Chile,1834,7.81022,2.9455
Chile,1835,8.82221,3.08138
Chile,1836,7.52382,2.96545
Chile,1837,8.47981,2.86845
Chile,1838,7.08081,2.91138
Chile,1839,7.47302,2.77072
Chile,1840,7.89903,2.96197
Chile,1841,8.5843,3.01401
Chile,1842,9.67019,3.19363
Chile,1843,10.85331,3.05036
Chile,1844,10.67181,2.76415
Chile,1845,10.74588,2.70259
Chile,1846,11.12509,2.92823
Chile,1847,9.96502,2.94846
Chile,1848,9.74199,3.41457
Chile,1849,12.30887,4.56385
Chile,1850,12.61596,4.95161
Chile,1851,16.73815,4.63843
Chile,1852,15.05866,4.72884
Chile,1853,9.71872,3.18345
Chile,1854,13.39084,3.29215
Chile,1855,12.93933,3.85476
Chile,1856,13.62634,3.49922
Chile,1857,12.89195,3.65905
Chile,1858,12.63077,3.98743
Chile,1859,11.9871,3.97679
Chile,1860,12.64702,4.50137
Chile,1861,9.78437,4.01333
Chile,1862,9.57738,3.95295
Chile,1863,10.8611,4.00119
Chile,1864,9.82921,4.45202
Chile,1865,11.07223,5.7069
Chile,1866,9.66744,6.62129
Chile,1867,13.06004,6.80138
Chile,1868,12.861,6.59525
Chile,1869,12.46666,7.01753
Chile,1870,12.64515,6.19285
Chile,1871,11.27037,6.42684
Chile,1872,12.80355,6.50352
Chile,1873,12.57289,5.64394
Chile,1874,13.88164,6.37616
Chile,1875,12.77432,4.86426
Chile,1876,12.61941,4.72331
Chile,1877,9.86656,4.20702
Chile,1878,8.98009,4.63961
Chile,1879,7.95194,5.56964
Chile,1880,7.62922,5.95674
Chile,1881,9.73052,6.47007
Chile,1882,11.32303,7.84279
Chile,1883,11.81049,8.50281
Chile,1884,12.60602,8.46319
Chile,1885,10.65771,8.22292
Chile,1886,11.90115,9.64385
Chile,1887,12.32507,10.39493
Chile,1888,14.92983,9.89524
Chile,1889,15.70789,9.65623
Chile,1890,15.73574,10.05559
Chile,1891,13.37733,9.4803
Chile,1892,17.5568,9.5564
Chile,1893,15.04749,10.48912
Chile,1894,13.09463,11.50508
Chile,1895,15.49494,11.36269
Chile,1896,16.85307,12.81843
Chile,1897,14.57645,9.81766
Chile,1898,9.59625,11.13682
Chile,1899,9.94907,10.68966
Chile,1900,10.81177,9.12975
Chile,1901,12.01754,8.3419
Chile,1902,10.84861,9.20147
Chile,1903,12.18002,9.85489
Chile,1904,12.07063,9.53552
Chile,1905,14.43576,10.50737
Chile,1906,15.93745,8.76826
Chile,1907,19.30057,9.36161
Chile,1908,16.28287,10.5755
Chile,1909,14.74527,9.2877
Chile,1910,14.69907,9.14845
Chile,1911,17.88322,8.71258
Chile,1912,16.07287,9.11858
Chile,1913,14.54312,9.07883
Chile,1914,14.1331,7.84074
Chile,1915,7.75428,8.99
Chile,1916,8.43023,9.63128
Chile,1917,9.61739,7.92391
Chile,1918,10.32184,11.17204
Chile,1919,12.44202,5.88958
Chile,1920,11.45965,12.97646
Chile,1921,15.50689,13.3075
Chile,1922,9.95774,12.81413
Chile,1923,11.38164,15.10601
Chile,1924,12.47818,18.00067
Chile,1925,12.32435,13.92628
Chile,1926,14.40056,14.79192
Chile,1927,12.20316,16.18972
Chile,1928,11.02531,15.27956
Chile,1929,13.19819,14.19817
Chile,1930,16.0327,12.72822
Chile,1931,11.64206,12.00772
Chile,1932,13.55638,8.00536
Chile,1933,10.03135,9.19922
Chile,1934,10.84663,10.19108
Chile,1935,14.3419,20.10219
Chile,1936,15.55427,18.9224
Chile,1937,14.69644,18.99107
Chile,1938,17.88281,17.45958
Chile,1939,15.87293,16.60571
Chile,1940,16.51956,14.49752
Chile,1941,15.5011,13.80596
Chile,1942,12.99328,17.56526
Chile,1943,11.50491,15.452
Chile,1944,12.3354,16.6963
Chile,1945,11.54559,15.33716
Chile,1946,11.33797,13.09682
Chile,1947,12.40936,11.14284
Chile,1948,8.09965,11.70771
Chile,1949,8.30573,9.11491
Chile,1950,7.56896,9.65466
Chile,1951,10.1497,11.37462
Chile,1952,8.82136,12.84207
Chile,1953,6.78512,8.83264
Chile,1954,5.53271,6.59852
Chile,1955,5.80741,8.00302
Chile,1956,7.4096,11.47486
Chile,1957,9.96055,11.38839
Chile,1958,9.71062,10.18187
Chile,1959,9.22461,12.17644
Chile,1960,11.85087,13.12404
Chile,1961,12.54095,11.62561
Chile,1962,9.29167,10.76911
Chile,1963,11.64012,11.0727
Chile,1964,10.50168,12.09635
Chile,1965,9.96896,13.50352
Chile,1966,10.8163,13.64849
Chile,1967,10.63403,13.97764
Chile,1968,10.83041,14.79443
Chile,1969,11.09029,14.71127
Chile,1970,10.3642,14.44389
Chile,1971,9.16315,10.12292
Chile,1972,8.81372,7.66219
Chile,1973,7.15024,7.50855
Chile,1974,12.307,15.95438
Chile,1975,22.11334,22.98174
Chile,1976,17.08031,22.38996
Chile,1977,16.91351,17.7081
Chile,1978,19.49682,17.91611
Chile,1979,20.34562,19.67464
Chile,1980,18.58278,17.76388
Chile,1981,19.51547,12.35777
Chile,1982,14.52828,16.61808
Chile,1983,15.0609,21.00413
Chile,1984,18.17474,20.90271
Chile,1985,18.73103,24.78626
Chile,1986,17.72207,25.75582
Chile,1987,19.33873,24.99319
Chile,1988,20.60557,29.18845
Chile,1989,24.60346,31.24011
Chile,1990,22.90129,29.68867
Chile,1991,20.94818,27.59962
Chile,1992,22.57615,24.6412
Chile,1993,22.99619,22.10332
Chile,1994,21.08198,22.96875
Chile,1995,21.69457,24.31711
Chile,1996,25.7699,22.52466
Chile,1997,25.53805,22.00546
Chile,1998,25.03566,20.71646
Chile,1999,22.00047,23.80414
Chile,2000,23.36457,24.52437
Chile,2001,24.64825,26.28031
Chile,2002,23.96803,26.25972
Chile,2003,24.74827,28.69744
Chile,2004,24.57192,33.2654
Chile,2005,26.46608,33.74004
Chile,2006,25.20059,38.3911
Chile,2007,27.4987,39.61214
Chile,2008,34.95439,39.00241
Chile,2009,24.89315,32.25383
Chile,2010,27.21751,32.68892
Chile,2011,29.77921,33.21821
Chile,2012,30.19199,29.52663
Chile,2013,28.60779,28.43914
Chile,2014,27.89238,29.84931
China,1864,0.49719,0.65026
China,1865,0.97877,0.95045
China,1866,1.11559,0.84027
China,1867,1.27679,1.06622
China,1868,1.50486,1.4624
China,1869,1.51837,1.36072
China,1870,1.38437,1.20869
China,1871,1.64125,1.5701
China,1872,1.62111,1.81379
China,1873,1.52578,1.59021
China,1874,1.54821,1.60479
China,1875,1.7196,1.74774
China,1876,1.70981,1.96727
China,1877,1.64992,1.5195
China,1878,1.33946,1.27075
China,1879,1.78728,1.57109
China,1880,1.98464,1.94936
China,1881,2.49267,1.93784
China,1882,1.82815,1.58401
China,1883,1.60483,1.53131
China,1884,1.68647,1.55637
China,1885,2.12625,1.5671
China,1886,1.80796,1.59565
China,1887,2.12656,1.78545
China,1888,2.77014,2.04631
China,1889,2.31498,1.97956
China,1890,2.45584,1.66213
China,1891,2.74837,2.03985
China,1892,2.60786,1.98017
China,1893,2.82929,2.1801
China,1894,3.03517,2.39859
China,1895,2.97686,2.49648
China,1896,3.37398,2.1836
China,1897,3.38026,2.72485
China,1898,2.82047,2.14028
China,1899,3.8019,2.81155
China,1900,3.01061,2.25823
China,1901,3.92434,2.48149
China,1902,3.59999,2.44496
China,1903,3.7299,2.44695
China,1904,3.84905,2.67916
China,1905,6.18956,3.15483
China,1906,5.06957,2.92182
China,1907,4.20644,2.67075
China,1908,3.78516,2.65447
China,1909,4.52341,3.66705
China,1910,4.29324,3.5316
China,1911,3.1154,2.49321
China,1912,3.24181,2.53892
China,1932,3.17849,1.47468
China,1933,4.43061,1.99622
China,1934,3.77471,1.96207
China,1935,3.5231,2.20693
China,1936,3.18819,2.38582
China,1949,2.61906,3.06355
China,1950,2.82346,3.21338
China,1951,3.0147,2.71586
China,1952,1.15062,1.31701
China,1953,0.98668,1.39329
China,1954,0.93289,1.11427
China,1955,3.00832,3.30028
China,1956,4.98901,5.24316
China,1957,4.45703,4.85817
China,1958,4.46698,4.85069
China,1959,4.716,5.17303
China,1960,4.47495,4.34454
China,1961,3.52458,3.91803
China,1962,2.94091,4.09815
China,1963,2.89467,4.05417
China,1964,2.89545,3.81018
China,1965,3.22242,3.67693
China,1966,3.27086,3.53317
China,1967,3.01031,3.31472
China,1968,2.95396,3.3428
China,1969,2.43562,3.08581
China,1970,2.49033,2.52141
China,1971,2.15957,2.82311
China,1972,2.54163,3.29221
China,1973,3.80753,4.29634
China,1974,5.4769,4.99659
China,1975,4.91776,4.77096
China,1976,4.39243,4.37394
China,1977,4.14754,4.35109
China,1978,7.35601,6.5675
China,1979,8.86312,7.72208
China,1980,10.28474,9.82109
China,1981,11.12857,11.939
China,1982,9.29356,11.31285
China,1983,9.30613,9.93309
China,1984,10.05626,10.3738
China,1985,13.81562,10.03761
China,1986,14.48278,11.90793
China,1987,15.92878,17.31107
China,1988,17.81402,19.38257
China,1989,17.09499,21.21803
China,1990,14.98989,24.79003
China,1991,16.74558,29.53569
China,1992,19.26687,32.13282
China,1993,24.50078,35.85828
China,1994,21.49063,34.03597
China,1995,19.99413,31.68061
China,1996,18.20057,29.48336
China,1997,17.2414,29.41268
China,1998,14.85992,27.84145
China,1999,15.2112,29.13848
China,2000,18.68268,32.53203
China,2001,18.28259,30.5028
China,2002,20.20923,32.41246
China,2003,25.02144,36.09884
China,2004,28.8818,40.28396
China,2005,29.1025,43.15717
China,2006,29.0057,43.24228
China,2007,27.14265,40.84294
China,2008,24.83135,36.21512
China,2009,19.842,27.90694
China,2010,23.07929,29.70224
China,2011,23.24252,27.49724
China,2012,21.47744,25.32033
China,2013,20.53927,23.52639
China,2014,18.96521,22.88893
Colombia,1835,10.03519,4.48943
Colombia,1836,12.47129,7.27492
Colombia,1837,7.92635,7.92635
Colombia,1838,9.31246,3.77532
Colombia,1839,9.16899,9.4168
Colombia,1840,9.76203,
Colombia,1841,3.85068,1.68467
Colombia,1842,6.40917,3.0859
Colombia,1843,11.70873,
Colombia,1844,10.90377,6.5877
Colombia,1845,7.7195,5.73448
Colombia,1846,4.28651,4.28651
Colombia,1847,2.91811,4.16872
Colombia,1848,4.66582,2.84007
Colombia,1849,6.52007,1.97578
Colombia,1850,9.62812,7.50994
Colombia,1851,14.2762,8.20881
Colombia,1852,12.3521,8.82293
Colombia,1853,9.42348,6.45683
Colombia,1854,6.90407,9.49309
Colombia,1855,10.07341,8.70752
Colombia,1856,15.87752,9.45895
Colombia,1857,13.36979,11.86569
Colombia,1858,11.90682,15.04889
Colombia,1859,13.58368,15.05661
Colombia,1860,16.52199,17.49387
Colombia,1861,15.46467,17.02676
Colombia,1862,15.38512,15.83763
Colombia,1863,26.10137,13.85268
Colombia,1864,35.9866,31.894
Colombia,1865,32.25258,23.09613
Colombia,1866,36.82844,20.00394
Colombia,1867,29.82087,15.42459
Colombia,1868,30.70755,18.34964
Colombia,1869,29.23931,21.35319
Colombia,1870,28.08724,18.17409
Colombia,1871,28.55277,18.19088
Colombia,1872,33.71641,22.25283
Colombia,1873,42.81097,16.79507
Colombia,1874,36.0442,21.88398
Colombia,1875,18.6701,30.31269
Colombia,1876,22.47068,14.87785
Colombia,1877,19.98373,12.75343
Colombia,1878,22.12351,15.92893
Colombia,1879,25.04274,17.62624
Colombia,1880,22.1817,18.3117
Colombia,1881,24.92826,19.47226
Colombia,1882,25.21869,16.68746
Colombia,1883,25.22685,13.64119
Colombia,1884,23.54636,9.86527
Colombia,1885,14.92587,6.76763
Colombia,1886,19.30089,8.21904
Colombia,1887,23.73418,10.76318
Colombia,1888,23.9046,9.34203
Colombia,1889,19.78772,8.38926
Colombia,1890,22.78835,11.07641
Colombia,1891,21.59827,16.31073
Colombia,1892,17.51872,8.5824
Colombia,1893,17.9974,9.61026
Colombia,1894,14.06385,8.88697
Colombia,1895,15.16973,8.94843
Colombia,1896,19.27967,10.94479
Colombia,1897,18.5498,9.98195
Colombia,1898,13.31624,10.76807
Colombia,1899,11.10139,10.3721
Colombia,1900,7.1908,7.27069
Colombia,1901,11.86305,7.02716
Colombia,1902,8.95882,5.80531
Colombia,1903,12.4735,7.15693
Colombia,1904,14.55541,10.78659
Colombia,1905,8.86463,7.62358
Colombia,1906,10.47426,8.59266
Colombia,1907,12.05574,8.94021
Colombia,1908,10.03342,6.9196
Colombia,1909,8.69777,7.41112
Colombia,1910,8.88493,7.35304
Colombia,1911,8.04289,8.22063
Colombia,1912,8.49747,9.06396
Colombia,1913,10.25108,10.75464
Colombia,1914,7.96024,10.00717
Colombia,1915,5.63254,8.10073
Colombia,1916,9.3906,9.67517
Colombia,1917,7.40387,9.52353
Colombia,1918,6.1247,9.80515
Colombia,1919,11.08593,18.2276
Colombia,1920,21.34409,12.1
Colombia,1921,7.23906,10.40859
Colombia,1922,8.68883,8.65185
Colombia,1923,10.89032,9.07526
Colombia,1924,8.76503,11.84615
Colombia,1925,11.78523,10.08777
Colombia,1926,12.13819,10.78733
Colombia,1927,12.96375,10.02083
Colombia,1928,12.64793,10.31928
Colombia,1929,11.84973,10.1916
Colombia,1930,7.44925,11.06746
Colombia,1931,7.64824,13.30128
Colombia,1932,5.08126,10.01306
Colombia,1933,7.70376,9.35456
Colombia,1934,9.13414,11.55748
Colombia,1935,10.53978,10.8911
Colombia,1936,10.56638,10.80294
Colombia,1937,12.82134,11.46379
Colombia,1938,10.01677,9.07179
Colombia,1939,10.49735,7.80131
Colombia,1940,8.18511,6.9131
Colombia,1941,9.62483,7.58663
Colombia,1942,5.42423,8.83375
Colombia,1943,6.27205,9.34408
Colombia,1944,6.19937,8.04146
Colombia,1945,7.94171,6.95253
Colombia,1946,9.56705,8.35633
Colombia,1947,12.59084,8.78797
Colombia,1948,9.90825,9.17283
Colombia,1949,7.36896,9.05442
Colombia,1950,8.87098,9.67052
Colombia,1951,10.95514,12.80714
Colombia,1952,10.55763,13.47882
Colombia,1953,12.49979,14.54667
Colombia,1954,12.98784,13.69355
Colombia,1955,12.43359,12.16025
Colombia,1956,10.90625,10.4513
Colombia,1957,10.10637,12.66222
Colombia,1958,12.16293,16.20902
Colombia,1959,11.01761,14.74135
Colombia,1960,12.69752,12.82471
Colombia,1961,11.82539,11.12848
Colombia,1962,10.77568,10.37758
Colombia,1963,10.33305,10.6232
Colombia,1964,9.76775,9.73988
Colombia,1965,7.80796,11.11906
Colombia,1966,12.36804,10.82416
Colombia,1967,8.67089,10.24337
Colombia,1968,10.88728,10.11196
Colombia,1969,10.70231,9.98831
Colombia,1970,11.72529,10.98414
Colombia,1971,11.88525,9.46542
Colombia,1972,9.91123,10.40404
Colombia,1973,10.30121,11.37598
Colombia,1974,13.15434,12.25407
Colombia,1975,11.53129,13.01897
Colombia,1976,11.5661,13.34212
Colombia,1977,11.72158,13.47975
Colombia,1978,12.20494,13.43478
Colombia,1979,13.16178,13.62539
Colombia,1980,14.29201,13.02285
Colombia,1981,14.28807,9.33077
Colombia,1982,14.05691,8.43468
Colombia,1983,12.82746,8.30925
Colombia,1984,11.74398,9.29
Colombia,1985,11.83774,11.02159
Colombia,1986,11.24883,15.94832
Colombia,1987,11.62207,15.05222
Colombia,1988,12.91788,14.06222
Colombia,1989,12.67193,15.27859
Colombia,1990,13.87839,17.38407
