Entity,Year,Import trade share from labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Import trade share from capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000)
Dominican Republic,1982,0.13415,11.38512,0.20994,8.12518
Dominican Republic,1983,0.00317,8.33533,0.00624,8.65296
Dominican Republic,1984,,7.39532,0.15984,8.88456
Dominican Republic,1985,,18.92122,0.12497,19.54808
Dominican Republic,1986,,20.58197,0.25560,17.60652
Dominican Republic,1987,0.00392,31.12203,0.27808,20.48132
Dominican Republic,1988,0.00287,34.16692,0.20990,29.24968
Dominican Republic,1989,0.00215,28.21432,0.12376,23.11797
Dominican Republic,1990,0.00144,25.66906,0.06720,20.71711
Dominican Republic,1991,0.00640,25.12683,0.03236,22.51944
Dominican Republic,1992,0.01390,26.35832,0.14714,23.02945
Dominican Republic,1993,0.01647,26.31261,0.09693,22.39746
Dominican Republic,1994,0.02795,27.37931,0.52456,24.00477
Dominican Republic,1995,0.04904,25.30797,0.24747,24.02574
Dominican Republic,1996,0.03894,25.49014,0.20216,23.23105
Dominican Republic,1997,0.03633,26.78997,0.21305,24.31224
Dominican Republic,1998,0.04850,27.71698,0.00875,23.20823
Dominican Republic,1999,0.07981,28.82451,0.01256,20.92819
Dominican Republic,2000,0.03255,14.10953,0.01229,19.87329
Ecuador,1962,0.14537,10.58883,0.06257,16.27226
Ecuador,1963,0.12667,12.65017,0.24238,18.94564
Ecuador,1964,0.16179,13.51387,0.03130,19.64875
Ecuador,1965,0.06018,13.75700,0.05865,20.62765
Ecuador,1966,0.05636,13.59820,0.23474,19.19364
Ecuador,1967,0.05277,14.59202,0.30850,18.68062
Ecuador,1968,0.04781,16.00162,0.04072,16.61241
Ecuador,1969,0.04371,13.70131,0.01799,14.92075
Ecuador,1970,0.04998,13.16024,0.03097,16.30167
Ecuador,1971,0.04781,17.48473,0.02862,15.75900
Ecuador,1972,0.03843,14.44105,0.07736,16.90532
Ecuador,1973,0.02375,13.25117,0.05832,19.80866
Ecuador,1974,0.03425,17.50066,0.05234,29.88875
Ecuador,1975,0.06451,18.96215,0.10511,22.80077
Ecuador,1976,0.10875,14.72962,0.07723,21.24685
Ecuador,1977,0.03280,14.57463,0.05323,19.69061
Ecuador,1978,0.00478,14.63796,0.02441,12.95828
Ecuador,1979,0.05599,16.95483,0.02678,16.71052
Ecuador,1980,0.05190,15.67948,0.00666,13.42396
Ecuador,1981,0.01212,12.61029,0.02461,15.24554
Ecuador,1982,0.05978,10.33820,0.05828,15.28442
Ecuador,1983,0.00118,8.31897,0.00572,13.88327
Ecuador,1984,0.19013,6.85510,0.00743,18.75325
Ecuador,1985,0.01339,8.80597,0.05019,18.26633
Ecuador,1986,0.05179,8.55994,0.03483,19.80380
Ecuador,1987,0.06541,14.58591,0.03473,17.85859
Ecuador,1988,0.09817,8.84148,0.09302,20.96111
Ecuador,1989,0.16163,9.53984,0.34433,23.07326
Ecuador,1990,0.18105,13.74919,0.24330,22.49913
Ecuador,1991,0.14339,15.68133,0.17938,24.65490
Ecuador,1992,0.13856,15.78636,0.20670,24.26376
Ecuador,1993,0.00671,14.37345,0.12750,21.17878
Ecuador,1994,0.06182,16.56463,0.15527,22.08787
Ecuador,1995,0.05113,17.46001,0.22425,22.80132
Ecuador,1996,0.13177,14.73880,0.57985,22.95242
Ecuador,1997,0.05775,15.75199,0.40868,22.41788
Ecuador,1998,0.09961,20.21183,0.29852,19.28003
Ecuador,1999,0.10331,14.89269,0.65277,28.63813
Ecuador,2000,0.20443,17.27326,0.83782,33.13662
Egypt,1962,0.75873,11.47007,0.58185,4.04915
Egypt,1963,0.71524,12.73708,0.80301,4.25189
Egypt,1964,0.85947,11.29418,0.76330,4.21186
Egypt,1965,1.23306,10.60581,0.81949,5.16870
Egypt,1966,0.97831,12.06714,0.83024,4.51756
Egypt,1967,0.98742,6.93327,1.15473,4.06503
Egypt,1968,0.67545,6.33880,1.14632,4.40050
Egypt,1969,0.72944,5.33237,0.72582,5.04433
Egypt,1970,1.07600,6.23727,0.91584,6.12247
Egypt,1971,0.76344,7.31561,0.87702,5.59731
Egypt,1972,0.55868,6.89153,0.78393,4.84763
Egypt,1973,0.42634,7.53441,0.68660,6.06790
Egypt,1974,0.60424,17.15320,0.63028,8.66580
Egypt,1975,1.33861,26.43839,0.40691,7.06717
Egypt,1976,1.17709,21.59999,0.40367,9.53769
Egypt,1977,0.91722,20.85903,0.23399,8.08552
Egypt,1978,0.93325,24.49769,0.42300,8.58973
Egypt,1979,0.74147,21.59242,0.45783,21.37414
Egypt,1980,0.48229,21.46656,0.26095,23.86206
Egypt,1981,0.50910,28.44545,0.17957,18.94398
Egypt,1982,0.46654,24.97446,0.21002,14.13167
Egypt,1983,0.23101,22.34264,0.01969,9.25492
Egypt,1984,0.24183,20.49175,0.03892,9.59023
Egypt,1985,0.16824,16.23584,0.17916,8.65831
Egypt,1986,0.10936,12.24853,0.37324,4.06260
Egypt,1987,0.08254,9.29646,0.11026,4.63155
Egypt,1988,0.07551,8.66743,0.07625,3.33908
Egypt,1989,0.10135,9.51808,0.03209,4.50190
Egypt,1990,0.16827,15.56749,0.18284,7.45185
Egypt,1991,0.25810,25.92188,0.34685,11.39084
Egypt,1992,0.31357,22.00592,0.34212,11.50302
Egypt,1993,0.28598,21.41102,0.21652,9.69685
Egypt,1994,0.28731,20.35724,0.49364,9.55426
Egypt,1995,0.36540,20.29915,0.25674,8.59513
Egypt,1996,0.33804,19.76257,0.18583,8.30541
Egypt,1997,0.40801,19.88433,0.31405,7.06306
Egypt,1998,0.40691,19.60902,0.32371,5.54019
Egypt,1999,0.33396,18.15243,0.59440,5.27145
Egypt,2000,0.09591,12.47584,0.11359,6.11145
El Salvador,1962,0.02751,39.73032,,56.86981
El Salvador,1963,11.60376,54.07441,12.17212,57.66459
El Salvador,1964,13.09114,63.46355,12.99952,58.18832
El Salvador,1965,14.32084,60.96058,15.74044,63.59640
El Salvador,1966,16.68747,61.76553,17.31668,50.14060
El Salvador,1967,16.38617,59.58006,21.60930,48.91558
El Salvador,1968,18.67800,51.66086,21.90320,48.09194
El Salvador,1969,16.53863,49.72696,18.36065,47.41368
El Salvador,1970,14.63280,47.79094,16.22523,55.80866
El Salvador,1971,14.77650,54.13337,16.48566,51.57202
El Salvador,1972,16.19530,56.46492,16.79813,53.80280
El Salvador,1973,17.17717,67.44186,19.07376,68.63957
El Salvador,1974,18.37574,89.32546,22.28463,79.01415
El Salvador,1975,18.53302,82.24923,15.35231,85.74851
El Salvador,1976,18.45026,76.22076,12.80365,94.79916
El Salvador,1977,17.33756,81.79469,17.09801,109.31112
El Salvador,1978,0.06738,64.83228,0.00850,66.75086
El Salvador,1979,18.31302,70.04808,11.62893,98.50392
El Salvador,1980,22.48066,59.96764,9.90220,85.18617
El Salvador,1981,22.61720,68.33816,11.61257,63.89679
El Salvador,1982,19.00924,60.35669,12.99185,52.32579
El Salvador,1983,1.23867,37.53573,0.59141,53.11429
El Salvador,1984,,37.69863,0.06135,43.99022
El Salvador,1985,0.00552,33.23820,0.00695,34.94769
El Salvador,1986,,26.02639,0.01723,27.04986
El Salvador,1987,,22.65172,0.02365,17.02915
El Salvador,1988,0.05127,22.07726,0.00522,16.31702
El Salvador,1989,0.01910,21.01519,0.00696,10.82626
El Salvador,1990,0.00433,19.35983,0.00260,9.19453
El Salvador,1991,0.01288,18.33544,0.00461,10.31489
El Salvador,1992,0.01160,21.35238,,9.53126
El Salvador,1993,0.00176,21.06751,,10.14180
El Salvador,1994,0.08224,20.44254,,12.65494
El Salvador,1995,0.07965,19.36591,0.00573,13.66269
El Salvador,1996,0.06917,17.33299,0.00587,14.76563
El Salvador,1997,0.05618,21.48296,0.02708,17.07925
El Salvador,1998,0.08915,21.93509,0.00342,15.47632
El Salvador,1999,0.07534,20.98252,0.04090,15.49540
El Salvador,2000,0.05706,11.28287,0.13744,18.12658
Estonia,1992,0.02591,23.71368,,23.25850
Estonia,1993,0.05344,23.56334,0.05868,21.79804
Estonia,1994,0.12079,53.42736,0.14357,34.73644
Estonia,1995,0.02265,53.03082,0.14399,39.44171
Estonia,1996,0.05593,59.36562,0.07590,40.45244
Estonia,1997,0.08255,65.30499,0.04226,47.22492
Estonia,1998,0.12435,66.08608,0.05549,45.32399
Estonia,1999,0.14495,61.34374,0.03908,46.38136
Estonia,2000,0.09750,70.97583,0.06374,73.91845
Ethiopia,1962,0.38660,5.55228,0.36566,4.60897
Ethiopia,1963,0.34537,5.36917,0.12567,5.15563
Ethiopia,1964,0.28225,5.87705,0.30355,5.43660
Ethiopia,1965,0.27946,6.86934,0.17811,5.65946
Ethiopia,1966,0.23490,7.09043,0.17726,4.96443
Ethiopia,1967,0.14454,5.98105,0.19859,4.56478
Ethiopia,1968,0.18393,6.67663,0.13824,4.47957
Ethiopia,1969,0.18115,4.55598,0.18554,4.13595
Ethiopia,1970,0.33912,6.45660,0.43923,5.45830
Ethiopia,1971,0.29642,5.73199,0.23668,4.57242
Ethiopia,1972,0.34330,6.01489,0.59363,5.42484
Ethiopia,1973,0.26816,6.00886,0.66851,7.30009
Ethiopia,1974,0.33664,6.85373,0.83782,10.26538
Ethiopia,1975,0.31840,7.47208,1.05668,5.49166
Ethiopia,1976,0.36129,8.47425,0.38546,6.47894
Ethiopia,1977,0.39707,8.51626,0.12518,5.80273
Ethiopia,1978,0.13917,7.01309,0.03817,4.60904
Ethiopia,1979,0.33717,9.79995,0.85240,6.61775
Ethiopia,1980,0.38167,9.31954,1.02489,6.52994
Ethiopia,1981,0.31355,9.14760,0.42442,5.57314
Ethiopia,1982,0.36208,8.66885,0.75210,5.92932
Ethiopia,1983,0.06781,7.86534,0.00135,4.65865
Ethiopia,1984,0.06278,8.24216,0.01362,4.64044
Ethiopia,1985,0.17616,8.70152,0.00862,3.05897
Ethiopia,1986,0.17645,7.98376,0.00309,4.35051
Ethiopia,1987,0.03413,7.97645,0.00109,3.43237
Ethiopia,1988,0.08224,10.20222,0.00586,3.39597
Ethiopia,1989,0.21103,6.84152,0.00193,3.90836
Ethiopia,1990,0.11283,6.97214,,2.55207
Ethiopia,1991,0.06285,5.21317,0.00164,1.72316
Ethiopia,1992,0.20744,8.09492,,1.74959
Ethiopia,1993,0.25646,10.58128,0.02211,3.06256
Ethiopia,1994,0.37169,11.68061,0.02671,4.35479
Ethiopia,1995,0.46880,14.25652,0.14171,6.04037
Ethiopia,1996,0.62125,13.54740,0.01512,5.62089
Ethiopia,1997,0.74796,12.48996,0.01671,6.52501
Ethiopia,1998,0.92171,17.38191,0.01343,7.33767
Ethiopia,1999,0.96843,14.91619,0.07628,5.11131
Ethiopia,2000,0.01344,8.54784,0.06642,5.03756
Fiji,1962,1.29523,14.68096,,11.97177
Fiji,1963,1.76953,26.33191,,32.41861
Fiji,1964,1.30817,33.68004,0.03187,28.70914
Fiji,1965,1.20145,34.04805,0.03294,25.08255
Fiji,1966,0.79687,29.50467,0.00838,19.95066
Fiji,1967,1.78630,38.50526,0.02640,25.86018
Fiji,1968,1.75068,40.35602,0.01166,21.84404
Fiji,1969,1.62573,42.84137,0.00153,27.88476
Fiji,1970,1.50498,42.72195,0.16698,42.95876
Fiji,1971,1.56888,47.58788,0.22390,34.66727
Fiji,1972,1.23743,46.31717,0.20044,26.61359
Fiji,1973,1.16707,44.22338,0.18021,22.74252
Fiji,1974,1.21236,45.45502,0.23213,31.66128
Fiji,1975,0.78326,36.42746,0.13103,35.77551
Fiji,1976,0.81771,35.18143,0.17843,19.74436
Fiji,1977,1.10991,39.42827,0.18915,28.80410
Fiji,1978,0.22308,23.52712,0.00012,22.11346
Fiji,1979,1.15411,45.50544,0.09680,29.77366
Fiji,1980,0.94767,46.23509,0.17655,34.41746
Fiji,1981,0.98934,50.84442,0.38710,28.58615
Fiji,1982,1.22772,45.79976,5.35580,22.01540
Fiji,1983,0.09291,23.13645,0.00077,17.33524
Fiji,1984,0.19340,26.58503,,22.48570
Fiji,1985,0.18558,27.05705,1.04356,18.88565
Fiji,1986,0.22325,21.49062,2.24387,19.13079
Fiji,1987,0.29033,19.47131,0.39564,24.14483
Fiji,1988,0.03703,27.45739,0.30721,31.46403
Fiji,1989,0.21768,28.22718,,34.04585
Fiji,1990,0.05056,30.42331,0.00765,32.05613
Fiji,1991,0.06039,27.45355,0.28904,32.40348
Fiji,1992,0.06201,28.75273,0.01541,30.99889
Fiji,1993,0.06034,29.88916,0.08657,30.11539
Fiji,1994,0.05028,28.72123,0.01357,29.87432
Fiji,1995,0.04910,23.67255,0.00841,31.37415
Fiji,1996,0.10038,25.29384,0.03257,31.69183
Fiji,1997,0.05805,27.79725,,25.78957
Fiji,1998,0.58360,33.83675,0.19276,32.40480
Fiji,1999,0.74093,37.73793,0.79039,31.37483
Fiji,2000,0.07834,32.55525,0.05153,33.17320
Finland,1962,0.04086,13.14029,0.17561,13.84453
Finland,1963,0.18176,13.60818,0.30057,14.21651
Finland,1964,0.21989,14.87081,0.27500,14.70618
Finland,1965,0.23392,15.31209,0.24011,14.13972
Finland,1966,0.23079,14.81440,0.26465,14.29579
Finland,1967,0.23546,14.12823,0.17720,14.08949
Finland,1968,0.24969,13.97843,0.14492,16.51290
Finland,1969,0.25365,16.38545,0.16427,17.66764
Finland,1970,0.32834,19.69246,0.18299,19.05771
Finland,1971,0.18490,18.80024,0.16436,18.14437
Finland,1972,0.22437,18.63780,0.18709,18.06465
Finland,1973,0.27668,18.45676,0.16016,18.16339
Finland,1974,0.34209,21.95291,0.38898,19.57770
Finland,1975,0.34641,20.85445,0.17716,15.27126
Finland,1976,0.29684,18.39575,0.23102,16.44721
Finland,1977,0.40335,17.57750,0.42996,18.38226
Finland,1978,0.31570,17.04991,0.38518,19.99594
Finland,1979,0.34010,19.59403,0.37701,22.55279
Finland,1980,0.38615,21.85753,0.38307,21.85531
Finland,1981,0.28725,20.15044,0.58078,20.25304
Finland,1982,0.24108,18.63269,0.48985,18.49970
Finland,1983,0.23316,18.22560,0.44659,18.69737
Finland,1984,0.26065,16.83058,0.51678,20.36789
Finland,1985,0.19108,18.03336,0.52483,19.99852
Finland,1986,0.20311,16.44449,0.35270,18.03890
Finland,1987,0.17950,17.35565,0.38225,18.47814
Finland,1988,0.13855,15.71514,0.33093,18.05242
Finland,1989,0.15827,17.14629,0.32387,16.95529
Finland,1990,0.13601,18.02229,0.32395,18.93830
Finland,1991,0.16919,16.40579,0.28440,18.48847
Finland,1992,0.15977,17.92403,0.39283,21.18875
Finland,1993,0.20826,19.39131,0.58193,25.69186
Finland,1994,0.24416,21.88328,0.58851,27.67256
Finland,1995,0.19581,21.15702,0.57977,26.54909
Finland,1996,0.24156,22.28481,0.62712,28.34012
Finland,1997,0.26106,23.25963,0.64849,30.63686
Finland,1998,0.24645,23.14740,0.62866,30.09125
Finland,1999,0.21834,22.25776,0.59158,30.27903
Finland,2000,0.24867,25.62483,0.80799,35.51310
France,1962,0.74449,7.91368,0.85652,7.92651
France,1963,0.70356,8.23252,0.76224,7.77850
France,1964,0.69318,8.75323,0.72456,7.88346
France,1965,0.59075,8.32050,0.68525,8.30165
France,1966,0.57800,8.87347,0.64387,8.34613
France,1967,0.48182,8.59038,0.61388,7.96775
France,1968,0.41757,8.95374,0.58339,8.11376
France,1969,0.40485,10.40345,0.54034,8.95825
France,1970,0.42174,11.59378,0.57165,10.60749
France,1971,0.38881,11.50322,0.56605,10.95994
France,1972,0.39692,11.90959,0.54345,11.20393
France,1973,0.43194,12.68443,0.56613,11.76316
France,1974,0.56819,16.19271,0.80340,13.78546
France,1975,0.40900,13.32426,0.83997,12.06125
France,1976,0.44091,15.44549,0.71766,12.62401
France,1977,0.48712,15.16436,0.77314,12.95589
France,1978,0.38538,14.48794,0.76990,12.90112
France,1979,0.40649,15.39676,0.66396,13.44931
France,1980,0.40666,16.49076,0.69508,13.34444
France,1981,0.39810,17.68046,0.86950,13.82056
France,1982,0.49851,17.85129,0.88422,13.85273
France,1983,0.48503,16.91373,0.88237,14.19112
France,1984,0.53473,17.51816,0.81033,15.65017
France,1985,0.50416,17.47578,0.80112,15.71085
France,1986,0.38692,15.36539,0.63276,14.00963
France,1987,0.38545,15.86049,0.57535,13.97919
France,1988,0.37427,16.37144,0.56268,14.80086
France,1989,0.40573,17.60279,0.65670,15.91342
France,1990,0.41344,17.60784,0.58798,15.72599
France,1991,0.41718,17.47795,0.57422,16.25609
France,1992,0.42996,16.37499,0.52832,15.75614
France,1993,0.44550,14.60856,0.54932,14.64917
France,1994,0.46872,15.73578,0.54594,15.63611
France,1995,0.48137,16.55051,0.56405,16.25943
France,1996,0.48794,16.19036,0.57405,16.47628
France,1997,0.52530,17.33264,0.64797,18.41966
France,1998,0.54905,17.98019,0.71545,18.78925
France,1999,0.54959,18.17151,0.70401,18.94460
France,2000,0.62851,21.51711,0.71451,20.37180
French Polynesia,1970,0.33483,98.06832,0.00114,84.36420
French Polynesia,1971,0.25071,76.84034,0.00781,71.94012
French Polynesia,1972,0.28989,73.30080,0.02724,61.37936
French Polynesia,1973,0.31065,46.81699,0.00493,52.29033
French Polynesia,1974,0.43409,49.40850,0.00522,64.56930
French Polynesia,1975,0.72306,85.40656,0.37693,62.99319
French Polynesia,1976,0.55453,67.47825,0.21731,47.01397
French Polynesia,1977,0.24231,30.83121,0.18579,46.38601
French Polynesia,1978,0.06242,35.02017,0.00336,24.99311
French Polynesia,1979,0.45479,58.14198,0.14974,37.23132
French Polynesia,1980,0.40258,62.03598,0.10820,35.27408
French Polynesia,1981,0.42426,62.88101,0.20503,30.86820
French Polynesia,1982,0.40109,57.23869,0.20031,21.03496
French Polynesia,1983,0.20663,19.07826,0.05897,16.37229
French Polynesia,1984,0.00930,33.52501,0.32334,17.29884
French Polynesia,1985,0.02372,30.69027,0.33366,19.80840
French Polynesia,1986,0.03255,29.15067,0.09612,9.04015
French Polynesia,1987,0.02822,30.35959,0.22078,7.39293
French Polynesia,1988,0.01805,32.39972,0.57659,18.44309
French Polynesia,1989,0.03388,34.68761,0.13635,26.48291
French Polynesia,1990,0.00597,32.98520,0.13391,15.10243
French Polynesia,1991,0.02036,32.33259,0.09756,14.92771
French Polynesia,1992,0.00559,35.68286,0.05369,11.69755
French Polynesia,1993,0.02079,30.58081,0.10535,12.31101
French Polynesia,1994,0.02530,28.33597,0.07512,14.42331
French Polynesia,1995,0.02914,28.18277,0.02316,15.60971
French Polynesia,1996,0.01157,32.80167,,17.79483
French Polynesia,1997,0.04217,36.68206,0.17321,18.86083
French Polynesia,1998,0.02422,33.20802,,14.26862
French Polynesia,1999,0.03921,40.47935,,14.74544
French Polynesia,2000,0.01203,37.36136,0.00285,23.66500
Gambia,1962,0.73617,12.46541,0.20137,16.89070
Gambia,1963,0.92978,11.92086,1.23073,13.43196
Gambia,1964,1.73936,14.71681,1.16390,15.55909
Gambia,1965,2.13547,15.51111,0.71612,14.44982
Gambia,1966,1.53620,16.16852,0.16716,21.21027
Gambia,1967,1.95503,17.17846,0.22081,29.86879
Gambia,1968,1.53023,19.56862,0.18665,17.04560
Gambia,1969,1.86906,15.45926,1.55298,27.45729
Gambia,1970,2.29480,14.55037,0.11209,19.00194
Gambia,1971,2.03286,17.62080,0.16528,20.16138
Gambia,1972,1.95600,14.78214,0.18245,17.52495
Gambia,1973,1.72067,11.99296,0.11733,12.45202
Gambia,1974,1.75227,10.89804,0.11859,17.64610
Gambia,1975,1.99802,10.78106,0.16257,13.85085
Gambia,1976,1.83683,13.74781,0.20742,11.63987
Gambia,1977,0.72395,16.12550,,12.64827
Gambia,1978,0.01206,16.84594,,9.21915
Gambia,1979,1.57947,17.21855,0.07297,9.75520
Gambia,1980,1.03734,18.94301,0.01508,5.23374
Gambia,1981,1.34890,13.76451,0.07643,3.65294
Gambia,1982,0.18250,12.96329,0.00205,4.86543
Gambia,1983,0.05266,12.33804,0.15138,7.69252
Gambia,1984,0.07559,11.17260,,7.50953
Gambia,1985,0.01635,9.68258,,3.45071
Gambia,1986,,23.41265,,6.81533
Gambia,1987,0.15327,22.34950,,12.37064
Gambia,1988,0.04747,22.13033,,15.88404
Gambia,1989,,17.37482,,22.09107
Gambia,1990,0.20943,18.97136,,24.56516
Gambia,1991,0.86497,24.43956,,24.42377
Gambia,1992,1.62757,28.21152,,26.40418
Gambia,1993,0.52408,28.95658,,17.48567
Gambia,1994,0.67274,21.83983,0.20804,17.86592
Gambia,1995,0.95802,21.35522,,22.20738
Gambia,1996,1.37237,19.85772,0.02499,19.89179
Gambia,1997,2.08640,21.51516,0.04579,20.48596
Gambia,1998,2.10869,20.73022,0.09247,16.08204
Gambia,1999,2.78953,22.25281,0.07757,10.50392
Gambia,2000,0.40196,20.75018,,4.50548
Georgia,1992,,8.72128,,15.28333
Georgia,1993,,9.44276,0.00788,4.33137
Georgia,1994,0.00003,0.02689,,0.00526
Georgia,1995,0.03221,9.89450,,3.40221
Georgia,1996,0.05735,18.54776,,5.81234
Georgia,1997,0.03746,22.26655,,8.81764
Georgia,1998,0.00830,20.95141,,8.80291
Georgia,1999,0.04004,16.71288,,12.16996
Georgia,2000,,13.81348,,18.82569
Germany,1962,0.42353,9.78669,0.47605,11.20517
Germany,1963,0.43544,9.39832,0.50214,11.61314
Germany,1964,0.44508,9.87590,0.62834,11.94102
Germany,1965,0.47866,10.74729,0.68525,11.78867
Germany,1966,0.45172,10.61713,0.55644,12.74035
Germany,1967,0.41046,10.06707,0.57183,13.52376
Germany,1968,0.39307,10.91325,0.51817,14.30321
Germany,1969,0.36071,12.02527,0.47916,14.80458
Germany,1970,0.35290,12.71674,0.42763,14.66837
Germany,1971,0.30540,12.59222,0.38849,14.26876
Germany,1972,0.27530,12.32244,0.33298,14.30490
Germany,1973,0.27284,12.59395,0.33222,15.53105
Germany,1974,0.31893,13.97994,0.48444,18.13210
Germany,1975,0.32544,13.69306,0.49894,16.49120
Germany,1976,0.37999,15.27034,0.48494,17.13763
Germany,1977,0.44869,15.10945,0.54281,16.86614
Germany,1978,0.35499,14.48314,0.51908,16.88119
Germany,1979,0.36250,15.93967,0.42986,17.12898
Germany,1980,0.37954,17.20128,0.41973,17.57940
Germany,1981,0.38753,17.84576,0.61017,18.90379
Germany,1982,0.40378,17.02844,0.58518,19.52772
Germany,1983,0.37907,16.97727,0.55120,19.04951
Germany,1984,0.47253,19.30627,0.58257,21.49261
Germany,1985,0.45675,19.86618,0.61521,23.03688
Germany,1986,0.37084,17.06599,0.50442,21.25620
Germany,1987,0.34601,16.65903,0.42818,20.98624
Germany,1988,0.39144,17.01151,0.41496,21.62820
Germany,1989,0.43972,18.30611,0.41873,22.67465
Germany,1990,0.41528,18.52127,0.38115,21.33840
Germany,1991,0.36081,19.83525,0.33901,19.84872
Germany,1992,0.32477,18.33819,0.36762,18.23231
Germany,1993,0.34324,15.97732,0.36998,16.39084
Germany,1994,0.36385,16.67826,0.39350,17.39915
Germany,1995,0.37201,17.30345,0.41644,18.31262
Germany,1996,0.38554,17.67855,0.43325,19.22867
Germany,1997,0.43267,19.33360,0.50068,21.37745
Germany,1998,0.43048,20.27712,0.46741,22.26159
Germany,1999,0.41259,20.81050,0.43983,22.88081
Germany,2000,0.49400,24.79702,0.35919,26.21535
Ghana,1962,1.23915,13.89884,0.25435,12.51159
Ghana,1963,0.70593,13.32874,0.20330,11.49141
Ghana,1964,0.38555,10.26702,0.25429,11.42010
Ghana,1965,0.31077,11.19624,0.19080,8.18310
Ghana,1966,0.34369,8.75293,0.18526,7.36655
Ghana,1967,0.44754,9.63931,0.28611,9.54886
Ghana,1968,0.48065,9.86796,0.22609,12.52935
Ghana,1969,0.35196,9.53788,0.26901,12.33074
Ghana,1970,0.42093,10.17862,0.24905,10.64117
Ghana,1971,0.34207,10.07202,0.15040,9.51907
Ghana,1972,0.29774,7.11451,0.16080,10.58600
Ghana,1973,0.45020,7.72777,0.21279,11.26495
Ghana,1974,0.35371,10.15618,0.26584,10.75335
Ghana,1975,0.27187,9.11489,0.31456,9.93195
Ghana,1976,0.19013,7.86075,0.17646,8.72192
Ghana,1977,0.21503,5.43435,0.18747,6.99934
Ghana,1978,0.03811,4.33081,0.07031,5.50301
Ghana,1979,0.20835,4.02972,0.08163,6.07251
Ghana,1980,0.00280,2.80161,0.01404,4.28193
Ghana,1981,0.03245,1.74870,0.03435,1.83404
Ghana,1982,0.00108,0.81539,0.01392,1.73810
Ghana,1983,0.00413,1.35407,0.00011,1.44022
Ghana,1984,0.13160,2.70435,0.19466,3.26484
Ghana,1985,0.11686,3.80806,0.01673,4.99786
Ghana,1986,0.02941,5.61268,0.15674,7.63157
Ghana,1987,0.05196,8.48272,0.20957,11.19830
Ghana,1988,0.07425,8.47399,0.13167,10.67300
Ghana,1989,0.15180,9.23574,0.06376,10.49310
Ghana,1990,0.19040,9.25911,0.06236,11.68303
Ghana,1991,0.20125,8.49976,0.04070,10.69457
Ghana,1992,0.32511,9.32681,0.05253,8.81467
Ghana,1993,0.26638,12.69240,0.24250,10.41499
Ghana,1994,0.28289,14.04832,0.20025,15.58107
Ghana,1995,0.29740,14.84272,0.28196,13.40194
Ghana,1996,0.49315,18.06064,0.04877,13.21855
Ghana,1997,0.51517,18.62400,0.10877,12.39070
Ghana,1998,0.56185,16.46361,0.08798,13.30143
Ghana,1999,0.59569,15.06035,0.13211,12.33198
Ghana,2000,0.11986,19.94631,0.02185,15.22531
Greece,1962,0.24312,11.59725,0.10449,4.25663
Greece,1963,0.31232,11.37841,0.06593,3.76093
Greece,1964,0.26629,11.51845,0.06826,3.87376
Greece,1965,0.38181,12.52375,0.10904,3.68799
Greece,1966,0.30356,12.11852,0.16115,3.96641
Greece,1967,0.28906,10.72237,0.12324,4.44470
Greece,1968,0.21607,11.54598,0.08962,4.45976
Greece,1969,0.21502,11.69905,0.06392,4.29231
Greece,1970,0.19818,13.41125,0.09655,4.79721
Greece,1971,0.21141,12.92905,0.10246,4.78713
Greece,1972,0.22155,12.37567,0.09706,5.29645
Greece,1973,0.22795,14.38209,0.14419,6.33274
Greece,1974,0.43353,15.04206,0.20603,7.64396
Greece,1975,0.67466,16.38598,0.33664,8.25610
Greece,1976,0.79437,17.07489,0.36426,8.13239
Greece,1977,0.49521,17.06959,0.36695,8.04491
Greece,1978,0.61354,15.15106,0.45869,7.75642
Greece,1979,1.03771,14.86443,0.53989,8.63231
Greece,1980,2.04971,15.36827,0.71243,9.40884
Greece,1981,1.29135,13.87093,0.87429,9.33883
Greece,1982,0.55327,16.52906,0.75896,7.84195
Greece,1983,0.20841,17.12171,0.49631,9.02768
Greece,1984,0.21969,17.35502,0.52379,10.29968
Greece,1985,0.28414,17.99138,0.44031,10.33475
Greece,1986,0.45622,17.91545,0.35949,10.05018
Greece,1987,0.45096,17.58960,0.35680,10.60779
Greece,1988,0.18914,14.82534,0.23518,9.81601
Greece,1989,0.27880,18.99897,0.26647,10.45989
Greece,1990,0.22260,19.14515,0.20574,9.04882
Greece,1991,0.25750,19.55939,0.16773,8.11712
Greece,1992,0.45366,19.11869,0.19387,7.49690
Greece,1993,0.55267,19.27953,0.23716,7.09762
Greece,1994,0.69585,17.34390,0.27583,7.24741
Greece,1995,0.48885,18.07448,0.28295,7.00239
Greece,1996,0.73863,18.17249,0.27588,7.07208
Greece,1997,0.61195,17.77694,0.29393,6.95405
Greece,1998,0.58014,19.86351,0.24459,6.32003
Greece,1999,0.40950,19.53149,0.21002,6.49780
Greece,2000,0.52702,21.34347,0.24479,7.50088
Greenland,1970,,9.30491,,3.74830
Greenland,1971,,3.63222,,4.17309
