Entity,Year,"Number of people without access to safe drinking water (WHO Wash, 2019)","Number of people without access to safe sanitation (WHO Wash, 2019)"
Iceland,2001,28875.07649,90170.51799
Iceland,2002,27088.69795,90710.20851
Iceland,2003,24590.24684,90604.01391
Iceland,2004,22332.8084,90847.72948
Iceland,2005,21770.083,92922.59547
Iceland,2006,23100.92972,97053.81011
Iceland,2007,24753.55,101655.5436
Iceland,2008,24328.53117,104258.5047
Iceland,2009,19382.5776,102313.6087
Iceland,2010,13411.69853,99236.35231
Iceland,2011,9517.732364,98084.46856
Iceland,2012,6908.307773,98083.44957
Iceland,2013,5998.005236,99699.92908
Iceland,2014,5694.893982,101931.5388
Iceland,2015,7053.115227,103847.9164
Iran,2000,6126586.467,66131854
Iran,2001,6153079.829,67096414
Iran,2002,6172580.675,67983330
Iran,2003,6186981.789,68812713
Iran,2004,6198871.051,69617100
Iran,2005,6264219.695,70421811
Iran,2006,6331910.105,71227880
Iran,2007,6405908.728,72031103
Iran,2008,6483940.444,72845542
Iran,2009,6563536.515,73687565
Iran,2010,6644340.888,74567511
Iran,2011,6726794.985,75491582
Iran,2012,6810848.041,76453574
Iran,2013,6896889.178,77435384
Iran,2014,6983644.016,78411092
Iran,2015,7070320.937,79360487
Iraq,2000,,18652432.09
Iraq,2001,,19082953.58
Iraq,2002,,19508581.88
Iraq,2003,,19928439.93
Iraq,2004,,20342091.12
Iraq,2005,,20599415.88
Iraq,2006,,20839618.26
Iraq,2007,,21066596.79
Iraq,2008,,21298633.65
Iraq,2009,,21558993.94
Iraq,2010,,21861554.31
Iraq,2011,,22211164.11
Iraq,2012,,22597057.25
Iraq,2013,,22998112.53
Iraq,2014,,23745061.35
Iraq,2015,,24482994.43
Ireland,2000,280754.4767,2428568.006
Ireland,2001,267178.0078,2382796.13
Ireland,2002,251631.2969,2332318.512
Ireland,2003,228406.7014,2273500.721
Ireland,2004,207916.1286,2217063.77
Ireland,2005,197631.8227,2167426.954
Ireland,2006,204472.9245,2133803.279
Ireland,2007,217785.3497,2104450.996
Ireland,2008,198320.5324,2036701.263
Ireland,2009,145669.4751,1926449.23
Ireland,2010,90189.34376,1802303.996
Ireland,2011,51908.1018,1684180.143
Ireland,2012,32498.82177,1576098.669
Ireland,2013,29260.11308,1479158.62
Ireland,2014,35144.55894,1396964.311
Ireland,2015,66223.73852,1407509.279
Isle of Man,2011,-1128.392265,80759
Isle of Man,2012,-1164.838038,81406
Isle of Man,2013,-1215.29362,82013
Isle of Man,2014,-1278.422408,82590
Isle of Man,2015,-1330,83167
Israel,2000,311972.6371,1547002.649
Israel,2001,346412.878,1546383.592
Israel,2002,367850.3115,1529400.186
Israel,2003,377677.6482,1498738.444
Israel,2004,378422.2745,1458322.6
Israel,2005,366705.4297,1405405.562
Israel,2006,340068.4996,1337582.928
Israel,2007,301554.6482,1257012.025
Israel,2008,258264.2288,1169383.7
Israel,2009,266940.0804,1129926.863
Israel,2010,248496.2448,1058808.997
Israel,2011,248602.3374,1001769.764
Israel,2012,262929.4927,955134.5091
Israel,2013,289370.6898,917453.4699
Israel,2014,324647.8463,886113.3425
Israel,2015,365254.6196,857933.5119
Italy,2000,7529827.795,56942108
Italy,2001,7051943.936,56974100
Italy,2002,6550623.235,57059007
Italy,2003,6171281.551,57313203
Italy,2004,5905922.67,57685327
Italy,2005,5581972.608,57969484
Italy,2006,5187901.602,1740521.591
Italy,2007,4947767.506,1846962.652
Italy,2008,4835163.495,2085443.578
Italy,2009,4630640.653,2235535.681
Italy,2010,4362872.987,2325098.325
Italy,2011,4041365.622,2363246.804
Italy,2012,3807157.455,2490529.884
Italy,2013,4130035.647,3175870.451
Italy,2014,4652319.657,3737146.265
Italy,2015,4712900.473,3667831.715
Japan,2000,5235314.499,3373186.273
Japan,2001,5290172.188,3195319.437
Japan,2002,5319952.091,2999360.835
Japan,2003,5327540.683,2804028.767
Japan,2004,5129484.731,2418853.513
Japan,2005,4889301.637,2053419.888
Japan,2006,4764273.975,1812230.621
Japan,2007,4748102.858,1689055.131
Japan,2008,4690978.81,1534237.9
Japan,2009,4599326.082,1354296.366
Japan,2010,4589391.322,1265546.03
Japan,2011,4363931.79,970862.5082
Japan,2012,4216351.646,763716.5065
Japan,2013,4129437.075,676735.8312
Japan,2014,4092183.172,705805.8799
Japan,2015,4118910.998,822825.921
Jordan,2000,613591.7734,1447851.194
Jordan,2001,628901.6208,1470030.406
Jordan,2002,642347.965,1490090.233
Jordan,2003,657167.5926,1515424.832
Jordan,2004,677687.2654,1553128.004
Jordan,2005,707763.4919,1605763.231
Jordan,2006,745953.7798,1672325.854
Jordan,2007,793225.494,1753045.141
Jordan,2008,858364.4425,1854866.108
Jordan,2009,952622.7743,1986525.898
Jordan,2010,1082557.062,2152590.368
Jordan,2011,1252075.993,2356516.225
Jordan,2012,1454774.656,2592019.889
Jordan,2013,1673792.261,2841412.373
Jordan,2014,1885946.175,3080598.844
Jordan,2015,2074093.715,3291604.352
Kuwait,2000,121271,121271
Kuwait,2001,119333,119333
Kuwait,2002,101618,101618
Kuwait,2003,73125,73125
Kuwait,2004,41595,41595
Kuwait,2005,13019,13019
Kuwait,2006,-12240,-12240
Kuwait,2007,-35181,-35181
Kuwait,2008,-52950,-52950
Kuwait,2009,-62304,-62304
Kuwait,2010,-61390,-61390
Kuwait,2011,-48130,-48130
Kuwait,2012,-24025,-24025
Kuwait,2013,4696,4696
Kuwait,2014,29329,29329
Kuwait,2015,43679,43679
Kyrgyzstan,2000,2601783.664,4898400
Kyrgyzstan,2001,2628403.323,4945100
Kyrgyzstan,2002,2648784.559,4990700
Kyrgyzstan,2003,2679185.925,5043300
Kyrgyzstan,2004,2716515.687,5104700
Kyrgyzstan,2005,2672440.5,5162600
Kyrgyzstan,2006,2617271.859,5218400
Kyrgyzstan,2007,2547762.827,5268400
Kyrgyzstan,2008,2470090.513,5318700
Kyrgyzstan,2009,2399144.919,5383300
Kyrgyzstan,2010,2320970.027,5447900
Kyrgyzstan,2011,2237350.707,5514600
Kyrgyzstan,2012,2171640.81,5607200
Kyrgyzstan,2013,2118796.307,5719600
Kyrgyzstan,2014,2064409.314,5835500
Kyrgyzstan,2015,2018086.317,5956900
Latvia,2000,441395.4411,667954.4718
Latvia,2001,432502.7918,657027.8566
Latvia,2002,427361.3678,645524.1687
Latvia,2003,428099.884,639659.6311
Latvia,2004,426332.8537,630781.374
Latvia,2005,424601.3296,622114.8508
Latvia,2006,426121.1572,609459.2637
Latvia,2007,429506.2655,599154.827
Latvia,2008,427485.1934,583773.0926
Latvia,2009,412633.0462,555877.7887
Latvia,2010,389247.5404,519746.4502
Latvia,2011,372211.9876,490242.2023
Latvia,2012,367422.563,473280.8345
Latvia,2013,365449.4984,459308.0451
Latvia,2014,364444.5839,446242.8878
Latvia,2015,362974.2574,433125.331
Lebanon,2000,1812178.628,2709961.727
Lebanon,2001,1873988.841,2814237.564
Lebanon,2002,1956592.628,2950750.803
Lebanon,2003,2047080.088,3089464.151
Lebanon,2004,2127456.648,3213130.593
Lebanon,2005,2186112.01,3304168.813
Lebanon,2006,2215350.844,3350696.005
Lebanon,2007,2221949.53,3362829.922
Lebanon,2008,2225907.947,3371057.844
Lebanon,2009,2254968.933,3417816.243
Lebanon,2010,2327069.901,3530577.738
Lebanon,2011,2449505.316,3720938.838
Lebanon,2012,2611024.704,3971640.618
Lebanon,2013,2788440.711,4246166.515
Lebanon,2014,2949418.851,4493474.598
Lebanon,2015,3070976.081,4677242.003
Libya,2000,,3831081.351
Libya,2001,,3889889.693
Libya,2002,,3951117.986
Libya,2003,,4013609.46
Libya,2004,,4075547.379
Libya,2005,,4135390.08
Libya,2006,,4207638.038
Libya,2007,,4279138.587
Libya,2008,,4346450.035
Libya,2009,,4404916.797
Libya,2010,,4451742.339
Libya,2011,,4484363.165
Libya,2012,,4505086.28
Libya,2013,,4521990.559
Libya,2014,,4546482.465
Libya,2015,,4586705.326
Liechtenstein,2000,4,228.6535
Liechtenstein,2001,8,235.22525
Liechtenstein,2002,23,252.46625
Liechtenstein,2003,31,262.4575
Liechtenstein,2004,27,260.34075
Liechtenstein,2005,0,235.251
Liechtenstein,2006,-46,191.20175
Liechtenstein,2007,-109,130.15925
Liechtenstein,2008,-180,61.11675
Liechtenstein,2009,-238,5.027
Liechtenstein,2010,-273,-28.137
Liechtenstein,2011,-273,-26.37525
Liechtenstein,2012,-246,2.33925
Liechtenstein,2013,-206,44.02
Liechtenstein,2014,-159,92.6805
Liechtenstein,2015,-128,125.33425
Lithuania,2000,1032158.409,1610056.144
Lithuania,2001,1008891.095,1579428.113
Lithuania,2002,986043.0515,1549488.276
Lithuania,2003,963529.5295,1519861.969
Lithuania,2004,892475.7152,1481644.895
Lithuania,2005,808311.732,1429240.574
Lithuania,2006,729652.8323,1381122.486
Lithuania,2007,668553.5401,1349436.668
Lithuania,2008,616585.3803,1325661.569
Lithuania,2009,566031.6957,1302104.037
Lithuania,2010,488415.2183,1250308.419
Lithuania,2011,410733.9253,1197002.071
Lithuania,2012,364777.1454,1174790.816
Lithuania,2013,329209.3702,1162995.165
Lithuania,2014,294641.0431,1156710.328
Lithuania,2015,265573.804,1143267.177
Luxembourg,2000,8469.74427,29614.41326
Luxembourg,2001,9642.414349,30820.2094
Luxembourg,2002,10799.54507,32026.49495
Luxembourg,2003,12702.12347,33982.37373
Luxembourg,2004,14718.96292,36098.16426
Luxembourg,2005,15846.3497,37397.78335
Luxembourg,2006,15742.86012,37544.89682
Luxembourg,2007,14083.26265,36203.33222
Luxembourg,2008,12531.68974,35024.4314
Luxembourg,2009,10666.68989,33568.31536
Luxembourg,2010,8392.480354,31721.6225
Luxembourg,2011,7890.217843,31665.99398
Luxembourg,2012,8194.498682,32436.08061
Luxembourg,2013,8404.438483,33109.24756
Luxembourg,2014,9864.538104,35001.21221
Luxembourg,2015,12781.03967,38299.12987
Macao,2000,-3798.4279,427979
Macao,2001,124.4264,438081
Macao,2002,4851.2534,448896
Macao,2003,9528.2262,460147
Macao,2004,13001.84627,471453
Macao,2005,14530.58383,482559
Macao,2006,13705.39025,493320
Macao,2007,10907.07443,503823
Macao,2008,7172.380412,514348
Macao,2009,3998.060864,525313
Macao,2010,2424.003939,536969
Macao,2011,2828.234321,549439
Macao,2012,4828.846873,562531
Macao,2013,7834.920073,575841
Macao,2014,10905.5276,588781
Macao,2015,13362.70936,600942
Macedonia,2000,204147.8377,2034819
Macedonia,2001,204223.6177,2042842
Macedonia,2002,204562.9975,2048928
Macedonia,2003,205003.4594,2053426
Macedonia,2004,205299.1355,2057047
Macedonia,2005,199041.5399,2060272
Macedonia,2006,192135.1876,2063145
Macedonia,2007,184714.6569,2065458
Macedonia,2008,176915.6679,2067378
Macedonia,2009,168905.5165,2069093
Macedonia,2010,189347.6187,2070739
Macedonia,2011,223940.249,2072383
Macedonia,2012,258716.7717,2074036
Macedonia,2013,293724.8674,2075739
Macedonia,2014,318767.8348,2077495
Macedonia,2015,344011.5787,2079308
Malaysia,2000,1228266.855,4904506.872
Malaysia,2001,1249396.794,4956151.801
Malaysia,2002,1336090.121,5007583.165
Malaysia,2003,1427858.995,5057910.434
Malaysia,2004,1519176.347,5105914.73
Malaysia,2005,1608452.698,5151225.992
Malaysia,2006,1693368.326,5191673.422
Malaysia,2007,1775139.51,5228309.099
Malaysia,2008,1859832.824,5267127.716
Malaysia,2009,1955879.928,5316487.717
Malaysia,2010,2068454.419,5381393.632
Malaysia,2011,2200766.261,5465250.478
Malaysia,2012,2349275.968,5565335.03
Malaysia,2013,2503467.654,5671117.155
Malaysia,2014,2648630.257,5771863.721
Malaysia,2015,2774360.605,5874087.073
Malta,2000,2984.436,29751.48
Malta,2001,3782.8646,30698.06133
Malta,2002,4899.2296,31944.73093
Malta,2003,5801.798857,32965.44472
Malta,2004,6583.5164,33878.7662
Malta,2005,6853.455429,34307.45422
Malta,2006,5541.680343,33188.34435
Malta,2007,3786.197486,31652.24544
Malta,2008,3137.9456,31232.53049
Malta,2009,3165.79,31472.82948
Malta,2010,2620.598857,31105.96584
Malta,2011,2382.291429,31006.05202
Malta,2012,4633.860914,33362.16468
Malta,2013,9434.327029,38241.61732
Malta,2014,17061.76391,45935.96127
Malta,2015,26622.24,55561.35715
Martinique,2000,-366833.7816,0
Martinique,2001,-369674.4785,0
Martinique,2002,-372125.6104,0
Martinique,2003,-374100.9232,0
Martinique,2004,-375519.8498,0
Martinique,2005,-379063.9256,0
Martinique,2006,-382027.7366,0
Martinique,2007,-384371.2416,0
Martinique,2008,-386365.7485,0
Martinique,2009,-388394.9985,0
Martinique,2010,-390745.081,0
Martinique,2011,-393544.7193,0
Martinique,2012,-394136.5609,0
Martinique,2013,-394806.5435,0
Martinique,2014,-395408.9208,0
Martinique,2015,-395746.9834,0
Mayotte,2008,-166249.16,0
Mayotte,2009,-171520.041,0
Mayotte,2010,-176788.381,0
Mayotte,2011,-182040.628,0
Mayotte,2012,-187291.181,0
Mayotte,2013,-192563.756,0
Mayotte,2014,-197888.845,0
Mayotte,2015,-203292.705,0
Mexico,2000,61913144.1,81736658.39
Mexico,2001,62415511.88,81267701.46
Mexico,2002,62890387.32,80681614.15
Mexico,2003,63368610.15,80021237.48
Mexico,2004,63889399.19,79338192.99
Mexico,2005,64479114.07,78662982.43
Mexico,2006,65148963.53,78003359.88
Mexico,2007,65887738.56,77338065.77
Mexico,2008,66670450.81,76631333.88
Mexico,2009,67460981.3,75836963.01
Mexico,2010,68232368.99,74922944.62
Mexico,2011,68977788.24,73882011.03
Mexico,2012,69702429.76,72720535.66
Mexico,2013,70406556.13,71439256.7
Mexico,2014,71093494.15,70041606.9
Mexico,2015,71765373.51,68529172.69
Moldova,2000,2112031.313,3639592
Moldova,2001,2012080.6,3631462
Moldova,2002,1909422.129,3623062
Moldova,2003,1803283.865,3612874
Moldova,2004,1698384.832,3603945
Moldova,2005,1595102.221,3595187
Moldova,2006,1492809.977,3585209
Moldova,2007,1394058.201,3576910
Moldova,2008,1297766.48,3570108
Moldova,2009,1202952.216,3565604
Moldova,2010,1106858.764,3562045
Moldova,2011,1009358.594,3559986
Moldova,2012,910866.8636,3559519
Moldova,2013,810118.0627,3558566
Moldova,2014,707873.1192,3556397
Moldova,2015,707630.859,3554108
Monaco,2000,1,1
Monaco,2001,-4,-4
Monaco,2002,-19,-19
Monaco,2003,-27,-27
Monaco,2004,-25,-25
Monaco,2005,-15,-15
Monaco,2006,24,24
Monaco,2007,65,65
Monaco,2008,122,122
Monaco,2009,183,183
Monaco,2010,249,249
Monaco,2011,308,308
Monaco,2012,379,379
Monaco,2013,443,443
Monaco,2014,509,509
Monaco,2015,576,576
Montenegro,2006,100535.3162,615025
Montenegro,2007,91356.41815,615875
Montenegro,2008,82346.36648,616969
Montenegro,2009,73522.85146,618294
Montenegro,2010,64491.63348,619428
Montenegro,2011,62527.48244,620079
Montenegro,2012,61588.96245,620601
Montenegro,2013,61269.08425,621207
Montenegro,2014,61079.24,621810
Montenegro,2015,60782.12643,622159
Morocco,2000,12991954.34,19809559.69
Morocco,2001,12890040.98,19891564.2
Morocco,2002,12791873.39,19973901.64
Morocco,2003,12696263.13,20056892.95
Morocco,2004,12599694.38,20139939.32
Morocco,2005,12470733.93,20242108.28
Morocco,2006,12331718.45,20344875.79
Morocco,2007,12190116.55,20450837.15
Morocco,2008,12048436.43,20564154.94
Morocco,2009,11910329.12,20690211.33
Morocco,2010,11777600.62,20832220.57
Morocco,2011,11650491.48,20991543.69
Morocco,2012,11526699.23,21165470.13
Morocco,2013,11404046.85,21348387.49
Morocco,2014,11279768.57,21532642.87
Morocco,2015,11151842.02,21712563.48
Nepal,2000,18043505.26,23740911
Nepal,2001,18314853.43,24161777
Nepal,2002,18582145.36,24566342
Nepal,2003,18833923.96,24950623
Nepal,2004,19064799.77,25309449
Nepal,2005,19271872.08,25640287
Nepal,2006,19452935.02,25940618
Nepal,2007,19611772.34,26214847
Nepal,2008,19758679.92,26475859
Nepal,2009,19907696.24,26741103
Nepal,2010,20068795.27,27023137
Nepal,2011,20246003.12,27327147
Nepal,2012,20436509.73,27649925
Nepal,2013,20635372.12,27985310
Nepal,2014,20834592.31,28323241
Nepal,2015,21028379.03,28656282
Netherlands,2000,31518.00531,445967.0448
Netherlands,2001,62313.19111,477860.4267
Netherlands,2002,73482.87451,489970.3055
Netherlands,2003,59349.9562,476777.8149
Netherlands,2004,30343.86378,448611.4081
Netherlands,2005,-9319.259903,409620.9314
Netherlands,2006,-52045.29846,367416.6832
Netherlands,2007,-77873.77465,341988.3346
Netherlands,2008,-70302.77763,349852.8277
Netherlands,2009,-40310.79857,380110.3233
Netherlands,2010,-11191.19204,409532.2619
Netherlands,2011,8712.405282,429812.4725
Netherlands,2012,11664.90021,433193.3747
Netherlands,2013,1819.093612,423811.3376
Netherlands,2014,4058.449793,426527.7592
Netherlands,2015,22593.44224,445526.0146
New Caledonia,2000,32151.54371,213230
New Caledonia,2001,32876.57402,217324
New Caledonia,2002,33768.4563,221490
New Caledonia,2003,32580.38937,225296
New Caledonia,2004,31020.32187,228750
New Caledonia,2005,29464.14808,232250
New Caledonia,2006,27860.81821,235750
New Caledonia,2007,26215.92942,239250
New Caledonia,2008,24533.4599,242750
New Caledonia,2009,22519.3673,245950
New Caledonia,2010,21079.81729,249750
New Caledonia,2011,20414.6292,254350
New Caledonia,2012,19766.98259,259000
New Caledonia,2013,19081.70235,263650
New Caledonia,2014,18096.68213,268050
New Caledonia,2015,17004.23059,272400
New Zealand,2000,899634.8615,945644.3019
New Zealand,2001,885114.7464,930518.6335
New Zealand,2002,911112.4623,955950.3604
New Zealand,2003,944961.1623,989240.7387
New Zealand,2004,960345.4605,1004032.097
New Zealand,2005,963872.2178,1006902.621
New Zealand,2006,872686.3431,1016335.43
New Zealand,2007,769436.172,1016088.994
New Zealand,2008,663128.1813,1014942.574
New Zealand,2009,564449.5274,1023305.749
New Zealand,2010,472363.2768,1039853.073
New Zealand,2011,367600.891,1044947.455
New Zealand,2012,255719.2113,1043896.408
New Zealand,2013,154145.0714,1054249.028
New Zealand,2014,83947.9208,1097566.725
New Zealand,2015,67174,1157111.139
Nicaragua,2000,2289988.257,5026796
Nicaragua,2001,2276303.597,5100750
Nicaragua,2002,2260460.111,5171734
Nicaragua,2003,2265999.678,5240879
Nicaragua,2004,2288309.632,5309703
Nicaragua,2005,2310787.877,5379328
Nicaragua,2006,2333304.884,5450211
Nicaragua,2007,2355794.21,5522106
Nicaragua,2008,2378025.13,5594506
Nicaragua,2009,2399608.262,5666581
Nicaragua,2010,2420304.621,5737723
Nicaragua,2011,2440063.289,5807820
Nicaragua,2012,2458971.8,5877108
Nicaragua,2013,2477075.733,5945747
Nicaragua,2014,2494456.849,6013997
Nicaragua,2015,2511196.584,6082035
Niger,2000,,10897623.79
Niger,2001,,11264264.18
Niger,2002,,11642267.04
Niger,2003,,12033178.74
Niger,2004,,12444937.81
Niger,2005,,12873923.98
Niger,2006,,13320701.09
Niger,2007,,13785442.38
Niger,2008,,14268916.05
Niger,2009,,14771759.26
Niger,2010,,15294530.75
Niger,2011,,15837734.79
Niger,2012,,16401509.94
Niger,2013,,16985244.87
Niger,2014,,17587963.99
Niger,2015,,18199140.27
Nigeria,2000,101740483.7,122352009
Nigeria,2001,103628318.1,125463434
Nigeria,2002,105870463.4,128666710
Nigeria,2003,108201181.1,131972533
Nigeria,2004,110631515.9,135393616
Nigeria,2005,113170068,138939478
Nigeria,2006,115820508.5,142614094
Nigeria,2007,118583016.3,146417024
Nigeria,2008,121471537.9,150347390
Nigeria,2009,124574517.1,154402181
Nigeria,2010,127800555.3,158578261
Nigeria,2011,131155188.7,162877076
Nigeria,2012,134639935.5,167297284
Nigeria,2013,138250977.6,171829303
Nigeria,2014,141982311.3,176460502
Nigeria,2015,145830542.2,181181744
Niue,2000,-1866.496189,0
Niue,2001,-1815.413135,0
Niue,2002,-1768.259547,0
Niue,2003,-1725.035425,0
Niue,2004,-1687.705501,0
Niue,2005,-1654.359188,0
Niue,2006,-1628.9262,0
Niue,2007,-1610.400374,0
Niue,2008,-1597.780078,0
Niue,2009,-1589.091514,0
Niue,2010,-1581.394382,0
Niue,2011,-1574.685283,0
Niue,2012,-1569.934117,0
Niue,2013,-1565.189751,0
Niue,2014,-1565.189751,0
Niue,2015,-1565.189751,0
Northern Mariana Islands,2000,16360.13683,69094
Northern Mariana Islands,2001,16338.29322,69388
Northern Mariana Islands,2002,15937.81752,68763
Northern Mariana Islands,2003,15299.08106,67422
Northern Mariana Islands,2004,13175.09041,65663
Northern Mariana Islands,2005,11239.73801,63744
Northern Mariana Islands,2006,10577.08166,61688
Northern Mariana Islands,2007,10383.36254,59513
Northern Mariana Islands,2008,10288.04186,57431
Northern Mariana Islands,2009,10206.44171,55674
Northern Mariana Islands,2010,10097.86109,54424
Northern Mariana Islands,2011,9951.999287,53786
Northern Mariana Islands,2012,9795.033922,53718
Northern Mariana Islands,2013,9655.794807,54036
Northern Mariana Islands,2014,9534.164744,54468
Northern Mariana Islands,2015,9446.34584,54816
Norway,2000,221579.0756,1095220.67
Norway,2001,222366.5936,1092324.577
Norway,2002,225716.1701,1091654.55
Norway,2003,229969.2856,1092052.186
Norway,2004,230150.2189,1089129.265
Norway,2005,228210.9092,1085130.421
Norway,2006,225156.387,1081147.13
Norway,2007,226746.8768,1082815.63
Norway,2008,233608.4855,1090507.086
Norway,2009,238420.9367,1096518.05
Norway,2010,241211.9506,1100579.972
Norway,2011,245590.4935,1106230.043
Norway,2012,249977.7786,1111860.773
Norway,2013,249302.4523,1112207.328
Norway,2014,245721.9221,1109214.518
Norway,2015,238987.6635,1102474.826
Oman,2001,600318.3003,2294787
Oman,2002,602115.652,2334285
Oman,2003,607025.7847,2385255
Oman,2004,618293.7478,2444751
Oman,2005,638864.9267,2511269
Oman,2006,637335.9443,2582991
Oman,2007,647679.0474,2662762
Oman,2008,659402.0963,2759014
Oman,2009,656238.1564,2882942
Oman,2010,625986.3954,3041460
Oman,2011,557730.3665,3237268
Oman,2012,455566.1651,3464644
Oman,2013,341205.1281,3711481
Oman,2014,248628.1923,3960925
Oman,2015,225681.215,4199810
Pakistan,2000,85842405.96,138523285
Pakistan,2001,87738548.47,141601437
Pakistan,2002,89622827.68,144654143
Pakistan,2003,91505477.79,147703401
Pakistan,2004,93399814.17,150780300
Pakistan,2005,95680496.26,153909667
Pakistan,2006,98003186.69,157093993
Pakistan,2007,100370171.6,160332974
Pakistan,2008,102796860.8,163644603
Pakistan,2009,105302215.2,167049580
Pakistan,2010,107898117.4,170560182
Pakistan,2011,110592511.1,174184265
Pakistan,2012,113378833.8,177911533
Pakistan,2013,116236364.8,181712595
Pakistan,2014,119134903.3,185546257
Pakistan,2015,122051547.3,189380513
Palau,2000,,15963.3474
Palau,2001,,16063.7236
Palau,2002,,16119.47805
Palau,2003,,16143.57471
Palau,2004,,16153.52987
Palau,2005,,16165.69355
Palau,2006,,16182.80542
Palau,2007,,16198.63552
Palau,2008,,16222.40991
Palau,2009,,16246.67901
Palau,2010,,16282.84436
Palau,2011,,16392.39225
Palau,2012,,16567.55456
Palau,2013,,16739.8148
Palau,2014,,16918.17796
Palau,2015,,17110.68025
Peru,2000,14253375.1,22010889.55
Peru,2001,14346168.46,22065955.5
Peru,2002,14433945.17,22105560.28
Peru,2003,14518060.01,22131802.65
Peru,2004,14600318.03,22147106.12
Peru,2005,14682233.16,22153418.57
Peru,2006,14763879.53,22150946.46
Peru,2007,14845977.73,22140220.47
Peru,2008,14929985.55,22123457.06
Peru,2009,15018539.44,22103278.9
Peru,2010,15112549.8,22080938.03
Peru,2011,15212971.52,22057071.95
Peru,2012,15318655.02,22029869.13
Peru,2013,15427276.81,21995251.37
Peru,2014,15535080.22,21947851.22
Peru,2015,15639471.97,21883796.65
Poland,2000,,11033848.47
Poland,2001,,10887357.39
Poland,2002,,10731297.08
Poland,2003,,10582684.81
Poland,2004,,10382441.21
Poland,2005,2043325.096,10183215.18
Poland,2006,2006239.59,9971401.14
Poland,2007,1966681.587,9758019.667
Poland,2008,1949472.855,9567296.49
Poland,2009,1952578.073,9396205.415
Poland,2010,1823420.867,9091756.119
Poland,2011,1826969.893,8918747.442
Poland,2012,1813718.072,8725071.977
Poland,2013,1783008.415,8531457.34
Poland,2014,1753975.594,8362842.298
Poland,2015,1736702.76,8201759.972
Portugal,2000,682233.8094,4149951.389
Portugal,2001,701772.947,4183197.158
Portugal,2002,705726.1672,4200996.577
Portugal,2003,692527.901,4201543.932
Portugal,2004,666164.5806,4188678.369
Portugal,2005,635974.0539,4171495.595
Portugal,2006,606231.5349,4154521.574
Portugal,2007,580298.1553,4140735.319
Portugal,2008,555757.1292,4126016.63
Portugal,2009,539346.5958,4114761.193
Portugal,2010,538768.9368,4109519.862
Portugal,2011,537240.5088,4096590.649
Portugal,2012,525629.5259,4067770.127
Portugal,2013,512769.7583,4031454.115
Portugal,2014,507626.8246,3998071.137
Portugal,2015,514466.3053,3975294.459
Puerto Rico,2000,,2592915.034
Puerto Rico,2001,,2600193.015
Puerto Rico,2002,,2606472.596
Puerto Rico,2003,,2611837.914
Puerto Rico,2004,,2616318.916
Puerto Rico,2005,,2614540.856
Puerto Rico,2006,,2601955.101
Puerto Rico,2007,,2583175.229
Puerto Rico,2008,,2564267.517
Puerto Rico,2009,,2546786.329
Puerto Rico,2010,,2530603.584
Puerto Rico,2011,,2490151.263
Puerto Rico,2012,,2447814.647
Puerto Rico,2013,,2407913.249
Puerto Rico,2014,,2350896.134
Puerto Rico,2015,,2290129.937
Qatar,2002,,86393.11233
Qatar,2003,,99542.87208
Qatar,2004,,113451.368
Qatar,2005,,127044.7503
Qatar,2006,,138982.7173
Qatar,2007,,149903.8525
Qatar,2008,,163955.997
Qatar,2009,,186500.8452
Qatar,2010,,220940.5365
Qatar,2011,,269164.9844
Qatar,2012,,328708.2064
Qatar,2013,,393245.7099
Qatar,2014,,453931.4175
Qatar,2015,,504367.5025
Romania,2000,1349274.394,22442971
Romania,2001,1176416.792,22131970
Romania,2002,900040.9347,21730496
Romania,2003,867149.3188,21574326
Romania,2004,810069.7294,21451748
Romania,2005,769766.9091,21319685
Romania,2006,766549.4554,11676772.53
Romania,2007,707637.6985,11263010.83
Romania,2008,839954.909,10805131.68
Romania,2009,1135067.351,10504389.47
Romania,2010,1455909.982,10229677.73
Romania,2011,1770800.348,9950179.589
Romania,2012,2072602.063,9655994.614
Romania,2013,2371395.697,9354125.36
Romania,2014,2659021.907,9033003.804
Romania,2015,2688616.538,8677564.881
Russia,2000,37145521.27,146596557
Russia,2001,36962545.49,145976083
Russia,2002,36701145.36,145306046
Russia,2003,36428807.6,144648257
Russia,2004,36173523.77,144067054
Russia,2005,35863401.06,143518523
Russia,2006,35530630.96,143049528
Russia,2007,35328408.57,142805088
Russia,2008,35232404.2,142742350
Russia,2009,35197329.7,142785342
Russia,2010,35162204.72,142849449
Russia,2011,35158114.5,142960868
Russia,2012,35262929.03,143201676
Russia,2013,35425204.51,143506911
Russia,2014,35605495.05,143819666
Russia,2015,35772412.71,144096870
Saint Pierre and Miquelon,2007,-5207.156712,0
Saint Pierre and Miquelon,2008,-5211.313127,0
Saint Pierre and Miquelon,2009,-5213.806976,0
Saint Pierre and Miquelon,2010,-5215.469542,0
Saint Pierre and Miquelon,2011,-5215.469542,0
Saint Pierre and Miquelon,2012,-5216.300825,0
Saint Pierre and Miquelon,2013,-5216.300825,0
Saint Pierre and Miquelon,2014,-5219.625957,0
Saint Pierre and Miquelon,2015,-5227.107504,0
San Marino,2000,-2,6065.6347
San Marino,2001,-9,6136.305735
San Marino,2002,-21,6206.40247
San Marino,2003,-26,6285.0482
San Marino,2004,-25,6368.144935
