Entity,Year,Imported deforestation (hectares),Exported deforestation (hectares),Net deforestation in trade (hectares)
Guadeloupe,2008,89.33718304,89.33718304,0
Guadeloupe,2009,89.33718304,89.33718304,0
Guadeloupe,2010,44.27705883,44.27705883,0
Guadeloupe,2011,31.79378411,31.79378411,0
Guadeloupe,2012,12985.89739,12306.57403,679
Guadeloupe,2013,22380.05684,21768.69665,611
Guatemala,2005,16053.63204,24524.50058,-8471
Guatemala,2006,9144.307773,15031.08492,-5887
Guatemala,2007,6745.662548,7669.469966,-924
Guatemala,2008,6038.004223,5280.001792,758
Guatemala,2009,7174.557098,6186.668035,988
Guatemala,2010,7305.872155,7080.010905,226
Guatemala,2011,8500.121199,7960,540
Guatemala,2012,26593.31215,26005.4235,588
Guatemala,2013,26955.96733,26430.72614,525
Guinea,2005,19320.37501,19918.88215,-599
Guinea,2006,18611.68358,19415.79415,-804
Guinea,2007,20210.71087,20717.82443,-507
Guinea,2008,23472.71735,23701.00532,-228
Guinea,2009,24189.07768,24480.89827,-292
Guinea,2010,24403.05797,24675.13276,-272
Guinea,2011,27858.98741,27863.69115,-5
Guinea,2012,3103.85383,3700.601675,-597
Guinea,2013,2489.957108,3055.408894,-565
Guinea-Bissau,2005,1063.202575,1305.949511,-243
Guinea-Bissau,2006,1312.850438,1433.467708,-121
Guinea-Bissau,2007,1540.774308,1672.950382,-132
Guinea-Bissau,2008,1972.109572,2176.826843,-205
Guinea-Bissau,2009,2206.260717,2825.795883,-620
Guinea-Bissau,2010,3488.360692,3733.199321,-245
Guinea-Bissau,2011,3471.576303,3974.373075,-503
Guinea-Bissau,2012,462.6794624,410.1137708,53
Guinea-Bissau,2013,605.6847713,613.6042743,-8
Guyana,2005,1145.488928,1046.883079,99
Guyana,2006,1122.401539,989.2581497,133
Guyana,2007,806.2466314,746.9121564,59
Guyana,2008,569.1565353,495.5325411,74
Guyana,2009,292.5793469,230.6176672,62
Guyana,2010,289.3797182,178.2197334,111
Guyana,2011,340.919386,283.7810015,57
Guyana,2012,3353.76291,2459.301069,894
Guyana,2013,3801.682558,2667.56147,1134
Haiti,2005,2501.149791,1979.658874,521
Haiti,2006,2371.480863,1715.918293,656
Haiti,2007,2220.600245,1708.071315,513
Haiti,2008,2543.758917,1934.423858,609
Haiti,2009,2777.895628,2004.612142,773
Haiti,2010,2816.926798,1912.672701,904
Haiti,2011,2934.608306,2017.286423,917
Haiti,2012,9310.834047,14344.19835,-5033
Haiti,2013,5964.524205,9649.602692,-3685
Honduras,2005,23276.75034,25394.01066,-2117
Honduras,2006,20036.37236,21214.33785,-1178
Honduras,2007,18665.01588,19642.70105,-978
Honduras,2008,16973.02171,18515.0545,-1542
Honduras,2009,18706.18243,20556.75205,-1851
Honduras,2010,17490.14884,21573.93773,-4084
Honduras,2011,12888.87365,18027.41154,-5139
Honduras,2012,2053.323727,80634.97913,-78582
Honduras,2013,1472.088672,80052.15364,-78580
Hong Kong,2005,7326.75472,,7327
Hong Kong,2006,7356.381728,,7356
Hong Kong,2007,7420.865801,,7421
Hong Kong,2008,8843.909488,,8844
Hong Kong,2009,9151.855428,,9152
Hong Kong,2010,8996.861122,,8997
Hong Kong,2011,8496.685724,,8497
Hong Kong,2012,14287.60812,,14288
Hong Kong,2013,23265.81547,,23266
Hungary,2005,3366.018842,,3366
Hungary,2006,3095.451362,,3095
Hungary,2007,2521.623624,,2522
Hungary,2008,2036.319964,,2036
Hungary,2009,2072.00062,,2072
Hungary,2010,1830.32732,,1830
Hungary,2011,2003.314803,,2003
Hungary,2012,117.4821567,,117
Hungary,2013,73.0235113,,73
Iceland,2005,120.0885746,,120
Iceland,2006,104.4109299,,104
Iceland,2007,103.8248486,,104
Iceland,2008,85.59085898,,86
Iceland,2009,103.8251662,,104
Iceland,2010,72.39375741,,72
Iceland,2011,85.12604342,,85
Iceland,2012,191469.7449,,191470
Iceland,2013,186212.1827,,186212
India,2005,108563.8081,60212.54312,48351
India,2006,125186.7557,61237.34546,63949
India,2007,148493.1403,65442.67276,83050
India,2008,182889.8762,73127.40416,109762
India,2009,211795.1822,74163.68737,137631
India,2010,152225.0182,71909.08325,80316
India,2011,175099.8879,76198.31702,98902
India,2012,446256.5,850992.3402,-404736
India,2013,416428.829,807782.333,-391354
Indonesia,2005,292650.0097,480973.1108,-188323
Indonesia,2006,310769.7451,573036.4683,-262267
Indonesia,2007,351561.9966,639973.7338,-288412
Indonesia,2008,383809.9565,735909.9813,-352100
Indonesia,2009,395896.2069,808665.2594,-412769
Indonesia,2010,442333.0345,803119.3448,-360786
Indonesia,2011,444937.376,807204.1363,-362267
Indonesia,2012,31829.74762,283.4137049,31546
Indonesia,2013,25756.0423,223.5049665,25533
Iran,2005,18415.27935,335.9905971,18079
Iran,2006,27107.1096,297.6115616,26809
Iran,2007,25436.09834,211.7167414,25224
Iran,2008,25613.64055,221.2596416,25392
Iran,2009,28911.14063,203.6706733,28707
Iran,2010,34090.6745,208.4591732,33882
Iran,2011,40635.60189,227.8734838,40408
Iran,2012,3956.055128,11.98803937,3944
Iran,2013,3061.902954,8.983211459,3053
Iraq,2005,1659.535699,11.15044247,1648
Iraq,2006,2028.609029,9.180573588,2019
Iraq,2007,1300.047821,9.122211575,1291
Iraq,2008,1858.665916,8.682815435,1850
Iraq,2009,2530.269927,10.98337178,2519
Iraq,2010,3010.964809,12.7924326,2998
Iraq,2011,3445.717219,12.20259639,3434
Iraq,2012,2855.634416,265.1942787,2590
Iraq,2013,2188.510696,274.5859391,1914
Ireland,2005,3986.104373,,3986
Ireland,2006,2869.811297,,2870
Ireland,2007,2604.295297,,2604
Ireland,2008,2351.811222,,2352
Ireland,2009,3112.952088,,3113
Ireland,2010,2582.092756,,2582
Ireland,2011,2317.719288,,2318
Ireland,2012,9989.334965,,9989
Ireland,2013,6007.09511,,6007
Israel,2005,9921.547085,47.71409045,9874
Israel,2006,10808.00414,72.8004484,10735
Israel,2007,10067.57455,82.88549026,9985
Israel,2008,10062.85745,76.66781347,9986
Israel,2009,10497.65349,82.25281375,10415
Israel,2010,9345.815312,72.68025281,9273
Israel,2011,10281.30261,263.8796237,10017
Israel,2012,45638.45207,8183.324594,37455
Israel,2013,40257.13621,5862.219809,34395
Italy,2005,51544.74185,7282.74155,44262
Italy,2006,52098.50557,7096.02769,45002
Italy,2007,47817.48039,7771.434191,40046
Italy,2008,44244.16794,10084.79295,34159
Italy,2009,57981.90994,12319.88125,45662
Italy,2010,52733.60862,10866.02271,41868
Italy,2011,47256.92665,9790.637476,37466
Italy,2012,1296.064032,159.0409083,1137
Italy,2013,1121.968197,215.036667,907
Jamaica,2005,1559.954122,439.589873,1120
Jamaica,2006,1145.563495,336.9205199,809
Jamaica,2007,985.9756837,240.0336591,746
Jamaica,2008,950.8845599,129.7446679,821
Jamaica,2009,736.7596368,124.0525272,613
Jamaica,2010,1139.697015,105.138959,1035
Jamaica,2011,1180.12168,128.616263,1052
Jamaica,2012,75784.44839,12921.8594,62863
Jamaica,2013,89868.54186,12673.86864,77195
Japan,2005,70682.77348,6019.379953,64663
Japan,2006,73058.46898,8570.961206,64488
Japan,2007,66319.87089,9891.105554,56429
Japan,2008,60726.94007,10882.73153,49844
Japan,2009,62582.31334,11244.97603,51337
Japan,2010,75139.48258,12401.91284,62738
Japan,2011,78573.49094,12742.92097,65831
Japan,2012,4411.739841,0.039180407,4412
Japan,2013,4781.079786,0.039193197,4781
Jordan,2005,3796.224156,0.626809535,3796
Jordan,2006,4041.363355,0.67911588,4041
Jordan,2007,2777.573881,0.718346276,2777
Jordan,2008,3862.400787,0.70525853,3862
Jordan,2009,3737.841848,0.24821074,3738
Jordan,2010,3337.456749,0.248189283,3337
Jordan,2011,3202.036259,0.091582423,3202
Jordan,2012,1298.019077,20227.99291,-18930
Jordan,2013,1315.376081,19209.72116,-17894
Kazakhstan,2005,1035.647188,,1036
Kazakhstan,2006,1507.668301,,1508
Kazakhstan,2007,1828.354755,,1828
Kazakhstan,2008,1747.315951,,1747
Kazakhstan,2009,864.3524865,,864
Kazakhstan,2010,376.0725574,,376
Kazakhstan,2011,1018.503032,,1019
Kazakhstan,2012,28834.05621,,28834
Kazakhstan,2013,26650.12427,,26650
Kenya,2005,19327.01804,17254.2931,2073
Kenya,2006,21357.62287,17698.26265,3659
Kenya,2007,23386.78815,16764.37273,6622
Kenya,2008,23601.38729,17968.06536,5633
Kenya,2009,25477.12038,18207.303,7270
Kenya,2010,27426.18928,20066.21895,7360
Kenya,2011,26051.05682,19379.90719,6671
Kenya,2012,84.9945024,51050.24735,-50965
Kenya,2013,86.50937946,47811.70997,-47725
Kiribati,2005,25.6872005,,26
Kiribati,2006,14.3002129,,14
Kiribati,2007,283.5488213,,284
Kiribati,2008,242.5459467,,243
Kiribati,2009,15.49302373,,15
Kiribati,2010,11.76166522,,12
Kiribati,2011,38.19665022,,38
Kiribati,2012,2544.315308,,2544
Kiribati,2013,2620.600627,,2621
Kuwait,2005,2423.52548,,2424
Kuwait,2006,2458.408328,,2458
Kuwait,2007,2165.206402,,2165
Kuwait,2008,2226.576927,,2227
Kuwait,2009,2136.093763,,2136
Kuwait,2010,1933.625047,,1934
Kuwait,2011,2488.790846,,2489
Kuwait,2012,127.2184418,,127
Kuwait,2013,150.4972314,,150
Kyrgyzstan,2005,64.98106716,,65
Kyrgyzstan,2006,109.1790486,,109
Kyrgyzstan,2007,112.5276679,,113
Kyrgyzstan,2008,121.7761495,,122
Kyrgyzstan,2009,88.05771792,,88
Kyrgyzstan,2010,121.5629873,,122
Kyrgyzstan,2011,132.071055,,132
Kyrgyzstan,2012,47829.86157,,47830
Kyrgyzstan,2013,43108.06372,,43108
Laos,2005,27964.85896,32193.09132,-4228
Laos,2006,29873.46622,36228.53704,-6355
Laos,2007,38711.65293,41776.95632,-3065
Laos,2008,44903.00399,49546.29181,-4643
Laos,2009,47349.56387,53897.55045,-6548
Laos,2010,48328.39715,55666.74955,-7338
Laos,2011,49617.16236,54341.23545,-4724
Laos,2012,663.3958602,213.07551,450
Laos,2013,637.8983807,172.3468012,466
Latvia,2005,595.6968525,,596
Latvia,2006,576.6807429,,577
Latvia,2007,474.2233897,,474
Latvia,2008,414.6201133,,415
Latvia,2009,332.1477425,,332
Latvia,2010,362.1774254,,362
Latvia,2011,394.4853931,,394
Latvia,2012,4241.570822,,4242
Latvia,2013,3548.052961,,3548
Lebanon,2005,5505.8991,175.6382603,5330
Lebanon,2006,4815.361251,147.3986092,4668
Lebanon,2007,4241.220742,185.9639054,4055
Lebanon,2008,3773.575154,243.6854638,3530
Lebanon,2009,5391.379063,273.6622827,5118
Lebanon,2010,4465.340444,236.6866675,4229
Lebanon,2011,5685.926474,233.1340899,5453
Lebanon,2012,866.7873486,3.259100128,864
Lebanon,2013,782.268398,3.366522418,779
Lesotho,2005,54.76088589,4.050034783,51
Lesotho,2006,121.3465447,4.249884015,117
Lesotho,2007,32.14321353,4.28754498,28
Lesotho,2008,18.63934493,4.720799361,14
Lesotho,2009,57.41348344,4.084617849,53
Lesotho,2010,11.54243107,3.85184927,8
Lesotho,2011,64.23655459,3.588621056,61
Lesotho,2012,10573.33647,15692.75412,-5119
Lesotho,2013,7244.660906,11835.53342,-4591
Liberia,2005,2920.731085,3490.897448,-570
Liberia,2006,4733.380471,5033.634441,-300
Liberia,2007,7743.404406,7690.716549,53
Liberia,2008,10892.50516,10852.04434,40
Liberia,2009,13875.5048,14215.62407,-340
Liberia,2010,14235.91937,17716.17642,-3480
Liberia,2011,12803.02996,19378.6001,-6576
Liberia,2012,4657.752083,7.26276974,4650
Liberia,2013,3435.659456,22.80691988,3413
Libya,2005,3438.079427,23.52229699,3415
Libya,2006,4000.957198,23.44327754,3978
Libya,2007,3375.223842,16.35650177,3359
Libya,2008,4451.019778,12.38231443,4439
Libya,2009,3893.358273,11.35720746,3882
Libya,2010,4126.003742,8.705822881,4117
Libya,2011,1905.000564,7.290289933,1898
Libya,2012,753.3194083,33767.5765,-33014
Libya,2013,538.7452288,21994.0826,-21455
Lithuania,2005,942.9440527,,943
Lithuania,2006,1010.297039,,1010
Lithuania,2007,800.4167415,,800
Lithuania,2008,775.8796465,,776
Lithuania,2009,1208.296954,,1208
Lithuania,2010,747.6977885,,748
Lithuania,2011,1079.446396,,1079
Lithuania,2012,662.6711529,,663
Lithuania,2013,490.4566007,,490
Luxembourg,2005,643.8807467,,644
Luxembourg,2006,768.2171886,,768
Luxembourg,2007,657.283148,,657
Luxembourg,2008,346.863247,,347
Luxembourg,2009,295.7366438,,296
Luxembourg,2010,323.033411,,323
Luxembourg,2011,419.0766267,,419
Luxembourg,2012,32440.3389,,32440
Luxembourg,2013,25723.32761,,25723
Macao,2005,428.9861648,,429
Macao,2006,377.2670473,,377
Macao,2007,334.7090002,,335
Macao,2008,393.1506785,,393
Macao,2009,442.2806328,,442
Macao,2010,365.1283409,,365
Macao,2011,443.7465136,,444
Macao,2012,624.1416912,,624
Macao,2013,398.3820031,,398
Macedonia,2005,1166.497068,,1166
Macedonia,2006,81098.31436,,81098
Macedonia,2007,72948.82548,,72949
Macedonia,2008,79319.53618,,79320
Macedonia,2009,82118.24127,,82118
Macedonia,2010,81744.30565,,81744
Macedonia,2011,324.4404499,,324
Macedonia,2012,2594.888821,,2595
Macedonia,2013,0.871573945,,1
Madagascar,2005,62603.82531,63173.95279,-570
Madagascar,2006,56901.71229,60586.91456,-3685
Madagascar,2007,64568.28417,67076.79611,-2509
Madagascar,2008,66108.89314,68294.33914,-2185
Madagascar,2009,68568.37031,71385.3123,-2817
Madagascar,2010,60279.41899,64801.12543,-4522
Madagascar,2011,48897.81256,51329.60826,-2432
Madagascar,2012,8837.874865,9065.313494,-227
Madagascar,2013,8896.267218,9154.601123,-258
Malawi,2005,6836.567329,7100.551364,-264
Malawi,2006,7563.13813,7822.771852,-260
Malawi,2007,7881.022534,8690.841913,-810
Malawi,2008,9945.960718,9370.163426,576
Malawi,2009,9013.976603,8944.240402,70
Malawi,2010,7332.555732,7486.723479,-154
Malawi,2011,7827.772444,8172.02987,-344
Malawi,2012,89415.92615,163239.4411,-73824
Malawi,2013,77126.14615,156977.576,-79851
Malaysia,2005,41159.08334,76398.22399,-35239
Malaysia,2006,42028.40206,77098.3371,-35070
Malaysia,2007,48503.62679,83364.94316,-34861
Malaysia,2008,56287.47893,96228.54718,-39941
Malaysia,2009,66381.10549,122724.8132,-56344
Malaysia,2010,70288.85856,144745.0415,-74456
Malaysia,2011,90316.66384,169381.7277,-79065
Malaysia,2012,198.2076802,365.2148274,-167
Malaysia,2013,263.196682,621.0984587,-358
Maldives,2005,125.3523949,1.866328867,123
Maldives,2006,242.4546219,0.917633278,242
Maldives,2007,172.9533986,379.6659208,-207
Maldives,2008,196.8446925,427.2899586,-230
Maldives,2009,103.5798353,,104
Maldives,2010,136.2243545,,136
Maldives,2011,210.9752534,,211
Maldives,2012,796.5291584,,797
Maldives,2013,728.1651675,,728
Mali,2005,711.5282359,376.6196791,335
Mali,2006,761.1162903,358.4248808,403
Mali,2007,1120.342253,0.162796823,1120
Mali,2008,1103.292465,0.350182907,1103
Mali,2009,672.6035742,389.1420448,283
Mali,2010,885.6096792,367.6323642,518
Mali,2011,703.4129369,388.2405727,315
Mali,2012,357.7119389,0.663112433,357
Mali,2013,290.2432964,0.475348169,290
Malta,2005,565.6262497,0.250487971,565
Malta,2006,453.4280546,,453
Malta,2007,401.4923826,90.5489748,311
Malta,2008,332.3074208,97.21564147,235
Malta,2009,294.9352338,0.688093143,294
Malta,2010,232.9539856,0.825539296,232
Malta,2011,278.0843612,0.825528548,277
Malta,2012,6.666666667,6.666666667,0
Malta,2013,916.9827377,36.81262673,880
Martinique,2005,41.05908228,41.05908228,0
Martinique,2006,59.30964782,59.30964782,0
Martinique,2007,90.5489748,0.310258003,90
Martinique,2008,97.21564147,0.029521681,97
Martinique,2009,97.21564147,97.21564147,0
Martinique,2010,56.15655918,56.15655918,0
Martinique,2011,37.90599365,37.90599365,0
Martinique,2012,1779.078605,36.81262674,1742
Martinique,2013,917.0572256,153809.1028,-152892
Mauritania,2005,419.126472,7.12017038,412
Mauritania,2006,354.9394864,0.310258003,355
Mauritania,2007,383.766201,18.66666667,365
Mauritania,2008,516.0610688,26.66666667,489
Mauritania,2009,794.7799022,0.01478019,795
Mauritania,2010,599.3584364,,599
Mauritania,2011,1033.838085,,1034
Mauritania,2012,1105.989316,,1106
Mauritania,2013,157759.0202,,157759
Mauritius,2005,971.4158138,2.666666666,969
Mauritius,2006,1414.902439,10.66666667,1404
Mauritius,2007,1004.117407,51661.19926,-50657
Mauritius,2008,1068.03121,50607.4826,-49539
Mauritius,2009,1175.035371,34.66666667,1140
Mauritius,2010,1197.742922,36.81262673,1161
Mauritius,2011,1546.971314,36.81262674,1510
Mauritius,2012,142928.1189,141999.1836,929
Mauritius,2013,110.2697697,1658.220299,-1548
Mexico,2005,55207.34263,54819.13186,388
Mexico,2006,49866.24442,49009.23909,857
Mexico,2007,51081.22485,1965.273878,49116
Mexico,2008,50116.21721,2239.977561,47876
Mexico,2009,98054.16464,99175.3322,-1121
Mexico,2010,124587.2461,124870.3302,-283
Mexico,2011,142897.8228,146305.839,-3408
Mexico,2012,123.7152907,2164.958094,-2041
Mexico,2013,114.9497895,58930.00175,-58815
Moldova,2005,646.6952797,,647
Moldova,2006,24398.53753,,24399
Moldova,2007,23710.31141,,23710
Moldova,2008,20995.02439,,20995
Moldova,2009,23397.47068,,23397
Moldova,2010,26943.64356,,26944
Moldova,2011,106.0865296,,106
Moldova,2012,159.0845844,,159
Moldova,2013,2909.67453,,2910
Mongolia,2005,76.55062847,,77
Mongolia,2006,77.88629575,,78
Mongolia,2007,178.28607,,178
Mongolia,2008,62.99612368,,63
Mongolia,2009,61.98738894,,62
Mongolia,2010,139.8871703,,140
Mongolia,2011,99.15021194,,99
Mongolia,2012,142.5770787,,143
Mongolia,2013,7946.451375,,7946
Morocco,2005,8730.935731,2179.085913,6552
Morocco,2006,100.2057011,2251.574275,-2151
Morocco,2007,78.82105599,138268.6249,-138190
Morocco,2008,104.2287051,157425.2124,-157321
Morocco,2009,110.2952492,2191.19509,-2081
Morocco,2010,96.42959817,2081.458553,-1985
Morocco,2011,94.59949034,2318.867532,-2224
Morocco,2012,12117.7565,88974.83955,-76857
Morocco,2013,52860.48755,55394.30993,-2534
Mozambique,2005,110226.2463,113327.3214,-3101
Mozambique,2006,7050.874146,130816.3945,-123766
Mozambique,2007,5550.430181,109657.6805,-104107
Mozambique,2008,6599.252955,118121.0261,-111522
Mozambique,2009,8522.959068,156944.0188,-148421
Mozambique,2010,7620.721631,139148.8559,-131528
Mozambique,2011,9218.127496,113816.6283,-104599
Mozambique,2012,85928.35495,66386.99753,19541
Mozambique,2013,54113.30464,111.1695526,54002
Myanmar,2005,69184.77333,76836.50266,-7652
Myanmar,2006,122794.1383,93487.56506,29307
Myanmar,2007,128142.7939,192.4510368,127950
Myanmar,2008,150761.9912,128.7476651,150633
Myanmar,2009,150322.3598,116735.4887,33587
Myanmar,2010,130734.1765,107407.6179,23327
Myanmar,2011,111139.6965,87404.97192,23735
Myanmar,2012,63287.45589,126.7761933,63161
Myanmar,2013,1515.256731,1246.073585,269
Namibia,2005,1042.752991,304.8544987,738
Namibia,2006,87156.49079,189.0776913,86967
Namibia,2007,103557.4601,2644.199751,100913
Namibia,2008,108595.7931,2570.032084,106026
Namibia,2009,104256.4137,147.3847359,104109
Namibia,2010,100972.9226,130.1452787,100843
Namibia,2011,82037.065,150.7301919,81886
Namibia,2012,1261.507813,1456.739404,-195
Namibia,2013,3304.916542,2.098783785,3303
Nepal,2005,2288.030388,2249.392834,39
Nepal,2006,1189.326935,2533.542466,-1344
Nepal,2007,3447.521839,33522.05831,-30075
Nepal,2008,3437.578094,41602.06937,-38164
Nepal,2009,333.7818183,2424.356288,-2091
Nepal,2010,801.0510889,2128.210891,-1327
Nepal,2011,692.728021,1744.639893,-1052
Nepal,2012,2577.655075,37600.8264,-35023
Nepal,2013,22079.52726,27890.86573,-5811
Netherlands,2005,34399.12677,,34399
Netherlands,2006,2620.300481,,2620
Netherlands,2007,2709.815452,,2710
Netherlands,2008,2647.470146,,2647
Netherlands,2009,3786.842328,,3787
Netherlands,2010,4308.386946,,4308
Netherlands,2011,3185.501587,,3186
Netherlands,2012,25951.38556,,25951
Netherlands,2013,94.42906738,,94
Netherlands Antilles,2005,669.3574285,,669
Netherlands Antilles,2006,27222.14733,,27222
Netherlands Antilles,2007,19295.68875,,19296
Netherlands Antilles,2008,21954.88259,,21955
Netherlands Antilles,2009,26094.20068,,26094
Netherlands Antilles,2010,18855.75788,,18856
Netherlands Antilles,2011,18540.44504,,18540
Netherlands Antilles,2012,87.79401491,,88
Netherlands Antilles,2013,3791.294155,,3791
New Caledonia,2005,151.0765965,82.82359038,68
New Caledonia,2006,780.0843405,,780
New Caledonia,2007,771.1572845,0.421331498,771
New Caledonia,2008,583.3386103,0.210220907,583
New Caledonia,2009,484.6726461,,485
New Caledonia,2010,348.0642802,,348
New Caledonia,2011,84.5844555,,85
New Caledonia,2012,3659.037239,,3659
New Caledonia,2013,14671.21844,,14671
New Zealand,2005,1522.231728,,1522
New Zealand,2006,78.97374952,,79
New Zealand,2007,78.93179316,,79
New Zealand,2008,63.15921074,,63
New Zealand,2009,64.10494214,,64
New Zealand,2010,90.97541003,,91
New Zealand,2011,3361.048982,,3361
New Zealand,2012,9075.614255,,9076
New Zealand,2013,454.3893325,,454
Nicaragua,2005,14666.59055,27004.49482,-12338
Nicaragua,2006,1391.057068,25945.9155,-24555
Nicaragua,2007,2527.442265,24426.24291,-21899
Nicaragua,2008,4917.407068,27769.79831,-22852
Nicaragua,2009,3080.633248,49884.19129,-46804
Nicaragua,2010,5068.468942,50424.13615,-45356
Nicaragua,2011,17184.40983,48026.25514,-30842
Nicaragua,2012,514.3352863,0.123340287,514
Nicaragua,2013,53955.25063,0.131998518,53955
Niger,2005,745.4161118,0.705744022,745
Niger,2006,14011.90956,0.630617695,14011
Niger,2007,18923.6191,1047.081156,17877
Niger,2008,23038.94002,0.013847941,23039
Niger,2009,25772.83401,0.08995105,25773
Niger,2010,24817.96975,0.105409329,24818
Niger,2011,510.2334031,0.091545784,510
Niger,2012,51021.22328,45492.90764,5528
Niger,2013,1239.809105,48512.7783,-47273
Nigeria,2005,30219.73428,29202.81054,1017
Nigeria,2006,609.9378172,24700.62829,-24091
Nigeria,2007,420.5734197,5034.660964,-4614
Nigeria,2008,508.7770288,1129.52539,-621
Nigeria,2009,148.7418335,31212.71896,-31064
Nigeria,2010,492.152625,35099.82892,-34608
Nigeria,2011,50223.96488,42622.79064,7601
Nigeria,2012,1419.10648,0.013848314,1419
Nigeria,2013,37.85030627,483.6828305,-446
North Korea,2005,691.3024292,,691
North Korea,2006,667.5192132,,668
North Korea,2007,507.3824044,,507
North Korea,2008,300.7372743,,301
North Korea,2009,327.5206996,,328
North Korea,2010,155.5716548,,156
North Korea,2011,209.0181639,,209
North Korea,2012,346.6494216,,347
North Korea,2013,616.4014084,,616
Norway,2005,3268.991711,,3269
Norway,2006,27794.24468,,27794
Norway,2007,26587.63439,,26588
Norway,2008,29011.49227,,29011
Norway,2009,35539.97896,,35540
Norway,2010,40532.95075,,40533
Norway,2011,1553.747571,,1554
Norway,2012,35.47985838,,35
Norway,2013,3190.981086,,3191
Oman,2005,838.800898,,839
Oman,2006,217.6948655,,218
Oman,2007,158.4401161,,158
Oman,2008,75.96589069,,76
Oman,2009,96.52091442,0.013848305,97
Oman,2010,38.76422837,0.01384761,39
Oman,2011,2306.387315,0.013851186,2306
Oman,2012,19496.12393,682.029462,18814
Oman,2013,5485.444958,5167.398408,318
Pakistan,2005,12949.165,661.3364466,12288
Pakistan,2006,1659.658193,887.1972046,772
Pakistan,2007,1097.080772,37928.03949,-36831
Pakistan,2008,1124.527557,5791.763252,-4667
Pakistan,2009,1380.736863,1080.286079,300
Pakistan,2010,2389.732865,1034.829946,1355
Pakistan,2011,16939.1268,858.438047,16081
Pakistan,2012,5979.528773,5380.04426,599
Pakistan,2013,9013.753838,13061.61831,-4048
Palestine,2005,655.493896,,655
Palestine,2006,2860.112586,,2860
Palestine,2007,2518.972796,,2519
Palestine,2008,2690.906164,,2691
Palestine,2009,1940.264142,,1940
Palestine,2010,1531.491361,,1531
Palestine,2011,37.85243718,,38
Palestine,2012,3150.176641,,3150
Palestine,2013,18292.05324,,18292
Panama,2005,3939.421558,4776.392655,-837
Panama,2006,16728.70257,4697.554517,12031
Panama,2007,18219.48788,221619.522,-203400
Panama,2008,20052.58378,37667.05924,-17614
Panama,2009,16992.87031,6598.512016,10394
Panama,2010,15142.33818,6882.327818,8260
Panama,2011,5568.148412,5760.664764,-193
Panama,2012,8627.542141,14394.95945,-5767
Panama,2013,58399.80992,178789.4671,-120390
Papua New Guinea,2005,22089.03173,29081.91001,-6993
Papua New Guinea,2006,3631.523886,33652.48122,-30021
Papua New Guinea,2007,3883.418786,109267.7766,-105384
Papua New Guinea,2008,5173.065387,252641.0916,-247468
Papua New Guinea,2009,6335.778857,35480.94725,-29145
Papua New Guinea,2010,6322.692976,28771.10933,-22448
Papua New Guinea,2011,10383.77259,20352.51763,-9969
Papua New Guinea,2012,40016.60365,185226.5603,-145210
Papua New Guinea,2013,121847.7988,121235.341,612
Paraguay,2005,56446.02495,142850.1909,-86404
Paraguay,2006,24104.01162,169563.8138,-145460
Paraguay,2007,24634.69033,51582.38577,-26948
Paraguay,2008,23497.0976,119735.017,-96238
Paraguay,2009,20104.53479,230947.7338,-210843
Paraguay,2010,14915.71607,205251.0957,-190335
Paraguay,2011,96615.17991,208085.0241,-111470
Paraguay,2012,143163.3374,137033.2979,6130
Paraguay,2013,64112.16575,63322.31389,790
Peru,2005,102206.8985,101049.3577,1158
Peru,2006,62630.851,101695.7993,-39065
Peru,2007,82375.90501,31624.71908,50751
Peru,2008,87619.77003,52286.58121,35333
Peru,2009,58403.91787,134963.3185,-76559
Peru,2010,85604.66024,130737.5508,-45133
Peru,2011,139727.1721,137840.4714,1887
Peru,2012,61338.7086,59132.14002,2207
Peru,2013,10793.92039,18618.68054,-7825
Philippines,2005,43571.93317,36632.95105,6939
Philippines,2006,104033.8947,44728.92299,59305
Philippines,2007,110495.093,159.0546977,110336
Philippines,2008,122331.1072,28544.74246,93786
Philippines,2009,137471.2248,54779.37049,82692
Philippines,2010,129871.5974,65403.44171,64468
Philippines,2011,62989.38216,60505.34194,2484
Philippines,2012,12131.00982,17322.26849,-5191
Philippines,2013,23300.39199,156.0099398,23144
Poland,2005,10473.06774,,10473
Poland,2006,52124.44104,,52124
Poland,2007,58706.5176,,58707
Poland,2008,57780.34966,,57780
Poland,2009,61619.74389,,61620
Poland,2010,68237.20013,,68237
Poland,2011,10269.11715,,10269
Poland,2012,23231.40912,,23231
Poland,2013,1050.672443,,1051
Portugal,2005,42770.67059,36457.48301,6313
Portugal,2006,10553.95569,33780.12738,-23226
Portugal,2007,9174.903133,1147.383143,8028
Portugal,2008,9128.992354,162.1293424,8967
Portugal,2009,11253.24752,19934.4761,-8681
Portugal,2010,9090.226418,15024.69881,-5934
Portugal,2011,24370.08604,17241.72611,7128
Portugal,2012,675.0361164,159.0845844,516
Portugal,2013,40224.71329,1882.666274,38342
Qatar,2005,765.4138082,,765
Qatar,2006,41033.34926,,41033
Qatar,2007,39906.56475,,39907
Qatar,2008,33997.7707,,33998
Qatar,2009,24708.03658,,24708
Qatar,2010,22648.23438,,22648
Qatar,2011,538.2403215,,538
Qatar,2012,37902.5804,,37903
Qatar,2013,118.9630441,,119
Reunion,2005,45.726299,45.726299,0
Reunion,2006,607.2323356,159.0546977,448
