Entity,Year,Metals and Mining (Bank of England (2017)),Textiles and Leather (Bank of England (2017)),Other Industries (Bank of England (2017)),Total Industry (Bank of England (2017))
England,1754,158.9516013,147.3860828,101.7560191,129.3898506
England,1755,154.3535874,155.3069254,110.519584,136.1607166
England,1756,162.8811266,142.9921847,106.1807845,128.5754805
England,1757,160.208906,153.7322087,98.1696554,132.0408184
England,1758,152.7359792,149.8634264,100.2195767,129.779781
England,1759,166.473268,150.7128975,106.4808153,133.4011339
England,1760,163.2941086,148.5704892,113.5373479,134.0319584
England,1761,161.7498659,156.6183339,114.4014334,138.7534225
England,1762,164.105813,157.2155672,107.284526,137.2359377
England,1763,171.4854753,153.5321304,113.8667929,137.7398135
England,1764,173.8932969,171.0061595,110.7742581,147.1071721
England,1765,174.1641544,165.7648342,123.9964436,147.9889696
England,1766,180.1448098,197.4912469,121.2518134,165.9881872
England,1767,176.3682653,181.4121704,110.693724,153.299008
England,1768,179.8152289,175.0721889,117.3837327,151.9367548
England,1769,184.3868641,185.0893781,117.4180899,158.1361855
England,1770,184.6181381,177.8196193,128.3980565,157.1919555
England,1771,189.3585125,176.9366464,129.1570181,157.3529856
England,1772,190.8280382,184.4100738,134.6476656,163.3635228
England,1773,183.2359225,174.6219256,127.6021205,154.9707293
England,1774,179.0360427,167.1401702,121.9697489,148.6469579
England,1775,184.3755393,173.0455704,138.6943416,157.1723795
England,1776,190.1244346,179.5151349,129.7355333,159.0950581
England,1777,192.2728674,182.8834636,134.9356074,162.6909317
England,1778,187.6118585,186.991415,136.1291593,164.9588306
England,1779,186.4206894,175.4832574,134.3090555,157.6107312
England,1780,189.6795909,177.7244713,150.0036411,163.5060445
England,1781,190.0925477,179.853464,127.2182242,157.4837537
England,1782,194.7929771,197.6972019,135.1127705,170.2626156
England,1783,205.6319187,205.5420044,152.8811893,181.2530711
England,1784,206.4800546,207.7226664,136.9670589,177.4820537
England,1785,225.1931547,215.3266889,135.2314778,182.8956509
England,1786,242.1332159,218.2511237,143.8594626,188.8541412
England,1787,239.408919,229.491716,147.9898288,196.0966122
England,1788,260.4372829,226.5227352,145.2770847,195.2839559
England,1789,278.2062501,235.8149828,137.7428298,199.2242308
England,1790,290.1490364,242.6778965,161.0905517,211.5004446
England,1791,305.2046087,245.2184915,147.4917942,209.8009639
England,1792,318.6217244,260.1237769,172.9527377,227.4049476
England,1793,317.9964295,241.2457842,163.6062139,213.7268142
England,1794,317.2545668,243.4513419,154.8880324,212.1296812
England,1795,343.2871839,250.5674864,161.8026569,220.4348107
England,1796,332.698252,258.2821206,186.1590078,231.7076961
England,1797,372.766809,237.6410596,172.5809071,218.9459952
England,1798,381.0842875,252.3903962,160.8860769,224.1990414
England,1799,406.0048429,285.9656876,163.4321819,245.9426972
England,1800,458.2284525,288.9354814,253.1441038,280.4242522
England,1801,466.6869797,275.6356222,201.8131906,257.2248257
England,1802,510.0635921,284.9817236,181.8369815,256.69244
England,1803,535.5985399,281.2509519,199.2362509,265.4065522
England,1804,552.8153614,302.6086485,182.9708327,269.1611548
England,1805,565.7879555,307.6276981,194.8007326,277.9432639
England,1806,603.0255802,302.4823034,174.4198546,270.2948768
England,1807,596.7170742,328.4276191,203.1110438,293.8277274
England,1808,643.0512442,295.6942211,166.2526541,267.6767919
England,1809,618.9274644,311.7331982,171.0857934,274.4265212
England,1810,649.0602792,340.3879409,237.3931481,319.6240507
England,1811,686.4933357,358.438722,244.7698366,334.5412091
England,1812,693.903028,328.8321296,209.375624,306.5202392
England,1813,685.1576444,336.2873552,184.4037387,297.718092
England,1814,713.4988458,336.5855787,168.8825979,293.7310967
England,1815,712.8113868,378.8818741,227.8333342,338.5058591
England,1816,676.6246514,369.5442805,197.2220796,317.111541
England,1817,650.6822506,430.2261152,195.9073283,340.4008475
England,1818,692.5485021,441.3468122,213.8439787,357.46587
England,1819,676.3374239,415.7823653,229.5134926,351.7099285
England,1820,742.5440608,418.2863738,242.1464307,365.0738849
England,1821,811.018175,450.2600666,223.4031182,377.4718149
England,1822,802.2963674,478.9782778,228.2987308,391.3194089
England,1823,925.5388659,505.0911064,232.7121138,417.0011224
England,1824,1013.887337,535.9135115,264.2464705,453.3929519
England,1825,1049.470687,559.0957477,296.6070898,481.549417
England,1826,1034.330025,462.5848267,307.7821338,442.9403766
England,1827,1173.343358,579.4455671,265.1693319,488.7290359
England,1828,1185.732775,626.9821169,280.7953789,517.699178
England,1829,1207.006878,600.2108238,296.5162426,515.1854885
England,1830,1246.161574,673.9138086,302.1689312,553.7790604
England,1831,1185.61692,679.9464993,328.1079472,561.9740169
England,1832,1234.925236,667.853365,343.1991733,574.7893999
England,1833,1319.6197,730.7841873,339.156444,600.4162271
England,1834,1367.31384,754.9993825,347.3544941,617.5365503
England,1835,1509.413067,757.6298205,388.3428593,661.195944
England,1836,1535.281282,858.6834152,385.0460864,697.4268597
England,1837,1590.797866,799.0799927,401.1134379,696.0540526
England,1838,1699.365367,871.8874649,409.8595016,735.0321537
England,1839,1834.067581,842.9686073,417.8799454,739.1071742
England,1840,1944.924814,888.399612,426.3428862,769.1479683
England,1841,1971.584578,904.1018118,398.337132,758.978167
England,1842,1703.640146,904.6540656,350.8762941,704.0145009
England,1843,1823.267584,991.2985878,379.3055125,757.7119284
England,1844,2424.55327,1079.419785,403.0604801,852.1134614
England,1845,2210.924259,1152.062717,508.0304148,941.4845342
England,1846,2387.831703,1078.228143,538.0952812,943.8568446
England,1847,2543.290832,943.9750446,490.4679433,888.2181635
England,1848,2655.124677,1094.523083,499.7182983,955.1240037
England,1849,2687.692089,1155.087842,470.2230541,948.9044817
England,1850,2858.828085,1101.874317,482.7569321,957.4038892
England,1851,3061.088106,1157.054189,498.0426557,1004.407302
England,1852,3207.110945,1244.847524,519.9552771,1062.355397
England,1853,3422.044221,1398.200433,573.1406379,1170.254532
England,1854,3635.428952,1318.2897,617.173658,1190.995454
England,1855,3788.704289,1299.96366,555.7787783,1156.111657
England,1856,4096.301747,1403.637617,578.2095771,1233.882232
England,1857,4119.407605,1519.938022,607.9395824,1296.398049
England,1858,3962.91071,1369.244392,598.5864458,1224.306329
England,1859,4225.087356,1557.764908,625.4855711,1330.579348
England,1860,4397.464992,1627.878262,660.3171601,1393.475441
England,1861,4373.560318,1506.52837,652.7111313,1344.200112
England,1862,4596.356107,1087.96096,730.8767236,1271.687242
England,1863,4907.91854,1148.697721,777.9794324,1351.721345
England,1864,5233.485983,1199.90897,809.7427792,1419.226328
England,1865,5331.677557,1395.434551,844.8487246,1519.333924
England,1866,5213.097432,1574.865811,863.385705,1583.847992
England,1867,5270.744471,1589.44945,848.5397329,1583.778471
England,1868,5450.852215,1686.374801,898.6407149,1667.022683
England,1869,5744.671442,1540.992469,935.3522985,1667.05724
England,1870,6177.580169,1804.459904,960.9945346,1813.194903
