Entity,Year,"CO2 concentrations (NOAA, 2018)"
World,-13037,227.65
World,-13026,229.79
World,-13004,228.89
World,-12979,228.47
World,-12966,228.36
World,-12954,228.72
World,-12942,230.63
World,-12931,227.85
World,-12919,232.22
World,-12908,233.17
World,-12895,227.87
World,-12885,228.40
World,-12872,226.51
World,-12861,227.58
World,-12849,228.50
World,-12838,227.79
World,-12826,227.39
World,-12813,224.64
World,-12809,227.90
World,-12793,231.48
World,-12781,234.54
World,-12768,230.53
World,-12757,228.18
World,-12747,228.91
World,-12736,237.49
World,-12725,234.34
World,-12714,233.42
World,-12702,234.62
World,-12695,238.12
World,-12680,240.10
World,-12669,237.97
World,-12656,237.59
World,-12645,235.31
World,-12636,237.97
World,-12626,239.77
World,-12614,239.86
World,-12603,241.73
World,-12592,235.83
World,-12581,243.17
World,-12571,241.14
World,-12547,242.06
World,-12514,238.61
World,-12493,240.95
World,-12472,242.60
World,-12461,242.55
World,-12425,240.33
World,-12404,238.39
World,-12393,242.08
World,-12359,235.80
World,-12349,239.04
World,-12323,240.21
World,-12287,236.60
World,-12256,238.36
World,-12230,239.36
World,-12207,239.24
World,-12170,236.40
World,-12134,232.88
World,-12110,241.27
World,-12073,237.87
World,-12052,235.92
World,-11990,240.57
World,-11922,237.95
World,-11877,239.08
World,-11809,241.11
World,-11763,241.59
World,-11695,238.55
World,-11651,243.86
World,-11582,235.83
World,-11537,240.25
World,-11468,237.83
World,-11354,236.86
World,-11317,240.42
World,-11266,239.41
World,-11223,236.91
World,-11178,234.82
World,-11138,241.56
World,-11117,237.91
World,-11094,238.86
World,-11072,234.68
World,-11051,239.42
World,-11031,237.15
World,-11010,240.71
World,-10989,238.18
World,-10967,238.79
World,-10943,239.44
World,-10924,241.24
World,-10903,239.35
World,-10880,242.15
World,-10859,242.23
World,-10836,241.50
World,-10813,240.02
World,-10790,247.30
World,-10770,241.59
World,-10747,244.24
World,-10724,242.53
World,-10704,243.95
World,-10680,246.94
World,-10658,248.09
World,-10637,247.02
World,-10615,244.27
World,-10594,249.92
World,-10571,246.74
World,-10546,244.42
World,-10525,246.18
World,-10505,245.83
World,-10482,247.67
World,-10459,246.40
World,-10438,243.00
World,-10415,244.31
World,-10393,246.97
World,-10371,250.73
World,-10351,248.92
World,-10331,249.38
World,-10306,248.95
World,-10283,249.23
World,-10261,249.65
World,-10240,250.97
World,-10218,251.42
World,-10196,251.14
World,-10175,253.02
World,-10155,255.66
World,-10130,251.03
World,-10109,253.10
World,-10087,248.41
World,-10066,247.85
World,-10041,255.39
World,-10020,253.99
World,-9998,248.92
World,-9977,258.57
World,-9955,255.90
World,-9933,251.56
World,-9913,253.63
World,-9893,254.31
World,-9871,257.17
World,-9853,258.53
World,-9831,258.25
World,-9809,258.74
World,-9791,255.89
World,-9770,256.04
World,-9751,253.99
World,-9733,254.62
World,-9715,247.55
World,-9698,257.13
World,-9679,266.22
World,-9661,261.30
World,-9642,260.70
World,-9626,267.09
World,-9610,262.74
World,-9594,266.90
World,-9574,269.51
World,-9557,267.66
World,-9540,267.17
World,-9523,269.10
World,-9503,268.87
World,-9486,270.14
World,-9467,264.48
World,-9450,268.16
World,-9433,264.84
World,-9389,264.81
World,-9367,264.10
World,-9307,264.40
World,-9251,265.30
World,-9236,265.00
World,-9211,264.80
World,-9140,264.80
World,-9004,267.60
World,-8886,265.10
World,-8852,266.00
World,-8730,266.90
World,-8556,267.50
World,-8417,264.90
World,-8350,265.70
World,-8243,263.40
World,-8185,264.00
World,-8043,264.20
World,-7951,264.40
World,-7623,263.80
World,-7606,263.00
World,-7574,260.90
World,-7568,260.60
World,-7487,265.20
World,-7411,263.80
World,-7345,263.70
World,-7193,262.00
World,-7110,259.30
World,-7043,260.40
World,-6962,260.90
World,-6831,259.00
World,-6761,261.80
World,-6597,260.70
World,-6510,261.30
World,-6402,258.30
World,-6245,259.30
World,-6166,259.60
World,-6026,260.80
World,-5976,259.20
World,-5910,259.70
World,-5770,260.40
World,-5711,260.10
World,-5548,258.40
World,-5455,260.70
World,-5324,263.00
World,-5238,262.30
World,-5088,257.60
World,-5020,258.10
World,-4930,262.90
World,-4820,262.10
World,-4733,259.40
World,-4622,261.10
World,-4451,261.20
World,-4387,262.70
World,-4352,263.20
World,-4140,265.50
World,-4049,266.70
World,-3984,260.70
World,-3902,265.50
World,-3808,265.90
World,-3631,267.60
World,-3583,265.20
World,-3408,265.30
World,-3361,267.60
World,-3269,269.80
World,-3137,268.60
World,-3032,269.30
World,-2971,270.70
World,-2823,271.50
World,-2697,269.80
World,-2643,269.10
World,-2544,271.10
World,-2393,271.50
World,-2325,272.80
World,-2256,271.60
World,-2159,271.70
World,-2019,274.90
World,-1906,275.40
World,-1857,271.50
World,-1743,273.00
World,-1694,273.40
World,-1578,275.00
World,-1481,274.00
World,-1334,273.10
World,-1306,276.30
World,-1107,274.60
World,-999,276.30
World,-955,274.70
World,-852,275.30
World,-758,278.90
World,-678,273.90
World,-576,277.90
World,-464,277.60
World,-316,276.70
World,-284,276.70
World,-143,276.90
World,-50,278.00
World,1,276.70
World,30,277.90
World,56,277.40
World,104,277.50
World,136,278.10
World,154,278.07
World,175,277.56
World,241,280.25
World,266,278.31
World,274,280.24
World,296,280.91
World,318,281.69
World,357,277.80
World,384,277.25
World,406,279.13
World,437,280.00
World,488,277.11
World,518,276.79
World,552,276.56
World,557,278.46
World,582,276.20
World,615,277.87
World,637,279.59
World,669,278.45
World,701,277.10
World,730,279.99
World,762,279.29
World,793,279.72
World,822,278.62
World,875,279.42
World,914,280.11
World,958,277.41
World,983,278.74
World,1018,279.80
World,1019,280.06
World,1040,280.92
World,1049,280.97
World,1070,282.84
World,1099,283.09
World,1116,282.84
World,1146,284.51
World,1166,283.97
World,1200,284.54
World,1211,283.69
World,1251,282.41
World,1260,282.20
World,1278,278.43
World,1307,281.58
World,1330,284.07
World,1349,278.36
World,1390,280.91
World,1411,279.70
World,1429,279.73
World,1449,282.23
World,1469,280.31
World,1502,283.12
World,1530,283.95
World,1550,283.53
World,1560,281.83
World,1573,282.57
World,1588,281.11
World,1591,279.36
World,1603,275.07
World,1609,271.11
World,1629,273.78
World,1640,276.69
World,1649,278.02
World,1682,276.66
World,1690,276.32
World,1694,277.36
World,1723,277.64
World,1734,278.31
World,1741,276.81
World,1749,277.60
World,1752,277.23
World,1763,277.16
World,1764,276.40
World,1773,277.86
World,1779,280.24
World,1780,273.07
World,1794,281.62
World,1796,281.35
World,1799,282.80
World,1814,284.43
World,1825,281.36
World,1827,285.91
World,1833,284.45
World,1837,284.15
World,1841,283.65
World,1843,281.58
World,1844,283.53
World,1845,283.18
World,1846,283.62
World,1847,286.84
World,1850,284.00
World,1851,287.13
World,1854,288.05
World,1855,285.57
World,1857,283.16
World,1859,286.63
World,1862,287.17
World,1863,285.35
World,1864,286.65
World,1867,285.05
World,1868,288.76
World,1870,287.16
World,1873,286.66
World,1874,291.56
World,1877,289.33
World,1880,287.77
World,1883,292.46
World,1884,289.49
World,1886,288.12
World,1887,294.34
World,1889,292.34
World,1890,290.92
World,1892,295.17
World,1893,295.09
World,1894,293.49
World,1899,296.16
World,1900,294.22
World,1902,295.61
World,1904,295.99
World,1905,299.02
World,1906,298.48
World,1909,301.50
World,1910,297.87
World,1911,298.36
World,1913,301.30
World,1914,300.70
World,1916,301.92
World,1918,303.85
World,1919,304.61
World,1920,301.88
World,1923,304.69
World,1925,304.84
World,1928,306.84
World,1929,305.62
World,1931,305.74
World,1932,308.26
World,1933,307.11
World,1934,308.35
World,1935,306.32
World,1936,308.30
World,1937,307.41
World,1938,311.07
World,1939,310.83
World,1940,310.38
World,1941,309.77
World,1942,312.37
World,1944,312.36
World,1945,310.94
World,1946,312.26
World,1947,311.61
World,1948,311.57
World,1949,309.69
World,1950,312.83
World,1952,312.18
World,1954,312.73
World,1955,314.71
World,1956,315.34
World,1957,315.34
World,1958,315.34
World,1959,315.97
World,1960,316.91
World,1961,317.64
World,1962,318.45
World,1963,318.99
World,1964,319.62
World,1965,320.04
World,1966,321.38
World,1967,322.16
World,1968,323.04
World,1969,324.62
World,1970,325.68
World,1971,326.32
World,1972,327.45
World,1973,329.68
World,1974,330.18
World,1975,331.11
World,1976,332.04
World,1977,333.83
World,1978,335.40
World,1979,336.84
World,1980,338.75
World,1981,340.11
World,1982,341.45
World,1983,343.05
World,1984,344.65
World,1985,346.12
World,1986,347.42
World,1987,349.19
World,1988,351.57
World,1989,353.12
World,1990,354.39
World,1991,355.61
World,1992,356.45
World,1993,357.10
World,1994,358.83
World,1995,360.82
World,1996,362.61
World,1997,363.73
World,1998,366.70
World,1999,368.38
World,2000,369.55
World,2001,371.14
World,2002,373.28
World,2003,375.80
World,2004,377.52
World,2005,379.80
World,2006,381.90
World,2007,383.79
World,2008,385.60
World,2009,387.43
World,2010,389.90
World,2011,391.65
World,2012,393.85
World,2013,396.52
World,2014,398.65
World,2015,400.83
World,2016,404.24
World,2017,406.55
World,2018,408.52
