Entity,Year,"Real GDP per capita in 2011US$, multiple benchmarks (Maddison Project Database (2018))","Real GDP per capita in 2011US$, 2011 benchmark (Maddison Project Database (2018))",Population (Maddison Project Database (2018)),"Total real GDP in 2011US$, multiple benchmarks (Maddison Project Database (2018))","Total real GDP in 2011US$, 2011 benchmark (Maddison Project Database (2018))",Maddison region definition (Maddison (2010)),Average real GDP per capita across Maddison's definitions (Maddison Project Database (2018)),Average real GDP per capita across OWID regions (OWID calculations based on Maddison Project Database (2018)),"Real GDP per capita, 2011 benchmarks, by region (Maddison Project Database (2018))",Population by region (Maddison Project Database (2018))
El Salvador,1969,2205,4874,3469000,7649144832,16907906048,Latin America Maddison definition,,,,
El Salvador,1970,2249,4831,3604000,8105396224,17410924544,Latin America Maddison definition,,,,
El Salvador,1971,2287,4920,3710000,8484769792,18253199360,Latin America Maddison definition,,,,
El Salvador,1972,2381,5080,3791000,9026370560,19258279936,Latin America Maddison definition,,,,
El Salvador,1973,2483,5216,3879000,9631556608,20232863744,Latin America Maddison definition,,,,
El Salvador,1974,2514,5419,3973000,9988121600,21529686016,Latin America Maddison definition,,,,
El Salvador,1975,2613,5581,4073000,10642749440,22731413504,Latin America Maddison definition,,,,
El Salvador,1976,2724,5656,4177000,11378148352,23625111552,Latin America Maddison definition,,,,
El Salvador,1977,2901,5846,4285000,12430784512,25050109952,Latin America Maddison definition,,,,
El Salvador,1978,3082,6061,4399000,13557718016,26662338560,Latin America Maddison definition,,,,
El Salvador,1979,2911,5809,4512000,13134432256,26210207744,Latin America Maddison definition,,,,
El Salvador,1980,2754,5236,4570000,12585780224,23928520704,Latin America Maddison definition,,,,
El Salvador,1981,2591,4857,4520000,11711320064,21953640448,Latin America Maddison definition,,,,
El Salvador,1982,2547,4625,4480000,11410560000,20720001024,Latin America Maddison definition,,,,
El Salvador,1983,2554,4613,4527000,11561958400,20883050496,Latin America Maddison definition,,,,
El Salvador,1984,2644,4650,4594000,12146536448,21362100224,Latin America Maddison definition,,,,
El Salvador,1985,2633,4664,4671000,12298742784,21785544704,Latin America Maddison definition,,,,
El Salvador,1986,2782,4607,4758000,13236756480,21920106496,Latin America Maddison definition,,,,
El Salvador,1987,2744,4641,4850000,13308399616,22508849152,Latin America Maddison definition,,,,
El Salvador,1988,2821,4632,4939000,13932918784,22877448192,Latin America Maddison definition,,,,
El Salvador,1989,2893,4600,5025000,14537324544,23114999808,Latin America Maddison definition,,,,
El Salvador,1990,2991,4677,5110000,15284009984,23899469824,Latin America Maddison definition,,,,
El Salvador,1991,3082,4764,5196000,16014071808,24753743872,Latin America Maddison definition,,,,
El Salvador,1992,3325,5037,5286000,17575950336,26625581056,Latin America Maddison definition,,,,
El Salvador,1993,3677,5359,5334000,19613118464,28584906752,Latin America Maddison definition,,,,
El Salvador,1994,3989,5619,5395000,21520654336,30314504192,Latin America Maddison definition,,,,
El Salvador,1995,4396,5886,5480000,24090079232,32255279104,Latin America Maddison definition,,,,
El Salvador,1996,4443,5896,5564000,24720852992,32805343232,Latin America Maddison definition,,,,
El Salvador,1997,4598,6067,5637000,25918926848,34199678976,Latin America Maddison definition,,,,
El Salvador,1998,4782,6212,5712000,27314784256,35482943488,Latin America Maddison definition,,,,
El Salvador,1999,4899,6341,5788000,28355411968,36701708288,Latin America Maddison definition,,,,
El Salvador,2000,5076,6409,5850000,29694599168,37492649984,Latin America Maddison definition,,,,
El Salvador,2001,5199,6481,5884000,30590916608,38134202368,Latin America Maddison definition,,,,
El Salvador,2002,5444,6613,5902000,32130488320,39029927936,Latin America Maddison definition,,,,
El Salvador,2003,5706,6744,5920000,33779519488,39924482048,Latin America Maddison definition,,,,
El Salvador,2004,5882,6851,5935000,34909671424,40660684800,Latin America Maddison definition,,,,
El Salvador,2005,6380,7070,5956000,37999280128,42108919808,Latin America Maddison definition,,,,
El Salvador,2006,6739,7329,5971000,40238567424,43761459200,Latin America Maddison definition,,,,
El Salvador,2007,7205,7596,5982000,43100311552,45439270912,Latin America Maddison definition,,,,
El Salvador,2008,7316,7661,6006000,43939897344,46011965440,Latin America Maddison definition,,,,
El Salvador,2009,6967,7392,6031000,42017976320,44581150720,Latin America Maddison definition,,,,
El Salvador,2010,7260,7466,6052000,43937521664,45184233472,Latin America Maddison definition,,,,
El Salvador,2011,7607,7607,6072000,46189703168,46189703168,Latin America Maddison definition,,,,
El Salvador,2012,7782,7726,6091000,47400161280,47059066880,Latin America Maddison definition,,,,
El Salvador,2013,7800,7845,6109000,47650201600,47925104640,Latin America Maddison definition,,,,
El Salvador,2014,7988,7935,6126000,48934486016,48609808384,Latin America Maddison definition,,,,
El Salvador,2015,8163,8109,6141000,50128982016,49797369856,Latin America Maddison definition,,,,
El Salvador,2016,8335,8280,6157000,51318595584,50979958784,Latin America Maddison definition,,,,
Equatorial Guinea,1950,832,892,211000,175552000,188212000,Africa Maddison definition,,,,
Equatorial Guinea,1951,864,927,214000,184896000,198378000,Africa Maddison definition,,,,
Equatorial Guinea,1952,881,945,217000,191176992,205064992,Africa Maddison definition,,,,
Equatorial Guinea,1953,904,970,220000,198880000,213400000,Africa Maddison definition,,,,
Equatorial Guinea,1954,940,1009,223000,209620000,225007008,Africa Maddison definition,,,,
Equatorial Guinea,1955,955,1024,226000,215830000,231424000,Africa Maddison definition,,,,
Equatorial Guinea,1956,981,1052,229000,224648992,240908000,Africa Maddison definition,,,,
Equatorial Guinea,1957,999,1072,233000,232767008,249776000,Africa Maddison definition,,,,
Equatorial Guinea,1958,1017,1090,237000,241028992,258330000,Africa Maddison definition,,,,
Equatorial Guinea,1959,1059,1136,240000,254160000,272640000,Africa Maddison definition,,,,
Equatorial Guinea,1960,1150,1234,244000,280600000,301096000,Africa Maddison definition,,,,
Equatorial Guinea,1961,1243,1333,248000,308264000,330584000,Africa Maddison definition,,,,
Equatorial Guinea,1962,1367,1466,249000,340383008,365033984,Africa Maddison definition,,,,
Equatorial Guinea,1963,1551,1663,250000,387750016,415750016,Africa Maddison definition,,,,
Equatorial Guinea,1964,1764,1892,252000,444528000,476784000,Africa Maddison definition,,,,
Equatorial Guinea,1965,1981,2125,253000,501192992,537625024,Africa Maddison definition,,,,
Equatorial Guinea,1966,2038,2186,256000,521728000,559616000,Africa Maddison definition,,,,
Equatorial Guinea,1967,2147,2303,260000,558220032,598780032,Africa Maddison definition,,,,
Equatorial Guinea,1968,2194,2353,263000,577022016,618838976,Africa Maddison definition,,,,
Equatorial Guinea,1969,2102,2254,267000,561233984,601817984,Africa Maddison definition,,,,
Equatorial Guinea,1970,2017,2164,270000,544590016,584280000,Africa Maddison definition,,,,
Equatorial Guinea,1971,2077,2227,274000,569097984,610198016,Africa Maddison definition,,,,
Equatorial Guinea,1972,2095,2247,278000,582409984,624665984,Africa Maddison definition,,,,
Equatorial Guinea,1973,2300,2467,271000,623299968,668556992,Africa Maddison definition,,,,
Equatorial Guinea,1974,2573,2759,250000,643249984,689750016,Africa Maddison definition,,,,
Equatorial Guinea,1975,3213,3446,213000,684369024,733998016,Africa Maddison definition,,,,
Equatorial Guinea,1976,3602,3863,191000,687982016,737833024,Africa Maddison definition,,,,
Equatorial Guinea,1977,3828,4106,193000,738803968,792457984,Africa Maddison definition,,,,
Equatorial Guinea,1978,3601,3862,195000,702195008,753089984,Africa Maddison definition,,,,
Equatorial Guinea,1979,3008,3226,221000,664768000,712945984,Africa Maddison definition,,,,
Equatorial Guinea,1980,2726,2924,256000,697856000,748544000,Africa Maddison definition,,,,
Equatorial Guinea,1981,2716,2913,272000,738752000,792336000,Africa Maddison definition,,,,
Equatorial Guinea,1982,2643,2834,285000,753254976,807689984,Africa Maddison definition,,,,
Equatorial Guinea,1983,2644,2836,300000,793200000,850800000,Africa Maddison definition,,,,
Equatorial Guinea,1984,2543,2728,315000,801044992,859320000,Africa Maddison definition,,,,
Equatorial Guinea,1985,2778,2980,325000,902849984,968499968,Africa Maddison definition,,,,
Equatorial Guinea,1986,2645,2837,334000,883430016,947558016,Africa Maddison definition,,,,
Equatorial Guinea,1987,2691,2886,342000,920321984,987011968,Africa Maddison definition,,,,
Equatorial Guinea,1988,2690,2885,352000,946880000,1015520000,Africa Maddison definition,,,,
Equatorial Guinea,1989,2587,2775,361000,933907008,1001774976,Africa Maddison definition,,,,
Equatorial Guinea,1990,2582,2769,371000,957921984,1027299008,Africa Maddison definition,,,,
Equatorial Guinea,1991,2520,2703,381000,960120000,1029843008,Africa Maddison definition,,,,
Equatorial Guinea,1992,2778,2979,392000,1088976000,1167768064,Africa Maddison definition,,,,
Equatorial Guinea,1993,2958,3173,403000,1192073984,1278718976,Africa Maddison definition,,,,
Equatorial Guinea,1994,3147,3375,414000,1302857984,1397250048,Africa Maddison definition,,,,
Equatorial Guinea,1995,3418,3666,426000,1456067968,1561715968,Africa Maddison definition,,,,
Equatorial Guinea,1996,4473,4797,438000,1959174016,2101085952,Africa Maddison definition,,,,
Equatorial Guinea,1997,8489,9105,451000,3828538880,4106354944,Africa Maddison definition,,,,
Equatorial Guinea,1998,9710,10414,464000,4505440256,4832096256,Africa Maddison definition,,,,
Equatorial Guinea,1999,11625,12468,478000,5556749824,5959704064,Africa Maddison definition,,,,
Equatorial Guinea,2000,12774,13700,491000,6272033792,6726700032,Africa Maddison definition,,,,
Equatorial Guinea,2001,20825,22334,506000,10537450496,11301004288,Africa Maddison definition,,,,
Equatorial Guinea,2002,24311,26074,521000,12666031104,13584553984,Africa Maddison definition,,,,
Equatorial Guinea,2003,26834,28780,536000,14383024128,15426079744,Africa Maddison definition,,,,
Equatorial Guinea,2004,32354,34699,551000,17827053568,19119149056,Africa Maddison definition,,,,
Equatorial Guinea,2005,34251,36733,567000,19420317696,20827611136,Africa Maddison definition,,,,
Equatorial Guinea,2006,35469,37611,583000,20678426624,21927213056,Africa Maddison definition,,,,
Equatorial Guinea,2007,40229,42173,600000,24137400320,25303799808,Africa Maddison definition,,,,
Equatorial Guinea,2008,46643,48334,616000,28732088320,29773744128,Africa Maddison definition,,,,
Equatorial Guinea,2009,46545,47670,633000,29462984704,30175109120,Africa Maddison definition,,,,
Equatorial Guinea,2010,41759,42264,651000,27185108992,27513864192,Africa Maddison definition,,,,
Equatorial Guinea,2011,43841,43841,668000,29285787648,29285787648,Africa Maddison definition,,,,
Equatorial Guinea,2012,41292,46255,686000,28326311936,31730929664,Africa Maddison definition,,,,
Equatorial Guinea,2013,42940,43209,704000,30229760000,30419136512,Africa Maddison definition,,,,
Equatorial Guinea,2014,39603,41907,722000,28593364992,30256852992,Africa Maddison definition,,,,
Equatorial Guinea,2015,35743,37822,741000,26485563392,28026101760,Africa Maddison definition,,,,
Equatorial Guinea,2016,31486,33317,759000,23897874432,25287602176,Africa Maddison definition,,,,
Estonia,1950,,,1096000,,,Eastern Europe Maddison definition,,,,
Estonia,1951,,,1112000,,,Eastern Europe Maddison definition,,,,
Estonia,1952,,,1130000,,,Eastern Europe Maddison definition,,,,
Estonia,1953,,,1140000,,,Eastern Europe Maddison definition,,,,
Estonia,1954,,,1148000,,,Eastern Europe Maddison definition,,,,
Estonia,1955,,,1154000,,,Eastern Europe Maddison definition,,,,
Estonia,1956,,,1163000,,,Eastern Europe Maddison definition,,,,
Estonia,1957,,,1174000,,,Eastern Europe Maddison definition,,,,
Estonia,1958,,,1185000,,,Eastern Europe Maddison definition,,,,
Estonia,1959,,,1197000,,,Eastern Europe Maddison definition,,,,
Estonia,1960,,,1211000,,,Eastern Europe Maddison definition,,,,
Estonia,1961,,,1224000,,,Eastern Europe Maddison definition,,,,
Estonia,1962,,,1239000,,,Eastern Europe Maddison definition,,,,
Estonia,1963,,,1255000,,,Eastern Europe Maddison definition,,,,
Estonia,1964,,,1272000,,,Eastern Europe Maddison definition,,,,
Estonia,1965,,,1288000,,,Eastern Europe Maddison definition,,,,
Estonia,1966,,,1300000,,,Eastern Europe Maddison definition,,,,
Estonia,1967,,,1312000,,,Eastern Europe Maddison definition,,,,
Estonia,1968,,,1324000,,,Eastern Europe Maddison definition,,,,
Estonia,1969,,,1343000,,,Eastern Europe Maddison definition,,,,
Estonia,1970,,,1363000,,,Eastern Europe Maddison definition,,,,
Estonia,1971,,,1381000,,,Eastern Europe Maddison definition,,,,
Estonia,1972,,,1397000,,,Eastern Europe Maddison definition,,,,
Estonia,1973,8159,9834,1411000,11512348672,13875774464,Eastern Europe Maddison definition,,,,
Estonia,1974,,,1422000,,,Eastern Europe Maddison definition,,,,
Estonia,1975,,,1432000,,,Eastern Europe Maddison definition,,,,
Estonia,1976,,,1442000,,,Eastern Europe Maddison definition,,,,
Estonia,1977,,,1453000,,,Eastern Europe Maddison definition,,,,
Estonia,1978,,,1464000,,,Eastern Europe Maddison definition,,,,
Estonia,1979,,,1472000,,,Eastern Europe Maddison definition,,,,
Estonia,1980,8895,10721,1482000,13182390272,15888522240,Eastern Europe Maddison definition,,,,
Estonia,1981,9151,11030,1493000,13662442496,16467789824,Eastern Europe Maddison definition,,,,
Estonia,1982,9418,11351,1504000,14164672512,17071903744,Eastern Europe Maddison definition,,,,
Estonia,1983,9674,11659,1515000,14656109568,17663385600,Eastern Europe Maddison definition,,,,
Estonia,1984,9851,11873,1526000,15032626176,18118197248,Eastern Europe Maddison definition,,,,
Estonia,1985,9780,11788,1538000,15041640448,18129944576,Eastern Europe Maddison definition,,,,
Estonia,1986,9973,12020,1550000,15458150400,18631000064,Eastern Europe Maddison definition,,,,
Estonia,1987,9991,12042,1562000,15605942272,18809604096,Eastern Europe Maddison definition,,,,
Estonia,1988,10443,12587,1569000,16385067008,19749003264,Eastern Europe Maddison definition,,,,
Estonia,1989,11103,13382,1571000,17442813952,21023121408,Eastern Europe Maddison definition,,,,
Estonia,1990,10198,12291,1569000,16000661504,19284578304,Eastern Europe Maddison definition,,,,
Estonia,1991,10385,11117,1561000,16210984960,17353637888,Eastern Europe Maddison definition,,,,
Estonia,1992,8791,9726,1533000,13476602880,14909958144,Eastern Europe Maddison definition,,,,
Estonia,1993,8258,9131,1494000,12337452032,13641713664,Eastern Europe Maddison definition,,,,
Estonia,1994,8299,9175,1463000,12141436928,13423025152,Eastern Europe Maddison definition,,,,
Estonia,1995,9238,9951,1437000,13275005952,14299586560,Eastern Europe Maddison definition,,,,
Estonia,1996,8468,10636,1416000,11990687744,15060576256,Eastern Europe Maddison definition,,,,
Estonia,1997,9075,12027,1400000,12705000448,16837799936,Eastern Europe Maddison definition,,,,
Estonia,1998,10144,12643,1386000,14059583488,17523197952,Eastern Europe Maddison definition,,,,
Estonia,1999,10749,12636,1375000,14779875328,17374500864,Eastern Europe Maddison definition,,,,
Estonia,2000,11903,14074,1365000,16247595008,19211010048,Eastern Europe Maddison definition,,,,
Estonia,2001,12534,15060,1357000,17008637952,20436420608,Eastern Europe Maddison definition,,,,
Estonia,2002,13529,16077,1348000,18237091840,21671796736,Eastern Europe Maddison definition,,,,
Estonia,2003,14221,17378,1340000,19056140288,23286519808,Eastern Europe Maddison definition,,,,
Estonia,2004,15070,18582,1332000,20073240576,24751224832,Eastern Europe Maddison definition,,,,
Estonia,2005,16870,20441,1324000,22335879168,27063883776,Eastern Europe Maddison definition,,,,
Estonia,2006,18829,22674,1316000,24778964992,29838983168,Eastern Europe Maddison definition,,,,
Estonia,2007,21139,24542,1310000,27692089344,32150020096,Eastern Europe Maddison definition,,,,
Estonia,2008,20883,23275,1307000,27294081024,30420424704,Eastern Europe Maddison definition,,,,
Estonia,2009,19387,19886,1304000,25280647168,25931343872,Eastern Europe Maddison definition,,,,
Estonia,2010,19917,20382,1301000,25912016896,26516981760,Eastern Europe Maddison definition,,,,
Estonia,2011,21997,21997,1297000,28530108416,28530108416,Eastern Europe Maddison definition,,,,
Estonia,2012,23756,23026,1293000,30716508160,29772617728,Eastern Europe Maddison definition,,,,
Estonia,2013,24710,23436,1288000,31826479104,30185568256,Eastern Europe Maddison definition,,,,
Estonia,2014,25424,24146,1285000,32669839360,31027609600,Eastern Europe Maddison definition,,,,
Estonia,2015,25790,24493,1285000,33140150272,31473504256,Eastern Europe Maddison definition,,,,
Estonia,2016,26173,24857,1287000,33684649984,31990958080,Eastern Europe Maddison definition,,,,
Ethiopia,1,,,500000,,,Africa Maddison definition,,,,
Ethiopia,1000,,,1000000,,,Africa Maddison definition,,,,
Ethiopia,1500,,,2000000,,,Africa Maddison definition,,,,
Ethiopia,1600,,,2250000,,,Africa Maddison definition,,,,
Ethiopia,1700,,,2500000,,,Africa Maddison definition,,,,
Ethiopia,1820,,,3154000,,,Africa Maddison definition,,,,
Ethiopia,1950,665,520,21577000,14348704768,11220039680,Africa Maddison definition,,,,
Ethiopia,1951,672,526,21932000,14738304000,11536232448,Africa Maddison definition,,,,
Ethiopia,1952,680,532,22300000,15164000256,11863600128,Africa Maddison definition,,,,
Ethiopia,1953,707,553,22682000,16036173824,12543145984,Africa Maddison definition,,,,
Ethiopia,1954,695,544,23078000,16039209984,12554432512,Africa Maddison definition,,,,
Ethiopia,1955,719,563,23489000,16888591360,13224306688,Africa Maddison definition,,,,
Ethiopia,1956,730,571,23916000,17458679808,13656036352,Africa Maddison definition,,,,
Ethiopia,1957,711,556,24358000,17318537216,13543048192,Africa Maddison definition,,,,
Ethiopia,1958,721,564,24817000,17893056512,13996787712,Africa Maddison definition,,,,
Ethiopia,1959,727,569,25292000,18387283968,14391147520,Africa Maddison definition,,,,
Ethiopia,1960,750,587,25783000,19337250816,15134620672,Africa Maddison definition,,,,
Ethiopia,1961,772,604,26289000,20295108608,15878555648,Africa Maddison definition,,,,
Ethiopia,1962,788,616,26812000,21127856128,16516192256,Africa Maddison definition,,,,
Ethiopia,1963,874,684,27353000,23906521088,18709452800,Africa Maddison definition,,,,
Ethiopia,1964,899,703,27911000,25091989504,19621433344,Africa Maddison definition,,,,
Ethiopia,1965,933,729,28487000,26578370560,20767023104,Africa Maddison definition,,,,
Ethiopia,1966,949,742,29081000,27597869056,21578102784,Africa Maddison definition,,,,
Ethiopia,1967,969,758,29681000,28760889344,22498197504,Africa Maddison definition,,,,
Ethiopia,1968,965,755,30308000,29247219712,22882539520,Africa Maddison definition,,,,
Ethiopia,1969,980,766,30969000,30349619200,23722254336,Africa Maddison definition,,,,
Ethiopia,1970,1014,793,31629000,32071806976,25081796608,Africa Maddison definition,,,,
Ethiopia,1971,1034,809,32308000,33406472192,26137171968,Africa Maddison definition,,,,
Ethiopia,1972,1063,832,33031000,35111952384,27481792512,Africa Maddison definition,,,,
Ethiopia,1973,1074,840,33786000,36286164992,28380239872,Africa Maddison definition,,,,
Ethiopia,1974,1062,831,34580000,36723961856,28735979520,Africa Maddison definition,,,,
Ethiopia,1975,1039,813,35397000,36777484288,28777760768,Africa Maddison definition,,,,
Ethiopia,1976,1041,814,36294000,37782052864,29543315456,Africa Maddison definition,,,,
Ethiopia,1977,1046,818,37130000,38837981184,30372339712,Africa Maddison definition,,,,
Ethiopia,1978,1017,795,37754000,38395817984,30014429184,Africa Maddison definition,,,,
Ethiopia,1979,1069,836,38221000,40858247168,31952756736,Africa Maddison definition,,,,
Ethiopia,1980,1105,864,38605000,42658525184,33354719232,Africa Maddison definition,,,,
Ethiopia,1981,1078,844,40359000,43507003392,34062995456,Africa Maddison definition,,,,
Ethiopia,1982,1048,820,42190000,44215119872,34595799040,Africa Maddison definition,,,,
Ethiopia,1983,1069,836,43460000,46458740736,36332560384,Africa Maddison definition,,,,
Ethiopia,1984,1022,800,44512000,45491265536,35609600000,Africa Maddison definition,,,,
Ethiopia,1985,940,735,45169000,42458861568,33199214592,Africa Maddison definition,,,,
Ethiopia,1986,983,769,45988000,45206204416,35364773888,Africa Maddison definition,,,,
Ethiopia,1987,1047,819,47226000,49445621760,38678093824,Africa Maddison definition,,,,
Ethiopia,1988,1036,810,48675000,50427301888,39426748416,Africa Maddison definition,,,,
Ethiopia,1989,1022,800,50128000,51230814208,40102400000,Africa Maddison definition,,,,
Ethiopia,1990,979,766,51535000,50452766720,39475810304,Africa Maddison definition,,,,
Ethiopia,1991,874,684,53587000,46835036160,36653506560,Africa Maddison definition,,,,
Ethiopia,1992,771,603,55492000,42784333824,33461676032,Africa Maddison definition,,,,
Ethiopia,1993,729,600,56922000,41496137728,34153199616,Africa Maddison definition,,,,
Ethiopia,1994,677,633,58554000,39641059328,37064683520,Africa Maddison definition,,,,
Ethiopia,1995,732,650,60391000,44206211072,39254151168,Africa Maddison definition,,,,
Ethiopia,1996,686,689,62232000,42691153920,42877849600,Africa Maddison definition,,,,
Ethiopia,1997,753,723,64022000,48208564224,46287904768,Africa Maddison definition,,,,
Ethiopia,1998,691,704,65852000,45503733760,46359805952,Africa Maddison definition,,,,
Ethiopia,1999,654,688,67774000,44324196352,46628511744,Africa Maddison definition,,,,
Ethiopia,2000,608,703,69754000,42410430464,49037062144,Africa Maddison definition,,,,
Ethiopia,2001,668,720,71775000,47945699328,51677999104,Africa Maddison definition,,,,
Ethiopia,2002,595,735,73875000,43955625984,54298124288,Africa Maddison definition,,,,
Ethiopia,2003,629,714,76050000,47835451392,54299701248,Africa Maddison definition,,,,
Ethiopia,2004,658,727,78287000,51512844288,56914649088,Africa Maddison definition,,,,
Ethiopia,2005,771,788,80579000,62126407680,63496253440,Africa Maddison definition,,,,
Ethiopia,2006,760,844,82943000,63036678144,70003892224,Africa Maddison definition,,,,
Ethiopia,2007,889,905,85397000,75917934592,77284286464,Africa Maddison definition,,,,
Ethiopia,2008,989,965,87928000,86960791552,84850515968,Africa Maddison definition,,,,
Ethiopia,2009,936,1026,90543000,84748247040,92897116160,Africa Maddison definition,,,,
Ethiopia,2010,1049,1097,93246000,97815052288,102291000000,Africa Maddison definition,,,,
Ethiopia,2011,1199,1199,96005000,115110000000,115110000000,Africa Maddison definition,,,,
Ethiopia,2012,1284,1287,98831000,126899000000,127195000000,Africa Maddison definition,,,,
Ethiopia,2013,1361,1365,101736000,138463000000,138870000000,Africa Maddison definition,,,,
Ethiopia,2014,1481,1459,104724000,155096000000,152792000000,Africa Maddison definition,,,,
Ethiopia,2015,1576,1553,107793000,169882000000,167403000000,Africa Maddison definition,,,,
Ethiopia,2016,1659,1635,110945000,184058000000,181395000000,Africa Maddison definition,,,,
Europe,1870,,,,,,,,1589,,
Europe,1871,,,,,,,,2439,,
Europe,1872,,,,,,,,2559,,
Europe,1873,,,,,,,,2587,,
Europe,1874,,,,,,,,2692,,
Europe,1875,,,,,,,,2741,,
Europe,1876,,,,,,,,2697,,
Europe,1877,,,,,,,,2749,,
Europe,1878,,,,,,,,2767,,
Europe,1879,,,,,,,,2695,,
Europe,1880,,,,,,,,2800,,
Europe,1881,,,,,,,,2875,,
Europe,1882,,,,,,,,2941,,
Europe,1883,,,,,,,,3004,,
Europe,1884,,,,,,,,3022,,
Europe,1885,,,,,,,,3027,,
Europe,1886,,,,,,,,3056,,
Europe,1887,,,,,,,,3126,,
Europe,1888,,,,,,,,3207,,
Europe,1889,,,,,,,,3276,,
Europe,1890,,,,,,,,2559,,
Europe,1891,,,,,,,,3336,,
Europe,1892,,,,,,,,3395,,
Europe,1893,,,,,,,,3441,,
Europe,1894,,,,,,,,3549,,
Europe,1895,,,,,,,,3608,,
Europe,1896,,,,,,,,3690,,
Europe,1897,,,,,,,,3731,,
Europe,1898,,,,,,,,3870,,
Europe,1899,,,,,,,,3988,,
Europe,1900,,,,,,,,3159,,
Europe,1901,,,,,,,,4009,,
Europe,1902,,,,,,,,4042,,
Europe,1903,,,,,,,,4102,,
Europe,1904,,,,,,,,4160,,
Europe,1905,,,,,,,,4232,,
Europe,1906,,,,,,,,4351,,
Europe,1907,,,,,,,,4468,,
Europe,1908,,,,,,,,4448,,
Europe,1909,,,,,,,,4537,,
Europe,1910,,,,,,,,3909,,
Europe,1911,,,,,,,,4687,,
Europe,1912,,,,,,,,4771,,
Europe,1913,,,,,,,,3755,,
Europe,1914,,,,,,,,4448,,
Europe,1915,,,,,,,,4386,,
Europe,1916,,,,,,,,4481,,
Europe,1917,,,,,,,,4277,,
Europe,1918,,,,,,,,4076,,
Europe,1919,,,,,,,,3899,,
Europe,1920,,,,,,,,2640,,
Europe,1921,,,,,,,,2632,,
Europe,1922,,,,,,,,2840,,
Europe,1923,,,,,,,,2847,,
Europe,1924,,,,,,,,3150,,
Europe,1925,,,,,,,,3388,,
Europe,1926,,,,,,,,3446,,
Europe,1927,,,,,,,,3570,,
Europe,1928,,,,,,,,3669,,
Europe,1929,,,,,,,,3874,,
Europe,1930,,,,,,,,3858,,
Europe,1931,,,,,,,,3733,,
Europe,1932,,,,,,,,3641,,
Europe,1933,,,,,,,,3755,,
Europe,1934,,,,,,,,3951,,
Europe,1935,,,,,,,,4205,,
Europe,1936,,,,,,,,4350,,
Europe,1937,,,,,,,,4610,,
Europe,1938,,,,,,,,4561,,
Europe,1939,,,,,,,,4632,,
Europe,1940,,,,,,,,4510,,
Europe,1941,,,,,,,,5331,,
Europe,1942,,,,,,,,5289,,
Europe,1943,,,,,,,,5242,,
Europe,1944,,,,,,,,5077,,
Europe,1945,,,,,,,,4440,,
Europe,1946,,,,,,,,3891,,
Europe,1947,,,,,,,,4097,,
Europe,1948,,,,,,,,4594,,
Europe,1949,,,,,,,,4909,,
Europe,1950,,,,,,,,4161,,
Europe,1951,,,,,,,,4303,,
Europe,1952,,,,,,,,4468,,
Europe,1953,,,,,,,,4656,,
Europe,1954,,,,,,,,4849,,
Europe,1955,,,,,,,,5160,,
Europe,1956,,,,,,,,5433,,
Europe,1957,,,,,,,,5624,,
Europe,1958,,,,,,,,5847,,
Europe,1959,,,,,,,,5989,,
Europe,1960,,,,,,,,7498,,
Europe,1961,,,,,,,,7857,,
Europe,1962,,,,,,,,8162,,
Europe,1963,,,,,,,,8314,,
Europe,1964,,,,,,,,8943,,
Europe,1965,,,,,,,,9316,,
Europe,1966,,,,,,,,9747,,
Europe,1967,,,,,,,,10144,,
Europe,1968,,,,,,,,10673,,
Europe,1969,,,,,,,,11090,,
Europe,1970,,,,,,,,11865,,
Europe,1971,,,,,,,,12235,,
Europe,1972,,,,,,,,12598,,
Europe,1973,,,,,,,,14033,,
Europe,1974,,,,,,,,13740,,
Europe,1975,,,,,,,,13846,,
Europe,1976,,,,,,,,14422,,
Europe,1977,,,,,,,,14827,,
Europe,1978,,,,,,,,15241,,
Europe,1979,,,,,,,,15565,,
Europe,1980,,,,,,,,16494,,
Europe,1981,,,,,,,,16361,,
Europe,1982,,,,,,,,16424,,
Europe,1983,,,,,,,,16625,,
Europe,1984,,,,,,,,16736,,
Europe,1985,,,,,,,,16938,,
Europe,1986,,,,,,,,17617,,
Europe,1987,,,,,,,,17978,,
Europe,1988,,,,,,,,18511,,
Europe,1989,,,,,,,,18966,,
Europe,1990,,,,,,,,18785,,
Europe,1991,,,,,,,,18286,,
Europe,1992,,,,,,,,17712,,
Europe,1993,,,,,,,,16504,,
Europe,1994,,,,,,,,15804,,
Europe,1995,,,,,,,,15959,,
Europe,1996,,,,,,,,15313,,
Europe,1997,,,,,,,,15762,,
Europe,1998,,,,,,,,16005,,
Europe,1999,,,,,,,,16486,,
Europe,2000,,,,,,,,17668,,
Europe,2001,,,,,,,,18169,,
Europe,2002,,,,,,,,18533,,
Europe,2003,,,,,,,,18873,,
Europe,2004,,,,,,,,19741,,
Europe,2005,,,,,,,,21066,,
Europe,2006,,,,,,,,22478,,
Europe,2007,,,,,,,,24303,,
Europe,2008,,,,,,,,25196,,
Europe,2009,,,,,,,,23793,,
Europe,2010,,,,,,,,24730,,
Europe,2011,,,,,,,,26117,,
Europe,2012,,,,,,,,26676,,
Europe,2013,,,,,,,,27207,,
Europe,2014,,,,,,,,27457,,
Europe,2015,,,,,,,,27606,,
Europe,2016,,,,,,,,27796,,
