Entity,Year,Female labor force participation rate (OWID based on OECD 2017 and others)
Portugal,1975,42.20251906
Portugal,1976,42.23640968
Portugal,1977,43.28203768
Portugal,1978,43.26732934
Portugal,1979,44.8974782
Portugal,1980,44.96240993
Portugal,1981,46.18206241
Portugal,1982,45.12711321
Portugal,1983,48.32333216
Portugal,1984,46.84284551
Portugal,1985,45.73691791
Portugal,1986,45.67360613
Portugal,1987,46.24269282
Portugal,1988,46.86191495
Portugal,1989,47.26685879
Portugal,1990,48.07985266
Portugal,1991,50.16011446
Portugal,1992,49.27983782
Portugal,1993,49.25526691
Portugal,1994,49.47896208
Portugal,1995,49.28931788
Portugal,1996,49.18111096
Portugal,1997,49.4012985
Portugal,1998,51.78607614
Portugal,1999,52.13914551
Portugal,2000,52.88218292
Portugal,2001,53.54888269
Portugal,2002,54.17003513
Portugal,2003,54.59129291
Portugal,2004,54.4891501
Portugal,2005,55.29581879
Portugal,2006,55.54456972
Portugal,2007,55.9637929
Portugal,2008,55.82990799
Portugal,2009,55.64802018
Portugal,2010,55.86655977
Portugal,2011,54.6418935
Portugal,2012,54.70128717
Portugal,2013,54.14992216
Portugal,2014,53.8209341
Portugal,2015,53.74661097
Portugal,2016,53.50492528
Russia,1992,64.06834799
Russia,1993,61.56216294
Russia,1994,59.05718491
Russia,1995,58.30289929
Russia,1996,57.23510896
Russia,1997,55.93037792
Russia,1998,55.05427246
Russia,1999,59.714
Russia,2000,60.02952749
Russia,2001,58.9181229
Russia,2002,60.07100117
Russia,2003,60.04091395
Russia,2004,60.82926944
Russia,2005,61.46361279
Russia,2006,61.95628866
Russia,2007,62.41097555
Russia,2008,62.22997
Russia,2009,62.54037959
Russia,2010,62.24503161
Russia,2011,62.97494318
Russia,2012,63.28135625
Russia,2013,63.03042666
Russia,2014,63.33668638
Russia,2015,63.43980946
Russia,2016,63.80796972
Slovak Republic,1994,51.35708227
Slovak Republic,1995,51.49441341
Slovak Republic,1996,52.28152655
Slovak Republic,1997,51.77039606
Slovak Republic,1998,51.45117541
Slovak Republic,1999,51.93617784
Slovak Republic,2000,52.61170827
Slovak Republic,2001,53.0041406
Slovak Republic,2002,52.57686547
Slovak Republic,2003,52.88080345
Slovak Republic,2004,52.48902222
Slovak Republic,2005,51.25237519
Slovak Republic,2006,50.66969062
Slovak Republic,2007,50.51326432
Slovak Republic,2008,51.06658753
Slovak Republic,2009,50.30869443
Slovak Republic,2010,51.82314332
Slovak Republic,2011,50.12150385
Slovak Republic,2012,50.66033251
Slovak Republic,2013,51.02357584
Slovak Republic,2014,51.07079484
Slovak Republic,2015,51.94283033
Slovak Republic,2016,52.51871438
Slovenia,2000,51.52461691
Slovenia,2001,51.60036954
Slovenia,2002,51.14988635
Slovenia,2003,50.03276625
Slovenia,2004,52.47020056
Slovenia,2005,52.89528095
Slovenia,2006,53.26497838
Slovenia,2007,53.32535459
Slovenia,2008,53.53942767
Slovenia,2009,53.615842
Slovenia,2010,53.25484648
Slovenia,2011,52.33188686
Slovenia,2012,52.23172706
Slovenia,2013,51.60089533
Slovenia,2014,52.22386887
Slovenia,2015,51.89137775
Slovenia,2016,51.94330169
South Africa,2001,52.89525534
South Africa,2002,52.51753308
South Africa,2003,50.44943775
South Africa,2004,48.30995885
South Africa,2005,50.36539262
South Africa,2006,51.87280589
South Africa,2007,50.7807062
South Africa,2008,47.93156236
South Africa,2009,46.26401785
South Africa,2010,44.63234733
South Africa,2011,45.03820185
South Africa,2012,45.22486513
South Africa,2013,46.17645156
South Africa,2014,46.40672798
South Africa,2015,47.64482287
South Africa,2016,47.63376183
Spain,1972,26.14694831
Spain,1973,28.55704048
Spain,1974,28.53477721
Spain,1975,27.5365753
Spain,1976,28.66205959
Spain,1977,28.12457867
Spain,1978,28.0630684
Spain,1979,28.05090451
Spain,1980,27.81012091
Spain,1981,27.4347386
Spain,1982,27.88840417
Spain,1983,28.58949856
Spain,1984,28.61231213
Spain,1985,28.71813631
Spain,1986,29.10516265
Spain,1987,31.98722653
Spain,1988,33.50676582
Spain,1989,33.6854347
Spain,1990,34.26667007
Spain,1991,34.73218238
Spain,1992,35.43108795
Spain,1993,36.11487116
Spain,1994,37.0859949
Spain,1995,37.66044501
Spain,1996,38.22431825
Spain,1997,38.8871247
Spain,1998,39.23155122
Spain,1999,39.92726458
Spain,2000,41.33411877
Spain,2001,40.27207822
Spain,2002,42.74755278
Spain,2003,44.3734474
Spain,2004,45.72769418
Spain,2005,47.03012963
Spain,2006,48.45382859
Spain,2007,49.50920682
Spain,2008,50.93257516
Spain,2009,52.01044212
Spain,2010,52.70006091
Spain,2011,53.38588255
Spain,2012,53.98224045
Spain,2013,53.94362644
Spain,2014,53.6745498
Spain,2015,53.69840031
Spain,2016,53.64144133
Sweden,1963,49.42408754
Sweden,1964,48.81364399
Sweden,1965,48.72393072
Sweden,1966,49.64076683
Sweden,1967,49.11694012
Sweden,1968,50.51489199
Sweden,1969,51.4780871
Sweden,1970,52.80073776
Sweden,1971,54.00916964
Sweden,1972,54.74883059
Sweden,1973,55.17323128
Sweden,1974,57.06172673
Sweden,1975,59.18972665
Sweden,1976,60.67343486
Sweden,1977,61.28557081
Sweden,1978,62.32899566
Sweden,1979,63.70136349
Sweden,1980,64.75181999
Sweden,1981,65.86411609
Sweden,1982,66.52316793
Sweden,1983,67.23278689
Sweden,1984,67.76358874
Sweden,1985,68.17320261
Sweden,1986,68.78916449
Sweden,1987,69.59921799
Sweden,1988,70.38961039
Sweden,1989,70.90203686
Sweden,1990,71.21260856
Sweden,1991,70.69186419
Sweden,1992,69.28731224
Sweden,1993,67.66677306
Sweden,1994,66.76199555
Sweden,1995,67.31135067
Sweden,1996,67.37476221
Sweden,1997,66.52905684
Sweden,1998,65.8838464
Sweden,1999,66.55030149
Sweden,2000,67.5118859
Sweden,2001,68.22488945
Sweden,2002,68.23751178
Sweden,2003,68.14629572
Sweden,2004,67.91995525
Sweden,2005,68.82022472
Sweden,2006,68.9573967
Sweden,2007,68.30892381
Sweden,2008,68.32855526
Sweden,2009,67.63604216
Sweden,2010,67.07485737
Sweden,2011,67.85121602
Sweden,2012,68.26624947
Sweden,2013,68.65844712
Sweden,2014,69.10256102
Sweden,2015,69.46709917
Sweden,2016,69.64246082
Switzerland,1991,56.80521845
Switzerland,1992,57.12716076
Switzerland,1993,56.9368123
Switzerland,1994,56.223497
Switzerland,1995,55.8484615
Switzerland,1996,56.95459277
Switzerland,1997,56.91881245
Switzerland,1998,58.14796303
Switzerland,1999,58.15928955
Switzerland,2000,57.62538988
Switzerland,2001,58.82918047
Switzerland,2002,59.30190858
Switzerland,2003,59.46355618
Switzerland,2004,59.11267838
Switzerland,2005,59.34019079
Switzerland,2006,59.75631543
Switzerland,2007,59.93574176
Switzerland,2008,61.29615939
Switzerland,2009,61.56054077
Switzerland,2010,59.9821225
Switzerland,2011,60.53689944
Switzerland,2012,60.83878063
Switzerland,2013,61.14365571
Switzerland,2014,61.90348243
Switzerland,2015,62.28265838
Switzerland,2016,62.83660183
Turkey,1988,34.26982733
Turkey,1989,36.12607681
Turkey,1990,34.15249072
Turkey,1991,34.1355203
Turkey,1992,32.73800198
Turkey,1993,26.79542567
Turkey,1994,31.29789864
Turkey,1995,30.93646289
Turkey,1996,30.56793134
Turkey,1997,28.82317938
Turkey,1998,29.26643692
Turkey,1999,30.01050236
Turkey,2000,26.56793303
Turkey,2001,27.13846931
Turkey,2002,27.90947386
Turkey,2003,26.58310008
Turkey,2004,23.33497983
Turkey,2005,23.29849295
Turkey,2006,23.57960209
Turkey,2007,23.61067504
Turkey,2008,24.47977102
Turkey,2009,26.03541303
Turkey,2010,27.61509406
Turkey,2011,28.81604517
Turkey,2012,29.49881184
Turkey,2013,30.75750053
Turkey,2014,30.25795715
Turkey,2015,31.50507155
Turkey,2016,32.45091105
United Kingdom,1921,32.3
United Kingdom,1931,34.2
United Kingdom,1951,34.7
United Kingdom,1961,37.4
United Kingdom,1971,42.7
United Kingdom,1981,45.6
United Kingdom,1984,49.23290481
United Kingdom,1985,49.57481603
United Kingdom,1986,50.41436054
United Kingdom,1987,50.92438981
United Kingdom,1988,51.65113991
United Kingdom,1989,52.94036269
United Kingdom,1990,53.24416241
United Kingdom,1991,53.21266192
United Kingdom,1992,53.05319012
United Kingdom,1993,53.09386359
United Kingdom,1994,53.15677061
United Kingdom,1995,53.12819639
United Kingdom,1996,53.5081382
United Kingdom,1997,53.95305483
United Kingdom,1998,53.92802838
United Kingdom,1999,54.49532789
United Kingdom,2000,54.87993966
United Kingdom,2001,54.86681396
United Kingdom,2002,55.43107287
United Kingdom,2003,55.26898748
United Kingdom,2004,55.65285647
United Kingdom,2005,55.92255619
United Kingdom,2006,56.61195223
United Kingdom,2007,56.21880413
United Kingdom,2008,56.5470764
United Kingdom,2009,56.58360522
United Kingdom,2010,56.63858715
United Kingdom,2011,56.69244111
United Kingdom,2012,56.82707988
United Kingdom,2013,57.16225204
United Kingdom,2014,57.57954364
United Kingdom,2015,57.60372919
United Kingdom,2016,57.9712273
United States,1890,18.6
United States,1900,20.4
United States,1910,22.8
United States,1920,23.3
United States,1930,24.3
United States,1940,25.4
United States,1950,28.6
United States,1960,40.4474344
United States,1961,40.96715647
United States,1962,40.90077337
United States,1963,37.97147726
United States,1964,38.38956963
United States,1965,38.90124885
United States,1966,39.86145545
United States,1967,41.05501261
United States,1968,41.61477407
United States,1969,42.71176001
United States,1970,43.33919543
United States,1971,43.35783918
United States,1972,43.88459976
United States,1973,44.73048351
United States,1974,45.656395
United States,1975,46.34867241
United States,1976,47.31763564
United States,1977,48.43934497
United States,1978,49.95488475
United States,1979,50.9350099
United States,1980,51.47568069
United States,1981,52.10730107
United States,1982,52.62374928
United States,1983,52.90229697
United States,1984,53.57843454
United States,1985,54.46195206
United States,1986,55.29391906
United States,1987,55.9778413
United States,1988,56.57633635
United States,1989,57.39117075
United States,1990,57.52723003
United States,1991,57.37954981
United States,1992,57.83060626
United States,1993,57.92366954
United States,1994,58.79350393
United States,1995,58.93622165
United States,1996,59.25737879
United States,1997,59.79396113
United States,1998,59.84558161
United States,1999,60.03554535
United States,2000,59.94195928
United States,2001,59.78839291
United States,2002,59.62348651
United States,2003,59.50372165
United States,2004,59.16193243
United States,2005,59.252386
United States,2006,59.36350024
United States,2007,59.30657087
United States,2008,59.47247174
United States,2009,59.1948449
United States,2010,58.62167362
United States,2011,58.10300081
United States,2012,57.68381769
United States,2013,57.20556307
United States,2014,56.97314332
United States,2015,56.67617579
United States,2016,56.80250305
