Entity,Year,Cost of calorie sufficient diet (2017 USD per day),Cost of nutrient adequate diet (2017 USD per day),Cost of healthy diet (2017 USD per day),Calorie sufficient diet cost (% of $1.20 poverty line),Nutrient adequate diet cost (% of $1.20 poverty line),Healthy diet cost (% of $1.20 poverty line),Calorie sufficient diet cost (% of average food expenditure),Nutrient adequate diet cost (% of average food expenditure),Healthy diet cost (% of average food expenditure),Calorie sufficient diet cost (% cannot afford),Nutrient adequate diet cost  (% cannot afford),Healthy diet cost  (% cannot afford),Calorie sufficient diet cost (number cannot afford),Nutrient adequate diet cost  (number cannot afford),Healthy diet cost  (number cannot afford)
Serbia,2017,0.613036548,2.609070262,4.370329975,51.21441502,217.9674404,365.1069319,51.21441502,217.9674404,365.1069319,0,1.481865,11.23344,0,104039.6374,788683.8709
Seychelles,2017,0.633518334,2.166685499,4.438216524,52.92550826,181.009649,370.7783228,52.92550826,181.009649,370.7783228,0.3129449,1.836665,6.876185,299.9357805,1760.314836,6590.34199
Sierra Leone,2017,0.454760423,1.973670895,2.843431196,37.99168109,164.8847866,237.5464659,37.99168109,164.8847866,237.5464659,0.4607084,68.58077,85.11674,34499.83065,5135623.641,6373908.344
Singapore,2017,0.751355278,2.00572037,3.389176255,62.76986448,167.5622699,283.1392026,62.76986448,167.5622699,283.1392026,,,,,,
Sint Maarten (Dutch part),2017,1.722573253,3.757432796,4.769128568,143.9075399,313.90416,398.4234392,143.9075399,313.90416,398.4234392,,,,,,
Slovakia,2017,0.387427116,2.110823834,3.359962388,32.36650925,176.3428433,280.6986122,32.36650925,176.3428433,280.6986122,1.000781,1.623667,2.577838,54434.8004,88315.01504,140214.5894
Slovenia,2017,0.440995618,2.047126761,3.041276318,36.84173919,171.0214503,254.0748804,36.84173919,171.0214503,254.0748804,0,0,0.01920434,0,0,396.8361772
South Africa,2017,1.264708811,3.394745763,4.349961941,105.6565422,283.6044915,363.4053418,105.6565422,283.6044915,363.4053418,18.57187,54.36634,62.01857,10586049.66,30989058.99,35350864.6
South Asia,2017,,,,,,,,,,0.7,33.4,76.1,12920000,586140000,1337370000
South Korea,2017,0.68144879,3.827438961,4.827519228,56.92972348,319.7526283,403.3015228,56.92972348,319.7526283,403.3015228,0,0.9907304,1.49925,0,508858.0663,770043.4507
Southeastern Asia,2017,,,,,,,,,,1,23.3,52.1,6290000,145400000,325530000
Southern Europe,2017,,,,,,,,,,0.6,1.9,3.6,950000,2810000,5400000
Spain,2017,0.442280512,1.765699858,2.765655785,36.94908205,147.5104309,231.0489377,36.94908205,147.5104309,231.0489377,0.5017389,0.9306921,1.469346,233776.3898,433639.5666,684615.8494
Sri Lanka,2017,0.971934199,2.021536549,4.711657382,81.19751039,168.883588,393.6221706,81.19751039,168.883588,393.6221706,0.07432141,6.826345,53.49157,15937.48316,1463841.422,11470732.27
Sub-Saharan Africa,2017,,,,,,,,,,14.9,60.8,84.6,145760000,596320000,828780000
Sudan,2017,1.078303515,5.9554138,4.934139908,90.08383584,497.5283041,412.2088478,90.08383584,497.5283041,412.2088478,6.80115,93.35782,88.9735,2775780.282,38102496.77,36313106.89
Suriname,2017,1.141124063,3.253617587,5.086147768,95.3320019,271.8143347,424.9079171,95.3320019,271.8143347,424.9079171,17.82297,42.80122,54.12136,101679.3309,244179.2481,308760.1939
Sweden,2017,0.822322346,2.502307275,2.944496357,68.69860871,209.0482268,245.9896706,68.69860871,209.0482268,245.9896706,0.1356052,0.3259973,0.3404294,13638.76149,32787.82392,34239.36096
Switzerland,2017,0.422059823,2.070880059,2.471463784,35.25980145,173.0058529,206.471494,35.25980145,173.0058529,206.471494,0,0.02182594,0.03222105,0,1844.693527,2723.271592
Taiwan,2017,1.457925051,2.659039643,5.153355834,121.7982499,222.1419919,430.522626,121.7982499,222.1419919,430.522626,,,,,,
Tajikistan,2017,0.911056262,2.198401927,3.363835329,76.11163426,183.6593088,281.0221662,76.11163426,183.6593088,281.0221662,0.828078,14.37546,37.22961,73535.54565,1276579.374,3306089.143
Tanzania,2017,0.577612603,1.727491019,2.770614562,48.25502113,144.3183808,231.4632048,48.25502113,144.3183808,231.4632048,5.551544,65.45643,85.0013,3034690.794,35781041.37,46465030.73
Thailand,2017,1.046140589,2.708490254,4.889829055,87.39687457,226.2732041,408.5070221,87.39687457,226.2732041,408.5070221,0.007592793,1.75966,19.52481,5254.961254,1217858.187,13513093.28
Togo,2017,1.938657561,2.182212607,5.721265576,161.959696,182.3068176,477.9670489,161.959696,182.3068176,477.9670489,64.42809,69.74411,96.06532,4959980.402,5369232.872,7395564.644
Trinidad and Tobago,2017,1.008387702,2.628696581,4.32516192,84.24291577,219.6070661,361.3334938,84.24291577,219.6070661,361.3334938,0.1767277,2.185629,9.048051,2446.038612,30250.67901,125231.5404
Tunisia,2017,0.603618059,1.675979784,3.680911385,50.42757388,140.0150196,307.5113939,50.42757388,140.0150196,307.5113939,0,0.9005468,15.33699,0,102963.5051,1753546.01
Turkey,2017,0.734378871,2.368285367,3.338821043,61.35161827,197.8517433,278.9324179,61.35161827,197.8517433,278.9324179,0,2.074157,6.22703,0,1682180.57,5050239.145
Turks and Caicos Islands,2017,1.127194222,2.3234374,3.32446792,94.16827247,194.1050459,277.7333266,94.16827247,194.1050459,277.7333266,,,,,,
Uganda,2017,0.471715061,1.552032286,3.000061344,39.40810866,129.6601743,250.6316912,39.40810866,129.6601743,250.6316912,2.001141,50.40305,81.26644,823718.9637,20747137.82,33451269.92
United Arab Emirates,2017,0.745475485,1.80573157,3.460488799,62.27865372,150.8547677,289.0968086,62.27865372,150.8547677,289.0968086,,,,,,
United Kingdom,2017,0.265348333,1.442285897,1.887692077,22.16778056,120.4917208,157.7019279,22.16778056,120.4917208,157.7019279,0.1142764,0.2102617,0.2637188,75489.68595,138896.4799,174209.6302
United States,2017,0.9044263,2.21435,3.104413959,75.55775272,184.9916458,259.3495371,75.55775272,184.9916458,259.3495371,0.9995407,1.4996,1.749243,3248362.731,4873483.143,5684786.792
Upper-middle income,2017,,,,,,,,,,0.8,4.3,17,18950000,104490000,408300000
Uruguay,2017,0.694181218,2.128675062,3.016304371,57.99341841,177.834174,251.9886692,57.99341841,177.834174,251.9886692,0.03311634,0.3204955,1.177527,1138.091374,11014.29578,40467.43454
Vietnam,2017,0.974507314,2.470768271,4.005445392,81.41247403,206.4133894,334.6236752,81.41247403,206.4133894,334.6236752,0.5694805,9.504615,26.60525,538709.4298,8991046.625,25167673.1
Western Asia,2017,,,,,,,,,,0.2,4.8,21.3,320000,7450000,33160000
Western Europe,2017,,,,,,,,,,0,0.2,0.2,30000,320000,360000
World,2017,,,,,,,,,,2.6,21.6,43.2,185490000,1513010000,3021530000
Zambia,2017,0.606150805,2.165642519,3.379911506,50.63916499,180.9225162,282.3652052,50.63916499,180.9225162,282.3652052,28.77859,73.15924,84.13305,4850253.769,12330030.05,14179521.75
Zimbabwe,2017,0.73178701,2.14168866,3.802684006,61.13508858,178.9213584,317.6845452,61.13508858,178.9213584,317.6845452,5.102644,57.74772,80.01028,726450.4145,8221395.64,11390859.54
