Entity,Year,Tin,Iron,Coal,Wool/Textiles,Leather,Foodstuffs,Construction,Printed books
England,1702,78.13,99.35,68.75,96.28,100.51,103.71,79.83,73.47
England,1703,112.50,98.74,87.50,92.37,97.76,112.83,94.96,58.90
England,1704,103.13,98.40,106.25,92.55,96.95,110.78,109.24,72.24
England,1705,98.44,97.42,100.00,97.67,101.04,117.48,101.26,73.31
England,1706,103.13,97.86,87.50,94.42,99.74,106.88,93.28,65.93
England,1707,101.56,98.62,81.25,100.53,104.26,111.74,117.65,68.12
England,1708,101.56,98.73,106.25,106.86,107.08,109.02,105.04,67.05
England,1709,100.00,98.39,112.50,49.05,67.99,103.85,84.03,67.09
England,1710,151.56,100.71,93.75,54.22,70.88,98.89,79.83,100.35
England,1711,100.00,100.78,106.25,58.13,71.87,102.07,55.46,73.86
England,1712,100.00,102.21,100.00,61.44,73.63,102.07,55.46,76.60
England,1713,93.75,102.91,100.00,53.38,68.57,94.51,85.71,65.89
England,1714,78.13,104.10,125.00,58.90,74.03,99.58,101.68,76.63
England,1715,82.81,105.75,112.50,65.58,79.81,99.70,115.97,83.30
England,1716,75.00,115.30,118.75,54.59,75.89,106.32,81.51,64.96
England,1717,115.63,125.15,131.25,58.46,81.43,110.58,96.64,64.41
England,1718,114.06,138.76,118.75,59.87,83.57,112.32,111.76,62.54
England,1719,109.38,135.89,125.00,67.09,87.62,115.90,110.08,61.03
England,1720,103.13,134.51,125.00,76.28,95.00,115.97,140.34,79.01
England,1721,79.69,128.99,137.50,76.28,94.12,116.31,111.76,58.19
England,1722,96.88,122.93,137.50,78.17,102.07,117.63,121.01,55.09
England,1723,95.31,122.98,137.50,71.69,100.68,117.54,106.72,48.23
England,1724,110.94,122.95,131.25,87.86,98.95,112.09,142.02,46.03
England,1725,115.63,122.85,137.50,88.44,101.38,111.44,142.86,50.29
England,1726,106.25,120.67,150.00,70.36,103.46,111.08,117.65,51.39
England,1727,110.94,120.52,143.75,70.91,102.42,113.37,115.97,48.94
England,1728,101.56,118.37,131.25,69.95,98.95,106.09,129.41,50.26
England,1729,110.94,114.83,143.75,51.65,95.13,104.22,99.16,48.52
England,1730,107.81,112.10,131.25,69.19,98.60,111.33,111.76,61.32
England,1731,96.88,111.30,137.50,69.22,96.52,109.05,103.36,46.87
England,1732,129.69,107.91,131.25,47.13,97.56,112.16,134.45,58.03
England,1733,114.06,107.99,143.75,58.87,97.21,117.32,123.53,53.64
England,1734,128.13,103.24,131.25,60.09,98.60,109.67,126.05,53.87
England,1735,121.88,102.53,150.00,60.90,102.42,110.06,118.49,61.51
England,1736,107.81,96.87,150.00,61.55,108.67,108.28,124.37,58.03
England,1737,117.19,98.57,137.50,53.31,108.67,110.94,121.01,52.29
England,1738,93.75,103.58,143.75,53.70,105.19,109.37,113.45,52.06
England,1739,125.00,112.40,131.25,35.35,106.58,113.67,84.87,62.99
England,1740,118.75,114.20,168.75,35.79,97.56,104.85,99.16,67.15
England,1741,107.81,115.87,131.25,37.58,98.95,105.72,121.85,57.93
England,1742,125.00,122.28,137.50,37.58,96.86,109.45,131.93,56.45
England,1743,131.25,121.98,143.75,38.03,92.70,112.82,125.21,53.26
England,1744,129.69,124.67,137.50,40.27,91.31,115.21,100.84,54.58
England,1745,120.31,128.46,137.50,39.82,89.22,106.40,118.49,66.47
England,1746,132.81,131.09,143.75,42.06,92.70,105.64,130.25,58.87
England,1747,128.13,136.07,137.50,44.30,96.86,111.50,105.04,57.61
England,1748,139.06,139.68,131.25,44.30,94.78,114.70,131.09,60.96
England,1749,79.69,142.72,150.00,44.30,99.64,111.78,113.45,54.51
England,1750,200.00,147.57,137.50,46.98,102.42,118.17,143.70,105.38
England,1751,157.81,150.88,156.94,46.09,99.99,115.20,127.73,60.09
England,1752,179.69,152.10,151.33,45.19,105.54,114.66,141.18,49.45
England,1753,179.69,151.90,151.99,44.30,104.50,117.57,139.50,62.15
England,1754,192.19,153.34,159.01,45.19,101.03,116.88,138.66,52.55
England,1755,192.19,153.21,146.93,44.74,101.38,115.04,160.50,66.02
England,1756,192.19,152.99,167.74,40.27,104.50,104.24,152.10,68.54
England,1757,192.19,155.37,156.35,45.19,102.42,102.41,131.93,63.06
England,1758,192.19,155.87,138.13,43.85,104.50,112.66,131.09,60.90
England,1759,185.94,156.18,172.67,40.72,107.97,112.93,149.58,62.15
England,1760,192.19,158.71,160.90,41.16,104.85,123.22,123.53,106.90
England,1761,165.63,158.34,159.48,42.06,108.67,121.08,153.78,75.79
England,1762,179.69,159.07,164.65,41.16,112.49,114.14,132.77,73.34
England,1763,192.19,160.66,182.75,39.37,110.05,110.01,179.83,67.57
England,1764,185.94,164.11,181.09,42.06,120.47,114.98,163.87,60.38
England,1765,192.19,166.70,179.43,41.16,114.22,110.05,205.88,84.01
England,1766,214.06,165.68,194.96,45.64,109.71,105.70,214.52,75.21
England,1767,200.00,166.61,184.49,53.69,107.62,104.34,171.29,71.44
England,1768,185.94,166.63,193.70,48.32,104.85,110.57,185.82,74.40
England,1769,200.00,167.31,203.09,51.90,107.28,109.44,201.77,63.54
England,1770,206.25,167.53,198.94,51.45,107.97,109.85,201.80,101.55
England,1771,200.00,166.39,220.91,51.90,111.10,109.78,253.21,66.05
England,1772,220.31,160.68,236.20,53.24,114.22,113.83,263.74,75.24
England,1773,200.00,158.90,216.71,55.93,117.00,110.11,242.64,68.38
England,1774,171.88,158.13,203.99,43.85,114.92,109.01,214.77,73.37
England,1775,185.94,158.98,219.41,45.64,113.87,112.22,258.48,102.26
England,1776,185.94,159.81,239.11,47.43,111.79,102.79,252.79,74.79
England,1777,192.19,164.21,237.23,48.77,115.61,104.96,264.88,83.14
England,1778,179.69,164.29,227.44,54.59,116.65,106.70,278.73,69.15
England,1779,185.94,162.48,216.97,49.22,113.87,109.24,267.51,69.12
England,1780,206.25,158.18,245.42,42.95,113.53,116.97,260.26,136.33
England,1781,185.94,157.30,245.68,43.85,116.30,111.24,263.30,74.98
England,1782,179.69,166.00,245.95,51.90,119.78,114.54,284.95,80.72
England,1783,179.69,170.42,262.10,55.48,121.86,99.83,456.28,81.08
England,1784,185.94,166.58,270.33,53.24,119.08,124.43,316.83,65.25
England,1785,200.00,192.38,278.58,54.59,122.55,121.97,305.97,69.49
England,1786,234.38,213.61,283.35,57.27,121.16,118.20,389.46,60.61
England,1787,226.56,225.70,255.19,59.06,122.55,123.85,403.31,61.00
England,1788,165.63,250.07,301.26,55.48,124.64,123.33,369.74,68.34
England,1789,240.63,261.36,323.18,58.17,118.39,121.70,331.43,66.02
England,1790,220.31,292.59,311.08,59.51,128.46,122.77,376.15,125.09
England,1791,240.63,302.40,334.23,57.27,130.19,132.51,347.98,75.29
England,1792,268.75,318.77,339.95,68.46,129.84,138.49,491.85,84.17
England,1793,226.56,333.83,320.25,61.75,134.36,138.24,389.21,96.91
England,1794,234.38,336.33,309.19,58.17,137.83,138.87,341.78,89.57
England,1795,240.63,354.75,356.26,67.56,135.40,138.88,378.40,94.98
England,1796,214.06,357.35,326.96,68.01,145.12,148.12,536.88,86.10
England,1797,226.56,415.63,347.75,66.22,134.36,156.40,421.42,85.32
England,1798,200.00,456.00,308.88,63.09,134.36,153.11,322.97,89.18
England,1799,200.00,477.13,355.81,72.04,129.50,160.16,318.58,85.32
England,1800,179.69,534.73,421.28,72.93,135.05,124.72,420.58,387.24
England,1801,165.63,590.89,359.34,64.43,138.87,124.59,484.22,179.53
England,1802,185.94,610.82,431.96,65.33,142.45,136.12,367.73,127.79
England,1803,206.25,659.95,432.29,66.67,125.27,139.81,429.43,159.84
England,1804,214.06,641.42,480.23,73.38,125.99,133.18,422.96,138.22
England,1805,192.19,653.25,480.76,77.41,143.17,135.18,447.23,192.65
England,1806,206.25,711.13,502.17,76.06,141.02,139.68,350.08,184.93
England,1807,171.88,769.50,454.55,72.93,139.59,144.56,505.56,182.23
England,1808,165.63,803.73,525.58,68.46,144.60,145.84,300.38,176.44
England,1809,179.69,801.92,467.72,75.17,151.04,136.25,367.35,168.33
England,1810,145.31,819.02,539.27,70.69,153.90,142.82,636.14,258.67
England,1811,165.63,903.63,539.72,68.01,143.17,156.46,653.42,197.29
England,1812,165.63,898.51,550.15,71.59,135.29,146.94,464.91,236.28
England,1813,165.63,884.77,539.43,81.88,153.90,145.45,347.64,205.39
England,1814,185.94,866.34,614.11,79.64,157.48,151.94,249.84,187.63
England,1815,206.25,854.59,614.36,80.99,178.96,152.25,538.60,222.00
England,1816,234.38,707.11,656.00,75.17,181.82,149.10,412.15,194.58
England,1817,289.06,690.75,610.17,80.09,200.43,155.82,394.72,203.85
England,1818,282.81,732.92,651.51,88.59,193.27,165.40,448.19,219.29
England,1819,234.38,727.37,627.62,82.33,184.68,164.21,543.56,214.27
England,1820,206.25,825.64,679.37,77.85,171.80,189.95,516.47,316.97
England,1821,234.38,993.19,664.77,84.56,173.23,164.46,533.55,210.80
England,1822,226.56,924.10,693.75,86.35,176.81,174.17,522.16,242.46
England,1823,295.31,1140.21,778.82,87.70,193.99,161.39,554.88,238.21
England,1824,351.56,1339.80,786.81,90.83,209.74,172.65,631.94,301.53
England,1825,303.13,1401.90,806.15,106.49,206.87,193.37,711.42,324.31
England,1826,323.44,1270.56,863.83,87.70,182.54,200.54,721.46,391.48
England,1827,385.94,1666.93,797.98,97.09,198.28,186.54,605.96,305.00
England,1828,343.75,1690.71,810.12,99.33,229.78,202.01,654.23,278.75
England,1829,309.38,1665.77,886.58,94.86,234.08,200.59,743.88,286.86
England,1830,309.38,1648.81,960.87,104.25,244.81,211.41,680.36,406.93
England,1831,303.13,1460.24,970.54,102.46,224.05,231.50,804.06,342.07
England,1832,303.13,1542.25,1035.42,99.78,199.72,214.15,872.13,406.54
England,1833,282.81,1905.14,1045.32,107.83,231.93,222.96,838.18,323.53
England,1834,206.25,1925.14,1054.76,113.65,256.98,226.71,802.29,347.09
England,1835,295.31,2278.37,1146.48,108.28,240.52,233.13,990.34,403.84
England,1836,282.81,2373.65,1203.68,126.62,252.69,238.87,914.36,386.08
England,1837,329.69,2538.28,1314.07,114.54,241.23,232.52,1012.35,366.39
England,1838,357.81,2758.14,1329.91,117.23,248.39,236.26,966.74,428.55
England,1839,371.88,3049.79,1322.11,122.15,260.56,236.09,982.72,439.36
England,1840,364.06,3408.59,1355.69,115.44,243.38,241.31,958.40,518.50
England,1841,362.50,3587.99,1414.64,119.02,291.34,237.59,914.18,424.30
England,1842,362.50,2556.44,1431.09,110.52,315.68,230.58,673.49,433.57
England,1843,371.88,2690.99,1373.99,113.20,315.68,230.43,873.31,445.54
England,1844,400.00,4798.93,1348.59,126.18,346.46,233.22,923.90,480.67
England,1845,420.31,3677.69,1656.76,133.78,348.61,239.26,1338.09,577.58
England,1846,434.38,4215.88,1575.55,127.07,292.77,246.15,1517.26,581.44
England,1847,446.88,4664.38,1790.89,122.60,321.41,249.69,1246.73,528.16
England,1848,460.94,4843.78,1849.81,128.41,302.80,242.65,1346.57,494.57
England,1849,481.25,4933.48,1747.88,125.28,317.83,256.51,1134.81,543.21
England,1850,468.75,5381.98,1912.75,121.25,297.78,273.32,1058.09,667.53
England,1851,426.56,5875.33,2083.54,127.97,313.53,285.30,1066.36,571.01
England,1852,434.38,6234.12,2072.63,137.81,282.75,249.58,1113.91,594.18
England,1853,400.00,6772.32,2050.82,157.50,377.96,263.22,1341.04,623.90
England,1854,412.50,7041.42,2454.43,137.81,309.24,295.71,1508.17,614.25
England,1855,420.31,7400.22,2496.92,125.28,297.07,257.37,1459.81,624.29
England,1856,426.56,8207.52,2581.90,133.33,308.52,277.25,1403.61,586.07
England,1857,460.94,8207.52,2676.67,138.70,414.46,298.92,1487.76,615.80
England,1858,481.25,7803.87,2624.38,144.97,305.66,301.42,1574.92,569.08
England,1859,495.31,8611.17,2706.09,150.78,347.18,282.40,1671.10,633.17
England,1860,468.75,8835.41,2872.77,157.50,339.30,285.83,1782.31,699.96
England,1861,523.44,8431.77,2915.25,138.70,324.99,301.02,1610.99,584.94
England,1862,592.19,8925.11,2977.35,158.84,340.02,342.16,2016.75,585.61
England,1863,701.56,10315.46,3127.69,154.36,349.32,343.38,2109.92,596.46
England,1864,709.38,11033.06,3238.81,182.10,383.68,335.12,2236.15,633.68
England,1865,701.56,10943.36,3343.39,170.92,391.56,322.89,2335.34,642.87
England,1866,698.44,10270.61,3428.36,202.24,442.38,323.57,2422.50,579.30
England,1867,606.25,10808.81,3477.39,188.37,378.67,326.08,2515.67,604.58
England,1868,646.88,11391.85,3536.22,199.55,423.05,372.22,2593.82,635.63
England,1869,681.25,12333.70,3624.46,196.87,365.07,372.41,2662.95,603.67
England,1870,715.63,13679.20,3774.80,214.32,445.24,368.31,2744.10,667.81
