Entity,Year,Total tax (% of GDP) (OECD (2018)),"Taxes on income, profits, and capital gains (% of GDP) (OECD (2018))",Social security contributions (SSC) (% of GDP) (OECD (2018),Taxes on payroll and workforce (% of GDP) (OECD (2018)),Taxes on property (% of GDP) (OECD (2018)),Taxes on goods and services (% of GDP) (OECD (2018)),Other tax (% of GDP) (OECD (2018))
Canada,2001,34.2062149,16.3526039,4.8551402,0.6873270,3.6767311,8.4565792,0.1778350
Canada,2002,33.1985512,15.0102043,5.0513358,0.6813220,3.5913069,8.6997919,0.1645890
Canada,2003,32.8158569,14.7724857,5.0745192,0.6844680,3.5501220,8.6204271,0.1138360
Canada,2004,32.8246078,15.1630363,4.9036002,0.6667780,3.5434780,8.4475641,0.1001510
Canada,2005,32.7657852,15.4086142,4.8361058,0.6513630,3.5139220,8.2511539,0.1046250
Canada,2006,32.8209991,15.8980026,4.7816281,0.6437440,3.4755690,7.9998722,0.0221820
Canada,2007,32.5803680,15.9639864,4.6851449,0.6379280,3.4639771,7.8075981,0.0217350
Canada,2008,31.3125076,15.4656906,4.5326018,0.6285830,3.6060081,7.0450792,0.0345450
Canada,2009,32.4282951,15.4936991,4.8735232,0.6662140,3.9406309,7.4165869,0.0376430
Canada,2010,31.0800362,14.4971113,4.6198020,0.6473620,3.8345239,7.4453788,0.0358580
Canada,2011,30.8749866,14.6128969,4.5489411,0.6531360,3.6959250,7.3278699,0.0362160
Canada,2012,31.2526131,14.8320065,4.7106438,0.6530030,3.7137320,7.3057580,0.0374700
Canada,2013,31.2092953,14.8501854,4.7637858,0.6578020,3.7127640,7.1880789,0.0366790
Canada,2014,31.3404465,15.0704718,4.6912460,0.6498900,3.6823151,7.2102962,0.0362280
Canada,2015,32.6778030,15.7850208,4.8331170,0.6673480,3.8537240,7.5041552,0.0344380
Canada,2016,32.7127609,15.6281061,4.8604078,0.6827790,3.9150851,7.5927300,0.0336530
Canada,2017,32.2405968,15.3610086,4.6120529,0.6700500,3.8367450,7.7287612,0.0319780
Cape Verde,1990,10.4505863,3.6548860,,,0.8785710,5.9171300,
Cape Verde,1991,12.3164434,3.7396979,,,0.8374710,7.7392740,
Cape Verde,1992,14.1365261,4.1654720,,,0.8088770,9.1621771,
Cape Verde,1993,14.7388477,4.7859082,,,0.9340640,9.0188751,
Cape Verde,1994,14.9181261,5.1564112,,,0.8266630,8.9350510,
Cape Verde,1995,15.2614803,5.1073790,,,0.8055340,9.3485661,
Cape Verde,1996,14.9669027,5.0700359,,,0.8216350,9.0752335,
Cape Verde,1997,14.5670424,5.1121850,,,0.7834310,8.6714258,
Cape Verde,1998,14.8519506,5.0960488,,,0.6117390,9.1441631,
Cape Verde,1999,15.2857981,5.4429169,,,0.6770310,9.1658487,
Cape Verde,2000,15.5578194,5.5472178,0.8067580,,0.8275590,8.3762836,
Cape Verde,2001,16.9366570,5.8493109,0.4744570,,0.7899360,9.8229523,
Cape Verde,2002,19.2740364,6.9168901,0.4039710,,0.9166530,11.0365210,
Cape Verde,2003,17.6785450,5.9095111,0.5143820,,0.7820600,10.4725933,
Cape Verde,2004,18.6946468,5.9404278,0.5217040,,0.8070490,11.4254646,
Cape Verde,2005,19.4728241,6.0143929,0.5512730,,0.8377880,12.0693703,
Cape Verde,2006,20.8639545,6.3661852,0.4575670,,0.9561180,13.0840826,
Cape Verde,2007,20.8091869,6.2762728,0.0709360,,1.2126380,13.2493391,
Cape Verde,2008,21.2166042,6.3296442,0.0377370,,1.0881250,13.7610998,
Cape Verde,2009,18.4042606,5.9323320,0.0338310,,0.6995880,11.7385092,
Cape Verde,2010,18.4400005,5.6955070,0.0302390,,0.5056810,12.2085733,
Cape Verde,2011,19.5642490,5.8667541,0.0247020,,0.5645380,13.1082554,
Cape Verde,2012,17.7434521,5.7302561,0.0274800,,0.4440480,11.5416679,
Cape Verde,2013,17.7920799,5.5916548,0.0280340,,0.4345380,11.7378531,
Cape Verde,2014,16.9303741,5.0164380,0.0360350,,0.4322430,11.4456568,
Cape Verde,2015,18.8023014,6.0928998,0.0288070,,0.3667450,12.3138494,
Cape Verde,2016,19.0179977,6.1510072,0.0340840,,0.2889790,12.5439272,
Chile,1990,16.8893986,3.9246070,1.5163341,,1.0388860,10.6315308,-0.2219580
Chile,1991,17.7865410,4.3477898,1.3685910,,1.0643311,11.1875334,-0.1817030
Chile,1992,18.4585056,4.3847609,1.4241951,,1.1340730,11.6711102,-0.1556330
Chile,1993,18.6544075,4.0888190,1.3508120,,1.2619520,12.1170750,-0.1642520
Chile,1994,18.4048691,4.4225550,1.2850250,,1.1602150,11.7111979,-0.1741230
Chile,1995,18.3004341,4.6169229,1.1854720,,1.1498220,11.4485712,-0.1003540
Chile,1996,19.5412388,4.9274950,1.2527560,,1.2555890,12.2884417,-0.1830450
Chile,1997,19.0488091,4.5413399,1.2618010,,1.3114690,12.1179438,-0.1837450
Chile,1998,18.8354645,4.0829039,1.3231651,,1.3173690,12.2165289,-0.1045020
Chile,1999,18.0791397,3.6074100,1.3779980,,1.4087030,11.7910023,-0.1059730
Chile,2000,18.8119545,4.3842902,1.3730640,,1.3189710,12.0027266,-0.2670980
Chile,2001,19.0462666,4.4898272,1.3935651,,1.4157850,11.8307457,-0.0836570
Chile,2002,19.0913086,4.6033492,1.4130660,,1.4580671,11.7755346,-0.1587090
Chile,2003,18.8395691,4.7505698,1.3919320,,1.4382240,11.4070177,-0.1481750
Chile,2004,19.0862522,5.6781020,1.3686219,,1.2961880,10.8223877,-0.0790470
Chile,2005,20.7248478,7.5129509,1.3536160,,1.3101170,10.6730375,-0.1248760
Chile,2006,21.9786797,9.9872322,1.2797190,,1.1785580,9.4963322,0.0368380
Chile,2007,22.7103672,10.3767967,1.2663840,,1.1174620,9.9485960,0.0011280
Chile,2008,21.4057655,8.0296659,1.3736480,,1.1774150,10.8143759,0.0106600
Chile,2009,17.3336487,5.3389568,1.4187630,,0.9402780,9.6412754,-0.0056240
Chile,2010,19.5910358,7.4694319,1.3397950,,0.8058630,10.0307550,-0.0548090
Chile,2011,21.1157074,8.4609079,1.3309320,,0.8422750,10.4094639,0.0721280
Chile,2012,21.3276939,8.3133917,1.3870760,,0.9082960,10.6763334,0.0425980
Chile,2013,19.8596153,6.9052591,1.4280730,,0.8223060,10.7196980,-0.0157210
Chile,2014,19.6100788,6.4781318,1.4197520,,0.8268940,10.8514709,0.0338300
Chile,2015,20.3829212,7.4185972,1.4112810,,0.8904890,11.0255156,-0.3629610
Chile,2016,20.1633682,6.7613759,1.4423740,,1.0230900,11.0062542,-0.0697260
Chile,2017,20.1575909,6.9620738,1.4615710,,1.0848020,11.0464439,-0.3973010
Colombia,1990,9.1906347,2.7495890,0.7254240,,0.2001000,4.9478450,0.5676780
Colombia,1991,10.9086018,3.5874300,1.5141160,,0.2214070,5.0586100,0.5270400
Colombia,1992,11.4417229,3.7511270,1.6089931,,0.2513590,5.3351431,0.4951010
Colombia,1993,11.9117136,3.8770471,1.8178930,,0.2808690,5.3703279,0.5655780
Colombia,1994,13.2236176,3.4966829,2.3544049,0.5667060,0.3451320,6.0768251,0.3838670
Colombia,1995,13.8265600,3.3738539,3.1408529,0.5956940,0.3629160,5.9815860,0.3716570
Colombia,1996,14.6929770,3.2141080,3.4564390,0.6398960,0.4321280,6.5183921,0.4320140
Colombia,1997,15.5856133,3.5046210,3.6676829,0.6411280,0.4482870,6.5901299,0.7337650
Colombia,1998,14.9684067,3.5271311,3.2052169,0.6540920,0.5083690,6.4776359,0.5959630
Colombia,1999,14.9974871,3.4038961,2.9969170,0.6738300,1.0300159,6.1642160,0.7286120
Colombia,2000,14.7719307,3.4389629,2.4152780,0.6229680,0.9816290,6.4716811,0.8414110
Colombia,2001,16.4380131,4.2922111,2.4093010,0.6643910,1.1269770,7.0832262,0.8619080
Colombia,2002,16.3883896,4.1625319,2.2090139,0.6555350,1.6204309,6.8335109,0.9073660
Colombia,2003,16.9035339,4.3479648,2.0736110,0.6387510,1.6000220,7.3291259,0.9140580
Colombia,2004,17.6490784,4.9800038,2.3512959,0.6279800,1.4484550,7.2827930,0.9585520
Colombia,2005,18.2393513,5.1488600,2.3283010,0.6469510,1.4359070,7.6768799,1.0024530
Colombia,2006,19.2348728,5.5340281,2.2465019,0.6626800,1.4182340,8.2626448,1.1107830
Colombia,2007,19.2528038,5.6162210,2.2675021,0.6546860,1.5108711,8.1283083,1.0752140
Colombia,2008,18.9748325,5.1403441,2.0249469,0.6682390,1.8780349,8.2407026,1.0225641
Colombia,2009,18.7129593,5.6033440,2.0598090,0.7148820,1.6382620,7.5909810,1.1056820
Colombia,2010,18.0333481,4.8268490,2.1130970,0.7405370,1.5713240,7.7610049,1.0205370
Colombia,2011,18.8643112,5.4120841,1.6669689,0.7247630,2.0904601,7.9636531,1.0063840
Colombia,2012,19.6535816,6.5584812,1.7744430,0.7170970,2.0527561,7.6283460,0.9224580
Colombia,2013,19.9623680,6.6902061,2.3323741,0.4943000,2.1044841,7.3418598,0.9991430
Colombia,2014,19.4822693,6.5648379,1.7977790,0.3444680,2.1129260,7.5887599,1.0734980
Colombia,2015,19.8195820,6.5437312,1.6882410,0.3476250,2.2750001,7.7517920,1.2131940
Colombia,2016,19.0057049,6.2887111,1.7876410,0.3470680,2.1144781,7.3361731,1.1316350
Colombia,2017,18.7685432,6.2080879,1.4386580,0.3448280,1.9341800,7.7082219,1.1345670
Costa Rica,1990,22.4932041,2.2586989,6.4950829,1.4475490,0.2991480,10.2249308,1.7677940
Costa Rica,1991,17.6606236,1.6570460,4.8195138,1.1201431,0.2002730,8.2498178,1.6138310
Costa Rica,1992,18.6860561,1.6574560,5.0443730,1.2225960,0.2322540,9.6594563,0.8699210
Costa Rica,1993,18.8881378,1.9868010,5.4021549,1.2745980,0.2532870,9.0178299,0.9534680
Costa Rica,1994,19.6872158,2.3419869,5.7975321,1.2890440,0.2160970,9.2388229,0.8037330
Costa Rica,1995,19.0339813,2.3053379,5.6969800,1.1116860,0.1963150,9.0494080,0.6742550
Costa Rica,1996,19.9644165,2.1797049,5.8795271,1.1352611,0.2933150,9.6647987,0.8118110
Costa Rica,1997,20.2536659,2.1646609,5.8768101,1.2683060,0.2926420,9.7519207,0.8993260
Costa Rica,1998,20.5666027,2.4313610,6.0348029,1.2685380,0.1973380,10.0308924,0.6036700
Costa Rica,1999,21.2877235,3.1483500,6.4115658,1.3254490,0.1606010,9.4559679,0.7857890
Costa Rica,2000,21.2297096,2.7956791,6.4477959,1.3412549,0.1822390,9.9158268,0.5469140
Costa Rica,2001,21.8492641,3.1157300,6.5887179,1.2619760,0.1951930,10.1955471,0.4921020
Costa Rica,2002,21.9368324,3.1252401,6.8645821,1.1718420,0.2096500,10.0350714,0.5304470
Costa Rica,2003,21.9386578,3.4003010,6.5781341,1.2333310,0.2139880,9.9163218,0.5965800
Costa Rica,2004,21.4196625,3.2959540,6.3242359,1.1957620,0.2419140,9.8161192,0.5456770
Costa Rica,2005,21.8707771,3.4011099,6.4795041,1.2140050,0.2634040,9.9091110,0.6036440
Costa Rica,2006,22.1566639,3.4104130,6.4364810,1.1411090,0.3157810,10.3076286,0.5452500
Costa Rica,2007,23.2579575,3.8472660,6.4058361,1.2376360,0.3087530,10.8965816,0.5618860
Costa Rica,2008,23.8383656,4.2783442,6.6782331,1.2957100,0.2893320,10.8139124,0.4828360
Costa Rica,2009,22.2408352,3.9233999,7.0922399,1.3319850,0.2718800,9.1825571,0.4387740
Costa Rica,2010,22.3625107,3.8173981,7.4018250,1.3301270,0.3250790,9.0162764,0.4718060
Costa Rica,2011,22.9172363,3.8776910,7.6359739,1.3531500,0.3332330,9.2128448,0.5043450
Costa Rica,2012,22.9333439,3.8152130,7.6449461,1.3861270,0.3508840,9.2009172,0.5352560
Costa Rica,2013,23.5352955,4.0804572,7.7554660,1.4189130,0.3983370,9.2634697,0.6186520
Costa Rica,2014,23.2525005,4.0087948,7.7648392,1.4282550,0.4198520,9.0648880,0.5658710
Costa Rica,2015,23.6449795,4.2597318,7.8723521,1.4467090,0.4209520,9.0907698,0.5544660
Costa Rica,2016,24.1800537,4.5484591,8.1569157,1.4560840,0.4314320,8.9742107,0.6129510
Costa Rica,2017,24.0662289,4.7624350,8.0512562,1.4366180,0.4449890,8.7663479,0.6045810
Cote d'Ivoire,1990,21.6396141,1.6564870,1.4696980,3.0199449,0.2888650,15.2046204,
Cote d'Ivoire,1991,19.5551777,1.8121120,1.2938850,2.9074900,0.5519110,12.9897795,
Cote d'Ivoire,1992,18.1511765,1.8738810,1.2804540,2.5816720,0.5940560,11.8211136,
Cote d'Ivoire,1993,14.8940639,1.4192311,1.2021520,2.1679671,0.3889410,9.7157726,
Cote d'Ivoire,1994,15.2507210,1.4224820,0.9229380,1.5174540,0.3414220,11.0464239,
Cote d'Ivoire,1995,16.8516903,2.5333359,0.9507040,1.5370270,0.2882160,11.5424070,
Cote d'Ivoire,1996,17.5993042,3.0706990,1.1964940,1.4088089,0.3728190,11.5182848,0.0322000
Cote d'Ivoire,1997,17.0551834,3.1959269,1.2139100,1.5344070,0.4469690,10.6265602,0.0374100
Cote d'Ivoire,1998,15.9257107,3.1718090,1.0644460,1.4933670,0.3443080,9.8019848,0.0497950
Cote d'Ivoire,1999,15.8998356,2.8326361,1.0982920,1.5809910,0.3846050,9.9489441,0.0543680
Cote d'Ivoire,2000,15.3254547,2.5169239,1.3459560,1.8088880,0.4289760,9.1676750,0.0570360
Cote d'Ivoire,2001,15.5758648,1.9562250,1.3919060,1.8818150,0.4965520,9.8001385,0.0492290
Cote d'Ivoire,2002,15.8888512,1.8087170,1.3142520,1.9285800,0.4892360,10.2762289,0.0718360
Cote d'Ivoire,2003,14.5990610,1.4062070,1.2263660,1.7628649,0.4419410,9.7107506,0.0509320
Cote d'Ivoire,2004,15.8562698,1.3776470,1.3011320,1.7658989,0.4645840,10.8860617,0.0609460
Cote d'Ivoire,2005,15.6265984,2.1510780,1.2962850,1.6524200,0.4869080,9.9838362,0.0560710
Cote d'Ivoire,2006,16.1790237,2.5784640,1.3114870,1.6074400,0.4918610,10.1345930,0.0551790
Cote d'Ivoire,2007,17.1346035,2.7018330,1.3292270,1.6470820,0.4334350,10.9604015,0.0626250
Cote d'Ivoire,2008,16.9164124,3.2144389,1.3034610,1.5477850,0.4217630,10.3365860,0.0923770
Cote d'Ivoire,2009,16.8313904,2.4451821,1.3187940,1.7113010,0.4197930,10.8428125,0.0935080
Cote d'Ivoire,2010,16.5359516,2.1366990,1.3205490,1.6815250,0.4033020,10.9065332,0.0873440
Cote d'Ivoire,2011,15.3434134,2.7034931,1.0816840,1.6416550,0.3173680,9.5487766,0.0504360
Cote d'Ivoire,2012,17.7163181,3.2153831,1.7247790,1.9704241,0.4470470,10.2794991,0.0791870
Cote d'Ivoire,2013,17.6215343,2.8267040,1.9892770,2.0309429,0.5330030,10.1524925,0.0891150
Cote d'Ivoire,2014,16.8724728,2.3007860,1.9510159,1.8491690,0.4572420,10.2164307,0.0978290
Cote d'Ivoire,2015,17.5435753,2.0866151,1.9572980,1.9010810,0.4543930,11.0367413,0.1074470
Cote d'Ivoire,2016,17.4449158,1.9451410,2.0560081,1.9688460,0.4948170,10.8755140,0.1045890
Cuba,1990,29.0835743,0.0649910,3.2077811,,,25.2676601,0.5431410
Cuba,1991,29.2926750,0.0785780,3.7380569,,,24.6734238,0.8026160
Cuba,1992,31.9269962,0.0917790,4.1178360,,,26.5303688,1.1870140
Cuba,1993,29.9061699,0.3927070,5.5885272,,,21.8164005,2.1085360
Cuba,1994,33.4888840,0.6460270,4.1849232,0.1330050,,26.5773487,1.9475800
Cuba,1995,33.4498749,1.3551120,3.7674639,0.4531030,,25.8646011,2.0095940
Cuba,1996,31.8543396,2.7381380,3.8333931,0.9953230,,22.0370159,2.2504699
Cuba,1997,33.8052177,4.3877792,4.2222018,2.2155721,,21.0124550,1.9672070
Cuba,1998,35.9484024,5.4646478,3.9826970,2.7435920,,21.5388126,2.2186530
Cuba,1999,37.1427574,5.7187452,3.9323640,2.8807020,,22.3387489,2.2721970
Cuba,2000,37.1874733,5.9730940,3.8645000,3.1735229,,22.0258846,2.1504710
Cuba,2001,35.9739151,6.3240161,3.9384639,3.4789031,,20.1566162,2.0759161
Cuba,2002,36.6082687,5.9138741,3.9782081,3.4226940,,21.6096802,1.6838090
Cuba,2003,36.6406593,6.0853291,3.9664519,3.3107619,,22.5522346,0.7258830
Cuba,2004,35.5537529,6.0280609,4.0988932,3.3866451,,21.1923141,0.8478390
Cuba,2005,41.1021042,5.7485499,4.1689529,6.9463792,,23.0830746,1.1551501
Cuba,2006,45.5431061,4.4898849,4.1872859,6.0519881,,29.0876503,1.7262950
Cuba,2007,44.5731430,5.8059282,4.1149139,5.8304992,,27.0891533,1.7326490
Cuba,2008,41.6622963,5.7272029,4.2429810,6.4863338,,23.1977615,2.0080161
Cuba,2009,41.0647545,5.1401420,4.4681058,6.8392401,,23.0848904,1.5323780
Cuba,2010,37.6214104,5.6012931,4.6228700,6.8620200,,19.0946407,1.4405860
Cuba,2011,38.4231033,6.5283370,4.3422241,6.1390061,,19.8515739,1.5619659
Cuba,2012,39.7420044,6.1999431,4.1603198,5.6168218,,22.1923409,1.5725790
Cuba,2013,37.3356400,6.8588948,4.0481930,4.4380932,,20.2048016,1.7856590
Cuba,2014,37.4876022,7.4328008,4.4906759,3.6438701,,19.7269897,2.1932650
Cuba,2015,38.5514107,7.6618500,4.9602332,3.1595380,,20.3619747,2.4078131
Cuba,2016,41.5626488,8.8494978,5.2403479,2.6982219,,22.4498749,2.3247080
Cuba,2017,40.6472816,8.8795843,5.3884010,1.5353971,,22.4265289,2.4173729
Czechia,1993,36.9599533,9.4004364,14.2575760,0.5294630,0.3907000,12.3146362,0.0671440
Czechia,1994,35.6993790,8.8588228,14.3070736,0.0718120,0.4407310,11.9608173,0.0601230
Czechia,1995,34.7118797,8.6744776,14.3635778,,0.4812640,11.1582041,0.0343530
Czechia,1996,33.3066444,7.5186081,14.3142424,,0.4919230,10.9616890,0.0201830
Czechia,1997,33.6060448,8.0007658,14.6426373,,0.5201340,10.4313784,0.0111300
Czechia,1998,32.4521332,7.5054431,14.3762846,,0.5107180,10.0523252,0.0073610
Czechia,1999,33.2775764,7.6890688,14.4787521,,0.4568730,10.6445856,0.0082950
Czechia,2000,32.4282837,7.3903718,14.3542490,,0.4576920,10.2110081,0.0149620
Czechia,2001,32.5416908,7.7794051,14.3396301,,0.4825350,9.9298410,0.0102790
Czechia,2002,33.3908348,8.2668066,14.7197762,,0.4812340,9.9142542,0.0087630
Czechia,2003,34.2572517,8.7088604,14.9121723,,0.4804810,10.1448126,0.0109240
Czechia,2004,34.6836433,8.6706762,14.6855259,,0.3807270,10.8221731,0.0097310
Czechia,2005,34.4509964,8.3783855,14.7514906,,0.3993120,10.7490482,0.0016710
Czechia,2006,34.0162354,8.3622341,14.8450317,,0.4003820,10.2505960,0.0009660
Czechia,2007,34.2112846,8.4718151,14.9322796,,0.4035140,10.2351294,0.0007670
Czechia,2008,33.4535065,7.5813389,14.7995644,,0.3781290,10.5371170,0.0002270
Czechia,2009,32.2829361,6.8527899,14.1894140,,0.3583710,10.7357168,0.0054880
Czechia,2010,32.4762878,6.5599089,14.5371380,,0.4129740,10.7966280,0.0037540
Czechia,2011,33.2587051,6.7546682,14.6016712,,0.5067060,11.2197590,0.0033460
Czechia,2012,33.6773415,6.8981342,14.7008247,,0.5062780,11.4154863,0.0045970
Czechia,2013,34.0778847,7.0828309,14.7157965,,0.4687540,11.6732931,0.0016300
Czechia,2014,33.0949097,7.0868630,14.5001993,,0.4528920,10.8912621,0.0021220
Czechia,2015,33.3472061,7.1754489,14.3554068,,0.4769580,11.1588058,0.0084170
Czechia,2016,34.2374954,7.5892930,14.6729412,,0.4914910,11.3037004,0.0116000
Czechia,2017,34.8926506,7.7490501,15.0080233,,0.4727010,11.4810324,0.0179120
Democratic Republic of Congo,2000,0.5733330,0.1947240,,0.0042230,,0.3743860,
Democratic Republic of Congo,2001,2.2906301,0.7318790,,0.0208560,,1.5378940,
Democratic Republic of Congo,2002,2.9842639,0.9244070,,0.0320870,,2.0277700,
Democratic Republic of Congo,2003,3.3640771,0.7033780,,0.0115870,,2.6491110,
Democratic Republic of Congo,2004,4.6573219,0.8745830,,0.0226020,,3.3386500,0.4214870
Democratic Republic of Congo,2005,5.1841540,0.9657990,,0.0463890,,3.5109971,0.6609690
Democratic Republic of Congo,2006,5.8962641,1.2715660,,0.0451560,,3.9364090,0.6431320
Democratic Republic of Congo,2007,7.0783162,1.6744601,,0.0767690,,4.5848632,0.7422260
Democratic Republic of Congo,2008,8.7662573,2.2909980,,0.1103720,,5.5476232,0.8172640
Democratic Republic of Congo,2009,8.0180721,2.0797660,,0.0917970,,5.3648262,0.4816830
Democratic Republic of Congo,2010,8.9080095,2.3907189,,0.0821950,0.0515770,5.8536229,0.5298960
Democratic Republic of Congo,2011,9.3009501,2.3409340,,0.0801280,0.0237310,6.1882892,0.6678690
Democratic Republic of Congo,2012,11.4370174,2.4978530,,0.1472890,0.0372130,7.5984778,0.6471720
Democratic Republic of Congo,2013,10.1339540,2.5897219,,0.1633630,0.0163640,6.2624512,0.5368970
Democratic Republic of Congo,2014,9.5186939,3.0471251,,0.1476250,0.0413280,5.2412190,0.4404680
Democratic Republic of Congo,2015,9.6621017,3.4418790,,0.1362750,0.0364760,5.2590280,0.2214420
Democratic Republic of Congo,2016,7.6484752,2.3165350,,0.1028040,0.0352310,4.5702591,0.0885710
Denmark,1990,44.3974266,27.1871529,0.0116630,0.2887910,1.8935390,15.0162830,
Denmark,1991,43.7767868,26.8902092,0.0213530,0.2940240,1.6836680,14.8875322,
Denmark,1992,44.1361122,27.4187679,0.0232490,0.2834380,1.8084170,14.6022425,
Denmark,1993,45.4620972,28.2573376,0.0225130,0.5058070,1.9416111,14.7348270,
Denmark,1994,46.5285530,29.1797104,0.0189000,0.2554590,1.7917610,15.2827225,
Denmark,1995,46.4990349,29.3649998,0.0537650,0.2163890,1.6585290,15.2053537,
Denmark,1996,46.7134094,29.2587318,0.0634610,0.2080490,1.5963740,15.5867920,
Denmark,1997,46.7272530,29.0870152,0.0877610,0.2809110,1.6198850,15.6374683,0.0142120
Denmark,1998,47.2978668,28.6515903,0.0841680,0.3946540,1.7613600,16.1986637,0.0255900
Denmark,1999,47.8753815,28.7300358,0.6458050,0.3107930,1.7642980,16.2258587,0.0247630
Denmark,2000,46.8752251,28.8122540,0.6365610,0.1693970,1.5604010,15.4920473,0.0293630
Denmark,2001,45.9192162,27.7638168,0.6353710,0.2494440,1.6277560,15.4620590,0.0195120
Denmark,2002,45.4045868,27.5589848,0.1139610,0.2358670,1.6767631,15.6648912,0.0186910
Denmark,2003,45.5825462,27.8673191,0.1140640,0.2007240,1.7722570,15.4747515,0.0121350
Denmark,2004,46.3933563,28.4778519,0.1098560,0.1913360,1.7897590,15.6503944,0.0136280
Denmark,2005,48.0045052,29.7729397,0.1073930,0.1823660,1.8415900,15.9088821,0.0127410
Denmark,2006,46.4618568,28.3352623,0.0992530,0.1897310,1.8264250,15.8140516,0.0110480
Denmark,2007,46.4251900,27.9180412,0.0737040,0.2275850,1.8115830,16.1946754,0.0108780
Denmark,2008,44.7648544,27.2098598,0.0601050,0.2324730,1.9046580,15.1732559,0.0120800
Denmark,2009,44.9632645,27.5986862,0.0588350,0.2398780,1.8247250,15.0766048,0.0108130
Denmark,2010,44.7559319,27.5259781,0.0999090,0.2283700,1.8486700,14.8627272,0.0112810
Denmark,2011,44.7932701,27.4219398,0.1100880,0.2493480,1.8868070,14.9436827,0.0093660
Denmark,2012,45.5116920,28.1839409,0.0958890,0.2909460,1.7793140,14.9951849,0.0101130
Denmark,2013,45.8879280,28.8442078,0.0827760,0.3102130,1.8030180,14.6937265,0.0076670
Denmark,2014,48.5311508,31.7365417,0.0723280,0.3122790,1.8204550,14.4272413,0.0108510
Denmark,2015,46.1318130,29.2862625,0.0668190,0.2827550,1.9171950,14.4013777,0.0153370
Denmark,2016,46.1885605,29.0141315,0.0575030,0.2823740,1.8670540,14.8058052,0.0131320
Denmark,2017,45.9824791,29.0537128,0.0490000,0.2532680,1.8217020,14.6463652,0.0125290
Dominican Republic,1990,8.3253546,2.1596899,0.0687830,,0.0959340,5.7956328,0.2053150
Dominican Republic,1991,7.7529359,2.0321820,0.0524480,,0.0716300,5.4423280,0.1543480
Dominican Republic,1992,10.8216677,2.0143759,0.0552850,,0.0802390,8.5093622,0.1624070
Dominican Republic,1993,11.0963631,2.0352509,0.0591390,,0.0906350,8.7275610,0.1837770
Dominican Republic,1994,10.0058784,1.9909140,0.0648380,,0.0961200,7.6622539,0.1917530
Dominican Republic,1995,10.4716930,2.2354450,0.0752370,,0.0934980,7.8745871,0.1929270
Dominican Republic,1996,10.3083534,2.1579990,0.0687780,,0.0987880,7.7830009,0.1997870
Dominican Republic,1997,11.4775171,2.3645790,0.1067160,,0.1265500,8.6953754,0.1842970
Dominican Republic,1998,11.4739418,2.3523381,0.1117220,,0.1337520,8.8275194,0.0486110
Dominican Republic,1999,11.8032885,2.6311190,0.1211630,,0.1743120,8.7830906,0.0936040
Dominican Republic,2000,12.2831259,2.7414739,0.1246620,,0.1752590,9.1159754,0.1257550
Dominican Republic,2001,13.4259634,3.5868051,0.1349340,,0.1807550,9.3893538,0.1341150
Dominican Republic,2002,13.4375439,3.5280740,0.1346170,,0.1993800,9.4558125,0.1196610
Dominican Republic,2003,11.8115473,3.2428620,0.0662570,,0.2092870,8.1651602,0.1279810
Dominican Republic,2004,12.3053751,2.6040950,0.0101710,,0.3067140,9.2380352,0.1463590
Dominican Republic,2005,13.8112097,2.7728090,0.0032400,,0.6229300,10.2589703,0.1532610
Dominican Republic,2006,14.1005821,3.0903850,0.0967800,,0.6381560,10.0899744,0.1852860
Dominican Republic,2007,14.9455032,3.7871420,0.0589810,,0.6854010,10.3073425,0.1066360
Dominican Republic,2008,14.2127676,3.5227010,0.0517510,,0.7139500,9.9228430,0.0015230
Dominican Republic,2009,12.6939840,3.1178930,0.0581060,,0.6730430,8.8446369,0.0003060
Dominican Republic,2010,12.3004246,2.7048869,0.0930500,,0.6713640,8.8311253,
Dominican Republic,2011,12.3577223,2.9614010,0.0600940,,0.7206500,8.6155777,
Dominican Republic,2012,13.0823879,3.8914161,0.0523960,,0.8216920,8.3168755,0.0000080
Dominican Republic,2013,13.5628128,4.1550450,0.0592600,,0.8751990,8.4733057,0.0000040
Dominican Republic,2014,13.6630230,4.3474050,0.0526490,,0.6318970,8.6310511,0.0000210
Dominican Republic,2015,13.3642559,3.8655701,0.0478520,,0.6143950,8.8364010,0.0000390
Dominican Republic,2016,13.5955343,4.0710320,0.0464980,,0.6215060,8.8564587,0.0000390
Dominican Republic,2017,13.8544741,4.2905612,0.0729260,,0.6349700,8.8559914,0.0000250
Ecuador,1990,7.2393332,0.9098030,1.5920460,,0.1037450,4.4410558,0.1926830
Ecuador,1991,7.2199702,0.9958180,1.8692530,,0.0709380,4.1998930,0.0840670
Ecuador,1992,7.0523720,0.9884040,1.9513201,,0.0839040,3.9303081,0.0984350
Ecuador,1993,7.7290201,0.9862830,1.9520060,,0.0821140,4.4080682,0.3005490
Ecuador,1994,7.8832760,0.9462820,1.9830540,,0.1689570,4.6241632,0.1608190
Ecuador,1995,8.1033640,1.2745290,2.0711961,,0.1746830,4.5471711,0.0357850
Ecuador,1996,7.4770889,1.1911690,1.7843421,,0.1685740,4.1654582,0.1675460
Ecuador,1997,8.3710184,1.2183480,1.6171679,,0.1508580,5.2212229,0.1634210
Ecuador,1998,9.0246925,1.2784200,1.6129200,,0.1400970,5.8597450,0.1335110
