Entity,Year,Union density rate (Quality of Government (QoG) (2017))
Norway,1962,59.83706816
Norway,1963,60.05641264
Norway,1964,59.25472044
Norway,1965,59.02377939
Norway,1966,58.13976765
Norway,1967,57.64122807
Norway,1968,57.24652778
Norway,1969,57.22006832
Norway,1970,56.79135495
Norway,1971,56.95667561
Norway,1972,51.92023634
Norway,1973,53.21141185
Norway,1974,54.11214953
Norway,1975,53.80027739
Norway,1976,52.79207921
Norway,1977,53.59023764
Norway,1978,54.01892744
Norway,1979,55.50031075
Norway,1980,58.33851898
Norway,1981,57.8501827
Norway,1982,58.13826562
Norway,1983,58.0880579
Norway,1984,58.34027365
Norway,1985,57.49138921
Norway,1986,57.0775237
Norway,1987,55.69572279
Norway,1988,56.12445415
Norway,1989,57.95160383
Norway,1990,58.53340883
Norway,1991,58.09659091
Norway,1992,58.06927882
Norway,1993,57.98866856
Norway,1994,57.79811425
Norway,1995,57.33117234
Norway,1996,56.28645833
Norway,1997,55.51810865
Norway,1998,55.46705998
Norway,1999,54.84450923
Norway,2000,54.38824663
Norway,2001,53.89181427
Norway,2002,54.47881961
Norway,2003,55.11538462
Norway,2004,54.98084291
Norway,2005,54.86820923
Norway,2006,54.1511194
Norway,2007,52.98072613
Norway,2008,52.64069264
Norway,2009,53.60419397
Norway,2010,53.73913043
Norway,2011,53.46660995
Norway,2012,53.27219675
Norway,2013,52.08143688
Philippines,1980,27.00158864
Philippines,1981,30.19893921
Philippines,1982,30.74367106
Philippines,1983,26.20070028
Philippines,1984,23.79960078
Philippines,1985,24.10089936
Philippines,1986,24.59867242
Philippines,1987,23.2003503
Philippines,1988,22.80076336
Philippines,1989,29.40086053
Philippines,1990,29.70000486
Philippines,1991,29.81794061
Philippines,1992,29.6278265
Philippines,1993,29.38189338
Philippines,1994,30.61635856
Philippines,1995,30.6043942
Philippines,1996,27.57385461
Philippines,1997,26.79423516
Philippines,1998,27.39469461
Philippines,2000,27.13105925
Philippines,2005,11.70630056
Philippines,2006,11.12577221
Philippines,2007,10.954992
Philippines,2008,10.93662445
Philippines,2009,10.6278771
Philippines,2010,8.731223887
Philippines,2011,8.661135456
Philippines,2012,8.530992928
Philippines,2013,8.470355554
Poland,1960,80.6892779
Poland,1966,94.51795841
Poland,1970,89.99142939
Poland,1975,90.03552972
Poland,1978,88.93743174
Poland,1981,65.6877898
Poland,1984,32.0281848
Poland,1985,38.10128592
Poland,1987,38
Poland,1989,35.34401508
Poland,1990,36.6902834
Poland,1991,33.56643357
Poland,1992,29.73942598
Poland,1993,28.77206671
Poland,1994,27.16049383
Poland,1995,20.19813408
Poland,1996,20.37451196
Poland,1997,20.44886405
Poland,1998,20.45163658
Poland,1999,20.49712484
Poland,2000,17.54219609
Poland,2001,15.50000978
Poland,2002,14.13570275
Poland,2003,18.78029079
Poland,2004,18.99673494
Poland,2005,18.12977099
Poland,2006,16.32208923
Poland,2007,15.60089148
Poland,2009,14.60032626
Poland,2011,13.62045985
Poland,2012,12.72832465
Portugal,1978,60.76011443
Portugal,1979,60.09615385
Portugal,1980,54.8253849
Portugal,1981,53.54449472
Portugal,1982,50.49396268
Portugal,1983,47.21634954
Portugal,1984,47.23837209
Portugal,1985,44.61034232
Portugal,1986,41.20386958
Portugal,1987,38.62190813
Portugal,1988,35.03723764
Portugal,1989,31.98168738
Portugal,1990,27.97202797
Portugal,1991,28.24716267
Portugal,1992,26.09918889
Portugal,1993,26.06343742
Portugal,1994,25.86802285
Portugal,1995,25.36139995
Portugal,1996,25.51798653
Portugal,1997,25.21929825
Portugal,1998,23.3633915
Portugal,1999,22.46743644
Portugal,2000,21.64717591
Portugal,2001,22.41810861
Portugal,2002,20.65460022
Portugal,2003,21.15187206
Portugal,2004,21.4066462
Portugal,2005,21.24006023
Portugal,2006,20.83602616
Portugal,2007,20.79023583
Portugal,2008,20.49201245
Portugal,2009,20.14948777
Portugal,2010,19.34808221
Portugal,2011,18.34291094
Portugal,2012,18.48791641
Romania,1980,100
Romania,1991,80.17638805
Romania,1993,68.65780568
Romania,1998,45.0892588
Romania,2002,34.73072215
Romania,2003,35.92994103
Romania,2006,35.96361329
Romania,2007,35.95172013
Romania,2008,35.55547113
Romania,2012,19.79327062
Russia,1968,100
Russia,1979,100
Russia,1982,100
Russia,1990,72
Russia,1993,84.12525315
Russia,1996,68.67200217
Russia,1999,55.55364876
Russia,2001,52.3282041
Russia,2007,34.43961826
Russia,2008,31.92750935
Russia,2009,32.09508986
Russia,2010,30.702803
Russia,2011,28.90875656
Russia,2012,28.44868749
Russia,2013,27.79031615
Singapore,1968,32.60207792
Singapore,1969,30.05081352
Singapore,1970,25.35226504
Singapore,1971,25.50769231
Singapore,1972,30.47226277
Singapore,1973,31.4109252
Singapore,1974,24.70100716
Singapore,1975,25.01931382
Singapore,1976,25.50109158
Singapore,1977,25.34085629
Singapore,1978,24.79922537
Singapore,1979,24.5005887
Singapore,1980,22.79953249
Singapore,1981,20.20005402
Singapore,1982,18.79984212
Singapore,1983,17.58421188
Singapore,1984,16.40047737
Singapore,1985,17.40055368
Singapore,1986,17.49938939
Singapore,1987,16.24038841
Singapore,1988,15.83944127
Singapore,1989,15.26963632
Singapore,1990,14.43957539
Singapore,1991,14.23981633
Singapore,1992,14.50961233
Singapore,1993,14.81044232
Singapore,1994,14.12021096
Singapore,1995,13.81001879
Singapore,1996,14.59007952
Singapore,1997,14.21009505
Singapore,1998,17.0002493
Singapore,1999,15.57983329
Singapore,2000,16.10189191
Singapore,2001,16.53039187
Singapore,2002,19.31958354
Singapore,2003,20.50963618
Singapore,2004,20.09959258
Singapore,2005,19.39655172
Singapore,2006,18.60184813
Singapore,2007,18.09872029
Singapore,2008,17.50169262
Singapore,2009,17.59785882
Singapore,2010,18.0295082
Singapore,2011,18.90720257
Singapore,2012,19.35072555
Slovakia,1993,67.28571429
Slovakia,1994,64.18167105
Slovakia,1995,56.06219166
Slovakia,1996,47.82713085
Slovakia,1997,41.9692129
Slovakia,1998,36.15354804
Slovakia,1999,34.16030534
Slovakia,2000,32.26307613
Slovakia,2001,30.45631368
Slovakia,2002,27.37163172
Slovakia,2003,26.13668038
Slovakia,2004,23.61295557
Slovakia,2005,22.76651115
Slovakia,2006,20.55827424
Slovakia,2007,18.76409278
Slovakia,2008,17.17333588
Slovakia,2009,16.01844427
Slovakia,2010,15.2226388
Slovakia,2011,14.06540616
Slovakia,2012,13.5929178
Slovakia,2013,13.29265067
Slovenia,1963,87.12967552
Slovenia,1968,90.67640669
Slovenia,1973,90.78895079
Slovenia,1978,91.50182088
Slovenia,1990,69
Slovenia,1991,66.48648649
Slovenia,1992,60
Slovenia,1993,58.03030303
Slovenia,1994,60.23738872
Slovenia,1995,50.47748977
Slovenia,1996,48.75690608
Slovenia,1997,44.07106459
Slovenia,1998,42.69293924
Slovenia,1999,40.43610268
Slovenia,2000,41.5950086
Slovenia,2001,40.76893645
Slovenia,2002,44.66019417
Slovenia,2003,43.71910797
Slovenia,2004,40.09673337
Slovenia,2005,37.11841893
Slovenia,2006,31.40867277
Slovenia,2007,28.96277077
Slovenia,2008,26.59481197
Slovenia,2009,26.28120894
Slovenia,2010,25.02095505
Slovenia,2011,23.11470673
Slovenia,2012,21.97006901
Slovenia,2013,21.24833997
South Africa,2000,39.0814501
South Korea,1963,9.417540915
South Korea,1964,11.49297503
South Korea,1965,11.55699502
South Korea,1966,12.12136691
South Korea,1967,12.42026316
South Korea,1968,12.14429412
South Korea,1969,12.53969552
South Korea,1970,12.63371596
South Korea,1971,12.6745093
South Korea,1972,12.86621723
South Korea,1973,13.19658078
South Korea,1974,14.75663816
South Korea,1975,15.79109661
South Korea,1976,16.45194553
South Korea,1977,16.70855793
South Korea,1978,16.89535405
South Korea,1979,16.79365643
South Korea,1980,14.6679146
South Korea,1981,14.63645723
South Korea,1982,14.39005703
South Korea,1983,14.08481172
South Korea,1984,13.24232735
South Korea,1985,12.39385489
South Korea,1986,12.28376616
South Korea,1987,13.79019693
South Korea,1988,17.7674922
South Korea,1989,18.60058716
South Korea,1990,17.23181735
South Korea,1991,15.41506112
South Korea,1992,14.56421495
South Korea,1993,13.9599213
South Korea,1994,13.29442263
South Korea,1995,12.51879991
South Korea,1996,12.11028788
South Korea,1997,11.07276932
South Korea,1998,11.40159401
South Korea,1999,11.69285319
South Korea,2000,11.42960329
South Korea,2001,11.48490373
South Korea,2002,10.8454975
South Korea,2003,10.76181582
South Korea,2004,10.31846839
South Korea,2005,9.918618664
South Korea,2006,10.02648772
South Korea,2007,10.56975222
South Korea,2008,10.27864301
South Korea,2009,9.967362964
South Korea,2010,9.682172004
South Korea,2011,9.886313732
South Korea,2012,10.05723238
Spain,1977,18.31890406
Spain,1978,45.09112355
Spain,1979,31.64545048
Spain,1980,13.46051227
Spain,1981,11.2576913
Spain,1982,12.19634864
Spain,1983,12.56504633
Spain,1984,12.28955784
Spain,1985,12.60180935
Spain,1986,12.11317531
Spain,1987,12.29488241
Spain,1988,12.61413477
Spain,1989,12.81995091
Spain,1990,13.45244351
Spain,1991,14.99265877
Spain,1992,16.53968457
Spain,1993,17.70621054
Spain,1994,17.56297103
Spain,1995,16.78953883
Spain,1996,16.52617684
Spain,1997,16.03512927
Spain,1998,18.73196147
Spain,1999,16.76079749
Spain,2000,16.56515057
Spain,2001,16.40797536
Spain,2002,16.14892156
Spain,2003,15.90026454
Spain,2004,15.39917529
Spain,2005,14.62244539
Spain,2006,14.33986335
Spain,2007,15.53381953
Spain,2008,17.17360312
Spain,2009,17.6050311
Spain,2010,17.29225723
Spain,2011,16.88963867
Spain,2012,17.07618659
Spain,2013,16.87884423
Sweden,1960,72.08101956
Sweden,1961,72.3967597
Sweden,1962,72.93286612
Sweden,1963,66.06679675
Sweden,1964,66.72526519
Sweden,1965,66.28616451
Sweden,1966,65.94850262
Sweden,1967,67.4858611
Sweden,1968,67.92141097
Sweden,1969,68.52190332
Sweden,1970,67.748102
Sweden,1971,70.06136314
Sweden,1972,71.41834605
Sweden,1973,72.50763625
Sweden,1974,73.54078282
Sweden,1975,74.4633293
Sweden,1976,73.8715523
Sweden,1977,76.03722026
Sweden,1978,77.02893572
Sweden,1979,77.31327383
Sweden,1980,77.95628527
Sweden,1981,78.35449579
Sweden,1982,78.96112125
Sweden,1983,79.63978671
Sweden,1984,80.77387433
Sweden,1985,81.28917945
Sweden,1986,82.49514977
Sweden,1987,85.19145998
Sweden,1988,84.26962758
Sweden,1989,83.35438292
Sweden,1990,81.5344379
Sweden,1991,82.78760641
Sweden,1992,85.00142292
Sweden,1993,87.10025452
Sweden,1994,87.42718419
Sweden,1995,86.62132768
Sweden,1996,85.05582318
Sweden,1997,81.97945127
Sweden,1998,82.3292299
Sweden,1999,81.57832783
Sweden,2000,80.11257036
Sweden,2001,78.0078637
Sweden,2002,77.65874053
Sweden,2003,77.20857292
Sweden,2004,77.71338251
Sweden,2005,76.04058273
Sweden,2006,74.06080459
Sweden,2007,71.04410696
Sweden,2008,68.77487165
Sweden,2009,69.68120847
Sweden,2010,69.2599856
Sweden,2011,67.76225295
Sweden,2012,67.38124356
Switzerland,1960,31.01627678
Switzerland,1961,30.22166631
Switzerland,1962,29.564944
Switzerland,1963,28.90725318
Switzerland,1964,28.48713833
Switzerland,1965,28.21725592
Switzerland,1966,27.80584727
Switzerland,1967,26.88692405
Switzerland,1968,26.2827796
Switzerland,1969,25.88434654
Switzerland,1970,24.85212123
Switzerland,1971,25.06417933
Switzerland,1972,24.80549295
Switzerland,1973,24.62038076
Switzerland,1974,24.87969938
Switzerland,1975,27.7855557
Switzerland,1976,29.0518449
Switzerland,1977,28.69780229
Switzerland,1978,28.29334977
Switzerland,1979,27.92176813
Switzerland,1980,27.48112222
Switzerland,1981,26.87527589
Switzerland,1982,26.55677552
Switzerland,1983,26.42331084
Switzerland,1984,26.06333403
Switzerland,1985,24.78849639
Switzerland,1986,23.87298309
Switzerland,1987,23.55442024
Switzerland,1988,23.13759322
Switzerland,1989,22.75770474
Switzerland,1990,22.52149192
Switzerland,1991,22.51041821
Switzerland,1992,22.8418793
Switzerland,1993,22.96789154
Switzerland,1994,23.11292128
Switzerland,1995,22.66778656
Switzerland,1996,22.21851512
Switzerland,1997,21.80264172
Switzerland,1998,21.47407959
Switzerland,1999,20.90798087
Switzerland,2000,20.18314428
Switzerland,2001,19.72703052
Switzerland,2002,19.89237624
Switzerland,2003,19.91770529
Switzerland,2004,19.45803346
Switzerland,2005,19.31444655
Switzerland,2006,18.8591126
Switzerland,2007,18.45360339
Switzerland,2008,17.54438643
Switzerland,2009,17.33701493
Switzerland,2010,17.12051572
Switzerland,2011,16.65346683
Switzerland,2012,16.21194413
Switzerland,2013,16.18005076
Turkey,1960,10.78691561
Turkey,1961,10.64237542
Turkey,1962,10.35168616
Turkey,1963,10.07327319
Turkey,1964,10.90425088
Turkey,1965,11.15623397
Turkey,1966,10.45515371
Turkey,1967,25.5
Turkey,1968,24.65354661
Turkey,1969,24.77934825
Turkey,1970,25.91920894
Turkey,1971,26.54674126
Turkey,1975,39.90107994
Turkey,1978,38.45339615
Turkey,1980,42.06470622
Turkey,1998,29.40698034
Turkey,2001,29.34816857
Turkey,2008,10.66707892
Turkey,2013,6.311783771
United Kingdom,1960,40.42887229
United Kingdom,1961,40.14936117
United Kingdom,1962,40.15057691
United Kingdom,1963,40.25905354
United Kingdom,1964,40.31299316
United Kingdom,1965,40.26213172
United Kingdom,1966,39.70713456
United Kingdom,1967,40.21352157
United Kingdom,1968,40.50198675
United Kingdom,1969,41.65657459
United Kingdom,1970,44.75777392
United Kingdom,1971,45.23781562
United Kingdom,1972,46.14446402
United Kingdom,1973,45.41470082
United Kingdom,1974,46.39317664
United Kingdom,1975,43.74246358
United Kingdom,1976,46.50618433
United Kingdom,1977,48.25107154
United Kingdom,1978,50.22860904
United Kingdom,1979,50.69952099
United Kingdom,1980,51.71936845
United Kingdom,1981,51.94774347
United Kingdom,1982,51.74138414
United Kingdom,1983,50.17135805
United Kingdom,1984,48.85430177
United Kingdom,1985,46.02088277
United Kingdom,1986,46.00132281
United Kingdom,1987,45.03612069
United Kingdom,1988,43.00565384
United Kingdom,1989,41.52031979
United Kingdom,1990,39.69960474
United Kingdom,1991,39.68624983
United Kingdom,1992,39.84928375
United Kingdom,1993,37.94909331
United Kingdom,1994,36.64270613
United Kingdom,1995,34.4281266
United Kingdom,1996,33.01013884
United Kingdom,1997,31.94366197
United Kingdom,1998,30.83940965
United Kingdom,1999,30.51295337
United Kingdom,2000,30.13481431
United Kingdom,2001,29.37935376
United Kingdom,2002,29.09413188
United Kingdom,2003,28.96775536
United Kingdom,2004,27.82453988
United Kingdom,2005,27.11210545
United Kingdom,2006,27.35438737
United Kingdom,2007,27.3492152
United Kingdom,2008,27.1682044
United Kingdom,2009,27.21530817
United Kingdom,2010,26.96937101
United Kingdom,2011,26.51784212
United Kingdom,2012,26.17136526
United Kingdom,2013,25.67345591
United States,1960,30.89748411
United States,1961,29.51891217
United States,1962,29.34276869
United States,1963,28.51337535
United States,1964,28.30646144
United States,1965,28.16661991
United States,1966,28.19557735
United States,1967,27.76578899
United States,1968,27.90045808
United States,1969,27.30836054
United States,1970,27.43403255
United States,1971,26.94941363
United States,1972,26.25996487
United States,1973,25.83134685
United States,1974,25.74427254
United States,1975,25.28770878
United States,1976,24.38412814
United States,1977,23.59186399
United States,1978,23.94328469
United States,1979,22.36400776
United States,1980,22.06009466
