Entity,Year,Beds in for-profit privately owned hospitals (number) (OECD),"Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in not-for-profit privately owned hospitals (number) (OECD),"Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in publicly owned hospitals (number) (OECD),"Beds in publicly owned hospitals (per 1,000 population) (OECD)",Acute care beds (number) (OECD),"Acute care beds (per 1,000 population) (OECD)","Dentists (per 100,000 population) (OECD)",Dentists (headcount) (OECD),For-profit privately owned hospitals (number) (OECD),For-profit privately owned hospitals (per million population) (OECD),General hospitals (number) (OECD),General hospitals (per million population) (OECD),Hospitals (number) (OECD),Hospitals (per million population) (OECD),Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)",Midwives (headcount) (OECD),"Midwives (per 1,000 live births) (OECD)",Not-for-profit privately owned hospitals (number) (OECD),Not-for-profit privately owned hospitals (per million population) (OECD),"Nurses (per 1,000 population) (OECD)",Nurses (headcount) (OECD),"Physicians (per 1,000 population) (OECD)",Physicians (headcount) (OECD),Psychiatric care beds (number) (OECD),"Psychiatric care beds (per 1,000 population) (OECD)","Psychiatrists (per 1,000 population) (OECD)",Psychiatrists (headcount) (OECD),Publicly owned hospitals (number) (OECD),Publicly owned hospitals (per million population) (OECD),"Surgical specialists (per 1,000 population) (OECD)",Surgical specialists (headcount) (OECD),Hospital beds (number) (OECD),"Hospital beds, nurse-to-bed ratio (OECD)","Hospital beds (per 1,000 population) (OECD)"
Denmark,2012,463,0.08,565,0.1,,,,,1.43,8000,,,,,,,208,0.04,0.21,3033,52.37,,,17.47,97691,5.78,32297,,,0.19,1040,,,0.58,3261,,,
Denmark,2013,355,0.06,570,0.1,16316,2.91,16867,3,1.43,8051,,,,,,,233,0.04,0.23,3152,56.42,,,17.68,99293,5.87,32979,3020,0.54,0.19,1058,,,0.6,3367,17241,2.13,3.07
Denmark,2014,330,0.06,612,0.11,14232,2.52,14776,2.62,1.43,8086,,,,,,,233,0.04,0.23,3293,57.9,,,17.91,101086,5.97,33701,,,0.19,1071,,,0.61,3451,15174,2.45,2.69
Denmark,2015,310,0.05,655,0.12,13415,2.36,13962,2.46,1.44,8165,,,,,,,246,0.04,0.23,3414,58.65,,,18.08,102746,6.08,34547,,,0.19,1089,,,0.62,3551,14380,2.58,2.53
Denmark,2016,317,0.06,632,0.11,13922,2.43,14461,2.52,1.43,8208,,,,,,,242,0.04,0.23,3549,57.6,,,18.23,104415,6.22,35626,2275,0.4,0.19,1093,,,0.63,3595,14871,2.5,2.6
Denmark,2017,306,0.05,643,0.11,14088,2.44,14621,2.54,,,,,,,,,248,0.04,0.23,,,,,,,,,2694,0.47,,,,,,,15037,2.47,2.61
Denmark,2018,263,0.05,642,0.11,13524,2.34,14011,2.42,,,,,,,,,250,0.04,0.22,,,,,,,,,2714,0.47,,,,,,,14429,2.57,2.5
Estonia,2005,438,0.32,299,0.22,6555,4.84,5499,4.06,1.02,1378,10,7.38,25,18.45,53,39.12,1238,0.91,5.5,477,33.24,8,5.91,7.37,9990,3.84,5199,723,0.53,0.13,174,35,25.83,0.67,911,7292,,5.38
Estonia,2006,450,0.33,299,0.22,6727,4.99,5643,4.19,1.04,1397,11,8.17,25,18.56,54,40.09,1288,0.96,5.65,517,34.74,8,5.94,7.62,10264,3.96,5336,743,0.55,0.13,178,35,25.99,0.67,905,7476,0.8,5.55
Estonia,2007,243,0.18,334,0.25,6772,5.05,5452,4.07,1.06,1424,9,6.71,24,17.9,55,41.02,1348,1.01,5.81,550,34.85,9,6.71,7.86,10541,4.04,5419,742,0.55,0.14,186,37,27.6,0.7,932,7349,0.83,5.48
Estonia,2008,362,0.27,374,0.28,6794,5.08,5510,4.12,1.11,1482,12,8.97,24,17.95,58,43.38,1488,1.11,6.37,586,36.56,10,7.48,8.06,10777,4.13,5525,744,0.56,0.15,194,36,26.92,0.69,928,7530,0.81,5.63
Estonia,2009,333,0.25,371,0.28,6462,4.84,5205,3.9,1.12,1493,11,8.24,24,17.98,57,42.71,1470,1.1,6.31,610,38.71,10,7.49,8.26,11027,4.22,5634,721,0.54,0.14,187,36,26.98,0.71,949,7166,0.85,5.37
Estonia,2010,325,0.24,376,0.28,6321,4.75,5002,3.76,1.14,1517,11,8.26,24,18.03,57,42.81,1557,1.17,6.7,640,40.43,10,7.51,8.46,11268,4.33,5764,712,0.53,0.14,183,36,27.04,0.71,945,7022,0.85,5.27
Estonia,2011,353,0.27,406,0.31,6355,4.79,5086,3.83,1.17,1555,11,8.29,23,17.33,55,41.43,1545,1.16,6.66,681,46.39,8,6.03,8.7,11543,4.43,5884,717,0.54,0.14,183,36,27.12,0.72,962,7114,0.83,5.36
Estonia,2012,372,0.28,508,0.38,6429,4.86,5093,3.85,1.2,1584,10,7.56,22,16.63,56,42.34,1739,1.31,7.41,718,51.07,10,7.56,8.96,11856,4.55,6018,712,0.54,0.14,182,36,27.22,0.72,946,7309,0.8,5.53
Estonia,2013,378,0.29,182,0.14,6037,4.58,4835,3.67,1.23,1618,8,6.07,22,16.69,31,23.52,1254,0.95,5.27,769,56.84,3,2.28,9.26,12208,4.67,6159,733,0.56,0.17,224,20,15.17,0.8,1054,6597,0.74,5.01
Estonia,2014,310,0.24,167,0.13,6107,4.65,4824,3.67,1.25,1645,7,5.33,21,15.98,30,22.82,1293,0.98,5.35,817,60.3,3,2.28,9.52,12521,4.79,6293,730,0.56,0.18,239,20,15.21,0.79,1045,6584,0.75,5.01
Estonia,2015,316,0.24,170,0.13,6038,4.59,4841,3.68,1.29,1698,7,5.32,21,15.96,30,22.81,1210,0.92,4.91,868,62.4,3,2.28,9.77,12846,4.88,6420,730,0.55,0.18,243,20,15.2,0.82,1084,6524,0.75,4.96
Estonia,2016,313,0.24,155,0.12,5793,4.4,4608,3.5,1.33,1746,7,5.32,21,15.96,30,22.8,1217,0.92,4.86,898,63.91,3,2.28,10.01,13171,4.97,6535,707,0.54,0.18,242,20,15.2,0.84,1106,6261,0.77,4.76
Estonia,2017,313,0.24,152,0.12,5720,4.34,4539,3.45,1.36,1794,7,5.31,21,15.94,30,22.77,1203,0.91,4.73,942,68.36,3,2.28,10.25,13509,5.06,6662,692,0.53,0.18,243,20,15.18,0.85,1119,6185,0.79,4.69
Estonia,2018,,,,,,,,,1.38,1823,,,,,,,,,,972,,,,10.45,13786,5.15,6787,,,,,,,,,,,
Finland,2005,1353.62,0.26,,,35646.65,6.79,19531.69,3.72,0.86,4537,56,10.67,145,27.64,369,70.34,16723.33,3.19,20.13,5764,99.81,,,14.56,76357,4.09,21463,4896.5,0.93,0.21,1082,313,59.66,0.37,1961,37000.28,,7.05
Finland,2006,1475.79,0.28,,,35317.57,6.71,19195.19,3.64,0.87,4579,60,11.39,131,24.88,350,66.46,16817.58,3.19,19.99,5775,98.15,,,15.21,80108,3.51,18507,4857.78,0.92,0.22,1134,290,55.07,0.39,2063,36793.36,,6.99
Finland,2007,1389.16,0.26,,,34219.91,6.47,18885.33,3.57,0.86,4540,62,11.72,131,24.77,325,61.45,16012.16,3.03,18.43,5289,90.06,,,15.27,80785,3.56,18843,4675.08,0.88,0.22,1155,263,49.73,0.4,2116,35609.07,,6.73
Finland,2008,1437.86,0.27,,,33462.6,6.3,18585.47,3.5,0.89,4718,64,12.05,130,24.47,320,60.23,15539.27,2.92,17.75,5305,89.11,,,15.42,81941,3.6,19114,4519.18,0.85,0.22,1165,256,48.18,0.4,2150,34900.45,,6.57
Finland,2009,1336.46,0.25,,,32043.23,6,18221.98,3.41,0.89,4731,65,12.17,131,24.54,298,55.82,14465.39,2.71,16.22,5386,89.13,,,15.56,83075,3.65,19500,4294.82,0.8,0.22,1155,233,43.64,0.42,2216,33379.69,,6.25
Finland,2010,1372.33,0.26,,,30023.85,5.6,18118.45,3.38,0.88,4699,67,12.49,134,24.98,280,52.21,12582.72,2.35,13.82,5450,89.37,,,15.76,84515,3.79,20306,4036.11,0.75,0.25,1366,213,39.71,0.58,3084,31396.19,,5.85
Finland,2011,1445.35,0.27,,,28305.88,5.25,17793.51,3.3,0.91,4878,74,13.73,138,25.61,275,51.04,11244.24,2.09,11.95,5361,89.41,,,15.97,86030,3.85,20734,3827.15,0.71,0.27,1431,201,37.3,0.52,2826,29751.23,,5.52
Finland,2012,1332.74,0.25,,,27352.24,5.05,17598.74,3.25,0.92,4983,71,13.11,133,24.57,263,48.58,10443.96,1.93,10.66,5582,93.83,,,16.15,87457,3.9,21106,3724.71,0.69,0.28,1521,192,35.46,0.53,2879,28684.98,,5.3
Finland,2013,1104.55,0.2,,,25394.95,4.67,16966.86,3.12,1.02,5526,73,13.42,131,24.09,259,47.62,8956.14,1.65,8.8,4744,81.61,,,19.24,104631,4.06,22076,3455.86,0.64,0.24,1331,186,34.2,0.52,2844,26499.49,,4.87
Finland,2014,927.92,0.17,,,23812.99,4.36,16852.86,3.09,1.03,5602,68,12.45,128,23.44,258,47.24,7465.85,1.37,7.07,4732,82.68,,,19.42,106085,3.84,20995,3315.75,0.61,0.27,1496,190,34.79,0.62,3377,24740.91,,4.53
Finland,2015,1302.11,0.24,,,22552.06,4.12,16731.88,3.05,1.01,5528,77,14.05,133,24.27,268,48.91,6552.43,1.2,6,4768,85.96,,,19.69,107912,,,3407.91,0.62,0.24,1293,191,34.86,0.56,3088,23854.17,,4.35
Finland,2016,1037.01,0.19,,,20797.9,3.78,16135.05,2.94,,,70,12.74,125,22.75,262,47.68,5271.27,0.96,4.69,,,,,,,,,3190.25,0.58,,,192,34.94,,,21835,,3.97
Finland,2017,813.9,0.15,,,17258.1,3.13,15397.4,2.8,,,79,14.34,130,23.6,247,44.84,2247.7,0.41,1.95,,,,,,,,,2150.5,0.39,,,168,30.5,,,18071.9,,3.28
France,2005,93261,1.48,64045,1.02,297869,4.73,232163,3.69,,,1082,17.17,2056,32.63,2924,46.41,72399,1.15,7.07,,,820,13.02,,,,,58585,0.93,0.22,13824,1022,16.22,0.43,27218,455175,0.72,7.22
France,2006,94099,1.48,62923,0.99,294088,4.64,229883,3.62,,,1067,16.82,2023,31.89,2883,45.45,68602,1.08,6.63,,,804,12.67,,,,,58004,0.91,0.22,13894,1012,15.95,0.43,27556,451110,0.74,7.11
France,2007,94531,1.48,62255,0.98,293829,4.6,228664,3.58,,,1055,16.53,1993,31.23,2845,44.57,67860,1.06,6.53,,,782,12.25,,,,,57640,0.9,0.22,13848,1008,15.79,0.43,27692,450615,0.75,7.06
France,2008,94855,1.48,61432,0.96,286721,4.47,225675,3.52,,,1047,16.31,1950,30.38,2790,43.47,61819,0.96,5.89,,,754,11.75,,,,,57362,0.89,0.22,13886,989,15.41,0.43,27854,443008,0.77,6.9
France,2009,96261,1.49,59914,0.93,273499,4.24,225350,3.49,,,1049,16.26,1923,29.81,2757,42.74,47966,0.74,4.52,,,736,11.41,,,,,57131,0.89,0.21,13640,972,15.07,0.43,27477,429674,0.8,6.66
France,2010,97250,1.5,58818,0.91,260642,4.02,224385,3.46,,,1043,16.09,1892,29.19,2707,41.76,34571,0.53,3.22,,,711,10.97,,,,,57248,0.88,0.21,13857,953,14.7,0.43,27988,416710,0.84,6.43
France,2011,97763,1.5,57997,0.89,258444,3.97,223324,3.43,,,1031,15.83,1876,28.8,2681,41.17,32704,0.5,3.01,,,706,10.84,,,,,56950,0.87,0.22,14284,944,14.49,0.44,28880,414204,0.81,6.36
France,2012,98545,1.51,58137,0.89,258158,3.95,222031,3.39,,,1030,15.74,1856,28.36,2657,40.6,32552,0.5,2.91,,,699,10.68,,,,,57622,0.88,0.22,14506,928,14.18,0.45,29372,414840,0.83,6.34
France,2013,98008,1.49,58241,0.89,256957,3.91,219968,3.34,,,1022,15.54,2034,30.93,3192,48.53,31803,0.48,2.76,,,712,10.83,,,,,58001,0.88,0.22,14769,1458,22.17,0.45,29843,413206,0.84,6.28
France,2014,97516,1.47,57176,0.86,256229,3.86,216599,3.27,,,1012,15.26,1979,29.84,3111,46.91,31639,0.48,2.66,,,683,10.3,,,,,57863,0.87,0.23,14945,1416,21.35,0.46,30439,410921,0.85,6.2
France,2015,97497,1.47,57384,0.86,253364,3.81,213510,3.21,,,1009,15.16,1951,29.32,3089,46.42,31639,0.48,2.59,,,690,10.37,,,,,57503,0.86,0.23,15068,1389,20.87,0.46,30926,408245,0.86,6.13
France,2016,97150,1.46,56994,0.85,250104,3.75,210003,3.15,,,1003,15.03,1930,28.93,3065,45.94,31396,0.47,2.5,,,686,10.28,,,,,57335,0.86,0.23,15201,1376,20.62,0.47,31386,404248,0.87,6.06
France,2017,96988,1.45,56482,0.84,246395,3.68,206619,3.09,,,1002,14.99,1916,28.65,3046,45.55,31507,0.47,2.45,,,680,10.17,,,,,56014,0.84,0.23,15284,1364,20.4,0.47,31756,399865,0.89,5.98
France,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,15315,,,0.48,32030,,,
Germany,2005,182894,2.22,212162,2.57,303247,3.68,523824,6.35,1.01,83427,1296,15.71,1846,22.38,3409,41.34,0,0,0,,,1134,13.75,,,4.84,398959,88284,1.07,0.24,19422,979,11.87,0.94,77691,698303,0.49,8.47
Germany,2006,184991,2.25,207821,2.52,290672,3.53,510767,6.2,1.02,84152,1292,15.68,1809,21.96,3359,40.78,0,0,0,,,1121,13.61,,,4.92,405318,89352,1.08,0.24,19620,946,11.48,0.97,79727,683484,0.49,8.3
Germany,2007,193724,2.35,204905,2.49,279170,3.39,506954,6.16,1.03,85116,1326,16.12,1791,21.77,3326,40.43,0,0,0,,,1104,13.42,,,5.01,411981,90574,1.1,0.24,19821,896,10.89,0.98,81002,677799,0.49,8.24
Germany,2008,194267,2.37,204763,2.49,275390,3.35,503360,6.13,1.05,86222,1334,16.25,1781,21.69,3322,40.46,0,0,0,,,1103,13.43,,,5.11,419904,92537,1.13,0.25,20158,885,10.78,0.99,80901,674420,0.5,8.21
Germany,2009,198207,2.42,202121,2.47,274502,3.35,503341,6.15,1.07,87382,1359,16.59,1780,21.73,3324,40.58,0,0,0,,,1093,13.35,,,5.23,428107,93982,1.15,0.25,20460,872,10.65,1,81624,674830,0.5,8.24
Germany,2010,200012,2.45,200672,2.45,273789,3.35,502749,6.15,1.08,88273,1373,16.79,1758,21.5,3301,40.37,0,0,0,,,1076,13.16,,,5.35,437245,96426,1.18,0.25,20765,852,10.42,1.01,82550,674473,0.51,8.25
Germany,2011,200280,2.49,198911,2.48,273382,3.41,502029,6.25,1.11,89428,1358,16.92,1736,21.63,3278,40.83,0,0,0,,,1066,13.28,,,5.57,447520,98719,1.23,0.26,21189,854,10.64,1.06,84842,672573,0.52,8.38
Germany,2012,201218,2.5,198412,2.47,270813,3.37,501475,6.24,1.13,90812,1356,16.86,1692,21.04,3229,40.15,0,0,0,,,1040,12.93,,,5.68,457091,100675,1.25,0.27,21390,833,10.36,1.08,87108,670443,0.53,8.34
Germany,2013,198736,2.46,197267,2.45,271557,3.37,500671,6.21,1.14,91907,1335,16.55,1668,20.68,3183,39.47,0,0,0,,,1023,12.69,,,5.81,468435,101850,1.26,0.27,21486,825,10.23,1.11,89196,667560,0.55,8.28
Germany,2014,200206,2.47,195052,2.41,271079,3.35,500680,6.18,1.15,93396,1323,16.34,1646,20.33,3138,38.75,0,0,0,,,997,12.31,,,5.92,479149,102916,1.27,0.27,21789,818,10.1,1.13,91260,666337,0.55,8.23
Germany,2015,199842,2.45,193286,2.37,271236,3.32,499351,6.11,1.16,94730,1323,16.2,1619,19.82,3108,38.05,0,0,0,,,979,11.98,,,5.92,483766,103992,1.27,0.27,22272,806,9.87,1.15,93862,664364,0.56,8.13
Germany,2016,201425,2.45,193358,2.35,269158,3.27,498718,6.06,1.17,96201,1318,16.01,1607,19.51,3100,37.64,0,0,0,,,989,12.01,,,6,494137,105026,1.28,0.27,22502,793,9.63,1.16,95835,663941,0.56,8.06
Germany,2017,200889,2.43,191111,2.31,269448,3.26,497182,6.02,1.18,97339,1329,16.08,1592,19.26,3084,37.31,0,0,0,,,970,11.74,,,6.1,503864,106176,1.28,0.27,22632,785,9.5,1.18,97707,661448,0.58,8
Greece,2005,14389,1.31,1568,0.14,36554,3.33,42884,3.9,1.22,13438,170,15.47,181,16.47,317,28.85,,,,,,6,0.55,,,5.06,55556,9627,0.88,0.14,1591,141,12.83,0.87,9540,52511,,4.78
Greece,2006,15082,1.37,1566,0.14,37053,3.36,43965,3.99,1.29,14180,170,15.43,184,16.7,317,28.76,,,,,,6,0.54,,,5.41,59599,9736,0.88,0.15,1691,141,12.79,0.9,9950,53701,,4.87
Greece,2007,14707,1.33,1607,0.15,37574,3.4,44244,4,1.31,14429,167,15.12,185,16.74,313,28.33,,,,,,6,0.54,,,5.63,62207,9644,0.87,0.16,1740,140,12.67,0.93,10263,53888,,4.88
Greece,2008,15028,1.36,1597,0.14,37027,3.34,44417,4.01,1.33,14689,170,15.35,186,16.79,316,28.53,,,,,,6,0.54,,,5.71,63244,9235,0.83,0.16,1785,140,12.64,0.96,10594,53652,,4.84
Greece,2009,15124,1.36,1465,0.13,38115,3.43,45729,4.12,1.33,14774,166,14.95,187,16.84,313,28.18,,,,,,5,0.45,,,5.79,64326,8975,0.81,0.16,1823,142,12.78,0.99,10960,54704,,4.93
Greece,2010,14172,1.27,1368,0.12,34288,3.08,40664,3.66,1.32,14661,163,14.66,187,16.81,310,27.87,,,,,,6,0.54,,,5.76,64032,8372,0.75,0.16,1831,141,12.68,0.99,11016,49828,,4.48
Greece,2011,14995,1.35,1314,0.12,33383,3.01,40781,3.67,1.31,14518,168,15.13,190,17.11,314,28.28,,,,,,5,0.45,,,5.78,64145,8145,0.73,0.17,1878,141,12.7,1.02,11306,49692,,4.47
Greece,2012,14976,1.36,1310,0.12,32814,2.97,40385,3.66,1.29,14208,164,14.85,187,16.93,302,27.34,,,,,,5,0.45,,,5.78,63838,8451,0.77,0.17,1907,133,12.04,1.05,11562,49100,,4.45
Greece,2013,15264,1.39,924,0.08,30322,2.77,38624,3.52,1.27,13911,161,14.68,178,16.23,290,26.45,,,,,,4,0.36,,,5.81,63736,7651,0.7,0.17,1909,125,11.4,1.08,11829,46510,,4.24
Greece,2014,15119,1.39,884,0.08,30157,2.77,38090,3.5,1.26,13746,155,14.23,176,16.16,283,25.98,,,,,,4,0.37,,,5.87,63906,7838,0.72,0.21,2340,124,11.38,1.36,14833,46160,,4.24
Greece,2015,15185,1.4,881,0.08,29879,2.76,38999,3.6,1.23,13301,155,14.32,172,15.9,283,26.15,6570,0.61,2.9,,,4,0.37,,,5.9,63866,7911,0.73,0.22,2364,124,11.46,1.35,14594,45945,,4.25
Greece,2016,14853,1.38,899,0.08,29521,2.74,38470,3.57,1.23,13225,151,14.01,173,16.05,280,25.98,6414,0.6,2.8,,,5,0.46,,,6.12,65972,7624,0.71,0.23,2468,124,11.51,1.4,15036,45273,,4.2
Greece,2017,14878,1.38,894,0.08,29495,2.74,38747,3.6,1.23,13261,147,13.67,174,16.18,277,25.76,6181,0.57,2.66,,,5,0.46,,,6.07,65240,7915,0.74,0.25,2738,125,11.62,1.32,14149,45267,,4.21
Hungary,2005,0,0,2205,0.22,77629,7.7,59921,5.94,,,,,137,13.58,182,18.04,7562,0.75,4.79,,,,,,,3.01,30377,9752,0.97,,,,,,,79834,,7.91
Hungary,2006,201,0.02,2205,0.22,77935,7.74,59859,5.94,,,,,136,13.5,182,18.07,7851,0.78,4.94,,,,,,,3.17,31929,9618,0.95,,,,,,,80341,0.46,7.98
Hungary,2007,181,0.02,1973,0.2,70106,6.97,44964,4.47,0.68,6876,12,1.19,138,13.72,179,17.8,11285,1.12,7.03,,,29,2.88,,,4.64,46616,9397,0.93,,,138,13.72,,,72260,0.45,7.19
Hungary,2008,150,0.01,1991,0.2,69181,6.89,44482,4.43,0.7,7033,12,1.2,149,14.84,176,17.53,11218,1.12,6.91,,,29,2.89,,,4.7,47222,8810,0.88,,,135,13.45,,,71322,0.47,7.11
Hungary,2009,181,0.02,2047,0.2,69372,6.92,44476,4.44,0.72,7225,12,1.2,148,14.77,175,17.46,11214,1.12,6.84,,,29,2.89,,,4.77,47760,8996,0.9,,,134,13.37,,,71600,0.45,7.14
Hungary,2010,181,0.02,2085,0.21,69552,6.96,44503,4.45,0.74,7437,12,1.2,149,14.9,175,17.5,11405,1.14,6.86,,,29,2.9,,,4.85,48466,8950,0.89,,,134,13.4,,,71818,0.48,7.18
Hungary,2011,187,0.02,2055,0.21,69427,6.96,44461,4.46,0.77,7682,12,1.2,146,14.64,173,17.35,11279,1.13,6.75,,,29,2.91,,,4.93,49207,8933,0.9,,,132,13.24,,,71669,0.49,7.19
Hungary,2012,,,,,,,42537,4.29,0.82,8100,,,,,176,17.74,11476,1.16,6.85,,,,,,,5,49613,8946,0.9,,,,,,,69449,0.48,7
Hungary,2013,,,,,,,42542,4.3,0.85,8427,,,,,173,17.49,12028,1.22,7.07,5289,59.08,,,10.45,103350,5.23,51749,8924,0.9,,,,,,,69621,0.52,7.04
Hungary,2014,,,,,,,42200,4.28,0.89,8753,,,,,174,17.64,12064,1.22,6.97,5482,58.77,,,10.86,107145,5.36,52862,8545,0.87,,,,,,,68910,0.51,6.98
Hungary,2015,,,,,,,41883,4.26,0.93,9128,,,,,168,17.07,12196,1.24,6.91,5633,61.14,,,11.24,110671,5.52,54336,8601,0.87,,,,,,,68843,0.5,6.99
Hungary,2016,,,,,,,41998,4.28,0.97,9514,,,,,168,17.12,11980,1.22,6.67,5787,60.69,,,11.54,113219,5.69,55806,8520,0.87,,,,,,,68713,0.5,7
Hungary,2017,,,,,,,41803,4.27,1,9780,,,,,165,16.86,11952,1.22,6.54,5922,62.57,,,11.8,115464,5.68,55603,8516,0.87,0.15,1426,,,0.68,6633,68702,0.51,7.02
Iceland,2005,,,,,,,,,1.18,349,,,9,30.33,20,67.4,,,,393,91.82,,,,,5.99,1777,,,0.26,77,,,0.7,209,,,
Iceland,2006,,,,,,,,,1.17,355,,,,,,,,,,397,89.82,,,,,6.1,1853,,,0.25,75,,,0.71,215,,,
Iceland,2007,0,0,0,0,1283,4.12,1043,3.35,1.16,360,0,0,9,28.89,9,28.89,162,0.52,4.55,416,91.23,0,0,,,6.2,1931,185,0.59,0.24,76,9,28.89,0.71,220,1283,1.49,4.12
Iceland,2008,0,0,0,0,1241,3.91,980,3.09,1.16,368,0,0,9,28.35,9,28.35,176,0.55,4.83,438,90.5,0,0,,,6.34,2011,194,0.61,0.24,76,9,28.35,0.7,223,1241,1.62,3.91
Iceland,2009,0,0,0,0,1178,3.7,953,2.99,1.17,373,0,0,9,28.26,9,28.26,161,0.51,4.33,448,89.07,0,0,,,6.56,2090,190,0.6,0.24,75,9,28.26,0.71,226,1178,1.69,3.7
Iceland,2010,0,0,0,0,1140,3.58,937,2.95,1.19,379,0,0,9,28.3,9,28.3,140,0.44,3.68,460,93.69,0,0,,,6.75,2146,153,0.48,0.22,71,9,28.3,0.71,225,1140,1.72,3.58
Iceland,2011,0,0,0,0,1050,3.29,853,2.67,1.21,386,0,0,8,25.08,8,25.08,134,0.42,3.42,466,103.79,0,0,,,6.9,2201,152,0.48,0.23,72,8,25.08,0.69,220,1050,1.87,3.29
Iceland,2012,0,0,0,0,1041,3.25,868,2.71,1.21,389,0,0,8,24.94,8,24.94,111,0.35,2.75,480,105.96,0,0,,,7.05,2261,152,0.47,0.21,68,8,24.94,0.69,222,1041,1.83,3.25
Iceland,2013,0,0,0,0,1043,3.22,866,2.67,1.22,394,0,0,8,24.71,8,24.71,112,0.35,2.69,489,112.93,0,0,,,7.21,2334,150,0.46,0.21,69,8,24.71,0.7,226,1043,1.85,3.22
Iceland,2014,0,0,0,0,1035,3.16,865,2.64,1.22,399,0,0,8,24.44,8,24.44,107,0.33,2.49,496,113.24,0,0,,,7.32,2397,145,0.44,0.22,72,8,24.44,0.72,235,1035,1.93,3.16
Iceland,2015,0,0,0,0,1032,3.12,867,2.62,1.21,401,0,0,8,24.18,8,24.18,102,0.31,2.29,509,123.24,0,0,,,7.45,2466,145,0.44,0.23,76,8,24.18,0.71,235,1032,1.96,3.12
Iceland,2016,0,0,0,0,1051,3.13,877,2.61,1.2,404,0,0,8,23.85,8,23.85,113,0.34,2.45,521,129.28,0,0,29.19,9793,7.41,2487,145,0.43,0.26,86,8,23.85,0.8,267,1051,2,3.13
Iceland,2017,0,0,0,0,1052,3.06,862,2.51,1.21,416,0,0,8,23.3,8,23.3,132,0.38,2.78,519,127.52,0,0,29.27,10052,7.52,2583,130,0.38,0.24,81,8,23.3,0.75,259,1052,1.98,3.06
Iceland,2018,0,0,0,0,1014,2.91,826,2.37,1.21,421,0,0,8,22.96,8,22.96,125,0.36,2.55,529,,0,0,29.55,10296,7.74,2696,129,0.37,0.24,83,8,22.96,0.74,258,1014,2.1,2.91
India,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469672,,0.41
India,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492698,,0.42
India,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482522,,0.41
India,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494510,,0.41
India,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540328,,0.44
India,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576793,,0.47
India,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784940,,0.63
India,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622628,,0.49
India,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628708,,0.49
India,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675779,,0.52
India,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754724,,0.58
India,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634879,,0.48
India,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710761,,0.53
Indonesia,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141603,,0.59
Indonesia,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137070,,0.57
Indonesia,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149826,,0.62
Indonesia,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203768,,0.83
Indonesia,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245340,,0.99
Indonesia,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236610,,0.94
Indonesia,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249255,,0.98
Indonesia,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256426,,0.99
Indonesia,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271902,,1.04
Ireland,2005,,,,,,,11499,2.76,0.56,2327,,,54,12.98,179,43.03,6972,1.68,15.27,,,,,15.06,62639,3.53,14671,3975,0.96,0.1,400,,,0.2,831,22711,0.84,5.46
Ireland,2006,,,,,,,11517,2.69,0.56,2414,,,53,12.4,178,41.65,6793,1.59,14.72,,,,,15.31,65415,3.63,15500,3897,0.91,0.1,448,,,0.22,946,22472,0.89,5.26
Ireland,2007,,,,,,,11532,2.62,0.58,2537,,,52,11.82,176,40.01,6951,1.58,14.83,,,,,15.29,67245,3.83,16860,3721,0.85,0.11,503,,,0.24,1047,22421,0.93,5.1
