Entity,Year,"Estimated average age at marriage, men (UN)","Estimated average age at marriage, women (UN)"
Kenya,1993,,21.299999
Kenya,1998,26.299999,21.700001
Kenya,2000,25.200001,22.1
Kenya,2003,26.299999,21.4
Kenya,2008,26.6,21.9
Kenya,2014,26.299999,21.9
Kiribati,1973,24.200001,20.9
Kiribati,1978,23.799999,20.799999
Kiribati,1985,24.200001,21.1
Kiribati,1990,24.5,21.5
Kiribati,1995,24.799999,21.700001
Kiribati,2005,24.700001,22.200001
Kiribati,2010,24.1,21.6
Korea,1970,27.200001,23.299999
Korea,1975,27.4,23.700001
Korea,1980,27.299999,24.1
Korea,1985,27.799999,24.700001
Korea,1990,28.5,25.4
Korea,1995,29.299999,26.1
Korea,2000,30.299999,27.1
Korea,2005,32,28.799999
Korea,2010,33.200001,30.200001
Korea,2015,33.900002,31.5
Kosovo,2011,28.200001,25.200001
Kuwait,1970,26.5,19.6
Kuwait,1975,26.4,20.5
Kuwait,1980,26.799999,21.700001
Kuwait,1985,26.299999,22.9
Kuwait,1995,28.5,27
Kuwait,2005,28.9,27.5
Kuwait,2011,27.799999,25.700001
Kyrgyzstan,1979,23.700001,
Kyrgyzstan,1989,24,
Kyrgyzstan,1997,,20.299999
Kyrgyzstan,1999,25,
Kyrgyzstan,2005,,22.5
Kyrgyzstan,2009,26.299999,
Kyrgyzstan,2012,,21.799999
Kyrgyzstan,2014,,21.200001
Laos,2000,23.200001,20.5
Laos,2005,,20.5
Laos,2011,23.299999,20.5
Laos,2017,24.6,20.700001
Latvia,2000,28.5,26.5
Latvia,2002,29.5,27.299999
Latvia,2005,30.4,28.1
Latvia,2006,30.700001,28.5
Latvia,2007,31,28.700001
Latvia,2008,31.200001,28.799999
Latvia,2009,31.5,29.1
Latvia,2010,31.9,29.5
Latvia,2011,32.400002,29.9
Latvia,2013,32.799999,30.1
Latvia,2014,33,30.299999
Latvia,2015,33.099998,30.4
Latvia,2016,33.099998,30.4
Latvia,2017,33.099998,30.4
Latvia,2018,33.099998,30.4
Lebanon,1997,31.4,27.9
Lebanon,2004,31.4,27.4
Lebanon,2007,32.299999,28.299999
Lesotho,1977,,19.4
Lesotho,2000,26.700001,21.700001
Lesotho,2001,27.700001,23.9
Lesotho,2002,26.200001,21.9
Lesotho,2004,27.200001,22.5
Lesotho,2009,27,22.5
Lesotho,2011,28.5,24.4
Lesotho,2014,28,22.200001
Liberia,1969,26.700001,18.700001
Liberia,1970,27,19
Liberia,1986,,20.200001
Liberia,2006,25.299999,22.1
Liberia,2013,26.4,22.6
Libya,1973,24.6,18.700001
Libya,1984,27.4,23
Liechtenstein,1981,27.9,24.6
Liechtenstein,1982,28,24.9
Liechtenstein,1983,27.9,25
Liechtenstein,1985,28.5,25.6
Liechtenstein,1986,28.700001,25.799999
Liechtenstein,1987,28.799999,26.1
Liechtenstein,1997,30.6,28
Liechtenstein,2000,31,28.299999
Liechtenstein,2001,,28.9
Liechtenstein,2003,31.4,28.5
Liechtenstein,2004,31.6,
Liechtenstein,2005,31.799999,28.799999
Liechtenstein,2006,32.099998,28.9
Liechtenstein,2007,32.299999,29.299999
Liechtenstein,2008,32.400002,29.4
Liechtenstein,2009,32.5,29.4
Liechtenstein,2010,32.700001,29.6
Liechtenstein,2011,32.599998,29.799999
Liechtenstein,2014,32.700001,29.799999
Liechtenstein,2015,32.700001,29.9
Liechtenstein,2016,32.599998,29.9
Liechtenstein,2017,32.5,29.9
Liechtenstein,2018,32.400002,29.9
Lithuania,2005,28.6,26.200001
Lithuania,2006,28.799999,26.299999
Lithuania,2007,29.4,26.9
Lithuania,2008,29.700001,27.1
Lithuania,2009,29.799999,27.299999
Lithuania,2010,30.799999,28.200001
Lithuania,2011,31.700001,29.1
Lithuania,2013,31.9,29.1
Lithuania,2014,32.700001,30
Lithuania,2015,33.599998,30.9
Lithuania,2016,34.400002,31.799999
Lithuania,2017,35.299999,32.799999
Lithuania,2018,35.299999,32.700001
Luxembourg,1970,25.6,21.4
Luxembourg,1981,26.200001,23.1
Luxembourg,1991,28.5,26
Luxembourg,2001,30.6,27.799999
Luxembourg,2011,30.4,27.9
Macao,1970,29,25.6
Macao,1981,29.6,26.9
Macao,1991,28.1,26.4
Macao,2001,29.5,27.9
Macao,2006,29.799999,28
Macao,2011,32.700001,30.299999
Macedonia,1994,26.700001,22.9
Macedonia,2011,,25.5
Madagascar,1992,,20.799999
Madagascar,1997,,20.6
Madagascar,2000,23.9,19.799999
Madagascar,2003,24.1,19.799999
Madagascar,2008,22.4,19
Malawi,1970,24.200001,19.1
Malawi,1982,23.200001,18.200001
Malawi,1984,,18.1
Malawi,1992,,18.700001
Malawi,1996,26.4,
Malawi,2000,23.5,18.9
Malawi,2004,23.6,18.9
Malawi,2006,,18.799999
Malawi,2010,23.9,19.700001
Malawi,2013,24.6,19.799999
Malawi,2015,23.700001,19.9
Malaysia,1991,27.9,24.6
Malaysia,2000,28.6,25.1
Malaysia,2010,28,25.700001
Maldives,1977,22.4,17.5
Maldives,1985,22.1,17.9
Maldives,1990,23.200001,19.1
Maldives,1995,24,18.9
Maldives,2000,25.700001,21.799999
Maldives,2014,25.799999,22.5
Mali,1960,26.4,16.200001
Mali,1987,,16.4
Mali,1995,25.799999,18.4
Mali,2001,25.9,18.5
Mali,2006,24,17.799999
Mali,2009,,19.200001
Mali,2012,25.9,18.5
Mali,2015,27.200001,19.299999
Mali,2018,25.799999,18.799999
Malta,1985,26.200001,22.200001
Malta,2008,30.9,28.1
Malta,2009,30.4,28.1
Malta,2010,31,28.200001
Malta,2011,31.700001,29
Marshall Islands,1988,23.700001,21
Marshall Islands,2011,25.700001,24.200001
Martinique,1982,30.200001,28.799999
Martinique,1999,35.599998,33.299999
Mauritania,1964,28.9,19.5
Mauritania,1990,29.6,23
Mauritania,2000,29.4,21.799999
Mauritania,2003,,22
Mauritania,2007,,21.6
Mauritania,2011,29.5,21.6
Mauritania,2015,29.200001,21.799999
Mauritius,1962,26.200001,16.5
Mauritius,1990,28.200001,23.799999
Mauritius,2000,28.5,22.6
Mauritius,2011,29.200001,23.9
Mayotte,2002,26.1,21.200001
Mayotte,2012,29.799999,26.1
Mexico,1970,24.4,21.200001
Mexico,1980,24.1,21.6
Mexico,1990,24.700001,22.4
Mexico,1995,25.1,23
Mexico,2000,25,22.700001
Mexico,2010,25.5,23
Micronesia (country),1985,25.5,22.6
Micronesia (country),1986,26.4,24.200001
Micronesia (country),2010,,25.299999
Moldova,1989,23.799999,
Moldova,1997,,20.799999
Moldova,2000,,21.9
Moldova,2004,27.1,
Moldova,2005,,21.9
Moldova,2012,,21.9
Moldova,2014,28.700001,
Monaco,1975,27.200001,24.799999
Monaco,1982,28.700001,26.200001
Monaco,2000,32.5,29.200001
Monaco,2008,33.400002,30.4
Mongolia,1979,24.9,
Mongolia,1989,25,
Mongolia,1994,,23.299999
Mongolia,1996,,23.6
Mongolia,1998,,22.5
Mongolia,2000,25.700001,21.9
Mongolia,2003,,22.299999
Mongolia,2005,,23
Mongolia,2008,,22.5
Mongolia,2010,26.200001,23.4
Mongolia,2013,,23
Montenegro,2003,30.700001,26.200001
Montenegro,2011,31.1,27.1
Montserrat,1970,31.5,27.5
Montserrat,1980,31.1,28.5
Montserrat,2011,31.5,31.9
Morocco,1971,25,
Morocco,1982,27.1,
Morocco,1987,,24
Morocco,1992,,25
Morocco,1994,29.799999,
Morocco,1995,,26.299999
Morocco,1997,,28.1
Morocco,2003,,26.4
Morocco,2004,31.200001,
Morocco,2010,,26.299999
Morocco,2018,,24.4
Mozambique,1997,22.6,18.1
Mozambique,2003,,18.700001
Mozambique,2008,,18.799999
Mozambique,2009,22.700001,18.299999
Mozambique,2011,22.9,18.9
Mozambique,2015,22.799999,18.9
Myanmar,1991,26.4,24.5
Myanmar,1997,,26
Myanmar,2000,26.9,24.799999
Myanmar,2001,,25.799999
Myanmar,2007,27.700001,26.1
Myanmar,2015,25.4,22.9
Namibia,1989,,19.4
Namibia,1992,,26.4
Namibia,2000,30.1,27.5
Namibia,2006,30.200001,28.299999
Namibia,2013,32.200001,27.9
Namibia,2016,34.299999,30.299999
Nauru,2007,,20.200001
Nepal,1976,20.799999,17.1
Nepal,1996,22,18.6
Nepal,2001,22.6,18.9
Nepal,2006,22.4,19.4
Nepal,2011,23.700001,20
Nepal,2014,,20.700001
Nepal,2016,23.6,20.1
Netherlands,1970,25.200001,22
Netherlands,1971,25.1,21.9
Netherlands,1972,25.200001,21.9
Netherlands,1973,25.200001,22
Netherlands,1974,25.299999,22
Netherlands,1975,25.299999,22.1
Netherlands,1976,25.4,22.200001
Netherlands,1977,25.4,22.299999
Netherlands,1978,25.700001,22.5
Netherlands,1979,25.9,22.799999
Netherlands,1980,26.200001,23.200001
Netherlands,1981,26.4,23.5
Netherlands,1982,26.700001,23.799999
Netherlands,1983,26.9,24.200001
Netherlands,1984,27.299999,24.6
Netherlands,1985,27.9,25.200001
Netherlands,1986,28.200001,25.6
Netherlands,1987,28.6,26
Netherlands,1988,28.9,26.299999
Netherlands,1989,29.299999,26.700001
Netherlands,1990,29.5,26.9
Netherlands,1991,29.6,27.1
Netherlands,1992,29.9,27.299999
Netherlands,1993,30.200001,27.6
Netherlands,1994,30.5,27.9
Netherlands,1995,30.799999,28.200001
Netherlands,1996,31.200001,28.6
Netherlands,1997,31.5,28.9
Netherlands,1998,31.9,29.299999
Netherlands,2001,32.299999,30.4
Netherlands,2003,32.799999,30.200001
Netherlands,2006,33.200001,30.700001
Netherlands,2007,33.400002,31
Netherlands,2008,33.599998,31.200001
Netherlands,2009,33.700001,31.299999
Netherlands,2010,33.799999,31.4
Netherlands,2011,33.900002,31.5
Netherlands,2014,34.200001,32
Netherlands,2015,34.299999,32.200001
Netherlands,2016,34.299999,32.299999
Netherlands,2017,34.299999,32.299999
Netherlands,2018,34.299999,32.400002
Netherlands Antilles,1981,28.700001,26.5
Netherlands Antilles,2001,32.599998,30.200001
New Caledonia,1976,26.5,22.5
New Caledonia,1989,30.5,27.799999
New Caledonia,1996,32.5,30.4
New Caledonia,2004,33.700001,31.9
New Caledonia,2014,34.299999,32.799999
New Zealand,1986,27.1,25
New Zealand,1991,28.799999,26.799999
New Zealand,1996,27.200001,25.4
New Zealand,2001,31.700001,30
New Zealand,2006,32,30.5
Nicaragua,1992,,19.799999
Nicaragua,1997,22.6,20
Nicaragua,1998,22.6,20
Nicaragua,2001,25.1,20.4
Nicaragua,2006,,20.9
Nicaragua,2011,,21.1
Niger,1992,25.1,17.5
Niger,1998,23.9,17.6
Niger,2000,24.799999,17.700001
Niger,2006,25.1,17.700001
Niger,2012,25,17.200001
Niger,2015,24,17.200001
Nigeria,1990,,19.6
Nigeria,2003,28,20.9
Nigeria,2007,,21.5
Nigeria,2008,28.5,21.5
Nigeria,2011,,21.700001
Nigeria,2013,28.6,21.200001
Niue,1971,25.700001,25
Niue,1976,27.1,25
Niue,1986,26.299999,23.6
Niue,1997,29.1,
Niue,2006,26.799999,26.1
Niue,2011,23.9,24.6
North Korea,2008,29,25.5
Northern Mariana Islands,1990,28.5,28.5
Northern Mariana Islands,2010,30.1,28.1
Norway,1972,24.799999,22
Norway,1973,24.700001,22.1
Norway,1974,24.799999,22.200001
Norway,1975,24.9,22.4
Norway,1976,25.1,22.700001
Norway,1977,25.4,23
Norway,1978,25.700001,23.299999
Norway,1979,26,23.700001
Norway,1980,26.299999,24
Norway,1981,26.700001,24.4
Norway,1982,27,24.700001
Norway,1983,27.5,25.200001
Norway,1984,27.9,25.6
Norway,1986,28.299999,26
Norway,1987,28.700001,26.4
Norway,1988,29.200001,26.799999
Norway,1989,29.6,27.1
Norway,1990,30,27.5
Norway,1991,30.4,27.9
Norway,1992,30.9,28.299999
Norway,1993,31.1,28.6
Norway,1996,32.5,29.9
Norway,1997,32.799999,30.299999
Norway,1998,33,30.5
Norway,1999,33.299999,30.799999
Norway,2000,33.700001,31.4
Norway,2001,,31.4
Norway,2002,33.799999,31.4
Norway,2004,33.900002,31.6
Norway,2005,34,31.700001
Norway,2006,34,31.799999
Norway,2007,34,31.9
Norway,2008,34,31.9
Norway,2009,33.900002,31.799999
Norway,2010,33.900002,31.799999
Norway,2011,33.799999,31.799999
Norway,2012,33.799999,31.799999
Norway,2014,33.799999,31.799999
Norway,2015,33.799999,31.799999
Norway,2016,33.900002,31.9
Norway,2017,33.900002,32
Norway,2018,34.099998,32.099998
Oman,1993,24.700001,20.700001
Oman,2003,28.1,24.799999
Oman,2010,27.700001,25.6
Pakistan,1975,25.299999,19.6
Pakistan,1990,26.5,21.4
Pakistan,2000,27.1,22.700001
Pakistan,2006,26.9,23.1
Pakistan,2012,,23.1
Pakistan,2017,26.9,23.200001
Palau,2015,29.1,28.5
Palestine,1967,25.200001,
Palestine,1996,,21.6
Palestine,1997,24.9,
Palestine,2000,,21.700001
Palestine,2004,,22.4
Palestine,2006,,22.9
Palestine,2007,26.6,
Palestine,2010,,23.200001
Palestine,2014,,22.5
Palestine,2017,26.5,
Panama,1970,24.799999,20.4
Panama,1980,25.200001,21.4
Panama,1990,25.4,21.9
Panama,2000,25.799999,21.9
Panama,2010,25.299999,21.6
Papua New Guinea,1971,24.1,19.4
Papua New Guinea,1980,24.9,20.6
Papua New Guinea,1990,24.700001,20.9
Papua New Guinea,2011,27.1,22.6
Paraguay,1972,26.5,21.700001
Paraguay,1982,26.299999,21.799999
Paraguay,1992,25.799999,21.5
Paraguay,2002,26.799999,22.700001
Peru,1986,,23.1
Peru,1991,,23.9
Peru,1996,26.5,23.1
Peru,2000,,23.6
Peru,2003,28.200001,24.4
Peru,2007,28.200001,24.1
Peru,2009,27.5,23.200001
Peru,2010,27.799999,23.1
Peru,2011,28,23.6
Peru,2012,27.5,23.5
Peru,2013,,23.4
Peru,2014,,23.5
Peru,2015,,22.9
Peru,2016,,23.299999
Philippines,1970,25.4,
Philippines,1975,25.5,
Philippines,1978,,24.5
Philippines,1980,24.799999,
Philippines,1993,,23.4
Philippines,1995,26.6,
Philippines,1998,,23.5
Philippines,1999,,24.200001
Philippines,2003,,23.200001
Philippines,2008,,23.299999
Philippines,2010,26.9,
Philippines,2013,,23.4
Philippines,2015,27.200001,
Philippines,2017,,23.4
Poland,1972,25.700001,22
Poland,1974,25.700001,22.299999
Poland,1980,25.700001,22.6
Poland,1990,26.299999,23.1
Poland,1996,27.4,24.4
Poland,1997,27.6,24.700001
Poland,1998,27.799999,25
Poland,1999,28,25.200001
Portugal,1970,25.6,23.200001
Portugal,1981,24.700001,22.1
Portugal,1991,26.700001,23.9
Portugal,2001,28.299999,25.6
Portugal,2011,32.200001,30.1
Puerto Rico,1970,24,22.1
Puerto Rico,1980,24.299999,22.5
Puerto Rico,1990,25.799999,23.799999
Puerto Rico,2010,30.799999,29.200001
Qatar,1986,26.6,22.700001
Qatar,1997,27.700001,25.299999
Qatar,2004,27.6,25.799999
Reunion,1974,25.200001,22.5
Reunion,1982,28.1,25.799999
Reunion,1999,32.799999,30.5
Reunion,2004,33.200001,31
Romania,1991,25.9,22.1
Romania,1993,26.700001,23.1
Romania,1994,26,22.5
Romania,1995,26.200001,22.700001
Romania,1997,26.6,23.200001
Romania,1998,27.1,23.799999
Romania,2003,28.9,25.5
Romania,2004,29,25.700001
Romania,2005,29,25.700001
Romania,2006,29.200001,25.9
Romania,2007,29.299999,26.1
Romania,2008,29.200001,26
Romania,2009,29.299999,26.1
Romania,2010,29.5,26.4
Romania,2011,29.799999,26.6
Russia,1989,24.4,21.799999
Russia,2010,27,24.4
Rwanda,1970,,20.1
Rwanda,1981,25,21.5
Rwanda,1983,,21.1
Rwanda,1992,,22.700001
Rwanda,1996,24.799999,23.299999
Rwanda,2000,25.5,22.6
Rwanda,2005,26.5,23.700001
Rwanda,2007,26.5,23.4
Rwanda,2011,26.6,24.4
Rwanda,2014,27,24.299999
Saint Kitts and Nevis,1970,33,28.9
Saint Kitts and Nevis,1980,32.099998,31.299999
Saint Lucia,1970,32,28.700001
Saint Lucia,1980,34.099998,31.4
Saint Lucia,1991,35.099998,33.700001
Saint Pierre and Miquelon,1974,25.6,21.799999
Saint Pierre and Miquelon,1982,26.4,23.9
Saint Pierre and Miquelon,1990,,27.4
Saint Pierre and Miquelon,1999,34.900002,31.1
Saint Vincent and the Grenadines,1970,32.799999,28.4
Saint Vincent and the Grenadines,1980,32.200001,28.200001
Saint Vincent and the Grenadines,1991,34.5,30.9
Saint Vincent and the Grenadines,2001,27.799999,21.200001
Saint Vincent and the Grenadines,2012,27.799999,21.200001
Samoa,1971,26.299999,22
Samoa,1976,26.299999,22.1
Samoa,1981,27.299999,23.200001
Samoa,1986,28,24.799999
Samoa,1991,28.299999,24.299999
Samoa,2001,28.6,24.299999
Samoa,2006,29,24.299999
Samoa,2011,27.9,23.5
Samoa,2016,27.299999,23.799999
San Marino,1970,26.1,20.6
San Marino,1971,26.200001,20.700001
San Marino,1972,26.299999,21.1
San Marino,1973,26.4,21.200001
San Marino,1974,26.299999,21.299999
San Marino,1975,26.4,21.4
San Marino,1976,26.4,21.700001
San Marino,1977,26.5,21.799999
San Marino,1978,26.6,22
San Marino,1979,26.700001,22.4
San Marino,1980,27,22.799999
San Marino,1981,27.200001,23.200001
San Marino,1982,27.200001,23.6
San Marino,1983,27.200001,23.9
San Marino,1984,27.299999,24.1
San Marino,1985,27.700001,24.1
San Marino,1986,28,24.299999
San Marino,1987,28.1,24.6
San Marino,1988,27.9,24.9
San Marino,1989,28.1,25.1
San Marino,1991,28.700001,25.700001
San Marino,1992,28.799999,26
San Marino,1993,28.9,26.4
San Marino,1994,29.299999,26.6
San Marino,1995,29.5,26.799999
San Marino,1997,29.799999,27
San Marino,2003,30.9,28.5
San Marino,2005,,28.799999
San Marino,2013,33.200001,30.700001
San Marino,2014,33.5,30.700001
San Marino,2017,34,31.200001
San Marino,2018,34,31.299999
Sao Tome and Principe,2000,22.9,19.299999
Sao Tome and Principe,2008,25,20.4
Sao Tome and Principe,2014,,21
Saudi Arabia,1987,25.6,21.700001
Saudi Arabia,1996,27.700001,24
Saudi Arabia,2007,28,24.9
Saudi Arabia,2016,30.5,27.1
Saudi Arabia,2017,30,26.6
Senegal,1960,28,17.4
Senegal,1970,28.700001,18.6
Senegal,1978,,17.9
Senegal,1986,,19.5
Senegal,1992,,20.9
Senegal,1997,,21.5
Senegal,1999,,21.6
Senegal,2000,29.700001,21.5
Senegal,2005,27.799999,21.200001
Senegal,2010,30,21.6
Senegal,2012,29.9,21.799999
Senegal,2014,30.299999,22
Senegal,2015,29.799999,22
Senegal,2016,30.5,21.799999
Senegal,2017,30.6,22.200001
Serbia,2002,29.799999,
Serbia,2005,,25.1
Serbia,2010,,26
Serbia,2011,30.4,
Serbia,2014,,26.6
Seychelles,1971,29.1,25.6
Seychelles,1981,26.4,22.799999
Seychelles,1987,26.4,23.799999
Seychelles,1994,26.9,24.799999
Seychelles,2002,27.299999,25.200001
Sierra Leone,1992,27.700001,19.799999
Sierra Leone,2000,26.6,18.6
Sierra Leone,2005,,19.5
Sierra Leone,2008,26.200001,20.5
Sierra Leone,2010,,21
Sierra Leone,2013,26.799999,21.799999
Sierra Leone,2017,27.9,23.1
Singapore,1970,27.799999,24.200001
Singapore,1980,28.4,26.200001
Singapore,1990,29.9,27
Singapore,2000,30,26.5
Singapore,2010,30.4,27.9
Sint Maarten (Dutch part),2011,32.299999,28
Slovakia,2003,29.1,26.4
Slovakia,2006,30.1,27.6
Slovakia,2007,30.4,27.9
Slovakia,2008,30.700001,28.299999
Slovakia,2009,31.1,28.700001
Slovakia,2010,31.4,29.1
Slovakia,2012,32,29.6
Slovakia,2013,32.400002,29.9
Slovakia,2014,32.599998,30.1
Slovakia,2015,33.099998,30.6
Slovakia,2016,33.299999,30.799999
Slovakia,2017,33.5,30.9
Slovakia,2018,33.599998,31
Slovenia,1998,31.299999,28.700001
Slovenia,2000,31.9,29.5
Slovenia,2001,32,29.799999
Slovenia,2003,32.400002,30.299999
Slovenia,2004,32.700001,30.6
Slovenia,2005,33,30.9
Slovenia,2006,33.400002,31.200001
Slovenia,2007,33.700001,31.6
Slovenia,2008,34.700001,32.5
Slovenia,2009,35,32.900002
Slovenia,2010,35.299999,33.200001
Slovenia,2011,35.400002,33.5
Slovenia,2012,35.5,33.599998
Slovenia,2013,35.599998,33.799999
Slovenia,2014,35.700001,33.900002
Slovenia,2015,35.799999,34.099998
Slovenia,2016,35.900002,34.099998
Slovenia,2017,35.900002,34.099998
Slovenia,2018,35.599998,34
Solomon Islands,1970,27.4,22.299999
Solomon Islands,1976,25.5,21.1
Solomon Islands,1986,25,21.200001
Solomon Islands,1999,26.1,22.6
Solomon Islands,2009,27.1,23.299999
Somalia,1980,26.4,20.1
Somalia,1982,26.5,20.6
Somalia,2006,,20.4
South Africa,1980,27.799999,25.700001
South Africa,1985,27.9,26.1
South Africa,1991,28.9,26.799999
South Africa,1996,30.299999,27.9
South Africa,2011,31.200001,28
South Sudan,1973,25.799999,18.700001
South Sudan,1983,27.200001,20.700001
South Sudan,1993,28.200001,20.5
South Sudan,2008,27.1,20.700001
Spain,1970,27.5,23.700001
Spain,1981,26,23.1
Spain,1991,28.4,26
Spain,2001,31.6,29.299999
Spain,2011,30.299999,27.700001
Sri Lanka,1971,28.1,23.5
Sri Lanka,1981,27.9,24.4
Sri Lanka,2001,27.6,23.799999
Sri Lanka,2012,27.200001,23.4
Sudan,1978,27.9,21.4
Sudan,1989,,24.1
Sudan,2000,29.700001,15
Sudan,2010,28.9,22
Sudan,2014,,21.9
Suriname,1999,,20.799999
Suriname,2004,31.799999,
Suriname,2006,,22.700001
Suriname,2010,,22.799999
Suriname,2012,32.799999,
Swaziland,2000,30.1,23.799999
Swaziland,2006,30,26
Swaziland,2010,,26.200001
Swaziland,2014,,26.5
Sweden,1971,26.700001,24.200001
Sweden,1972,26.799999,24.4
Sweden,1973,27.299999,25
Sweden,1974,27.6,25.299999
Sweden,1975,27.9,25.6
Sweden,1976,28.1,25.799999
Sweden,1977,28.6,26.299999
Sweden,1978,29.1,26.799999
Sweden,1979,29.5,27.200001
Sweden,1980,30,27.6
Sweden,1981,30.4,28
Sweden,1982,30.799999,28.4
Sweden,1983,31.299999,28.799999
Sweden,1984,31.700001,29.299999
Sweden,1985,32.099998,29.6
Sweden,1986,32.400002,29.9
Sweden,1987,33,30.5
Sweden,1988,32.900002,30.4
Sweden,1989,32.400002,29.9
Sweden,1991,32.700001,30.299999
Sweden,1992,32.900002,30.5
Sweden,1994,33.299999,31
Sweden,1995,33.599998,31.299999
Sweden,1996,33.799999,31.5
Sweden,1997,34,31.799999
Sweden,1998,34.200001,32
Sweden,2001,34.5,32.299999
Sweden,2002,34.5,32.400002
Sweden,2004,34.5,32.400002
Sweden,2005,34.400002,32.299999
Sweden,2006,34.299999,32.200001
Sweden,2007,34.099998,32
Sweden,2008,33.900002,31.799999
Sweden,2009,33.700001,31.6
Sweden,2010,33.5,31.4
Sweden,2011,33.299999,31.299999
Sweden,2012,33.200001,31.200001
Sweden,2014,33.099998,31
Sweden,2015,33.099998,31
Sweden,2016,33.099998,31
Sweden,2017,33.099998,31
Sweden,2018,33.200001,31
Switzerland,1986,29,26.200001
Switzerland,1987,29.200001,26.4
Switzerland,1988,29.4,26.700001
Switzerland,1989,29.5,26.799999
Switzerland,1990,29.5,26.9
Switzerland,1991,29.6,27
Switzerland,1993,29.9,27.1
Switzerland,1994,30,27.299999
Switzerland,1995,30.200001,27.5
Switzerland,1996,30.299999,27.700001
Switzerland,1998,30.700001,28.200001
Switzerland,2001,31.6,29.1
Switzerland,2003,32.099998,29.200001
Switzerland,2005,32.400002,29.5
Switzerland,2006,32.099998,29.200001
Switzerland,2007,32.700001,29.9
Switzerland,2008,32.5,29.700001
Switzerland,2009,32.700001,29.799999
Switzerland,2011,33.099998,30.5
Switzerland,2012,33.200001,30.6
Switzerland,2013,32.799999,30.4
Switzerland,2014,32.900002,30.5
Switzerland,2015,33,30.6
Switzerland,2016,33,30.700001
Switzerland,2017,33.099998,30.9
Syria,1978,30.799999,22.200001
Syria,2001,29.299999,25.4
Syria,2006,,25.4
Taiwan,1980,25.299999,23.799999
Taiwan,1990,28.799999,25.9
Taiwan,2000,30.5,27.6
Tajikistan,1989,23.200001,
Tajikistan,2000,24.1,21.4
Tajikistan,2005,,22.9
Tajikistan,2010,24.700001,
Tajikistan,2012,,21.9
Tajikistan,2017,,20.700001
Tanzania,1973,,18.5
Tanzania,1991,25.1,20.5
Tanzania,1994,25.1,20.5
Tanzania,1996,25.1,20.5
Tanzania,1999,24.700001,20.4
Tanzania,2003,25,20.700001
Tanzania,2004,25.1,20
Tanzania,2007,25.200001,20.299999
Tanzania,2009,25.1,21
Tanzania,2011,25.4,20.9
Tanzania,2015,25.200001,21
Thailand,1970,24.700001,22
Thailand,1980,24.9,22.799999
Thailand,1990,26,23.5
Thailand,2000,27.4,24.1
Thailand,2010,28.5,24.9
Timor,2003,,21.799999
Timor,2004,27,
Timor,2009,,23.1
Timor,2010,27.799999,
Timor,2015,28.1,
Timor,2016,,23
Togo,1970,26,
Togo,1981,25.6,
Togo,1988,,20.299999
Togo,1998,,21.4
Togo,2000,,21.1
Togo,2010,27.6,22.4
Togo,2013,,22.299999
Togo,2017,,21.299999
Tokelau,1972,22.700001,23.6
Tokelau,1976,24,25.299999
Tokelau,1986,26.6,26
Tokelau,1991,,25.6
Tokelau,2011,27,27.9
Tonga,1976,27.1,24.299999
Tonga,1986,27.1,24.799999
Tonga,1996,28,25.5
Tonga,2006,28,25.6
Tonga,2011,27.200001,24.700001
Tonga,2016,27.4,25.299999
Trinidad and Tobago,1970,27.4,24
Trinidad and Tobago,1980,28.1,25.299999
Trinidad and Tobago,1990,29.799999,26.799999
Trinidad and Tobago,2000,31.4,28.1
Trinidad and Tobago,2011,31.799999,29.200001
Tunisia,1975,27.1,22.6
Tunisia,1984,28.1,24.299999
Tunisia,1994,30.299999,26.6
Tunisia,2004,32.599998,28.700001
Tunisia,2014,32.900002,28.200001
Turkey,1970,23.9,
Turkey,1975,23.700001,
Turkey,1978,,20.5
Turkey,1980,23.799999,
Turkey,1983,,20.799999
Turkey,1985,24.6,
Turkey,1988,,21.9
Turkey,1990,25,
Turkey,1993,,22.4
Turkey,1998,,22
Turkey,2000,26.1,
Turkey,2003,,23.4
Turkey,2008,,24.200001
Turkey,2011,27.9,
Turkey,2013,,23.4
Turkmenistan,2000,,23.4
Turkmenistan,2006,,24.799999
Turkmenistan,2015,,23.5
Turks and Caicos Islands,1970,,23.4
Turks and Caicos Islands,1980,26.6,22.5
Turks and Caicos Islands,2001,,25.200001
Tuvalu,1979,29.1,25.4
Tuvalu,1991,26.700001,21.4
Tuvalu,2002,26.5,20.700001
Uganda,1988,,19
Uganda,1995,22.5,18.200001
Uganda,2000,23.4,19.6
Uganda,2004,23.799999,20
Uganda,2006,23.799999,20.4
Uganda,2011,24.299999,20
Uganda,2016,24.299999,20.700001
Ukraine,1999,,21.5
Ukraine,2005,,23.9
Ukraine,2007,25.9,23.1
Ukraine,2012,,23
United Arab Emirates,1975,25.9,18
United Arab Emirates,2005,26.799999,25.299999
United Kingdom,1982,25.799999,23.4
United Kingdom,1983,26.1,23.799999
United Kingdom,1984,26.4,24.1
United Kingdom,1985,26.700001,24.5
United Kingdom,1986,27.1,24.799999
United Kingdom,1987,27.299999,25.1
United Kingdom,1988,27.6,25.4
United Kingdom,1989,27.9,25.700001
United Kingdom,1990,28.200001,26
United Kingdom,1991,28.5,26.299999
United Kingdom,1992,28.9,26.700001
United Kingdom,1993,29.200001,27.1
United Kingdom,1994,29.6,27.4
United Kingdom,1997,30.799999,28.700001
United Kingdom,2009,33.200001,31.799999
