Entity,Year,"Air pollution death rates (from particulate matter) per 100,000- IHME"
Somalia,1990,62.47752463
Somalia,1995,60.53754478
Somalia,2000,56.9454045
Somalia,2005,43.72937256
Somalia,2010,43.92755509
Somalia,2015,39.21475436
South Africa,1990,54.88292663
South Africa,1995,53.3650571
South Africa,2000,63.00937966
South Africa,2005,57.70818098
South Africa,2010,45.72536273
South Africa,2015,46.28594616
South Korea,1990,35.01746687
South Korea,1995,30.63006443
South Korea,2000,28.49228331
South Korea,2005,27.70787396
South Korea,2010,28.08869176
South Korea,2015,36.12288856
South Sudan,1990,71.69586606
South Sudan,1995,64.57850686
South Sudan,2000,53.59638599
South Sudan,2005,43.61204919
South Sudan,2010,45.20799557
South Sudan,2015,44.5104175
Spain,1990,35.71446869
Spain,1995,35.75773444
Spain,2000,35.51989503
Spain,2005,32.36211778
Spain,2010,27.58455812
Spain,2015,27.54539019
Sri Lanka,1990,34.38170825
Sri Lanka,1995,33.97306427
Sri Lanka,2000,37.75095393
Sri Lanka,2005,41.92701599
Sri Lanka,2010,36.76721244
Sri Lanka,2015,37.19437518
Sudan,1990,78.48038804
Sudan,1995,71.78350352
Sudan,2000,61.62897917
Sudan,2005,55.59823476
Sudan,2010,52.13135155
Sudan,2015,47.48330393
Suriname,1990,36.19288036
Suriname,1995,35.29684618
Suriname,2000,35.98544281
Suriname,2005,30.02341255
Suriname,2010,27.04291837
Suriname,2015,30.69914237
Swaziland,1990,38.53884991
Swaziland,1995,32.45208645
Swaziland,2000,42.51164792
Swaziland,2005,54.51226025
Swaziland,2010,46.0968382
Swaziland,2015,40.28240219
Sweden,1990,36.14320012
Sweden,1995,30.19894648
Sweden,2000,26.49029484
Sweden,2005,20.3185773
Sweden,2010,18.30285764
Sweden,2015,22.35629072
Switzerland,1990,44.0076692
Switzerland,1995,40.42141081
Switzerland,2000,35.57959863
Switzerland,2005,30.51029926
Switzerland,2010,27.93997119
Switzerland,2015,29.81089929
Syria,1990,38.72494563
Syria,1995,32.57951757
Syria,2000,30.10117798
Syria,2005,28.17380591
Syria,2010,30.9641473
Syria,2015,35.38867168
Taiwan,1990,29.92547816
Taiwan,1995,31.07099037
Taiwan,2000,32.29195718
Taiwan,2005,36.77775094
Taiwan,2010,41.49596207
Taiwan,2015,45.17330381
Tajikistan,1990,113.6435429
Tajikistan,1995,98.28046896
Tajikistan,2000,79.54498287
Tajikistan,2005,59.04997815
Tajikistan,2010,53.94546315
Tajikistan,2015,47.09002969
Tanzania,1990,40.9318076
Tanzania,1995,38.30303904
Tanzania,2000,33.38182578
Tanzania,2005,28.00805378
Tanzania,2010,25.39241978
Tanzania,2015,25.62436566
Thailand,1990,31.29166144
Thailand,1995,36.5238986
Thailand,2000,40.29957927
Thailand,2005,39.71669648
Thailand,2010,42.76631516
Thailand,2015,55.3465914
Timor,1990,40.15286104
Timor,1995,34.4479311
Timor,2000,32.09566348
Timor,2005,25.48359916
Timor,2010,24.79257237
Timor,2015,23.1402737
Togo,1990,59.73452935
Togo,1995,57.97616323
Togo,2000,55.69710629
Togo,2005,44.07817614
Togo,2010,39.0688685
Togo,2015,33.9302147
Tonga,1990,7.869197725
Tonga,1995,8.383057866
Tonga,2000,9.036366828
Tonga,2005,9.385080193
Tonga,2010,4.670389899
Tonga,2015,5.347115803
Trinidad and Tobago,1990,39.0991132
Trinidad and Tobago,1995,40.52812292
Trinidad and Tobago,2000,40.58107734
Trinidad and Tobago,2005,32.86974097
Trinidad and Tobago,2010,30.75943969
Trinidad and Tobago,2015,35.92572466
Tunisia,1990,31.90415155
Tunisia,1995,33.30398758
Tunisia,2000,31.71573917
Tunisia,2005,29.60745478
Tunisia,2010,33.58532849
Tunisia,2015,39.62771152
Turkey,1990,58.45811102
Turkey,1995,51.48284254
Turkey,2000,43.33062097
Turkey,2005,34.56773702
Turkey,2010,30.23051249
Turkey,2015,34.01693539
Turkmenistan,1990,95.24039342
Turkmenistan,1995,89.67131726
Turkmenistan,2000,84.75724608
Turkmenistan,2005,60.4000059
Turkmenistan,2010,61.97287585
Turkmenistan,2015,57.05305957
Uganda,1990,62.19713832
Uganda,1995,60.12377562
Uganda,2000,55.2923244
Uganda,2005,46.88007757
Uganda,2010,39.21196912
Uganda,2015,38.45616011
Ukraine,1990,126.7457847
Ukraine,1995,145.1199059
Ukraine,2000,134.9015743
Ukraine,2005,138.0070229
Ukraine,2010,125.847559
Ukraine,2015,126.8103486
United Arab Emirates,1990,28.78209925
United Arab Emirates,1995,27.08616084
United Arab Emirates,2000,23.49807619
United Arab Emirates,2005,18.99727213
United Arab Emirates,2010,20.49080358
United Arab Emirates,2015,28.03420939
United Kingdom,1990,74.71810677
United Kingdom,1995,68.17758549
United Kingdom,2000,58.5254631
United Kingdom,2005,48.36076987
United Kingdom,2010,41.90342443
United Kingdom,2015,42.29653277
United States,1990,42.40612034
United States,1995,40.25889502
United States,2000,37.60948312
United States,2005,33.82372379
United States,2010,26.9464188
United States,2015,27.33432921
Uruguay,1990,47.85655765
Uruguay,1995,48.11101244
Uruguay,2000,44.8066392
Uruguay,2005,40.64048408
Uruguay,2010,40.59194762
Uruguay,2015,40.68319104
Uzbekistan,1990,77.6769768
Uzbekistan,1995,76.27009181
Uzbekistan,2000,68.5733743
Uzbekistan,2005,61.86959217
Uzbekistan,2010,60.82513719
Uzbekistan,2015,58.58779186
Vanuatu,1990,31.08603705
Vanuatu,1995,30.86003126
Vanuatu,2000,29.35633529
Vanuatu,2005,29.77936238
Vanuatu,2010,22.782819
Vanuatu,2015,25.12774954
Venezuela,1990,27.99677895
Venezuela,1995,27.28349064
Venezuela,2000,27.61927026
Venezuela,2005,26.63491177
Venezuela,2010,25.71003279
Venezuela,2015,29.99502176
Vietnam,1990,38.58536657
Vietnam,1995,38.66695624
Vietnam,2000,39.59941969
Vietnam,2005,42.49426711
Vietnam,2010,41.88870953
Vietnam,2015,45.18174974
World,1990,65.55890432
World,1995,63.69171315
World,2000,61.89176347
World,2005,60.3380031
World,2010,56.91183033
World,2015,57.53706209
Yemen,1990,83.61966466
Yemen,1995,78.62491184
Yemen,2000,62.98485096
Yemen,2005,48.61081252
Yemen,2010,46.60298873
Yemen,2015,46.52790085
Zambia,1990,53.42637887
Zambia,1995,53.45394602
Zambia,2000,51.97681603
Zambia,2005,46.1703632
Zambia,2010,39.93662831
Zambia,2015,34.35489489
Zimbabwe,1990,23.92232855
Zimbabwe,1995,22.42855553
Zimbabwe,2000,28.669936
Zimbabwe,2005,34.88580987
Zimbabwe,2010,31.9772982
Zimbabwe,2015,24.54116475
