Entity,Year,Life expectancy,Population
Ukraine,2015,71.535,44922000
Ukraine,2019,72.065,43994000
United Arab Emirates,1800,30.7,40153
United Arab Emirates,1950,41.859,70000
United Arab Emirates,2015,77.285,9263000
United Arab Emirates,2019,77.972,9771000
United Kingdom,1800,38.65,12327466
United Kingdom,1950,68.708,50616000
United Kingdom,2015,81.052,65860000
United Kingdom,2019,81.321,67530000
United States,1800,39.41,6801854
United States,1950,68.202,158804000
United States,2015,78.91,320878016
United States,2019,78.862,329064992
United States Virgin Islands,1950,61.509,27000
United States Virgin Islands,2015,79.914,105000
United States Virgin Islands,2019,80.583,105000
Uruguay,1800,32.9,55000
Uruguay,1950,65.804,2239000
Uruguay,2015,77.369,3412000
Uruguay,2019,77.911,3462000
Uzbekistan,1800,26.93,1919159
Uzbekistan,1950,55.323,6264000
Uzbekistan,2015,70.928,30930000
Uzbekistan,2019,71.725,32982000
Vanuatu,1800,24.3,27791
Vanuatu,1950,43.941,48000
Vanuatu,2015,69.869,271000
Vanuatu,2019,70.474,300000
Vatican,1950,50.046,1000
Vatican,2015,74.344,1000
Vatican,2019,75.125,1000
Venezuela,1800,32.2,718000
Venezuela,1950,54.273,5482000
Venezuela,2015,72.584,30082000
Venezuela,2019,72.064,28516000
Vietnam,1800,32,6551000
Vietnam,1950,51.831,24810000
Vietnam,2015,75.11,92677000
Vietnam,2019,75.4,96462000
Wallis and Futuna,1950,51.092,7000
Wallis and Futuna,2015,79.3,12000
Wallis and Futuna,2019,79.944,11000
Western Sahara,1950,34.753,14000
Western Sahara,2015,69.213,526000
Western Sahara,2019,70.263,582000
World,1950,45.733,2536431104
World,2015,71.661,7379796992
World,2019,72.584,7713467904
Yemen,1800,23.39,2593000
Yemen,1950,29.097,4661000
Yemen,2015,66.085,26498000
Yemen,2019,66.125,29162000
Zambia,1800,32.6,747000
Zambia,1950,42.306,2310000
Zambia,2015,61.737,15879000
Zambia,2019,63.886,17861000
Zimbabwe,1800,33.7,1085814
Zimbabwe,1950,48.831,2747000
Zimbabwe,2015,59.534,13815000
Zimbabwe,2019,61.49,14645000
