Entity,Year,Total wealth per capita,Produced capital,"Natural capital, renewable (excluding sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, male","Human capital, female",Net foreign assets,Adjusted net national income,Adjusted net saving,GDP,Gross national income,"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Land (crop, pasture)"
Chad,2005,17914.14,1775.64,6099.04,834.38,64.48,932.68,1862.39,2405.11,3108.30,3105.94,3105.94,,0.00,2.36,7553.36,6451.93,1101.43,-622.20,472.89,,885.98,749.41,9207.34,4267.50
Chad,2010,18732.01,1704.56,5280.39,506.53,48.94,842.94,2003.58,1878.40,4017.39,4015.11,4015.11,,0.00,2.28,8332.39,7124.54,1207.85,-602.72,716.19,,950.44,918.75,9297.78,3881.98
Chad,2014,20076.87,1618.68,6017.28,433.86,38.91,954.30,2672.10,1918.11,3955.95,3953.02,3951.87,1.15,0.00,2.93,9099.10,7782.16,1316.94,-614.13,770.38,,1024.67,973.91,9973.23,4590.20
Chile,1995,109946.69,22260.86,11628.21,1644.00,4048.62,1528.70,2805.92,1600.97,9965.76,211.36,148.86,51.38,11.12,9754.40,68747.40,45407.47,23339.93,-2655.54,6886.39,890.34,8624.48,8296.66,21593.97,4406.89
Chile,2000,125165.64,27159.81,10508.87,1229.19,3857.60,1399.95,2588.21,1433.92,7649.18,126.16,78.15,47.94,0.07,7523.02,83961.03,53968.72,29992.31,-4113.25,7846.04,548.01,9891.69,9532.85,18158.05,4022.13
Chile,2005,150696.33,30015.66,9628.20,1421.98,3683.39,1095.83,2249.52,1177.47,16193.24,201.27,104.04,91.47,5.76,15991.97,97885.92,60963.18,36922.73,-3026.70,8251.96,640.78,11454.31,10491.22,25821.44,3426.99
Chile,2010,213796.81,37399.66,9818.06,1742.12,3525.62,1079.91,2338.11,1132.30,44117.16,214.34,64.51,128.81,21.02,43902.82,124216.63,78189.79,46026.84,-1754.69,9235.73,714.31,12861.29,11996.27,53935.22,3470.41
Chile,2014,237712.88,45095.99,10833.28,2024.71,3627.58,991.83,3169.79,1019.37,44279.35,316.23,167.89,97.59,50.75,43963.12,139511.87,85848.19,53663.68,-2007.61,11154.60,543.14,14566.13,14134.89,55112.63,4189.16
China,1995,30585.45,4632.77,4647.58,252.99,264.75,204.06,3338.34,587.44,460.73,433.13,324.39,10.28,98.46,27.60,20975.36,12272.93,8702.43,-130.98,1321.11,357.58,1544.14,1519.39,5108.31,3925.77
China,2000,40047.09,7048.13,5776.79,192.46,267.65,308.93,4174.31,833.43,343.67,317.04,275.47,6.08,35.49,26.64,26798.89,15764.96,11033.92,79.61,1844.25,386.54,2228.66,2201.67,6120.46,5007.74
China,2005,47465.16,11341.94,7149.15,143.96,282.71,511.73,4876.87,1333.88,1299.55,1123.75,426.91,18.71,678.13,175.80,27112.96,17373.95,9739.02,561.55,2769.11,874.14,3444.37,3420.10,8448.70,6210.75
China,2010,81791.59,19131.29,8774.10,230.28,286.33,657.99,5940.48,1659.01,4464.42,3069.10,667.42,60.10,2341.57,1395.32,48083.33,30129.35,17953.98,1338.45,4355.49,1476.38,5736.64,5712.13,13238.52,7599.49
China,2014,108171.81,28565.76,10577.48,258.40,289.39,849.61,7092.56,2087.52,4555.69,3029.10,709.62,94.31,2225.18,1526.59,63368.82,39972.64,23396.18,1104.06,5728.23,1726.48,7683.52,7693.27,15133.17,9180.08
Colombia,1995,117235.38,24491.96,15915.75,342.35,3633.23,2731.18,4202.92,5006.06,1478.30,1389.68,1219.64,73.54,96.50,88.62,76370.21,41392.92,34977.29,-1020.84,4583.96,447.86,5257.58,5167.82,17394.05,9208.99
Colombia,2000,105177.17,17964.45,13676.11,205.32,3297.03,2352.72,3520.92,4300.13,1102.42,1025.78,965.85,47.36,12.57,76.64,73535.19,38890.66,34644.53,-1101.00,4201.01,-41.88,5173.75,5062.03,14778.53,7821.05
Colombia,2005,105583.77,19169.59,12104.02,175.53,2998.00,2220.38,3001.62,3708.48,1986.10,1770.11,1254.09,82.40,433.62,215.99,73854.26,38727.06,35127.21,-1530.20,4599.95,210.86,5768.78,5561.51,14090.12,6710.11
Colombia,2010,135559.37,23170.89,12260.13,197.71,2752.61,2372.11,3159.04,3778.66,3830.13,3246.04,1553.99,133.11,1558.94,584.10,98081.77,49587.11,48494.65,-1783.55,5415.40,303.78,6788.04,6522.75,16090.26,6937.69
Colombia,2014,155703.35,27857.00,11292.70,277.73,2639.89,2060.27,2983.85,3330.96,4639.78,3931.61,2342.14,127.62,1461.86,708.16,114088.46,54785.00,59303.47,-2174.59,6299.05,319.41,7918.08,7653.72,15932.48,6314.81
Comoros,1995,10738.13,5060.65,2770.94,324.67,56.72,10.44,1740.23,638.88,0.00,0.00,,,0.00,0.00,3470.03,1042.10,2427.92,-563.49,755.35,-13.08,848.91,852.64,2770.94,2379.10
Comoros,2000,9965.97,3502.53,3451.59,408.73,47.55,25.06,2302.56,667.69,0.00,0.00,,,0.00,0.00,3702.63,1111.00,2591.63,-690.79,765.25,,873.44,874.90,3451.59,2970.25
Comoros,2005,9438.54,3291.00,2816.77,298.05,39.29,122.67,1908.43,448.33,0.00,0.00,,,0.00,0.00,3704.61,1109.57,2595.04,-373.85,761.64,-62.88,866.54,862.73,2816.77,2356.76
Comoros,2010,7844.11,2049.26,2637.87,275.33,32.31,200.30,1702.13,427.79,0.00,0.00,,,0.00,0.00,3348.82,1001.36,2347.46,-191.83,733.42,-30.85,830.45,829.12,2637.87,2129.93
Comoros,2014,8835.67,2585.44,2898.07,268.75,28.11,300.91,1876.08,424.21,0.00,0.00,,,0.00,0.00,3402.28,1017.28,2384.99,-50.12,767.62,,841.21,843.17,2898.07,2300.30
Congo,1995,43953.12,15347.29,8646.45,3744.38,559.85,159.14,2838.21,1344.88,8117.95,8079.67,8079.67,0.00,0.00,38.28,19608.22,11414.89,8193.33,-7766.79,232.24,-1231.64,2477.13,1437.92,16764.40,4183.08
Congo,2000,44939.66,10389.09,7785.45,3212.41,488.15,230.41,2569.36,1285.12,11717.65,11715.28,11715.28,0.00,0.00,2.36,19628.80,11548.69,8080.12,-4581.34,154.15,-810.48,2442.73,1726.06,19503.10,3854.48
Congo,2005,50830.15,11070.99,8389.51,2942.35,431.64,1094.35,1913.39,2007.77,13182.78,13180.51,13177.72,2.79,0.00,2.27,21900.88,13041.26,8859.61,-3714.00,181.99,-1138.34,2645.74,1752.65,21572.29,3921.17
Congo,2010,54866.60,9199.90,10913.82,2171.23,370.88,2780.36,2538.80,3052.56,13369.82,13363.42,13352.60,10.81,0.00,6.40,24462.22,14593.89,9868.33,-3079.15,534.02,,2940.60,2209.93,24283.64,5591.36
Congo,2014,68779.18,15400.83,15291.45,2187.96,333.83,5875.03,2012.80,4881.84,17551.45,17539.36,17481.20,58.16,0.00,12.10,25906.01,15373.50,10532.50,-5370.56,1093.59,,3147.07,2605.78,32842.90,6894.63
Costa Rica,1995,101569.36,16057.98,24410.79,1968.53,3690.56,3000.98,7638.93,8111.79,0.00,0.00,0.00,0.00,0.00,0.00,62502.29,41057.95,21444.34,-1401.70,5983.62,,6623.07,6493.35,24410.79,15750.71
Costa Rica,2000,105265.15,17317.45,23242.99,1658.08,3175.22,3083.20,8549.16,6777.34,0.00,0.00,0.00,0.00,0.00,0.00,66319.13,41586.98,24732.15,-1614.43,6488.95,,7301.33,6953.40,23242.99,15326.50
Costa Rica,2005,128954.34,19302.24,22494.10,1082.72,3076.25,3117.26,8429.35,6788.52,2.00,0.00,0.00,0.00,0.00,2.00,88859.77,53147.16,35712.61,-1703.78,7307.28,,8149.26,7822.81,22496.10,15217.87
Costa Rica,2010,160314.11,22327.90,24032.31,1844.94,3006.52,3378.27,9516.06,6286.53,31.98,0.00,0.00,0.00,0.00,31.98,116470.17,63503.21,52966.96,-2548.24,8635.90,,9608.71,9292.49,24064.29,15802.59
Costa Rica,2014,166985.41,24681.26,24127.88,1708.68,3005.54,3849.74,9440.37,6123.54,32.22,0.00,0.00,0.00,0.00,32.22,122639.85,68331.29,54308.57,-4495.80,9395.05,,10544.72,10110.20,24160.10,15563.92
Cote d'Ivoire,1995,26368.67,4932.52,14913.72,1403.98,236.33,2727.95,5622.93,4922.54,47.99,41.84,41.64,0.20,0.00,6.14,9570.98,6728.25,2842.73,-3096.54,1253.58,,1458.82,1327.86,14961.71,10545.47
Cote d'Ivoire,2000,22669.84,5350.14,9045.32,1330.94,207.15,1192.84,4165.24,2149.14,140.39,137.78,125.20,12.58,0.00,2.61,9932.29,6922.03,3010.26,-1798.30,1266.75,,1484.67,1345.86,9185.71,6314.39
Cote d'Ivoire,2005,17835.21,4485.76,6765.70,833.64,190.11,741.54,3648.30,1352.11,139.50,130.53,101.53,28.99,0.00,8.98,7261.14,5321.28,1939.86,-816.89,1227.69,120.07,1352.48,1300.86,6905.20,5000.41
Cote d'Ivoire,2010,19318.34,3508.74,8072.80,842.71,171.20,1173.97,3751.33,2133.58,413.87,357.49,313.81,43.68,0.00,56.39,7748.91,5667.14,2081.76,-425.97,1214.21,137.46,1359.32,1309.48,8486.67,5884.91
Cote d'Ivoire,2014,24484.68,4390.52,10379.55,1006.47,155.53,1661.25,4545.05,3011.25,635.98,421.56,371.99,49.57,0.00,214.41,8986.18,6531.50,2454.68,92.44,1342.95,,1544.32,1484.49,11015.53,7556.31
Croatia,1995,97942.96,37052.16,5331.86,499.63,1614.39,347.82,2106.96,763.06,609.59,609.09,356.36,250.43,2.30,0.50,54634.14,27338.78,27295.36,315.22,7080.59,-149.49,8440.68,8432.23,5941.45,2870.02
Croatia,2000,123127.30,44769.11,6925.50,638.26,1718.98,1417.20,2508.65,642.41,537.91,537.91,336.13,201.46,0.31,0.00,73624.00,36768.78,36855.21,-2729.21,8645.99,541.64,10527.17,10330.64,7463.41,3151.06
Croatia,2005,145949.72,51423.33,7508.22,584.87,1729.15,2460.20,2078.08,655.93,726.21,726.21,426.39,299.82,0.00,0.00,93619.11,49206.92,44412.19,-7327.15,10824.43,1356.37,13067.84,12794.43,8234.43,2734.01
Croatia,2010,148696.66,56943.89,8276.15,744.85,1754.16,3168.89,1874.70,733.55,954.41,954.32,481.36,472.97,0.00,0.09,95231.89,50070.08,45161.81,-12709.67,10849.96,926.99,13450.84,13073.00,9230.56,2608.25
Croatia,2014,147544.62,58766.00,8242.44,974.04,1829.93,2758.77,1872.20,807.50,1156.37,1156.01,648.93,507.08,0.00,0.37,90548.63,48918.30,41630.33,-11168.82,11120.52,1060.97,13480.65,13206.60,9398.81,2679.70
Democratic Republic of Congo,1995,18298.14,3963.48,11361.76,2233.41,551.25,2872.25,3444.44,2260.41,246.09,94.42,92.14,,2.27,151.67,3676.50,2399.10,1277.40,-949.69,315.92,,444.05,383.79,11607.85,5704.86
Democratic Republic of Congo,2000,11662.80,1500.84,7661.20,2301.70,479.21,1427.95,2332.43,1119.91,120.84,84.96,83.62,,1.35,35.87,2586.35,1685.26,901.10,-206.43,263.93,,319.27,312.78,7782.04,3452.34
Democratic Republic of Congo,2005,8494.38,1640.79,4396.23,1554.76,406.45,598.07,1397.21,439.74,142.49,85.71,83.95,,1.76,56.78,2629.76,1715.69,914.07,-314.89,256.06,,329.69,315.71,4538.72,1836.95
Democratic Republic of Congo,2010,9009.07,780.67,4838.39,1646.43,342.28,857.88,1394.85,596.95,674.73,111.35,108.40,,2.95,563.38,2816.26,1837.75,978.51,-100.98,259.91,,367.19,350.90,5513.12,1991.80
Democratic Republic of Congo,2014,12256.00,2369.29,5219.14,1525.38,298.99,1291.75,1244.55,858.47,1485.77,111.73,109.53,,2.20,1374.04,3300.76,2151.68,1149.09,-118.96,285.62,,437.81,397.21,6704.91,2103.02
Denmark,1995,663278.10,204637.48,11620.74,255.67,1186.14,608.25,4659.10,4911.57,1874.95,1874.95,1364.09,510.86,0.00,0.00,458833.24,280995.72,177837.52,-13688.30,42417.25,7007.13,51563.22,51037.30,13495.69,9570.67
Denmark,2000,714585.28,230629.73,9977.68,216.97,1206.11,824.54,3678.97,4051.08,2700.07,2700.07,2080.46,619.61,0.00,0.00,479567.19,292226.24,187340.96,-8289.39,47216.08,8616.30,58625.33,57425.74,12677.75,7730.05
Denmark,2005,799289.91,253682.82,8443.99,139.81,1131.92,832.80,2956.03,3383.42,6485.45,6421.50,5332.32,1089.18,0.00,63.96,528761.98,303121.87,225640.12,1915.67,50789.53,9717.11,61713.35,62210.86,14929.44,6339.45
Denmark,2010,819306.51,265400.35,8489.25,224.32,1164.05,968.12,3101.62,3031.15,7889.23,7889.23,7028.47,860.76,0.00,0.00,530270.95,289021.11,241249.84,7256.73,50553.25,8480.61,60924.88,61921.45,16378.48,6132.77
Denmark,2014,854330.87,273019.31,9343.76,246.47,1183.42,1054.88,3517.23,3341.74,6917.58,6917.58,6220.76,696.82,0.00,0.00,538947.02,288675.29,250271.73,26103.20,53650.39,11980.83,62425.54,64688.69,16261.34,6858.98
Djibouti,1995,15017.78,4264.42,4107.28,5.41,9.52,0.00,280.99,3811.37,0.00,0.00,,,0.00,0.00,6128.47,4303.07,1825.40,517.61,1333.01,261.69,1374.88,1422.69,4107.28,4092.35
Djibouti,2000,21318.19,9475.36,3455.71,4.63,8.71,0.00,209.26,3233.10,0.00,0.00,,,0.00,0.00,8118.02,2948.13,5169.89,269.10,1177.76,167.67,1229.52,1264.73,3455.71,3442.36
Djibouti,2005,16679.67,4440.46,3260.57,3.65,8.09,4.91,220.76,3023.17,0.00,0.00,,,0.00,0.00,8740.33,3184.41,5555.92,238.31,1345.56,327.79,1321.21,1446.48,3260.57,3243.92
Djibouti,2010,27357.10,10182.70,5684.52,5.22,7.58,20.16,497.13,5154.43,0.00,0.00,,,0.00,0.00,11465.49,4151.46,7314.03,24.39,,,1567.98,,5684.52,5651.57
Djibouti,2014,22913.61,6035.88,5437.05,6.87,7.18,34.45,590.51,4798.03,0.00,0.00,,,0.00,0.00,12096.85,4345.94,7750.91,-656.17,,,1812.43,,5437.05,5388.54
Dominican Republic,1995,50740.26,9420.17,5714.49,10.26,573.01,1439.43,1995.64,1696.15,156.54,0.00,0.00,0.00,0.00,156.54,36323.18,21863.38,14459.80,-874.11,2776.26,307.25,3069.48,2925.19,5871.03,3691.78
Dominican Republic,2000,64407.68,13037.03,4372.95,12.01,605.83,903.88,1841.50,1009.74,210.89,0.00,0.00,0.00,0.00,210.89,47868.71,28947.24,18921.47,-1081.90,3579.75,526.51,3949.81,3778.42,4583.84,2851.23
Dominican Republic,2005,70798.94,17836.98,4189.44,13.47,624.30,850.57,1762.56,938.54,468.16,0.00,0.00,0.00,0.00,468.16,49763.80,28251.17,21512.63,-1459.44,3864.40,347.41,4353.93,4110.12,4657.60,2701.10
Dominican Republic,2010,81697.30,20501.86,4766.63,24.33,640.83,1062.95,1879.81,1158.70,111.69,0.00,0.00,0.00,0.00,111.69,58977.84,37068.59,21909.25,-2660.72,5132.91,854.77,5517.01,5383.48,4878.32,3038.51
Dominican Republic,2014,97257.29,21807.83,5039.12,42.32,654.10,1055.33,2148.00,1139.37,1179.55,0.00,0.00,0.00,0.00,1179.55,73054.90,42962.68,30092.22,-3824.10,5572.98,966.04,6268.63,5954.91,6218.67,3287.36
Ecuador,1995,54361.25,12380.69,6242.35,801.74,2311.23,999.99,483.64,1645.74,3497.64,3497.20,3497.20,0.00,0.00,0.44,34918.46,22417.29,12501.17,-2677.88,3765.95,64.63,4549.78,4377.63,9739.99,2129.38
Ecuador,2000,66137.76,16158.24,9502.40,815.08,2027.21,2855.94,1501.15,2303.01,5463.53,5463.41,5463.41,0.00,0.00,0.12,38819.24,23894.63,14924.61,-3805.65,3208.88,274.26,4350.40,4015.40,14965.93,3804.16
Ecuador,2005,76299.26,15259.71,12558.73,284.83,1810.44,4018.02,3282.69,3162.75,7720.67,7709.76,7698.31,11.45,0.00,10.91,42746.94,24716.03,18030.92,-1986.78,3797.69,148.92,5068.91,4847.28,20279.40,6445.44
Ecuador,2010,95493.73,18409.49,12688.00,413.46,1615.88,4195.59,3222.82,3240.26,13550.91,13483.48,13459.58,23.90,0.00,67.43,51678.91,29099.19,22579.72,-833.58,4355.51,469.27,5507.38,5425.01,26238.91,6463.08
Ecuador,2014,102451.21,20469.26,15447.01,556.55,1480.57,6822.69,3255.48,3331.72,14559.52,14410.88,14394.07,16.81,0.00,148.64,52696.45,31469.13,21227.31,-721.03,5140.95,724.04,6432.28,6334.50,30006.53,6587.21
Egypt,1995,27391.07,5593.52,5591.08,1.38,0.93,206.07,2844.40,2538.31,1684.16,1668.14,1561.77,106.37,0.00,16.02,14681.72,8438.30,6243.42,-159.41,1898.38,237.88,2150.47,2155.50,7275.24,5382.71
Egypt,2000,28622.75,4362.84,5600.00,1.18,0.97,389.12,2652.88,2555.85,1424.95,1407.39,1300.57,106.79,0.03,17.56,17635.72,11082.43,6553.29,-400.77,2276.15,219.76,2531.07,2554.68,7024.95,5208.72
Egypt,2005,32246.54,5420.45,6341.97,1.32,1.01,553.83,2884.26,2901.55,2883.83,2847.67,2436.41,410.85,0.41,36.17,17716.58,11161.00,6555.59,-116.30,2303.06,172.13,2745.06,2737.30,9225.80,5785.81
Egypt,2010,38784.54,6436.83,7980.15,1.58,0.96,839.20,3128.16,4010.26,5187.19,4977.13,3827.63,1149.50,0.00,210.06,19873.54,12470.56,7402.98,-693.18,2895.52,239.90,3383.64,3316.21,13167.34,7138.41
Egypt,2014,38469.82,5604.55,6850.43,1.66,0.91,959.02,2631.48,3257.35,4378.45,4073.68,3130.22,943.46,0.00,304.77,22591.21,14112.07,8479.14,-954.82,2920.87,96.71,3365.71,3284.26,11228.88,5888.84
El Salvador,1995,29414.05,6497.42,4493.32,172.32,363.93,3.29,2367.62,1586.17,0.00,0.00,0.00,0.00,0.00,0.00,18911.44,11939.82,6971.62,-488.13,2814.54,404.50,2974.74,2944.71,4493.32,3953.79
El Salvador,2000,37009.07,7594.32,3998.92,136.64,327.74,5.41,1957.58,1571.55,0.00,0.00,0.00,0.00,0.00,0.00,26557.02,14734.72,11822.31,-1141.20,3098.80,330.86,3325.17,3261.12,3998.92,3529.13
El Salvador,2005,37199.38,8699.14,3115.81,105.46,298.10,96.15,1394.42,1221.68,0.00,0.00,0.00,0.00,0.00,0.00,27063.38,15515.68,11547.70,-1678.96,3348.81,311.75,3649.77,3545.09,3115.81,2616.11
El Salvador,2010,42715.21,9806.28,4405.89,157.30,272.70,291.04,2080.50,1604.36,0.00,0.00,0.00,0.00,0.00,0.00,30527.87,16749.42,13778.45,-2024.84,3492.00,225.80,3857.04,3760.12,4405.89,3684.86
El Salvador,2014,44130.87,10216.17,4554.36,222.79,253.06,397.14,2191.47,1489.89,0.00,0.00,0.00,0.00,0.00,0.00,31950.93,17533.60,14417.33,-2590.60,3567.40,65.04,4102.06,3926.22,4554.36,3681.37
Estonia,1995,156808.28,66023.83,15384.34,2214.83,7497.40,347.62,2386.09,2938.40,30.38,30.38,30.38,0.00,0.00,0.00,75629.93,39845.74,35784.19,-260.20,,,8404.85,,15414.72,5324.48
Estonia,2000,159094.89,57634.35,17134.30,5013.00,7774.31,394.87,1580.24,2371.89,74.61,74.61,74.61,0.00,0.00,0.00,89926.72,48716.33,41210.40,-5675.09,9720.66,1335.82,11616.22,11179.71,17208.91,3952.12
Estonia,2005,203152.55,69193.34,17981.88,5208.73,8048.70,1047.98,1403.68,2272.80,183.20,183.20,183.20,0.00,0.00,0.00,129188.56,73534.04,55654.52,-13394.44,14048.28,2316.88,16871.47,16210.83,18165.08,3676.47
Estonia,2010,211744.75,78843.52,16504.16,2846.38,8124.09,1678.07,1593.76,2261.87,420.04,420.04,420.04,0.00,0.00,0.00,128055.49,67933.16,60122.33,-12078.47,13165.73,1577.61,16822.49,15930.38,16924.20,3855.62
Estonia,2014,258903.14,91645.79,19502.32,3960.40,8222.83,2712.89,2026.82,2579.39,590.53,590.53,590.53,0.00,0.00,0.00,155040.69,83635.10,71405.59,-7876.19,16236.49,2781.40,19941.45,19402.85,20092.85,4606.21
Ethiopia,1995,6680.27,1410.23,3462.64,176.78,12.21,1143.60,901.36,1228.69,1.16,0.00,0.00,0.00,0.00,1.16,2040.27,1480.53,559.74,-234.02,165.12,,230.73,228.91,3463.80,2130.05
Ethiopia,2000,6750.30,1364.82,3236.26,207.63,10.00,910.86,1079.72,1028.05,0.27,0.00,0.00,0.00,0.00,0.27,2316.25,1686.08,630.18,-167.30,193.60,,248.18,246.37,3236.53,2107.77
Ethiopia,2005,8026.21,1275.88,3978.43,203.88,8.23,1227.66,1171.77,1366.89,5.21,0.00,0.00,0.00,0.00,5.21,2931.45,2168.73,762.72,-164.75,213.27,,294.04,293.20,3983.64,2538.66
Ethiopia,2010,9684.97,1115.00,4777.90,171.89,6.81,1392.33,1677.33,1529.55,14.99,0.18,0.00,0.00,0.18,14.81,3899.94,2796.84,1103.10,-122.86,327.35,,431.16,429.60,4792.89,3206.88
Ethiopia,2014,13124.76,1347.32,5233.42,170.23,6.23,1513.97,1897.37,1645.62,50.17,0.24,0.00,0.00,0.24,49.93,6722.73,4490.83,2231.89,-228.88,434.28,,573.57,571.99,5283.59,3543.00
Finland,1995,462987.92,161611.95,17055.27,3866.12,3389.24,2643.87,1961.82,5194.22,85.00,0.00,0.00,0.00,0.00,85.00,298614.84,161094.06,137520.78,-14379.14,27899.48,4399.73,35303.76,34271.74,17140.27,7156.04
Finland,2000,489242.87,188420.27,16221.58,4554.36,3387.45,2989.36,1473.50,3816.89,89.75,0.00,0.00,0.00,0.00,89.75,349364.28,188934.21,160430.07,-64853.01,36786.00,8762.43,44630.66,44352.65,16311.33,5290.39
Finland,2005,633969.88,217587.44,14952.41,4108.34,3297.36,2633.84,1321.47,3591.41,217.92,0.00,0.00,0.00,0.00,217.92,408412.05,225265.90,183146.15,-7199.94,41417.22,7819.84,50040.30,50249.82,15170.33,4912.88
Finland,2010,693065.54,239312.28,14585.22,3869.06,3236.19,2700.34,1359.95,3419.68,1673.63,0.00,0.00,0.00,0.00,1673.63,427820.44,246976.30,180844.14,9673.97,41932.41,4876.89,50977.24,51667.80,16258.85,4779.64
Finland,2014,726421.70,248985.83,15154.27,4086.40,3178.03,2963.55,1471.10,3455.18,2882.73,0.00,0.00,0.00,0.00,2882.73,460081.82,255912.09,204169.73,-682.95,40658.69,3251.92,49914.57,50341.74,18037.00,4926.28
France,1995,510773.09,142813.37,10843.77,453.77,2283.02,1518.04,3619.34,2969.60,70.07,66.96,24.02,18.03,24.90,3.11,358554.20,207482.51,151071.69,-1508.32,30100.35,4089.42,35384.81,35547.90,10913.84,6588.94
France,2000,559815.57,159094.47,10171.26,439.97,2295.69,1643.75,3093.16,2698.70,34.78,33.58,22.48,8.00,3.10,1.20,390421.82,225864.44,164557.39,93.23,34582.32,5232.61,39920.09,40667.18,10206.04,5791.86
France,2005,582193.85,180745.08,9358.24,373.31,2296.13,1617.00,2713.45,2358.37,68.84,66.60,47.56,15.39,3.66,2.23,393551.26,223934.88,169616.37,-1529.58,35765.10,4350.36,41779.85,42510.35,9427.08,5071.82
France,2010,618124.85,209510.12,9936.59,400.04,2310.06,2041.58,3064.20,2120.71,71.44,64.39,53.83,10.56,0.00,7.05,403976.26,227809.41,176166.85,-5369.56,35561.67,3075.85,42180.36,43041.50,10008.03,5184.91
France,2014,641707.49,223830.05,11027.87,405.11,2329.16,2515.07,3504.93,2273.60,80.68,78.77,61.78,16.99,0.00,1.91,415850.89,239547.29,176303.60,-9082.01,35670.28,2681.53,42842.98,43409.76,11108.55,5778.52
Gabon,1995,202598.74,36748.14,62719.62,9439.57,27964.83,5185.23,4205.26,15924.74,24756.83,24753.83,24718.30,35.53,0.00,3.00,86982.15,53187.92,33794.23,-8608.01,5516.77,-710.29,11558.40,10007.40,87476.45,20130.00
Gabon,2000,199508.76,32076.39,52065.46,11575.54,24670.06,3035.33,4238.14,8546.39,48584.85,48584.32,48551.59,32.73,0.00,0.53,70659.31,42987.34,27671.97,-3877.25,4069.51,-343.30,10330.17,8742.83,100650.31,12784.53
Gabon,2005,174142.93,31142.16,41315.29,8913.46,22051.73,2572.42,3710.72,4066.96,44657.07,44644.33,44591.93,52.40,0.00,12.74,57717.84,34759.50,22958.33,-689.42,5224.86,664.87,10063.00,9044.25,85972.36,7777.68
Gabon,2010,174743.65,31097.85,39500.56,7331.65,19704.03,4468.21,3085.86,4910.81,45719.61,45719.61,45662.88,56.72,0.00,0.00,53460.28,32401.91,21058.37,4965.35,4862.15,,9492.27,8245.27,85220.17,7996.67
Gabon,2014,199901.47,34696.84,43862.55,5064.67,18657.15,8842.32,3485.52,7812.89,51598.32,51373.84,51143.42,230.42,0.00,224.48,62232.56,37767.02,24465.54,7511.19,6826.59,,10772.06,10211.26,95460.87,11298.41
Gambia,1995,4726.33,1055.09,804.37,15.89,129.57,25.29,288.18,345.44,0.00,0.00,,,0.00,0.00,3017.67,2005.15,1012.52,-150.79,335.81,-83.47,409.86,401.84,804.37,633.62
Gambia,2000,4724.70,1128.69,708.18,13.35,114.74,33.09,306.48,240.52,0.00,0.00,,,0.00,0.00,3182.43,2086.55,1095.88,-294.60,353.09,,442.83,425.73,708.18,547.00
Gambia,2005,5048.71,1525.14,1259.08,22.65,100.00,75.34,677.09,384.01,0.00,0.00,,,0.00,0.00,2862.93,1878.61,984.32,-598.44,329.59,-66.60,438.22,415.52,1259.08,1061.09
Gambia,2010,5302.34,1610.92,1241.88,25.13,86.72,61.32,687.82,380.89,0.00,0.00,,,0.00,0.00,2923.59,1921.18,1002.41,-474.05,349.76,-70.49,468.50,464.55,1241.88,1068.70
Gambia,2014,5207.73,1544.81,1413.39,30.19,77.15,71.87,759.67,474.50,0.00,0.00,,,0.00,0.00,2745.23,1803.38,941.84,-495.69,301.62,,440.37,425.43,1413.39,1234.17
Georgia,1995,23159.30,12432.29,6061.28,40.29,435.75,239.42,2951.62,2394.19,194.97,172.77,117.83,36.27,18.67,22.20,4931.21,2920.61,2010.60,-460.45,979.32,,1163.31,1111.67,6256.25,5345.81
Georgia,2000,27764.57,13413.86,9115.20,53.17,467.59,661.30,3105.16,4827.98,116.48,83.28,72.15,11.05,0.08,33.20,6276.27,3710.93,2565.34,-1157.24,1540.41,195.10,1654.58,1718.06,9231.68,7933.14
Georgia,2005,28836.77,15442.36,9571.52,66.96,495.20,1008.53,2819.66,5181.17,357.61,205.95,190.79,14.67,0.49,151.67,4970.95,2922.05,2048.90,-1505.66,2261.35,319.87,2485.06,2509.15,9929.13,8000.82
Georgia,2010,33366.39,17558.09,5719.58,116.79,538.01,728.39,1451.42,2884.97,671.59,152.34,133.70,10.11,8.52,519.25,12874.65,8020.69,4853.96,-3457.52,2916.94,-36.80,3409.28,3303.99,6391.17,4336.39
Georgia,2014,44327.39,20414.63,6426.99,94.40,566.73,920.07,1765.25,3080.53,917.24,162.56,137.39,3.82,21.35,754.67,21250.82,13070.56,8180.25,-4682.28,3902.13,389.14,4429.65,4388.93,7344.23,4845.78
Germany,1995,524487.37,169962.86,6208.02,241.90,1541.92,956.27,1368.63,2099.30,209.10,209.10,32.96,61.26,114.87,0.00,346277.27,232064.39,114212.87,1830.12,31033.67,3688.37,37129.37,37056.02,6417.12,3467.93
Germany,2000,542968.58,184591.44,5884.69,285.20,1535.57,1044.44,1254.43,1765.05,139.02,138.19,38.80,62.91,36.48,0.83,352328.01,236013.65,116314.36,25.42,33483.54,3519.18,40562.18,40292.80,6023.71,3019.48
