Entity,Year,UK (forged) cents/lb (Daniel Sichel (2017)),Mixed (cents/lb) (Daniel Sichel (2017)),Cut (cents/lb) (Daniel Sichel (2017)),PPI wire (cents/lb) (Daniel Sichel (2017)),PPI wire 1974=100 (Daniel Sichel (2017)),"Sears (cents/lb 6d, 2"") (Daniel Sichel (2017))",CPI-U 2010=100 w/RPI splice (Daniel Sichel (2017)),"Matched Model, Real price (cents/nail 2010$) (Daniel Sichel (2017))",UK (forged) real (Daniel Sichel (2017)),Mixed (cents/lb) real (Daniel Sichel (2017)),Cut (cents/lb) real (Daniel Sichel (2017)),PPI wire (cents/lb) real (Daniel Sichel (2017)),Count per pound for 2" nails (Daniel Sichel (2017)),UK (forged) (cents/nail) real (Daniel Sichel (2017)),Mixed (cents/nail) real (Daniel Sichel (2017)),Cut (cents/nail) real (Daniel Sichel (2017)),PPI wire (cents/nail) real (Daniel Sichel (2017))
World,1998,,,,38.97,212.97,,74.73,0.31,,,,52.14773183,168,,,,0.310403166
World,1999,,,,39.21,214.24,,76.38,0.31,,,,51.33542812,168,,,,0.305568025
World,2000,,,,38.62,211.06,,78.94,0.29,,,,48.92323284,168,,,,0.291209719
World,2001,,,,38.62,211.06,,81.17,0.28,,,,47.57915486,168,,,,0.283209255
World,2002,,,,38.16,208.52,,82.47,0.28,,,,46.27137141,168,,,,0.27542483
World,2003,,,,38.16,208.52,,84.36,0.27,,,,45.23470839,168,,,,0.269254217
World,2004,,,,47.7,260.65,,86.62,0.33,,,,55.0681136,168,,,,0.32778639
World,2005,,,,51.19,279.72,,89.53,0.34,,,,57.17636546,168,,,,0.340335509
World,2006,,,,52.51,286.93,,92.42,0.34,,,,56.81670634,168,,,,0.338194681
World,2007,,,,54.25,296.47,,95.07,0.34,,,,57.06321658,168,,,,0.339662003
World,2008,,,,76.63,418.74,,98.69,0.46,,,,77.64717803,168,,,,0.462185584
World,2009,,,,72.44,395.85,,98.37,0.44,,,,73.6403375,168,,,,0.438335342
World,2010,,,,86.25,471.3,,100,0.51,,,,86.25,168,,,,0.513392857
World,2011,,,,92.4,504.91,100.9,103.2,0.53,,,,89.53488372,168,,,,0.532945736
