Entity,Year,Cost of calorie sufficient diet (2017 USD per day),Cost of nutrient adequate diet (2017 USD per day),Cost of healthy diet (2017 USD per day),Calorie sufficient diet cost (% of $1.20 poverty line),Nutrient adequate diet cost (% of $1.20 poverty line),Healthy diet cost (% of $1.20 poverty line),Calorie sufficient diet cost (% of average food expenditure),Nutrient adequate diet cost (% of average food expenditure),Healthy diet cost (% of average food expenditure),Calorie sufficient diet cost (% cannot afford),Nutrient adequate diet cost  (% cannot afford),Healthy diet cost  (% cannot afford),Calorie sufficient diet cost (number cannot afford),Nutrient adequate diet cost  (number cannot afford),Healthy diet cost (number cannot afford)
Slovenia,2017,0.440995618,2.047126761,3.041276348,36.84173919,171.0214503,254.0748829,6.205535896,28.80645084,42.79577567,0,0,0.01920434,0,0,396.8361772
South Africa,2017,1.264708811,3.407425561,4.276109309,105.6565422,284.6637896,357.2355313,29.2795996,78.8861873,98.99730862,18.0559,54.05105,61.10259,10291944.43,30809342.27,34828751.87
South Korea,2017,0.68144879,4.320287496,4.860810844,56.92972348,360.9262737,406.0827773,13.13085791,83.24775401,93.66311521,0,0.9978241,1.228063,0,512501.5262,630756.6251
Spain,2017,0.442280512,1.770827881,2.715095317,36.94908205,147.9388371,226.8250056,6.080570696,24.34573494,37.32773335,0.5017389,0.9513059,1.480493,233776.3898,443244.2031,689809.5975
Sri Lanka,2017,0.971934199,2.227864363,4.050519973,81.19751039,186.1206652,338.3893043,17.60403343,40.35190729,73.36452306,0.08013956,10.67173,45.437,17185.12725,2288445.781,9743510.28
Sudan,2017,1.078303515,2.088458248,4.232425264,90.08383584,174.4743733,353.5860705,24.17271361,46.81771173,94.87978326,5.536669,35.98657,81.57917,2259702.644,14687341.32,33295229.71
Suriname,2017,1.141124063,3.400050784,5.129114155,95.3320019,284.0476845,428.4974232,13.87954607,41.35497888,62.38565864,,,,,,
Sweden,2017,0.822322346,2.502307275,2.889616398,68.69860871,209.0482268,241.4048787,11.10858749,33.80316664,39.03524782,0.1356052,0.3259973,0.3404294,13638.76149,32787.82392,34239.36096
Switzerland,2017,0.422059823,2.123611479,2.45778473,35.25980145,177.4111511,205.3287159,5.577981123,28.06584301,32.48230717,0,0.02182594,0.02182594,0,1844.693527,1844.693527
Taiwan,2017,1.457925051,2.995312688,5.045165569,121.7982499,250.2349781,421.4841745,15.59000178,32.0297193,53.94937151,,,,,,
Tajikistan,2017,0.911056262,2.344516378,3.217305785,76.11163426,195.8660299,268.7807673,36.19254302,93.13805678,127.810414,0.7854215,16.24259,34.01277,69747.53413,1442385.522,3020425.13
Tanzania,2017,0.993807355,1.943333143,2.670800338,83.02484168,162.3503044,223.1245061,37.34486265,73.02573176,100.3621791,31.10177,71.84402,84.53875,17001442.32,39272747.56,46212182.83
Thailand,2017,1.046140589,2.883112817,5.012801356,87.39687457,240.8615553,418.7803973,17.28115243,47.62601951,82.80625501,0.002042557,2.216301,19.70135,1413.650799,1533898.775,13635276.36
Togo,2017,1.938657561,2.309871612,6.206968342,161.959696,192.9717303,518.5437211,143.9768989,171.5455881,460.9684924,66.35256,74.28932,97.28955,5108135.243,5719144.728,7489811.684
Trinidad and Tobago,2017,1.008387702,3.134152422,4.08868259,84.24291577,261.8339534,341.5774929,12.85923731,39.96757366,52.14000489,0.1681227,3.472017,7.340323,2326.939216,48055.21513,101595.3554
Tunisia,2017,0.603618059,1.881483827,3.447835621,50.42757388,157.1832772,288.0397344,11.11575981,34.64794,63.49265403,0,1.57308,13.31939,0,179857.2051,1522864.864
Turkey,2017,0.734378871,2.370504554,3.440223518,61.35161827,198.037139,287.4038026,9.986639878,32.23591562,46.78276397,0,2.007663,6.668437,0,1628252.678,5408228.574
Turks and Caicos Islands,2017,1.127194222,2.452723917,3.492283549,94.16827247,204.9059245,291.7530116,31.71084939,69.00138169,98.24684651,,,,,,
Uganda,2017,0.648064841,1.799356803,3.000061375,54.14075527,150.3222058,250.6316938,42.58860861,118.2475855,197.1537903,7.880419,60.01055,81.69172,3243774.713,24701821.64,33626325.65
United Arab Emirates,2017,0.745475485,1.80573157,3.412668665,62.27865372,150.8547677,285.10181,10.10915636,24.48695248,46.27811622,,,,,,
United Kingdom,2017,0.265348333,1.539730769,1.887692082,22.16778056,128.6324786,157.7019283,4.963690084,28.80269213,35.31176681,0.1003027,0.3433783,0.4246,66258.81917,226831.787,280485.9153
United States,2017,0.9044263,2.21435,2.974152331,75.55775272,184.9916458,248.4671956,12.8980859,31.57899822,42.41459171,0.9991196,1.499683,1.499683,3246994.217,4873752.881,4873752.881
Uruguay,2017,0.694181218,2.128675062,2.961332191,57.99341841,177.834174,247.396173,9.391300947,28.79799626,40.06268259,0.02453968,0.3399476,1.307074,843.3419311,11682.7956,44919.50634
Uzbekistan,2017,,,,,,,,,,0,0,0,0,0,0
Vietnam,2017,0.974507314,2.513795511,4.306775634,81.41247403,210.0079792,359.7974631,28.58516223,73.73700685,126.3303809,0.4951231,10.18864,32.01523,468369.8264,9638111.305,30285332.51
World,2017,0.836427883,2.465220697,3.687381768,,,,,,,,,,274500098.1,1694856126,2970785848
Zambia,2017,1.278012074,2.379476799,3.306079267,106.767926,198.7867,276.1970983,75.42884391,140.4377844,195.1262762,57.78896,77.14788,84.97017,9739571.017,13002262.99,14320607.34
Zimbabwe,2017,0.774647423,2.29716701,3.967124844,64.71574124,191.9103601,331.4222928,34.26312295,101.6050831,175.4683258,8.090322,63.16433,82.59679,1151798.513,8992544.593,11759094.37
