Entity,Year,Exports to Africa (CEPII Dyadic (2016)),Exports to Antarctica (CEPII Dyadic (2016)),Exports to Asia (CEPII Dyadic (2016)),Exports to Eastern Europe (CEPII Dyadic (2016)),Exports to North America (CEPII Dyadic (2016)),Exports to Oceania (CEPII Dyadic (2016)),Exports to South America (CEPII Dyadic (2016)),Exports to Western Europe (CEPII Dyadic (2016)) ,Exports to lower-middle income grouping (CEPII Dyadic (2016)),Exports to high-income grouping (CEPII Dyadic (2016)),Exports to low-income grouping (CEPII Dyadic (2016)),Exports to upper-middle income grouping (CEPII Dyadic (2016)),Exports to the World (CEPII Dyadic (2016))
Egypt,1915,1.27303,,0.80574,0.14465,3.13976,0.02998,,18.08647,1.22642,22.18971,,0.06350,
Egypt,1916,1.65499,,1.05200,0.09578,5.18668,0.04859,,20.80528,1.61079,27.15990,,0.07264,
Egypt,1917,1.76739,,1.23647,0.18262,2.92809,0.04708,0.00173,20.07607,1.71383,24.35443,0.00173,0.16947,
Egypt,1918,1.87060,,0.78793,0.15644,2.04621,0.02872,0.00334,22.70324,1.80217,25.62898,0.00385,0.16149,
Egypt,1919,1.39748,,1.08204,0.14641,7.17795,0.04318,0.00258,25.98280,1.36688,34.41226,0.00234,0.05094,
Egypt,1920,1.75769,,0.99008,0.08650,10.51751,0.05757,0.00399,20.36888,1.73599,31.69872,0.00416,0.34335,
Egypt,1921,1.21315,,0.92996,0.08349,3.12207,0.01101,0.00179,13.67342,1.19080,17.58954,0.00160,0.25294,
Egypt,1922,0.89665,,0.74819,0.08079,4.72711,0.01209,0.00083,18.61397,0.87830,24.13046,0.00167,0.06920,
Egypt,1923,0.86284,,1.27504,0.23645,3.81110,0.00990,0.00122,23.69485,0.83858,28.94170,0.00186,0.10927,
Egypt,1924,0.93135,,1.19798,0.94005,3.54633,0.00920,0.00405,27.64071,1.08215,32.46932,0.00233,0.15583,
Egypt,1925,0.79075,,1.41600,0.88263,4.04057,0.01914,0.00045,23.20816,0.93300,28.80667,0.00384,0.10634,
Egypt,1926,0.90246,,1.95651,0.46826,2.76550,0.00347,0.00044,17.14344,0.91243,21.71874,0.00330,0.30004,
Egypt,1927,0.99183,,1.39399,0.68468,3.45789,0.02238,0.00033,18.50566,1.23000,23.16403,0.00467,0.12255,
Egypt,1928,0.91884,,1.48758,0.66552,3.06965,0.01806,0.00088,21.24598,1.23929,25.49786,0.00054,0.19288,
Egypt,1929,0.81011,,1.40580,0.20075,3.73985,0.02355,0.00120,20.07859,0.93527,25.07622,0.00214,0.24624,
Egypt,1930,0.47820,,1.02764,0.14289,1.07190,0.01317,0.00226,13.40760,0.55966,15.42691,0.00351,0.15358,
Egypt,1931,0.34988,,1.04549,0.07532,0.43307,0.00332,0.00114,11.59374,0.44483,12.90845,,0.14868,
Egypt,1932,0.25731,,1.04008,0.07328,0.78481,0.00448,0.01102,10.75086,0.31316,12.41399,,0.19468,
Egypt,1933,0.33191,,1.02727,0.32922,0.77465,0.00512,0.00176,12.65745,0.37256,14.50017,,0.25465,
Egypt,1934,0.38199,,1.76224,0.47731,0.76731,0.00722,0.01077,12.69958,0.42181,15.29156,,0.39305,
Egypt,1935,0.45455,,1.74018,0.60031,0.79203,0.00211,0.00227,12.88871,0.47969,15.52442,,0.47605,
Egypt,1936,0.45949,,1.57956,0.82446,0.81175,0.00363,0.00762,12.20677,0.48262,14.75350,,0.65716,
Egypt,1937,0.62558,,2.30371,2.08007,1.42323,0.00463,0.01704,14.29969,0.65608,18.33751,,0.96786,
Egypt,1938,0.67358,,1.28397,1.61249,0.42276,0.02315,0.02014,11.58308,0.69994,13.66312,0.00333,0.73999,
Egypt,1939,0.76613,,,0.06068,0.65943,0.00228,0.00025,10.23126,0.76276,10.95366,0.00337,0.00025,
Egypt,1940,0.83667,,,0.04807,0.64573,,0.00139,10.22237,0.83478,10.91617,0.00189,0.00139,
Egypt,1941,0.89869,,,,0.98348,,,3.54636,0.89848,4.52985,0.00021,,
Egypt,1942,0.76679,,,,1.11159,,,4.50814,0.76679,5.61973,,,
Egypt,1943,0.62559,,,0.00635,0.55018,0.00268,,2.36327,0.62559,2.92246,,,
Egypt,1944,0.33683,,,0.00217,0.26331,0.00355,,2.54282,0.33683,2.81185,,,
Egypt,1945,0.25854,,,0.03246,0.48387,0.00347,,3.48492,0.25854,4.00471,,,
Egypt,1951,0.54100,,7.06102,2.69096,2.07583,0.27330,0.10499,12.15057,4.56522,17.57537,0.07213,0.58909,
Egypt,1952,0.61606,,3.54882,2.19238,3.09618,0.08522,0.03357,6.70661,2.44249,11.26770,0.11067,0.59504,
Egypt,1953,0.59688,,3.53184,1.62906,1.25116,0.09618,0.11405,7.18339,2.41412,9.92371,0.09124,0.66189,
Egypt,1954,0.68182,,4.17157,2.51651,0.84018,0.04839,0.20528,6.69680,2.84092,9.36434,0.08431,0.97948,
Egypt,1955,0.87226,,3.85643,2.58208,0.90860,0.01454,0.10573,4.85689,2.21765,7.33390,0.10903,1.70222,
Egypt,1956,0.82730,,3.73300,2.50848,0.48413,0.00986,0.02987,3.79900,1.89323,5.97358,0.10155,1.53722,
Egypt,1957,0.69705,,3.56066,2.60129,0.55480,0.00313,0.03414,2.62604,1.39553,4.94993,0.05975,2.06271,
Egypt,1958,0.41271,,3.05892,2.58093,0.55298,0.00593,0.02967,2.74601,1.22465,4.74537,0.00809,1.70695,
Egypt,1959,0.37737,,2.52001,2.52254,0.49640,0.00557,0.06661,2.31486,1.22581,3.87726,0.00253,1.42994,
Egypt,1960,0.49098,,3.59378,2.64750,1.15153,0.00557,0.02328,2.69919,1.94621,4.94885,0.01265,1.97303,
Egypt,1961,0.48931,,2.41072,3.00147,1.13614,0.00525,0.02148,2.59165,1.62067,4.41759,0.00955,1.35024,
Egypt,1962,0.63093,,1.93021,2.20664,0.95495,0.00294,0.01069,3.47278,1.20839,4.98700,0.07272,1.40381,
Egypt,1963,0.51090,,2.37389,2.96427,0.84944,0.03974,0.02580,3.54019,1.48110,5.07780,0.10063,1.38692,
Egypt,1964,0.57342,,2.36045,2.90945,0.72310,0.01013,0.00921,3.43873,1.34718,4.96139,0.09442,1.59267,
Egypt,1965,0.33072,,2.81515,2.77661,0.53652,0.00430,0.00587,2.61561,1.15228,4.02984,0.07101,1.85381,
Egypt,1966,0.34466,,2.37475,2.49498,0.50330,0.00993,0.00730,2.59607,1.13306,3.77464,0.09508,1.55276,
Egypt,1967,0.39665,,2.63695,1.97987,0.43935,0.00394,0.00538,2.34232,1.41905,3.55952,0.08229,1.26381,
Egypt,1968,0.68331,,2.54767,1.75963,0.64677,0.04862,0.00164,2.23065,1.57939,3.92399,0.20410,1.16580,
Egypt,1969,0.61103,,2.19048,1.97236,0.61500,0.05742,0.05567,2.38273,1.11931,4.25601,0.16403,1.09886,
Egypt,1970,0.58853,,2.11951,1.97858,0.34258,0.05870,0.15996,2.84088,1.24331,4.23374,0.20581,1.17035,
Egypt,1971,0.64031,,2.07719,1.81752,0.30370,0.01633,0.21325,2.65826,1.33103,3.91399,0.14250,1.24322,
Egypt,1972,0.46640,,1.86740,2.08882,0.22046,0.00183,0.01624,2.13554,1.10792,3.35504,0.06352,1.23596,
Egypt,1973,0.47905,,1.82253,2.17791,0.33966,0.00478,0.07535,2.59309,0.86581,4.04207,0.11002,1.16311,
Egypt,1974,0.61954,,3.64497,3.14220,0.85210,0.02103,0.22228,4.09343,1.01810,7.56301,0.10684,2.03942,
Egypt,1975,0.48433,,1.81066,2.95894,0.43850,0.00115,0.14071,3.57240,0.85919,4.92308,0.11662,2.07364,
Egypt,1976,0.37412,,1.99634,1.83606,0.92760,0.00081,0.11801,6.33173,0.56075,8.29773,0.06430,1.57960,
Egypt,1977,0.45525,,1.97217,1.83458,1.56502,0.00200,0.02272,5.66943,0.64143,8.44121,0.05040,0.98495,
Egypt,1978,0.40279,,2.60780,1.81118,1.36690,0.00309,0.00733,9.00652,0.87290,11.55870,0.04989,1.41453,
Egypt,1979,0.28857,,1.89824,1.91347,2.73855,0.00092,0.00905,13.89209,0.56817,17.93944,0.00947,0.91044,
Egypt,1980,0.24105,,4.06649,2.39575,2.54802,0.00155,0.00556,15.63097,0.59982,20.29798,0.07233,1.67688,
Egypt,1981,0.11869,,2.50809,2.02076,1.78819,0.00126,0.00564,16.56669,0.23614,20.04875,0.08104,1.25600,
Egypt,1982,0.55104,,1.91046,2.95850,2.59637,0.01481,0.00908,11.35503,0.68490,15.27110,0.06911,1.37636,
Egypt,1983,0.18133,,2.40584,2.69209,1.46770,0.00086,0.00026,9.77817,0.30891,13.18905,0.04256,1.62966,
Egypt,1984,0.14713,,2.03254,4.09021,0.79750,0.00139,0.00036,9.65738,0.31047,12.07768,0.01526,2.58603,
Egypt,1985,0.09274,,2.81173,4.72727,0.35271,0.00073,0.22193,8.27941,0.28006,11.26272,0.00789,3.21062,
Egypt,1986,0.17269,,2.51903,1.52840,0.39878,0.00950,0.10693,5.45461,0.66514,7.91467,0.04645,0.80742,
Egypt,1987,0.10183,,1.78006,1.75443,1.30026,0.00171,0.05335,5.55857,0.58692,8.13008,0.02505,0.87113,
Egypt,1988,0.20066,,2.49516,1.37662,0.76186,0.00746,0.05804,5.42479,0.75381,7.89249,0.02612,0.91075,
Egypt,1989,0.19754,,1.67977,1.43792,0.64857,0.01210,0.13961,6.66125,0.31476,8.71371,0.01897,0.85537,
Egypt,1990,0.35252,,1.65058,1.72916,1.03080,0.01174,0.00215,6.57792,0.53601,8.85120,0.01910,1.21613,
Egypt,1991,0.54865,,1.85063,0.97047,0.62780,0.01322,0.02673,7.36232,0.75267,9.30389,0.06630,1.17614,
Egypt,1992,0.73719,,3.49166,0.91072,1.24723,0.01933,0.01340,8.18821,2.15217,10.57277,0.05857,1.80818,
Egypt,1993,0.43634,,3.10415,0.58527,1.60134,0.01255,0.04451,6.13248,1.47432,9.21214,0.01264,1.21620,
Egypt,1994,0.42302,,2.57447,0.68773,1.17364,0.01829,0.07378,6.32745,1.02363,9.12899,0.02347,1.10017,
Egypt,1995,0.42146,,2.12734,1.15820,1.11806,0.01610,0.05041,5.10643,0.73325,7.73377,0.01838,1.51042,
Egypt,1996,0.35861,,1.91080,0.79063,1.08487,0.01816,0.02908,5.46733,0.65494,7.90117,0.02984,1.07263,
Egypt,1997,0.32302,,1.85621,0.73797,0.91929,0.01755,0.09377,4.12972,0.60337,6.20996,0.01273,1.25146,
Egypt,1998,0.41638,,1.62895,0.60250,0.88674,0.01657,0.02252,3.05588,0.59466,4.95793,0.04018,1.03673,
Egypt,1999,0.22747,,1.95127,0.22530,0.76763,0.01455,0.05311,2.93170,0.74859,4.79621,0.01882,0.60742,
Egypt,2000,0.28421,,1.56836,0.21935,0.93166,0.01247,0.05447,3.29078,0.48565,5.18606,0.03743,0.65216,
Egypt,2001,0.36336,,1.26129,0.23641,1.02557,0.00892,0.09176,3.00847,0.49599,4.76501,0.05167,0.65425,
Egypt,2002,0.50468,,1.77066,0.24554,1.67568,0.01999,0.03805,3.54775,0.77576,6.13795,0.07644,0.81221,
Egypt,2003,0.87350,,2.39843,0.40484,1.60767,0.01657,0.06092,4.53412,1.06128,7.47800,0.08949,1.26722,
Egypt,2004,1.20153,,4.51592,0.58762,2.06892,0.04299,0.08387,6.64557,2.55596,10.66918,0.13860,1.78268,
Egypt,2005,1.42889,,4.41659,0.57995,2.80589,0.01481,0.05549,7.13585,2.16488,12.18663,0.17866,1.90729,
Egypt,2006,1.42939,,5.02066,0.70522,2.60330,0.01662,0.06417,8.75719,3.14206,13.34535,0.12397,1.98518,
Egypt,2007,1.53328,,5.09153,0.85427,2.36872,0.01674,0.09851,7.26331,3.36258,11.40712,0.17371,2.28295,
Egypt,2008,2.15671,,7.07067,0.86745,1.88482,0.01688,0.25333,7.38088,3.76416,12.64188,0.18568,3.03898,
Egypt,2009,1.80420,,5.30596,0.52052,1.26302,0.01600,0.09462,4.54453,2.96787,7.95304,0.16199,2.46591,
Egypt,2010,1.84796,,5.24680,0.64708,1.28424,0.01220,0.15198,4.22313,2.61639,7.91795,0.33863,2.54042,
Egypt,2011,1.47825,,6.19635,0.82712,1.21567,0.02590,0.22740,5.68299,3.14316,9.20335,0.21496,3.09222,
Egypt,2012,1.67490,,5.03244,0.70114,1.31347,0.02672,0.15923,3.79168,2.55207,7.28436,0.15117,2.71199,
Egypt,2013,1.62863,,4.89304,0.79673,0.81772,0.01214,0.17294,3.69155,2.33007,6.51490,0.17736,2.99038,
Egypt,2014,1.38277,,3.92765,0.75489,0.69238,0.01379,0.06997,3.75280,1.82670,6.21303,0.16580,2.38870,
El Salvador,1940,,,0.00205,,10.71441,,,0.79426,0.67467,10.83605,,,
El Salvador,1941,,,,,10.56983,,,0.59437,1.02759,10.13661,,,
El Salvador,1942,,,,,14.94398,,0.00073,0.33157,1.41387,13.86168,,0.00073,
El Salvador,1943,,,,,12.47514,,,0.13002,1.09826,11.50691,,,
El Salvador,1944,,,,,10.80221,,,0.14481,1.15255,9.79447,,,
El Salvador,1949,,,,,12.50486,,0.02432,0.66663,0.95088,11.87772,,0.36722,
El Salvador,1950,,,,0.00239,14.53394,,0.02390,1.17113,0.83174,14.51004,,0.38958,
El Salvador,1951,,,0.16447,0.00705,17.05827,,0.04699,1.90320,0.59211,18.33412,,0.25376,
El Salvador,1952,,,,0.69052,16.01413,,0.09116,1.02552,0.57201,16.25570,0.02279,0.28715,
El Salvador,1953,,,0.12853,1.07289,15.98972,,0.28063,1.19966,0.60411,16.64701,,0.34919,
El Salvador,1954,,,0.41700,1.79309,14.22160,,0.04170,2.12470,0.83598,15.87172,0.01986,0.08340,
El Salvador,1955,,,1.88028,4.04068,14.56063,,0.09977,2.11051,0.76362,17.70146,0.01919,0.17843,
El Salvador,1956,,,2.73466,5.36401,10.77605,,,2.01404,0.59128,14.75056,0.01848,0.16999,
El Salvador,1957,,,1.31673,7.31139,12.03559,,0.12811,3.18505,0.93060,15.56762,,0.18327,
El Salvador,1958,,,2.31977,7.52141,10.97609,,0.03747,1.80228,1.12420,13.83833,,0.19986,
El Salvador,1959,,,3.53376,5.82630,9.38994,,0.05274,1.95421,1.40647,13.33606,,0.21273,
El Salvador,1960,,,2.55905,6.45311,8.75626,,,1.71797,2.09377,10.65855,0.00179,0.28991,
El Salvador,1961,,,3.80783,6.76868,9.82206,,0.01779,1.45294,2.29537,12.40312,,0.40925,
El Salvador,1962,,,4.04088,5.97956,10.58491,,,1.43082,2.32704,13.30660,,0.42767,
El Salvador,1963,,,5.81464,5.02214,10.39463,,,1.29803,3.21724,13.86149,,0.43300,
El Salvador,1964,,,5.18211,5.64140,11.50522,,0.01339,1.48634,4.40546,13.28736,,0.49826,
El Salvador,1965,,,4.27243,6.67069,11.55767,,0.01253,1.57226,4.75095,11.96851,,0.84811,
El Salvador,1966,0.01076,,2.43136,5.28660,11.65698,,0.01183,1.38781,5.36836,9.20260,0.00011,0.92015,
El Salvador,1967,,,1.74145,4.93956,13.71840,,0.01229,0.90145,6.39213,8.63757,,1.34593,
El Salvador,1968,0.57439,,1.58453,5.53641,13.16313,,0.00149,1.27753,6.77795,8.33906,,1.96977,
El Salvador,1969,0.22746,,1.86192,5.45045,11.23890,0.00010,0.01801,1.33924,5.50667,7.70526,0.00038,1.68268,
El Salvador,1970,0.00282,,2.48111,5.86326,11.59146,,0.04405,1.82828,4.84659,9.57773,0.00009,1.91046,
El Salvador,1971,0.08563,,2.76473,4.56657,11.83405,,0.08094,1.48695,5.02535,9.04875,0.00169,2.18393,
El Salvador,1972,0.09907,,3.36412,4.81642,11.39382,,0.05697,2.01065,5.03727,9.98093,0.00047,2.04420,
El Salvador,1973,0.18685,,3.60142,4.29974,16.79551,0.00430,0.19718,1.85604,5.79733,14.62921,0.00305,2.26233,
El Salvador,1974,0.12804,,2.87092,5.23105,19.63155,0.00180,0.10061,3.73172,6.65990,17.94727,0.00144,2.40834,
El Salvador,1975,0.04119,,3.61532,3.54834,17.46964,,0.05791,6.32033,4.77528,20.46004,0.00271,2.30750,
El Salvador,1976,0.02255,,2.97146,6.07650,19.49757,0.00176,0.48061,5.63034,4.12794,21.85205,0.00314,2.68121,
El Salvador,1977,0.01910,,2.75608,8.52555,21.13117,0.00785,0.03889,6.15303,2.87064,25.02488,0.00333,2.10226,
El Salvador,1978,0.00259,,2.17902,4.91148,16.90699,0.00639,0.04514,4.72001,4.63708,16.90517,0.00214,2.38552,
El Salvador,1979,0.00092,,2.48250,7.00994,21.64928,0.00318,0.16939,5.90136,5.40717,22.31225,0.00326,2.52027,
El Salvador,1980,0.00839,,1.06828,6.09954,19.77698,0.01455,0.08593,4.68220,4.19213,18.89330,0.00145,2.55910,
El Salvador,1981,0.04608,,1.53075,6.10730,14.07394,0.00436,0.03974,3.69923,4.05411,13.48516,0.00055,1.80832,
El Salvador,1982,0.00009,,0.74312,4.44812,15.52575,0.00794,0.03318,1.94399,4.10010,13.04067,0.00180,1.11475,
El Salvador,1983,0.00236,,1.75014,4.84427,16.13572,0.00374,0.02806,2.77080,3.73684,15.59627,0.00204,1.55836,
El Salvador,1984,0.06759,,1.18795,3.47272,16.49355,0.00710,0.30295,2.17878,3.25416,15.12946,0.00409,1.38234,
El Salvador,1985,0.00447,,1.12694,2.88456,14.43625,0.00342,0.07829,1.89455,1.73368,14.66166,0.00106,1.15298,
El Salvador,1986,0.00056,,0.95152,3.85522,14.83946,0.00080,0.05965,2.83456,1.71964,15.84259,0.00146,1.19160,
El Salvador,1987,0.00003,,0.75052,2.80520,12.11260,0.03169,0.00977,1.54015,2.47271,10.77911,0.00701,1.18350,
El Salvador,1988,0.03264,,0.73156,4.20953,11.49379,0.00406,0.02264,1.27204,2.42698,10.02893,0.00257,1.09267,
El Salvador,1989,0.00003,,0.42619,2.57370,10.34210,0.00207,0.15418,0.99692,2.49258,7.95035,0.00366,1.47698,
El Salvador,1990,0.08241,,0.18360,2.30153,9.32543,0.00847,0.08395,1.10371,2.27455,7.06144,0.00329,1.45838,
El Salvador,1991,0.00784,,0.38028,0.08848,10.62466,0.01324,0.06889,3.25795,2.60777,10.03564,0.02677,1.69496,
El Salvador,1992,0.02698,,0.11368,0.26568,12.33202,0.00705,0.29752,1.82053,3.70417,9.09736,0.02846,1.96952,
El Salvador,1993,0.11910,,0.16023,0.02666,12.39848,0.00148,0.21336,2.03055,3.34934,9.83458,0.02196,1.73714,
El Salvador,1994,0.00138,,0.13348,0.06072,12.94671,0.00443,0.22079,3.86938,3.21561,12.30702,0.00832,1.69758,
El Salvador,1995,0.00933,,0.29538,0.09993,13.47068,0.00782,0.19264,3.95630,3.02114,13.51749,0.00194,1.48877,
El Salvador,1996,0.00865,,0.20117,0.07238,15.02147,0.00902,0.15188,3.38328,2.57583,14.66325,0.00580,1.57281,
El Salvador,1997,0.06412,,0.26158,0.04712,17.92491,0.00317,0.19160,3.79221,3.62221,16.89538,0.02276,1.74432,
El Salvador,1998,0.00317,,0.28949,0.20381,17.86198,0.00393,0.16127,3.37740,3.86119,16.07656,0.00321,1.96010,
El Salvador,1999,0.02384,,0.40807,0.10067,19.59752,0.00850,0.07355,1.45384,4.92053,15.14647,0.00431,1.58624,
El Salvador,2000,0.13921,,0.24906,0.49530,21.49919,0.00533,0.04895,1.39686,4.71341,17.71430,0.00076,1.40288,
El Salvador,2001,0.00341,,0.28320,0.58721,20.06133,0.00305,0.19592,0.95354,4.66407,15.60557,0.00286,1.81246,
El Salvador,2002,0.00530,,0.32961,0.12566,20.44381,0.00829,0.34370,0.85609,4.84902,15.68624,0.00310,1.57242,
El Salvador,2003,0.00509,,0.40709,0.11279,19.97211,0.00582,0.08442,1.32586,4.39072,15.58028,0.00233,1.93645,
El Salvador,2004,0.00788,,0.34398,0.28666,19.76740,0.00614,0.04802,1.33365,4.60026,15.41182,0.00174,1.77051,
El Salvador,2005,0.01083,,0.48469,0.28439,19.23594,0.00932,0.05393,1.56382,5.35456,14.40352,0.01934,1.86079,
El Salvador,2006,0.01833,,0.69828,0.09994,17.93116,0.01759,0.06738,1.28540,5.61461,12.48859,0.02259,1.99130,
El Salvador,2007,0.01476,,0.53097,0.08837,18.56054,0.01430,0.10842,1.42659,6.01064,12.59595,0.01382,2.12245,
El Salvador,2008,0.02080,,0.43720,0.08017,19.63733,0.01359,0.20232,1.56275,6.58346,13.14760,0.02025,2.20194,
El Salvador,2009,0.02917,,0.43798,0.02497,16.81777,0.02118,0.18161,1.50429,5.59260,11.15080,0.01875,2.25264,
El Salvador,2010,0.02406,,0.85163,0.04186,18.89959,0.02248,0.26102,1.20215,5.62059,13.03688,0.03450,2.60843,
El Salvador,2011,0.02887,,1.20662,0.09537,20.33791,0.03471,0.29324,1.85580,6.89200,14.34148,0.04623,2.57281,
El Salvador,2012,0.03604,,0.88479,0.06645,20.70947,0.04791,0.44425,1.14007,7.01162,13.52253,0.03801,2.75683,
El Salvador,2013,0.02507,,1.01368,0.10136,19.76739,0.04746,0.40643,1.15316,6.94793,12.56288,0.02839,2.97535,
El Salvador,2014,0.02466,,0.87915,0.07159,19.08897,0.13453,0.26699,0.92967,6.76445,11.85900,0.03589,2.73623,
Equatorial Guinea,1962,,,,,,,,1.09616,,1.09616,,,
Equatorial Guinea,1963,,,,,,,,12.91502,,12.91502,,,
Equatorial Guinea,1964,7.07966,,,7.86629,,,,14.94595,7.07966,14.94595,,,
Equatorial Guinea,1965,,,,,,,,2.31666,,2.31666,,,
Equatorial Guinea,1966,,,,,,,,3.18333,,3.18333,,,
Equatorial Guinea,1967,,,0.13828,,,,,2.90386,,3.04214,,,
Equatorial Guinea,1968,,,,,,,,2.82903,,2.82903,,,
Equatorial Guinea,1969,0.05206,,,,,,,40.83259,0.02380,40.83259,0.01190,0.01636,
Equatorial Guinea,1970,0.17639,,,1.50758,,,,34.19194,0.02111,34.19194,,0.15528,
Equatorial Guinea,1971,6.42370,,,,4.61915,,,34.35111,0.17091,38.97026,6.25280,,
Equatorial Guinea,1972,0.03057,,,0.00705,1.52837,,,34.58701,,36.12243,,0.03057,
Equatorial Guinea,1973,0.91499,,0.00493,1.23756,6.15739,,,20.41791,0.01108,26.58631,,0.90390,
Equatorial Guinea,1974,0.00637,,,1.07264,,,,15.62237,0.00425,15.63299,0.00212,,
Equatorial Guinea,1975,0.00767,,0.00096,1.91763,1.91763,,,17.43122,,19.34980,,0.00767,
Equatorial Guinea,1976,0.44958,,0.00096,3.85903,,,,6.26127,0.44186,6.26224,,0.00772,
Equatorial Guinea,1977,0.15483,,,5.57759,,,,10.52049,0.14617,10.52049,,0.00865,
Equatorial Guinea,1978,,,,1.29307,0.21053,,,19.85263,,20.09307,,,
Equatorial Guinea,1979,0.63913,,0.01898,1.17647,,,,11.87856,0.63533,11.93548,0.00380,,
Equatorial Guinea,1980,0.66025,,,7.90691,,,,29.44145,0.66025,29.44992,,,
Equatorial Guinea,1981,0.97263,,,18.24051,0.54994,,,58.53299,0.97263,59.08293,,,
Equatorial Guinea,1982,21.48773,,4.28946,12.91132,,,,44.45232,19.36332,44.49527,2.12441,4.28946,
Equatorial Guinea,1983,4.89397,,,15.75070,0.22501,,,52.29234,4.89397,52.51735,,,
Equatorial Guinea,1984,12.93543,,6.95536,11.94258,1.58980,,,46.58103,12.92351,48.98483,0.01192,6.16046,
Equatorial Guinea,1985,1.20497,,,8.04912,,,,37.89674,0.72997,37.89674,0.47500,,
Equatorial Guinea,1986,0.05628,,,14.79573,0.26175,,0.01309,36.54096,0.05628,36.80930,,0.79835,
Equatorial Guinea,1987,0.45851,,0.53564,8.47386,,,,32.73847,0.45851,33.28482,,,
Equatorial Guinea,1988,0.37684,,,4.99330,,0.03786,,42.75142,0.40973,42.77132,0.00497,,
Equatorial Guinea,1989,0.04186,,0.74107,4.56521,0.06880,,,38.01295,0.05755,38.27383,,0.56729,
Equatorial Guinea,1990,0.56906,,0.01857,3.30562,0.01472,,0.00030,28.70189,0.56936,28.75614,,0.13512,
Equatorial Guinea,1991,0.23026,,0.05958,0.05287,0.27050,,0.01549,34.86752,0.03238,35.20145,0.00811,0.25427,
Equatorial Guinea,1992,5.96806,,0.11878,0.05249,0.07988,,0.01313,27.75398,5.77920,27.94573,0.01336,0.24802,
Equatorial Guinea,1993,11.34014,,6.12087,0.45899,2.95411,0.00009,0.00048,25.81911,11.13773,35.25733,0.01614,0.28259,
Equatorial Guinea,1994,8.58125,,15.16129,0.31860,0.32003,0.00003,0.00190,35.02496,8.30577,50.72771,0.03031,0.34429,
Equatorial Guinea,1995,25.73462,,20.53675,0.11084,24.25252,0.00242,0.00949,26.69363,25.53527,62.56077,0.01557,9.22865,
Equatorial Guinea,1996,18.37699,,16.04728,0.02610,35.25996,0.00402,0.00128,15.60680,18.41984,59.95182,0.04127,6.90949,
Equatorial Guinea,1997,7.83626,,45.91822,0.13673,7.47721,0.00026,,28.13176,7.79334,63.92472,0.03287,17.74952,
Equatorial Guinea,1998,3.58597,,29.13317,0.00580,19.84807,,3.56176,65.71157,3.46238,99.63834,0.11785,18.62776,
Equatorial Guinea,1999,2.25416,,40.99054,0.10069,7.29439,,5.66755,54.52520,2.17710,81.55751,0.07467,27.02324,
Equatorial Guinea,2000,2.18703,,29.56554,0.07308,15.00983,0.00009,2.52243,64.07415,2.18450,83.57253,0.01421,27.66091,
Equatorial Guinea,2001,2.96043,,27.99547,0.02537,37.96449,,1.92386,46.49361,2.94896,88.10825,0.00555,26.30049,
Equatorial Guinea,2002,0.12438,,23.06837,0.06943,42.10157,0.00000,0.92769,39.41039,0.14212,86.34119,0.00014,19.21836,
Equatorial Guinea,2003,0.11009,,18.75346,0.08338,53.59880,0.00107,0.00040,44.30702,0.13537,100.05252,0.00038,16.66596,
Equatorial Guinea,2004,0.08972,,38.89198,0.20251,35.26346,0.18620,0.34026,23.54659,0.06514,75.36333,0.03608,23.05617,
Equatorial Guinea,2005,0.12490,,26.75258,0.08024,26.46007,0.00013,4.09069,25.33522,0.07492,60.71962,0.05055,21.99874,
Equatorial Guinea,2006,0.32456,,40.76493,0.40766,22.43452,0.00000,1.40390,24.39451,0.16739,60.16394,0.15598,29.24277,
Equatorial Guinea,2007,1.22320,,22.33642,0.42704,19.65035,0.00008,0.59918,30.54492,2.31447,55.84939,0.12789,16.48945,
Equatorial Guinea,2008,0.39338,,26.69220,0.01201,22.37059,0.00032,2.76980,37.15184,0.49684,72.03078,0.06692,16.79560,
Equatorial Guinea,2009,0.34545,,26.25068,0.01743,28.66916,0.00036,4.77667,22.45452,1.87516,67.40510,0.00378,13.23022,
Equatorial Guinea,2010,1.86484,,14.42207,0.00119,23.95157,0.00043,4.98252,24.82294,3.14682,57.76141,0.00926,9.12806,
Equatorial Guinea,2011,0.98843,,20.67613,0.00333,11.02636,0.00007,4.45557,33.56998,0.85779,56.23270,0.13221,13.49718,
Equatorial Guinea,2012,1.29943,,30.68463,0.00442,12.13315,0.00005,1.15601,38.73736,3.23017,68.92171,0.13955,11.72361,
Equatorial Guinea,2013,3.19957,,32.60818,0.00071,5.24063,0.20091,6.24018,34.61061,4.22451,55.29997,0.05809,22.51822,
Equatorial Guinea,2014,4.02042,,39.29370,0.17175,1.64161,0.22728,8.15543,31.41622,5.85469,47.49987,0.06436,31.50749,
Eritrea,1992,,,,,,,0.00084,,,,,,
Eritrea,1994,,,0.11943,0.00237,0.00424,,,0.18853,,0.31032,,0.00424,
Eritrea,1995,,,1.62564,0.06717,0.08650,0.00011,0.01336,0.34549,1.51980,0.60511,,0.01336,
Eritrea,1996,0.05336,,0.17078,0.25901,0.25954,0.00109,0.01440,3.26667,0.05690,3.95221,,0.01574,
Eritrea,1997,0.07480,,0.54696,0.16872,0.20394,0.00044,0.02810,6.63754,0.11657,7.49728,,0.04665,
