Entity,Year,ghg_kcal,ghg_protein,ghg_fat,land_use_100g,land_use_kcal,land_use_protein,land_use_fat,eutrophication_100g,eutrophication_kcal,eutrophication_protein,eutrophication_fat,water_scarcity_100g,water_scarcity_kcal,water_scarcity_protein,water_scarcity_fat,biodiversity_100g,biodiversity_kcal,biodiversity_protein,biodiversity_fat,water_100g,water_kcal,water_protein,water_fat,nutriscore
Garden peas,0,0.000945524,0.020412096,0.143159315,0.661458868,0.00622878,0.134414162,0.942548187,1.237325659,0.011593168,0.250608693,1.758817793,2571.265273,24.45699337,526.2085757,3679.315306,6.834548151,0.064210718,1.387197932,9.728524261,35.92194299,0.341367058,7.346440059,51.37231845,4.526748971
Garlic bread,0,0.000263518,0.012206543,0.009285874,0.241411163,0.00061199,0.026741843,0.020828667,0.521351001,0.001298537,0.058156689,0.044890404,770.0910172,1.984060025,85.97611378,67.36016364,6.305042068,0.015952042,0.687051845,0.537609004,18.67342686,0.047054708,2.089629068,1.622239581,39.64506173
Goat's cheese,2,0.003954203,0.114680198,0.081390227,2.505891122,0.004651771,0.135466561,0.096003558,7.263386257,0.013549401,0.392657579,0.277855556,4062.840299,7.686830546,220.7639099,156.0978833,137.1288335,0.252466577,7.401680769,5.255020546,195.2984254,0.367279613,10.58291374,7.50847897,56.28733574
Granola,0,0.004364762,0.017408679,0.01013271,0.510931419,0.014309177,0.047683039,0.028384674,1.472267981,0.046073586,0.137734592,0.08038981,1877.445245,40.32358614,163.8886445,88.82623355,17.24346179,0.440094774,1.655634267,0.882557519,49.91282734,1.069649002,4.554151014,2.526044295,37.55336617
Grapes,1,0.007406596,1.590437468,4.090872498,0.151847382,0.001430612,0.298804306,0.786778988,0.484457253,0.004520513,0.953444931,2.490523156,314.6534845,3.13539906,620.5688032,1715.927426,2.573961129,0.024579064,5.075069221,13.53538319,4.783810782,0.049406253,9.430081685,26.87056111,20.69776958
Haddock risotto,0,0.002010334,0.061236138,0.061236138,0.373822587,0.001534038,0.046727823,0.046727823,2.13072113,0.008743737,0.266340141,0.266340141,1722.01364,7.066543521,215.251705,215.251705,14.14414557,0.058042641,1.768018196,1.768018196,117.209625,0.480987431,14.65120313,14.65120313,51.8518519
Halloumi cheese,2,0.003607616,0.070324384,0.070909994,1.926099548,0.004256302,0.083025335,0.083983435,5.429626557,0.01204773,0.23492954,0.236399872,3157.163398,7.02514224,136.9375821,137.4455926,107.488099,0.236522007,4.610537731,4.693824388,153.7812278,0.342231811,6.662060054,6.709915688,60.53322828
Ice cream,0,0.000998959,,,0.486589119,0.001291183,,,1.244085062,0.003472284,,,791.0556308,2.235995784,,,41.72324901,0.108540048,,,47.01579717,0.132805222,,,48.12021786
Ice lollies,0,0.000610045,,,0.214483497,0.001014623,,,0.716283374,0.003288139,,,2640.162119,10.25737677,,,9.589326629,0.035005685,,,72.24544775,0.30412669,,,35.14403292
Instant coffee,3,0.429073239,8.45736574,,1.70816452,0.27262645,5.374237657,,10.07451045,1.633839727,32.17190748,,86.47852697,6.390367753,143.2906665,,351.5723167,57.27636681,1128.296225,,6.611146332,0.449782358,10.57468548,,34.09321173
Kale,0,0.001433016,0.026569305,0.056459772,0.081089864,0.001286209,0.02385059,0.050682503,0.632614665,0.010036375,0.1860651,0.395388338,470.680786,7.469055672,138.4388261,294.1825056,0.341860058,0.00542418,0.100549168,0.213666982,13.31200177,0.211243754,3.915385428,8.320194034,8.663446053
Kiwis,0,0.001396918,0.113311114,0.249284451,0.103657497,0.001140019,0.094604777,0.208130508,1.373514495,0.014876778,1.241907906,2.732197393,1391.11095,15.06328989,1255.710278,2762.562612,3.443676069,0.037502512,3.123578983,6.871873763,77.07172204,0.831604915,69.49474133,152.8884309,24.58350546
Lamb casserole,1,0.007868574,0.103472634,0.456220251,1.423899895,0.011162931,0.146793804,0.647227225,0.94585471,0.007415206,0.097510795,0.429933959,364.5751998,2.858155797,37.58507214,165.7159999,18.13617033,0.142181916,1.869708281,8.243713784,10.04642762,0.078760857,1.035714187,4.566558008,51.8518519
Lamb chops,3,0.005622825,0.15758994,0.150605128,4.366,0.007945773,0.222739359,0.212874128,2.350464118,0.004277685,0.119913175,0.114602045,99.528,0.181133049,5.077600308,4.852710991,55.823,0.101593423,2.84791096,2.721775638,8.627,0.015700454,0.440121954,0.420628745,51.19825708
Lamb curry,1,0.004972573,0.117155916,0.127407059,1.624347883,0.007924588,0.186706653,0.203043485,1.30496581,0.006366442,0.14999607,0.163120726,330.9179875,1.614425581,38.03655029,41.36474844,21.37378453,0.104274732,2.456756843,2.671723067,15.18160567,0.074065398,1.745012146,1.897700708,29.01234565
Lamb joint,3,0.003537782,0.140590667,0.246403306,4.366,0.005000195,0.198703167,0.348263889,2.35046625,0.00269189,0.106973289,0.187490205,99.528,0.113985211,4.529667619,7.939076577,55.823,0.063931722,2.54058793,4.452848161,8.627,0.009880138,0.392627628,0.688152215,32.4074074
Lamb moussaka,1,0.002883339,0.087459779,0.08961928,0.982535584,0.003902631,0.118377781,0.121300689,1.25042918,0.004966704,0.150654118,0.154373973,852.1204514,3.384621897,102.6651146,105.2000557,21.76048232,0.086432622,2.621744858,2.686479299,28.68188972,0.113924448,3.455649364,3.54097404,50.37037038
Lamb steak,5,0.006051981,0.135171658,0.259085449,13.23149836,0.008563369,0.191157725,0.366392771,7.52329266,0.004721826,0.10396029,0.19923421,852.4728256,0.316761022,5.499954288,10.51252452,114.579226,0.110224898,2.45102033,4.697703464,35.07121943,0.024363024,0.447658737,0.856237762,34.72981178
Lasagne sheets,0,0.000375414,0.021806532,,0.400210505,0.001031122,0.047597325,,0.99714458,0.002400763,0.137049934,,1637.073964,3.962718196,240.1251335,,4.725737991,0.011891872,0.53095709,,55.44628025,0.125942539,8.358851546,,20.05794139
Lemons,0,0.001533706,0.049857143,0.150916286,0.059677428,0.001624969,0.060630411,0.184495857,0.162666973,0.005079393,0.169528054,0.514022429,942.6813649,33.82710435,1008.296527,3043.271666,1.669160921,0.055928328,1.761840375,5.332352857,12.49104873,0.405411164,13.10354627,39.67683476,13.06443429
Lentils,0,0.001402884,0.022204165,0.273622705,2.725279111,0.014338902,0.222333304,2.924781573,2.814913364,0.015672009,0.234877464,2.979917962,97.23402436,0.761143294,20.43079649,110.7356364,45.88051637,0.228734634,3.750711476,49.83735714,1.981519178,0.016638947,0.464271935,2.491933718,7.95432739
Lettuce,1,0.031786527,0.55776801,,0.895973874,0.044099363,0.762976558,,0.612630678,0.029045153,0.563460237,,2034.975655,83.27688975,2378.900744,,11.93137008,0.583354848,10.30876001,,27.36894212,1.129243576,31.65537246,,19.06149977
Limes,0,0.002005522,0.059725464,0.167279167,0.055541375,0.00226424,0.068507821,0.181448333,0.165587325,0.006703378,0.200237393,0.556038333,1070.987719,43.09091917,1271.458801,3680.879068,1.805832725,0.072901131,2.163266321,6.127746667,13.17508105,0.532509643,15.85777179,44.5130025,13.79629631
Macaroni cheese,0,0.001635415,0.054970894,0.085204885,0.53996961,0.002591032,0.087091873,0.134992403,1.3744397,0.006595219,0.221683823,0.343609925,1362.41145,6.537501666,219.7437823,340.6028625,20.88304605,0.100206842,3.368233234,5.220761512,42.80913465,0.2054187,6.904699137,10.70228366,22.2222222
Mackerel,1,0.002722739,0.0726198,0.05674694,0.580048479,0.001170512,0.031896821,0.024430671,6.335068795,0.012821645,0.3393517,0.266583745,3939.706635,7.999912592,211.5771011,165.9304315,13.58242917,0.027586371,0.772155906,0.567145499,389.3195041,0.781949398,20.87938517,16.43221266,48.58048712
Marmalade,0,0.000335696,,,0.188486967,0.000395189,,,1.43241084,0.003130097,,,1450.289398,3.056991422,,,5.697585722,0.01235768,,,99.06647182,0.211440278,,,46.09738064
Meat pizza,0,0.000610271,0.029768435,0.033745129,0.502258478,0.000876766,0.043454552,0.049154227,1.900189859,0.003217558,0.162296291,0.184590542,1446.42115,2.448160507,126.3964149,142.9353352,14.28771792,0.026970741,1.251673379,1.395727004,47.36285936,0.08129546,4.150561809,4.673555627,36.90675599
Meat-free burger,0,0.000305537,0.015186165,0.019131119,0.409674934,0.001195875,0.052272862,0.058964317,0.954965264,0.002772061,0.143691211,0.169417319,930.770612,2.434310199,133.2878811,205.9459191,6.007214692,0.017218317,0.86615796,1.013262075,20.46713608,0.058756495,3.383607473,4.857458568,23.83328956
Meat-free mince,0,0.000312552,0.004570795,0.101117994,0.476851934,0.00173907,0.027233739,0.79844095,0.75316314,0.002819752,0.045204526,1.154633687,767.8750389,3.727501148,59.99853392,288.5204735,4.623804109,0.017972724,0.29055313,6.59998683,11.97725885,0.050985199,0.921621296,4.413924478,11.38211382
Meat-free nuggets,0,0.000115732,0.008066641,0.019130644,0.24382649,0.000266898,0.019831677,0.038706867,0.485099512,0.000551779,0.040393153,0.082511673,1631.782078,2.345843713,157.7830405,425.5093181,3.221260637,0.00383767,0.276037061,0.596199985,23.97088791,0.033225791,2.263121376,5.827784782,17.95946889
Meat-free sausages,0,0.000277889,0.009594447,0.013528428,0.404979534,0.001276792,0.034906043,0.060477402,0.868351889,0.002438333,0.079367056,0.123016756,866.5918285,2.023168644,88.66827191,111.8455049,5.617327889,0.015587174,0.534483286,0.779972463,15.8592167,0.038291234,1.665245353,1.980295874,25.52650689
Melon,0,0.002979576,0.22535636,,0.095399169,0.002404935,0.176955327,,0.775215732,0.019859633,1.350217765,,910.6459662,23.15956894,1622.311538,,2.676011674,0.067838324,4.869045678,,42.7475307,1.095554276,74.27109149,,26.1144378
Milk chocolate,1,0.001150775,0.160514772,0.035693774,1.606674899,0.00185386,0.25282067,0.055781228,2.560354354,0.00286526,0.411171534,0.096154879,862.2285189,0.965599246,138.2412316,34.95249421,212.4119083,0.236277013,33.03849271,7.180784656,58.08527355,0.063366313,9.846465452,2.590361187,68.35848195
Mixed salad,0,0.003523786,0.056661883,0.551214,0.093872429,0.003593532,0.054361733,0.477037,0.187859571,0.007188239,0.10693815,0.909392,1976.166357,75.53569045,1078.791551,8438.58022,1.643847143,0.062876086,0.921989117,7.621121,28.279071,1.082835282,16.5398436,147.700903,13.22751323
Mozzarella cheese,2,0.004540634,0.084124581,0.087788361,1.805092785,0.005363317,0.098895286,0.103343652,5.240074303,0.015548213,0.287435399,0.300010599,2983.777952,8.837279456,163.3549782,170.168786,97.65103571,0.291772751,5.335951859,5.592704847,142.5819183,0.422418097,7.795501833,8.131131758,48.60237596
Muesli,0,0.007914066,0.02343477,0.033247559,0.38517387,0.011150429,0.037295002,0.051486829,1.048970772,0.035179709,0.10241467,0.134010719,1310.227994,44.6889227,128.5002348,172.3431364,8.085307264,0.215765162,0.790876078,1.068494725,33.61487035,1.398567282,3.374633001,4.340937822,27.77651026
Muffins,0,0.000313543,0.04877371,0.02369592,0.317087439,0.000474799,0.06337964,0.044418383,0.886676023,0.001277191,0.18303618,0.121626834,758.479194,0.996430325,157.2214647,152.5637658,25.20276703,0.036938095,5.356402033,1.600663444,39.01457086,0.049181785,8.437507661,6.044268618,38.28881146
Mushrooms,0,,0.078550668,0.265874423,0.294304513,,0.206634264,0.621640191,0.839603905,,0.512147327,1.615803756,8758.357949,,6180.050624,18480.97114,7.200243922,,5.127083439,15.25169407,143.4686282,,102.3264921,301.4409395,13.43124734
Naan,0,0.000221593,0.012406875,0.015530713,0.222696365,0.00049612,0.027627009,0.034321182,0.524201104,0.001167303,0.065126301,0.081389561,830.3450607,1.854447815,103.1537419,128.5992449,3.96899507,0.008808898,0.492278088,0.611137499,27.2293303,0.060814532,3.38331094,4.263287521,23.85095939
Nut loaf,0,0.000191521,0.011739852,0.004680594,0.200403004,0.000535954,0.032852952,0.013098236,0.572498737,0.001531081,0.093852252,0.037418218,4844.168059,12.95516174,794.1259112,316.6122914,5.133877727,0.013729956,0.8416193,0.335547564,88.51011361,0.236709962,14.50985469,5.784974746,41.53439151
Onions,0,0.000526566,0.037555596,0.126965645,0.043142306,0.000553066,0.036848906,0.130196429,0.172914436,0.002269284,0.189282457,0.56681198,52.34137469,0.403595236,36.58191938,92.60036127,0.292613637,0.002468058,0.244587902,0.585347413,5.424180043,0.075482991,4.058701607,17.16013303,17.65843621
Orange juice,0,0.000695038,,,0.071688167,0.001059697,,,0.216667658,0.002947963,,,704.9856169,10.50940463,,,1.867654775,0.024992958,,,14.37673439,0.204228597,,,33.5598474
Oranges,0,0.000808499,0.052904775,0.315806426,0.067750507,0.001028654,0.068169618,0.463086429,0.160638887,0.002446617,0.161858763,1.091913112,747.852774,11.04075806,733.5002444,5170.359094,1.534160569,0.023212621,1.538993233,10.38070484,11.37157133,0.17013335,11.28516765,78.25115947,15.56152926
Pain Au Chocolat,0,0.000413991,0.038720749,0.01389225,0.465716073,0.000705721,0.063699827,0.022355055,0.906002507,0.00127988,0.124246486,0.044385025,752.9240976,1.067258108,103.3757716,37.74135026,35.88025254,0.048986812,4.793249072,1.650648489,30.66157878,0.042401522,4.167186951,1.514786987,57.76706459
Pancakes,0,0.007533613,0.025587114,0.020787391,0.231968039,0.01074647,0.040004204,0.03256525,0.711329875,0.03126839,0.123205163,0.102986684,817.2622402,41.15052317,140.689279,115.1329257,6.157293184,0.28797551,1.05871743,0.840141992,32.69824043,1.34169072,5.640500869,4.77389062,42.10889994
Parmesan cheese,3,0.004677234,0.0811767,0.088681378,2.969619306,0.005519972,0.095725776,0.104577114,8.430322538,0.015660872,0.271861132,0.297026058,4932.197382,9.153633081,158.7755786,173.4739722,164.3055984,0.305608101,5.295101345,5.784186366,239.2305667,0.444388003,7.704319686,8.417474456,57.78619529
Parsnips,0,0.000751109,0.064005218,0.091751332,0.189541204,0.001282687,0.107980785,0.160832495,0.676773215,0.004308831,0.387003618,0.53947509,252.176423,4.561658023,78.60263619,550.7543143,0.690854908,0.006400558,0.489036594,0.629022423,2.870007591,0.051525175,0.91969614,6.202671774,10.13468014
Pasta shells,0,0.000240194,0.011569742,0.107999137,0.348779154,0.000826765,0.039663791,0.370167492,0.601717914,0.001406083,0.067883817,0.634267401,1286.024379,3.01804784,146.6714582,1357.434567,3.703108664,0.008873116,0.423811529,3.950505921,33.27871236,0.077051272,3.749352717,34.91513158,17.32804234
Peanut butter,0,0.000345589,0.012871129,0.006905952,0.876276905,0.000905038,0.033552134,0.017647408,1.463897284,0.001515427,0.056848391,0.030259279,9924.195392,10.75667033,397.2553315,198.8163109,10.55495487,0.011322547,0.424569059,0.215834967,265.5857807,0.280740816,10.40881489,5.361018938,35.03998315
Peanuts,0,0.000289798,0.012943343,0.007084487,0.818705564,0.000727101,0.03302569,0.018100163,1.678620148,0.001419826,0.070844591,0.038505362,7365.281635,6.836469011,293.1354539,161.2237134,10.75218125,0.008902559,0.44233043,0.24153478,215.8844964,0.203329997,8.864178863,4.860377608,43.08641976
Pears,0,0.001154057,0.269458289,,0.101281872,0.001265619,0.295238249,,1.379966617,0.01726357,4.04007886,,1414.991482,17.68811596,4137.956824,,3.428251143,0.042872399,10.02313855,,78.11257468,0.97737814,228.6770674,,24.24391849
Pecan nuts,0,0.000278816,0.033553242,0.006793567,1.117405335,0.001113115,0.117846055,0.01758792,1.928821123,0.0020922,0.239802611,0.042602066,13289.51776,14.46297187,1571.719,212.7493407,24.4397563,0.025097599,2.708775344,0.415194462,302.3486787,0.32260518,35.10518284,5.049489901,28.67383511
Penne pasta,0,0.000306235,0.017104546,,0.400996943,0.000805841,0.041548804,,0.96274026,0.002107059,0.115129622,,1423.752049,3.266972077,183.2697643,,4.627903474,0.008802092,0.469882485,,46.48852391,0.108287888,6.33573447,,18.22916667
Peppers,0,0.002181782,0.093082264,0.356988611,0.124133828,0.002948852,0.12579125,0.482248333,0.267436586,0.006357041,0.271173806,1.040206111,3199.003997,75.96575006,3243.830484,12435.40229,2.410504586,0.0572224,2.441002639,9.352028333,36.1324404,0.858244868,36.64073946,140.4893814,12.32439336
Pineapple,0,0.001226316,0.206558789,0.346003794,0.10097709,0.001332768,0.224516954,0.376182985,1.396352516,0.018451882,3.10598499,5.206623284,1421.402955,18.78256782,3160.879337,5301.448716,3.450209642,0.045571648,7.673586975,12.86131773,78.934817,1.042159482,175.5252644,294.125472,28.40136052
Pitta bread,0,0.000166837,0.007263919,0.055701098,0.173397119,0.00051016,0.021786592,0.176373348,0.387904445,0.001166617,0.049617966,0.413443008,520.4517941,1.523137939,70.04115143,449.9480697,1.920110901,0.005578943,0.248977794,1.691933463,14.36242158,0.042954775,1.983842305,12.34005941,20.71050643
Popcorn,0,0.000217365,0.031150571,0.01725845,0.33791904,0.000369091,0.051162475,0.027363865,0.963843008,0.00094692,0.152967304,0.064681768,841.8013242,0.964660038,135.6148211,59.33638063,14.71855927,0.017333787,2.312920603,1.966637554,31.53146035,0.033196209,5.751664607,2.139701785,45.31960159
Poppadoms,0,6.97E-05,0.022384638,0.005731464,0.485068496,0.000230003,0.073905205,0.018923128,2.193111422,0.001026905,0.330036126,0.084504779,747.5362612,0.355671437,114.1713844,29.23250922,13.2598763,0.006352453,2.041505257,0.522720854,28.24016162,0.01310995,4.211655479,1.078372657,56.4814815
Pork chops,1,0.004702891,0.054108255,0.073735144,1.593640238,0.006265015,0.072695238,0.097566964,7.537288487,0.029647929,0.339502205,0.466567554,5860.235841,23.04021157,266.7833224,359.4147084,29.70937474,0.116853777,1.340262759,1.836603688,163.92562,0.644539209,7.450786766,10.06773716,35.09700176
Pork sausages,1,0.002579736,0.077563066,0.111912854,2.284501317,0.005923913,0.144496354,0.185229078,6.608821755,0.011135755,0.411672239,0.646009073,4728.095924,7.122146577,292.7204828,475.398161,30.19857869,0.063247589,1.9016757,2.782883677,132.2786326,0.200298634,8.179637459,13.18308003,50.94573183
Pork steaks,1,0.004362523,0.049875839,0.159820345,1.596133439,0.005942118,0.067333086,0.21571067,7.502660309,0.027445857,0.315149006,1.009391037,5737.651359,21.44697014,242.4023195,773.1063569,29.61419296,0.109272239,1.247148729,3.995653253,159.7650715,0.595022027,6.735728266,21.52519358,45.60677699
Porridge (oatmeal),0,0.000155423,0.013267192,0.023152231,0.495750299,0.00049047,0.043643429,0.07361992,1.042317683,0.001040863,0.093695852,0.157923692,873.2899436,0.858389949,80.12070039,128.6440472,8.994340639,0.009153001,0.80462588,1.374325672,23.64676666,0.024040888,2.26320709,3.680252907,23.60305418
Potato croquettes,0,0.000171702,0.023351577,0.008197347,0.137130912,0.000281099,0.041639601,0.014541014,0.467319423,0.000982151,0.144465414,0.050884307,249.0121458,0.614181905,72.64551965,25.56858952,1.819451563,0.004278031,0.548301619,0.192170983,6.867787636,0.018482495,2.015766501,0.712863428,28.34138488
Potatoes,0,0.000156306,0.013651773,,0.083385647,0.000576257,0.046653147,,0.173047319,0.001093084,0.092736358,,668.3137876,4.918866329,382.4588934,,0.583641745,0.003579514,0.33998931,,7.47213883,0.054090007,4.28750316,,23.42196898
Prawn crackers,1,0.000619487,0.291004218,0.018535025,0.553164232,0.000668189,0.31361415,0.01999904,5.605651973,0.006770844,3.180919518,0.202574281,2674.037488,3.228960399,1515.87674,96.54454308,17.17302502,0.020739804,9.737688002,0.620499132,84.29967028,0.101816046,47.86582006,3.045978869,55.5555556
Prawns,2,0.016444428,0.127422594,4.122719762,0.100494733,0.000659327,0.006521953,0.156364235,15.85411709,0.123201093,0.953636371,29.97664162,11446.47356,89.17356477,688.7689418,21164.84587,2.185314364,0.013541812,0.144227775,3.011778715,326.7920707,2.545431693,19.66799306,604.5047179,29.23441733
Protein bar,0,0.000744796,0.03369546,0.082749476,1.270582991,0.001705946,0.061609962,0.065846518,1.45370765,0.002323217,0.138156984,0.10903434,4526.744531,4.627362285,624.8039185,289.4733045,66.55607473,0.094452533,4.579566057,2.857528736,111.6960549,0.149978556,14.78040778,6.535657031,31.37483033
Protein shake,0,0.001437021,0.055694955,0.159312186,0.143600466,0.001340461,0.050963506,0.14292424,0.665013651,0.005816513,0.183904001,0.416726235,677.6491938,5.921901241,186.1332716,418.6889891,5.645413394,0.053232176,2.04627295,5.8196676,32.23863541,0.277567393,8.360260526,17.59086822,47.56335283
Pumpkin seeds,0,0.000161884,0.004542104,0.002789798,0.332794336,0.000421545,0.01175247,0.007325748,0.569467852,0.000719673,0.020137229,0.012550831,741.3279489,0.935763165,26.25207461,16.33910338,10.01293509,0.012642766,0.353201607,0.220055093,21.31487835,0.026966554,0.756701403,0.471632851,39.8302469
Quiche,0,0.000981668,0.050135932,0.030025779,0.575428494,0.001154539,0.060988844,0.036415001,1.844833264,0.003919611,0.192510316,0.113685403,1249.796092,2.798328973,132.8647238,78.99928561,26.17049706,0.048791989,2.792015014,1.684841364,46.70098549,0.098276273,4.922333579,2.946351262,45.89947089
Quinoa,0,0.000330039,0.014622738,0.033550751,0.315986654,0.000914315,0.040618252,0.09546511,0.557733569,0.001625637,0.073265622,0.16618936,750.5316484,2.282252362,101.4660347,228.7556861,9.223071774,0.026123237,1.159948844,2.692378236,21.30066307,0.064957867,2.886046588,6.402641819,18.26169236
Raspberries,1,0.013189315,0.632076896,1.893375198,0.154496726,0.002434444,0.116661641,0.349464702,0.496304288,0.007821709,0.374774073,1.122719298,310.6766252,4.907674534,234.6963848,703.6784251,2.615250199,0.041299649,1.975548631,5.922527845,4.589702768,0.072460659,3.466881173,10.39241884,11.54236427
Raspberry jam,0,0.001842983,0.858401178,,0.197223453,0.000593426,0.352804901,,1.449023222,0.003891619,2.632417488,,1120.468287,3.046785002,2032.542534,,5.572330441,0.015420891,10.0892381,,81.08832832,0.199457464,149.0073373,,40.14931159
Rice,0,0.001472348,0.104705387,0.467338955,0.291664383,0.00115809,0.079291466,0.317562583,2.651289309,0.009976606,0.708267201,3.103467953,4373.10518,16.3364014,1165.017341,5258.189328,4.27531804,0.017253086,1.18282335,4.328772466,213.0923186,0.786512763,56.43067618,257.823046,25.33917762
Rice noodles,0,0.000730761,0.098386189,,0.236300654,0.000515979,0.064352359,,2.222045256,0.004848844,0.657501756,,3800.094786,8.23383289,1089.031179,,2.992336,0.006506951,0.822097789,,185.6108602,0.401406472,53.84598148,,26.12672916
Ricotta cheese,1,0.005387428,0.140363112,0.106284893,1.676318335,0.006247141,0.161908612,0.122799519,4.941844312,0.018475288,0.478730596,0.363455527,2942.271042,10.56404025,274.0758627,209.1470357,89.08208912,0.331437113,8.545060695,6.490300134,136.7146679,0.500922229,12.94957495,9.892461802,50.88787418
Salmon,1,0.003176669,0.04565665,0.096998338,0.456433085,0.001474897,0.021268014,0.044648131,5.650118537,0.018499042,0.259880203,0.559766047,939.1179531,2.435814358,45.30525437,83.22646909,9.998369012,0.03224126,0.472178633,0.972639187,96.68374205,0.253238367,4.59845326,8.697989183,33.78549623
Salmon fishcakes,1,0.001706343,0.048752279,0.059156584,0.301529258,0.000950507,0.027582329,0.033748586,2.898850436,0.009401736,0.266824381,0.3276227,971.4550572,3.165075728,89.56034738,103.1966493,7.038412403,0.021791794,0.641363838,0.782566327,71.71106206,0.242193651,6.66635145,7.519048776,24.0740741
Sausage rolls,1,0.001294787,0.055985326,0.02217681,0.79317595,0.001729516,0.075627652,0.029728548,3.382449914,0.007388303,0.323189084,0.127210036,2754.647869,6.038556848,266.9409966,104.3076337,18.39689619,0.039641285,1.68600234,0.673326801,78.62755018,0.17174406,7.543742709,2.957031156,55.81196583
Shepherd's pie,1,0.003420061,0.099193908,0.157900506,1.104638827,0.004882863,0.141620362,0.225436495,0.8490628,0.003753134,0.108854205,0.173278122,267.2638691,1.181393164,34.26459861,54.54364676,14.6229889,0.064638363,1.874742167,2.984283449,7.428052877,0.032834408,0.952314471,1.515929159,49.73544973
Shortbread biscuits,0,0.000262302,0.040579411,0.007640653,0.313067445,0.000372075,0.058164281,0.010969931,1.090947365,0.001268906,0.198838599,0.03736574,988.3176585,1.080286719,189.9881093,36.06047078,12.53929081,0.016389919,2.342660303,0.442051684,50.91056941,0.056866458,9.562158679,1.807289046,62.48812918
Sourdough bread,0,0.00021319,0.010626489,0.052791705,0.230178805,0.00061364,0.029552851,0.155248849,0.51579159,0.001325414,0.067109518,0.31970162,818.5403605,2.178226595,107.629213,564.4421738,3.488547178,0.00926632,0.450586658,2.001363392,22.93109492,0.060008531,3.067091174,15.28926835,23.27888296
Soy desert,0,0.000971302,0.036371415,0.055711084,0.195290635,0.00175628,0.06562065,0.10163689,0.615295833,0.005337105,0.199577769,0.315947231,269.8146941,2.274280449,85.17486609,137.0420414,15.03456503,0.143821662,5.388313332,7.987138613,29.22113963,0.246243081,9.223399137,14.83757147,30.62102506
Soy milk,0,0.001062589,0.032718907,0.051535202,0.075600716,0.00088489,0.029597352,0.038993097,0.214035311,0.002138111,0.092645751,0.118136683,51.55748237,0.828743225,24.80887174,33.24561869,2.177098935,0.020472772,1.163819,1.789031686,3.668633806,0.041708719,1.54831123,2.261947774,34.98610172
Soy yoghurt,0,0.000503992,0.012377327,0.022019463,0.10742652,0.001126391,0.028135914,0.050053384,0.378935776,0.004113182,0.095867974,0.169996755,290.3441263,2.537082174,65.43019692,116.4485458,1.923071599,0.019319325,0.502021727,0.895018291,20.23996629,0.216975303,5.05408896,8.975849962,30.19460137
Spaghetti,0,0.000418482,0.01730434,,0.395157791,0.001093366,0.039415315,,1.034880002,0.002740283,0.111642028,,1246.713757,3.437161272,156.2804291,,4.257042359,0.011674595,0.416809323,,39.03018816,0.101858732,5.07593289,,17.95675249
Spaghetti bolognese,1,0.004186025,0.094306859,0.214194956,1.641597209,0.008007641,0.180171345,0.408102993,10.65579021,0.051949039,1.167349167,2.636958642,2193.990322,10.71840135,241.9892557,552.0801546,33.19831209,0.162030199,3.650266791,8.290173567,90.46084364,0.441695958,9.960131442,22.66586643,40.3292181
Spinach,0,0.002130235,0.037686719,0.129660172,0.095179792,0.001798414,0.034096267,0.109495132,0.255182584,0.003667184,0.091402862,0.225085305,1121.436102,24.84508343,430.6563563,1513.074489,1.643957686,0.026078409,0.535937738,1.547195385,26.90285157,0.536349792,10.36942429,32.59643838,15.04838172
Sponge cake,0,0.00029934,0.049779985,0.010903154,0.241222716,0.000389899,0.066256731,0.014509858,0.900066245,0.001431443,0.249472385,0.055814331,884.6066076,1.367232122,245.5471913,54.59849173,10.23506655,0.01836009,2.77075953,0.579403416,48.73999435,0.075796454,13.62870324,3.085173607,60.86706862
Steak pie,1,0.308312231,0.060412038,0.047466402,1.410315367,0.613118666,0.12011039,0.09440197,9.104132639,3.964217134,0.778479046,0.609395452,1774.336035,771.3814989,149.7512594,119.4511061,28.1133379,12.18888396,2.392256937,1.874673026,72.77406384,31.64069202,6.174802167,4.883521972,46.29629628
Strawberry jam,0,0.001000787,,,0.291416722,0.000854009,,,1.365741551,0.00352664,,,1560.280643,4.162119438,,,8.003006689,0.022160107,,,95.73073198,0.236205852,,,42.11970898
Sunflower seeds,0,0.00023089,0.009022322,0.003877482,1.094829644,0.001314002,0.051314079,0.022061646,4.908329166,0.005890204,0.230345565,0.09897037,84.64399863,0.102186517,3.925184823,1.710657337,36.41625903,0.043605131,1.700352428,0.731578881,1.500198352,0.001794183,0.069133242,0.030065942,38.8888889
Sweetcorn,0,0.000946812,0.029404646,0.069986932,0.20853289,0.002036727,0.063158362,0.150838029,0.408755062,0.003982253,0.123921404,0.294921615,791.7311799,7.705510558,240.1621809,572.6889839,1.15056351,0.011219343,0.344608714,0.805162271,15.5778345,0.152287571,4.724161751,11.25119323,18.70187021
Tofu,0,0.000255201,0.004580766,0.007182812,0.256992238,0.001064693,0.019567826,0.035135707,0.485831738,0.001851044,0.034425474,0.059282865,162.0441325,0.213273338,6.523872835,16.13406589,2.957427555,0.010927669,0.205375316,0.354298706,4.927916025,0.00591537,0.192649122,0.487970526,25.87782587
