Entity,Year,Excess mortality from air pollution (all sources),Excess mortality from fossil fuels,Excess mortality from all anthropogenic pollution,Total Years Life Lost from air pollution (all sources),Total Years Life Lost from fossil fuels,Total Years Life Lost from all anthropogenic pollution,"Death rates from all air pollution (per 100,000)","Death rates from air pollution from fossil fuels (per 100,000)","Death rates from all anthropogenic air pollution (per 100,000)","YLL rates from all air pollution (per 100,000)","YLL rates from air pollution from fossil fuels (per 100,000)","YLL rates from anthropogenic air pollution (per 100,000)",Deaths from fossil pollution as a share of total air pollution deaths,Deaths from fossil pollution as a share of total anthropogenic air pollution deaths,Deaths from anthropogenic pollution as a share of total air pollution deaths
Timor,2015,505,11,148,20052,437,5990,42.61603376,0.928270042,12.48945148,1692.151899,36.87763713,505.4852321,2.178217822,7.432432432,29.30693069
Togo,2015,6366,171,1718,277517,6458,67830,87.14579055,2.340862423,23.51813826,3799.000684,88.40520192,928.5420945,2.686145146,9.953434226,26.98711907
Tonga,2015,35,1,1,914,33,36,33.01886792,0.943396226,0.943396226,862.2641509,31.13207547,33.96226415,2.857142857,100,2.857142857
Trinidad and Tobago,2015,1249,51,131,31846,1336,3379,91.83823529,3.75,9.632352941,2341.617647,98.23529412,248.4558824,4.083266613,38.93129771,10.48839071
Tunisia,2015,14759,1509,1896,330730,33219,41778,131.144482,13.40856584,16.84734317,2938.777324,295.1750489,371.2280078,10.22426994,79.58860759,12.84639881
Turkey,2015,62681,26231,32633,1525089,635461,790355,79.67990748,33.34477199,41.48297603,1938.688764,807.7962012,1004.69701,41.84840701,80.38182208,52.06202837
Turkmenistan,2015,8814,457,662,291577,14351,20818,164.0119092,8.503907704,12.3185709,5425.697804,267.0450316,387.3836993,5.184933061,69.03323263,7.510778307
Uganda,2015,19024,724,6714,893054,31368,307273,48.7394983,1.854888392,17.20127163,2288.004831,80.36483298,787.2335923,3.805719092,10.78343759,35.29226241
Ukraine,2015,76502,50691,65400,1647637,1090921,1408120,170.6719729,113.0889778,145.9039898,3675.792232,2433.787866,3141.442295,66.26101278,77.50917431,85.4879611
United Arab Emirates,2015,3633,423,517,133058,15267,18686,39.67456157,4.619416335,5.645953298,1453.073992,166.7248917,204.0624436,11.64327002,81.81818182,14.23066336
United Kingdom,2015,63665,27905,40091,1088508,475884,684429,98.37599033,43.11917082,61.94913733,1681.976792,735.3421783,1057.588639,43.83099034,69.60415056,62.97180554
United States,2015,283228,193617,230348,5683701,3881726,4617018,88.02077411,60.17172815,71.5868815,1766.364066,1206.351517,1434.863426,68.36082591,84.0541268,81.32952957
Uruguay,2015,2247,331,1140,42839,6227,21680,65.47202797,9.644522145,33.21678322,1248.222611,181.4393939,631.7016317,14.73075211,29.03508772,50.73431242
Uzbekistan,2015,26115,3478,5108,820823,106631,157544,87.36158382,11.63483012,17.08761134,2745.870087,356.7089046,527.0263589,13.31801647,68.08927173,19.55964005
Vanuatu,2015,65,3,4,2482,141,164,24.52830189,1.132075472,1.509433962,936.6037736,53.20754717,61.88679245,4.615384615,75,6.153846154
Venezuela,2015,13437,1804,3710,352620,46282,96485,43.19467522,5.799151157,11.92619224,1133.534746,148.7784445,310.1613633,13.42561584,48.62533693,27.61032969
Vietnam,2015,87519,34890,61201,2194664,854156,1522630,93.65529593,37.33627298,65.49203905,2348.54039,914.0441841,1629.387484,39.86562918,57.0088724,69.92881546
West Asia,2015,543862,183533,241292,14577078,4426014,5863391,94.58979034,31.92050187,41.96608642,2535.280552,769.7830264,1019.7751,33.74624445,76.06261293,44.36640177
World,2015,8793196,3608196,5554240,232959050,83747555,135058325,120.2466697,49.34196311,75.9540516,3185.707442,1145.245095,1846.918208,41.03395398,64.96291122,63.16520182
Yemen,2015,25210,1838,3032,944235,62192,103518,93.95497913,6.850029815,11.29994037,3519.063059,231.7829457,385.8005367,7.290757636,60.62005277,12.02697342
Zambia,2015,4645,348,3213,218426,16966,152504,28.65161432,2.146557973,19.81865163,1347.310551,104.6508694,940.6858536,7.491926803,10.83099907,69.17115178
Zimbabwe,2015,5379,407,3180,249080,19592,148573,34.47413738,2.608472562,20.38069471,1596.359572,125.5655883,952.2078477,7.566462168,12.79874214,59.11879532
