Entity,Year,Suicide rate (WHO (2005)),Male-Female Ratio of Suicide Rate (WHO (2005))
Denmark,1971,22.50454,1.8059561
Denmark,1972,21.70824,1.798363767
Denmark,1973,21.58741,1.686254213
Denmark,1974,23.28661,1.981121107
Denmark,1975,21.77992,1.696018872
Denmark,1976,21.44132,1.860040685
Denmark,1977,21.75448,1.863937053
Denmark,1978,20.7717,1.565936543
Denmark,1979,23.39481,1.711374925
Denmark,1980,28.32473,1.908481169
Denmark,1981,26.38023,1.919122872
Denmark,1982,25.89203,1.864884785
Denmark,1983,24.59875,1.938137458
Denmark,1984,24.79798,1.870492977
Denmark,1985,23.78938,1.773993871
Denmark,1986,23.63775,1.872565245
Denmark,1987,23.63203,1.912903232
Denmark,1988,21.78305,1.91753444
Denmark,1989,22.05911,1.817539156
Denmark,1990,19.63705,2.172197293
Denmark,1991,18.29291,2.216575901
Denmark,1992,17.71487,2.095664801
Denmark,1993,17.76922,2.103113105
Denmark,1994,15.14995,2.469241066
Denmark,1995,14.16143,2.469259247
Denmark,1996,13.63372,2.705085622
Denmark,1997,12.45314,2.405481154
Denmark,1998,11.69358,2.864875836
Denmark,1999,11.88227,3.140802935
Denmark,2000,10.9605,3.130395227
Denmark,2001,10.74545,2.753748546
Denmark,2002,10.18429,3.237481952
Denmark,2003,9.329547,3.410896413
Denmark,2004,10.06166,2.584449344
Denmark,2005,8.973104,
Djibouti,2002,5.495998,
Djibouti,2004,4.993475914,1.37872363
Djibouti,2005,4.993475914,
Dominica,2004,5.835250854,5.676514798
Dominica,2005,5.835250854,
Dominican Republic,2002,3.62026,
Dominican Republic,2004,6.519536972,4.303151319
Dominican Republic,2005,6.519536972,
East Germany,1973,28.4586,2.088139814
East Germany,1974,29.79765,2.108614748
East Germany,1989,20.54407,2.906831124
East Germany,1990,19.00906,3.041164121
Ecuador,2002,6.129993,
Ecuador,2004,8.504684448,2.643761066
Ecuador,2005,8.504684448,
Egypt,1973,0.108874,1.124020595
Egypt,1974,0.0632462,2.973236583
Egypt,1975,0.1390825,2.377807076
Egypt,1976,0.1197322,1.562844271
Egypt,1977,0.385539,1.866063004
Egypt,1978,0.2234905,2.781232902
Egypt,1979,0.2004124,1.991540502
Egypt,1980,0.042237,2.480530298
Egypt,1987,0.0674664,1.6632422
Egypt,2000,0.0779294,2.959798365
Egypt,2002,1.748405,
Egypt,2004,1.799903631,1.256994462
Egypt,2005,1.799903631,
El Salvador,2002,9.342705,
El Salvador,2004,8.42265892,3.18823108
El Salvador,2005,7.304886,
Equatorial Guinea,2002,7.288387,
Equatorial Guinea,2004,10.12934971,1.887995474
Equatorial Guinea,2005,10.12934971,
Eritrea,2002,9.22487,
Eritrea,2004,8.913362503,1.84275296
Eritrea,2005,8.913362503,
Estonia,1981,33.84017,3.883253481
Estonia,1982,29.50624,4.289659343
Estonia,1985,28.57263,5.087591063
Estonia,1986,25.37659,3.86840595
Estonia,1987,23.23424,4.726913767
Estonia,1988,22.57013,3.443978194
Estonia,1989,24.16904,3.118256643
Estonia,1990,25.01882,3.64464914
Estonia,1991,24.70376,4.208823368
Estonia,1992,29.52575,4.13370457
Estonia,1993,35.22297,4.94926664
Estonia,1994,37.74011,5.504357922
Estonia,1995,36.72067,5.04218663
Estonia,1996,34.65499,5.628900636
Estonia,1997,33.12824,6.603741922
Estonia,1998,30.47727,6.612321468
Estonia,1999,29.56978,5.881282076
Estonia,2000,23.79946,4.542703151
Estonia,2001,25.6385,5.433802767
Estonia,2002,23.85851,5.829289222
Estonia,2003,21.5513,5.800660411
Estonia,2004,20.65888,5.965503758
Estonia,2005,16.95924,
Ethiopia,2002,5.404214,
Ethiopia,2004,10.07194233,2.341155206
Ethiopia,2005,10.07194233,
Fiji,2002,4.056887,
Fiji,2004,3.94025898,1.378319052
Fiji,2005,3.94025898,
Finland,1952,18.39353,5.194290964
Finland,1953,18.1846,4.28264409
Finland,1954,19.80814,4.451868064
Finland,1955,20.87117,4.227684242
Finland,1956,23.29878,4.447240686
Finland,1957,22.88635,3.863287443
Finland,1958,22.13796,3.77422257
Finland,1959,20.87642,3.901616823
Finland,1960,21.18496,3.991872001
Finland,1961,21.32791,4.10978145
Finland,1962,22.7411,3.827997914
Finland,1963,19.64403,4.338700841
Finland,1964,20.31372,3.566778546
Finland,1965,20.22134,4.31615164
Finland,1966,19.54756,3.590985581
Finland,1967,20.14198,4.201124158
Finland,1968,22.06191,3.885617774
Finland,1969,23.43647,3.984199818
Finland,1970,20.95512,3.978721146
Finland,1971,21.10748,3.988947481
Finland,1972,22.98928,4.192136341
Finland,1973,22.40284,3.889718281
Finland,1974,23.92126,4.030468859
Finland,1975,23.64577,4.168701438
Finland,1976,24.25636,4.278187951
Finland,1977,24.15192,4.117938312
Finland,1978,23.77191,4.555303409
Finland,1979,23.01392,4.239710072
Finland,1980,23.5005,4.155939036
Finland,1981,21.88365,4.236166873
Finland,1982,22.04408,3.824132187
Finland,1983,22.45375,4.132869375
Finland,1984,23.01888,4.431201992
Finland,1985,22.46862,4.238676372
Finland,1986,24.28866,3.907819231
Finland,1987,24.81553,3.907458413
Finland,1988,25.54692,4.186870272
Finland,1989,25.66706,4.279944552
Finland,1990,27.48005,4.146107688
Finland,1991,26.76481,4.366723235
Finland,1992,26.03521,4.204299513
Finland,1993,24.6614,4.09480587
Finland,1994,24.85681,3.840046867
Finland,1995,24.45861,3.715897294
Finland,1996,21.88372,3.67799417
Finland,1997,23.20387,3.953356022
Finland,1998,21.08205,3.874119164
Finland,1999,21.03948,4.051532933
Finland,2000,20.23022,3.187509544
Finland,2001,20.55945,3.767049917
Finland,2002,18.5012,3.319657557
Finland,2003,18.17117,3.373132233
Finland,2004,18.126,3.326324471
Finland,2005,16.23437,
France,1950,13.15992,3.767549369
France,1952,13.29235,3.796827599
France,1953,13.18141,3.775378114
France,1954,13.92929,3.821174502
France,1955,13.75461,3.62577686
France,1956,14.98917,3.376337416
France,1957,14.17177,3.243691379
France,1958,14.28547,3.246769921
France,1959,14.60973,3.174438016
France,1960,13.82906,3.328075392
France,1961,13.91007,3.544234371
France,1962,13.27934,3.501405271
France,1963,13.75892,3.472698039
France,1964,13.30793,3.260170015
France,1965,13.53311,3.46448793
France,1966,14.06569,3.244565112
France,1967,14.02401,3.285635988
France,1968,13.76804,2.965082252
France,1969,13.91817,3.041928132
France,1970,13.73334,3.001198943
France,1971,13.65924,2.869899052
France,1972,14.3131,2.819305628
France,1973,13.69903,2.897987701
France,1974,13.84374,2.854454023
France,1975,13.91132,2.808969495
France,1976,13.94507,2.795823666
France,1977,14.55289,2.568771951
France,1978,15.10253,2.752463234
France,1979,16.34446,2.813510835
France,1980,16.85985,2.743659536
France,1981,16.98194,2.810140649
France,1982,17.992,2.857069926
France,1983,18.64797,2.847698138
France,1984,18.86752,2.825374399
France,1985,19.29249,2.823961914
France,1986,19.4723,2.798894021
France,1987,18.48448,2.769527203
France,1988,17.51214,2.78089389
France,1989,17.50628,2.82092277
France,1990,16.83448,2.899732231
France,1991,16.87893,2.880641631
France,1992,16.98829,2.984537529
France,1993,17.85212,2.948686976
France,1994,17.36844,3.145378208
France,1995,16.79073,3.011295111
France,1996,15.99484,2.939794121
France,1997,15.63212,2.93738348
France,1998,14.81209,3.14510387
France,1999,14.38218,2.956713669
France,2000,14.99261,3.129404065
France,2001,14.45022,3.084421736
France,2002,14.59405,2.993906671
France,2003,14.75186,3.173822537
France,2004,14.49824,2.95055932
France,2005,14.09153,
Gabon,2002,6.143663,
Gabon,2004,7.745064735,1.524788381
Gabon,2005,7.745064735,
Gambia,2002,6.174481,
Gambia,2004,6.449156761,1.796989903
Gambia,2005,6.449156761,
Georgia,1981,6.076667,3.945090821
Georgia,1982,4.933132,3.484801669
Georgia,1985,4.419733,3.047575195
Georgia,1986,4.354987,2.732276171
Georgia,1987,4.046421,2.882226593
Georgia,1988,4.041069,3.517332213
Georgia,1989,4.360628,2.926533968
Georgia,1990,3.407541,3.186460276
Georgia,1991,3.398556,2.986248915
Georgia,1992,4.035575,3.484791416
Georgia,1994,3.029489,3.491296107
Georgia,1995,3.767147,4.098114475
Georgia,1996,4.243863,4.29786186
Georgia,1997,4.23626,4.782753282
Georgia,1998,3.172312,4.63645879
Georgia,1999,4.040097,4.290267692
Georgia,2000,2.438867,5.007577622
Georgia,2001,1.812108,3.786698319
Georgia,2002,2.636733,
Georgia,2004,1.574350119,3.788445906
Georgia,2005,1.574350119,
Germany,1990,13.66385,2.810451965
Germany,1991,13.68715,2.849632611
Germany,1992,13.01187,2.921979089
Germany,1993,12.24476,3.039066553
Germany,1994,12.34759,3.178508048
Germany,1995,12.39623,3.138294665
Germany,1996,11.75019,3.089283153
Germany,1997,11.73983,3.183880734
Germany,1998,11.17164,3.379936197
Germany,1999,10.62603,3.246175282
Germany,2000,10.41616,3.37549248
Germany,2001,10.44023,3.420521179
Germany,2002,10.30427,3.257324594
Germany,2003,10.22221,3.303143539
Germany,2004,9.719625,3.467389701
Germany,2005,9.211085,
Ghana,2002,5.483176,
Ghana,2004,6.288554668,1.265766905
Ghana,2005,6.288554668,
Greece,1961,4.290765,2.054196324
Greece,1962,3.351786,1.825582186
Greece,1963,3.719273,1.941516726
Greece,1964,3.110028,2.745839723
Greece,1965,3.191037,2.182933659
Greece,1966,3.089904,1.826331916
Greece,1967,3.286323,2.268728147
Greece,1968,3.424427,2.912284452
Greece,1969,3.297191,2.462848562
Greece,1970,2.90197,2.575702428
Greece,1971,3.066059,2.547226292
Greece,1972,2.421791,2.78014725
Greece,1973,2.671934,2.193235144
Greece,1974,3.139178,2.060263803
Greece,1975,2.53475,1.791585649
Greece,1976,2.509134,2.106513654
Greece,1977,2.942651,2.540400411
Greece,1978,2.634506,2.747399518
Greece,1979,2.558398,2.216624073
Greece,1980,2.851855,2.835397104
Greece,1981,2.959483,2.375527317
Greece,1982,3.137589,2.439352588
Greece,1983,3.33327,3.008664244
Greece,1984,3.507659,2.671753784
Greece,1985,3.529792,2.418317635
Greece,1986,3.379197,3.190459505
Greece,1987,3.50369,2.859074984
Greece,1988,3.392476,3.008718053
Greece,1989,3.300551,3.018099338
Greece,1990,2.945486,3.749837046
Greece,1991,3.068598,3.867719164
Greece,1992,2.76838,4.205475428
Greece,1993,3.293962,3.329346959
Greece,1994,2.779026,4.48221798
Greece,1995,2.922064,5.160333134
Greece,1996,2.751279,5.463403119
Greece,1997,2.973723,6.571657279
Greece,1998,3.03325,3.668269377
Greece,1999,2.892445,3.789475666
Greece,2000,2.911162,3.778554289
Greece,2001,2.503332,6.363147006
Greece,2002,2.292947,4.219461083
Greece,2003,2.775587,4.35647393
Greece,2004,2.52179,4.436214924
Greece,2005,2.816705,
Grenada,2002,3.68991,
Grenada,2004,3.576478243,21.40290984
Grenada,2005,3.576478243,
Guatemala,1963,3.766605,20.35786837
Guatemala,1964,3.561324,6.735159179
Guatemala,1965,3.462687,12.94211941
Guatemala,1966,2.772673,14.76510073
Guatemala,1967,4.762259,8.081959951
Guatemala,1968,5.019979,2.697374934
Guatemala,1969,3.423468,4.257946974
Guatemala,1970,3.976593,7.653166924
Guatemala,1971,4.443132,3.86882273
Guatemala,1977,0.0383766,0
Guatemala,1979,1.702128,8.911141722
Guatemala,1980,1.591387,5.022063315
Guatemala,1981,0.7140864,16.42085098
Guatemala,1984,0.9041516,5.739506075
Guatemala,1986,3.186091,5.228763916
Guatemala,1987,3.803987,3.472212324
Guatemala,1988,2.704049,5.586913136
Guatemala,1989,2.403,4.782906118
Guatemala,1990,2.316778,5.529041155
Guatemala,1991,2.309885,4.416151096
Guatemala,1992,2.585601,3.758922646
Guatemala,1993,2.376221,5.347233723
Guatemala,1994,1.827944,6.943899868
Guatemala,1995,2.733798,3.822244459
Guatemala,1996,2.135659,5.104404103
Guatemala,1997,2.18534,3.81306972
Guatemala,1998,2.405913,4.194293578
Guatemala,1999,2.756548,5.849675806
Guatemala,2000,1.975233,4.446214107
Guatemala,2001,2.232231,4.023711066
Guatemala,2002,2.875398,3.586991512
Guatemala,2003,2.637938,4.778013168
Guatemala,2004,2.441434,3.318577483
Guatemala,2005,2.234896,
Guinea,2002,7.559197,
Guinea,2004,7.443826199,1.772854089
Guinea,2005,7.443826199,
Guinea-Bissau,2002,7.160841,
Guinea-Bissau,2004,7.563692093,2.221801504
Guinea-Bissau,2005,7.563692093,
Guyana,2002,21.03666,
Guyana,2004,35.75287247,2.356663202
Guyana,2005,35.75287247,
Haiti,2002,1.327544,
Haiti,2004,1.519248009,2.074306229
Haiti,2005,1.519248009,
Honduras,2002,9.136425,
Honduras,2004,7.060184479,1.982384683
Honduras,2005,7.060184479,
Hungary,1955,20.56651,2.347915774
Hungary,1956,19.2651,2.581004746
Hungary,1957,21.22462,2.611648035
Hungary,1958,23.01719,2.454242484
Hungary,1959,25.01546,2.737808214
Hungary,1960,24.0992,2.548225626
Hungary,1961,24.43875,2.602079357
Hungary,1962,23.80812,2.604054485
Hungary,1963,25.57378,2.455616011
Hungary,1964,26.82395,2.655109903
Hungary,1965,27.76844,2.615843911
Hungary,1966,27.2135,2.581961815
Hungary,1967,28.61994,2.760674816
Hungary,1968,30.45475,2.922605682
Hungary,1969,29.73649,2.881080334
Hungary,1970,30.75247,2.963492627
Hungary,1971,31.83216,2.830170583
Hungary,1972,32.43127,2.842667497
Hungary,1973,32.05293,2.906343472
Hungary,1974,35.13136,2.900106376
Hungary,1975,33.18042,2.936394677
Hungary,1976,34.7974,2.796232104
Hungary,1977,34.41054,2.540973382
Hungary,1978,37.23392,2.644686497
Hungary,1979,38.48032,2.796503108
Hungary,1980,39.0257,2.824303469
Hungary,1981,39.33583,2.562005764
Hungary,1982,37.30019,2.796652507
Hungary,1983,39.79675,2.917253458
Hungary,1984,39.57996,3.100108987
Hungary,1985,38.0765,3.404036923
Hungary,1986,38.7937,2.949328989
Hungary,1987,38.58114,2.985899706
Hungary,1988,35.17373,2.609723415
Hungary,1989,35.27217,3.133755315
Hungary,1990,33.45535,3.314543625
Hungary,1991,32.32246,3.36258906
Hungary,1992,32.48295,3.596994754
Hungary,1993,29.84571,3.610876051
Hungary,1994,29.13849,3.920196529
Hungary,1995,26.65895,3.649964573
Hungary,1996,26.95442,3.726443329
Hungary,1997,25.09564,3.902185121
Hungary,1998,25.77442,4.145214935
Hungary,1999,26.81863,4.29125106
Hungary,2000,26.17464,4.121234155
Hungary,2001,23.24695,4.287958583
Hungary,2002,22.31117,4.339453021
Hungary,2003,21.50005,4.492666406
Hungary,2004,21.30929,4.134554797
Hungary,2005,20.16201,
Iceland,2002,11.5195,
Iceland,2004,11.42618084,2.904866045
Iceland,2005,11.42618084,
India,2002,19.10727,
India,2004,18.58382607,1.585035842
India,2005,18.58382607,
Indonesia,2002,12.20369,
Indonesia,2004,11.39611149,1.477976233
Indonesia,2005,11.39611149,
Iran,2002,8.735305,
Iran,2004,6.021882057,1.329288785
Iran,2005,6.021882057,
Iraq,2002,8.374964,
Iraq,2004,17.03264618,3.042333818
Iraq,2005,17.03264618,
Ireland,1950,2.576427,4.997783296
Ireland,1951,2.5951,3.488653872
Ireland,1952,2.139424,3.841675586
Ireland,1953,2.084519,3.928374594
Ireland,1954,2.020635,4.59099289
Ireland,1955,2.36204,3.590967033
Ireland,1956,2.63976,5.392166314
Ireland,1957,2.478547,3.666921583
Ireland,1958,2.666456,3.447584724
Ireland,1959,2.569155,3.422544921
Ireland,1960,2.859048,2.471961039
Ireland,1961,3.269393,3.850060191
Ireland,1962,1.894674,3.668009533
Ireland,1963,2.566983,2.760838798
Ireland,1964,2.102345,5.146106985
Ireland,1965,1.793074,7.025491869
Ireland,1966,2.288637,3.043888164
Ireland,1967,2.499259,2.914798136
Ireland,1968,2.648572,3.576103565
Ireland,1969,1.81854,2.693596992
Ireland,1970,1.872287,5.366489695
Ireland,1971,3.084166,2.75008945
Ireland,1972,3.215841,2.500446855
Ireland,1973,3.622531,2.568586869
Ireland,1974,4.256819,3.450740195
Ireland,1975,5.251976,2.348061972
Ireland,1976,5.984446,2.379190371
Ireland,1977,5.061938,1.763686298
Ireland,1978,5.406909,1.93182279
Ireland,1979,5.977359,2.942669986
Ireland,1980,7.020132,1.945324553
Ireland,1981,7.216063,2.329958342
Ireland,1982,7.418434,2.792513376
Ireland,1983,8.555241,2.450060129
Ireland,1984,6.993085,2.356331805
Ireland,1985,8.168057,3.551225083
Ireland,1986,8.401656,3.08285553
Ireland,1987,7.21089,3.144782049
Ireland,1988,7.815588,2.654646432
Ireland,1989,8.16873,3.450153743
Ireland,1990,9.989139,3.013097659
Ireland,1991,10.1047,4.53992088
Ireland,1992,10.42875,5.47311255
Ireland,1993,9.286868,3.856934684
Ireland,1994,11.02657,3.537291775
Ireland,1995,11.12525,3.842788824
Ireland,1996,11.22048,5.545280733
Ireland,1997,12.51227,4.390019628
Ireland,1998,13.16638,5.934944835
Ireland,1999,10.99975,4.283840797
Ireland,2000,11.80496,4.820789701
Ireland,2001,12.19669,5.227613766
Ireland,2002,10.93738,4.589023241
Ireland,2003,10.78193,3.811698281
Ireland,2004,10.90351,5.382091413
Ireland,2005,10.36507,
Israel,1975,8.390099,1.36838005
Israel,1976,8.078858,1.706332234
Israel,1977,7.223123,1.858882302
Israel,1978,6.227843,1.482304473
Israel,1979,7.480589,2.061655113
Israel,1980,6.553365,2.171254745
Israel,1981,5.766298,1.857377514
Israel,1982,5.661121,1.697991559
Israel,1983,6.476391,2.248407114
Israel,1984,5.915869,2.188830453
Israel,1985,5.948347,2.265720284
Israel,1986,6.992752,2.019039199
Israel,1987,6.665237,2.750261245
Israel,1988,7.506437,2.573497987
Israel,1989,8.217665,2.692762525
Israel,1990,6.995386,2.832065197
Israel,1991,7.690311,2.939133134
Israel,1992,7.780435,2.910121545
Israel,1993,7.290931,3.033424211
Israel,1994,7.971104,3.019941929
Israel,1995,6.60699,2.930055064
Israel,1996,5.384706,3.412681089
Israel,1997,6.458297,4.473137504
Israel,1998,5.37284,3.307602727
Israel,1999,6.080658,4.790627762
Israel,2000,6.264348,3.877760177
Israel,2001,6.154231,4.876410709
Israel,2002,5.893611,3.486459082
Israel,2003,6.361498,5.327654453
Israel,2004,6.088309,3.820842776
Israel,2005,5.931845,
Italy,1951,6.741952,3.105363279
Italy,1952,6.215577,2.760991659
Italy,1953,6.314083,2.457512561
Italy,1954,5.898098,2.54490792
Italy,1955,6.432989,2.748370974
Italy,1956,6.47865,2.755666715
Italy,1957,6.252029,2.614843152
Italy,1958,5.940865,2.544150761
Italy,1959,5.978304,2.552818516
Italy,1960,5.758146,2.442584519
Italy,1961,5.20988,2.445018709
Italy,1962,5.077321,2.577737204
Italy,1963,4.884308,2.405900764
Italy,1964,5.01984,2.624588628
Italy,1965,5.080476,2.648736561
Italy,1966,4.755507,2.577500946
Italy,1967,5.072762,2.618677758
Italy,1968,4.909084,2.585123368
Italy,1969,5.000934,2.456812541
Italy,1970,5.186391,2.443265189
Italy,1971,5.396069,2.415313173
Italy,1972,5.260768,2.428735823
Italy,1973,5.075356,2.623371997
Italy,1974,4.742774,2.248634568
Italy,1975,4.90521,2.436865375
Italy,1976,4.944437,2.424917389
Italy,1977,5.444005,2.574367373
Italy,1978,5.600551,2.669225705
Italy,1979,6.052142,2.512034556
Italy,1980,6.204662,2.386900316
Italy,1981,5.824463,2.629977021
Italy,1982,6.243677,2.704513646
Italy,1983,6.257329,2.827645635
Italy,1984,6.417727,2.711292822
Italy,1985,6.722367,2.884436857
Italy,1986,6.587619,2.796194499
Italy,1987,6.28534,3.113470847
Italy,1988,6.018995,2.860004928
Italy,1989,5.983258,2.967578758
Italy,1990,5.978657,2.980629346
Italy,1991,6.046276,2.975307448
Italy,1992,6.24772,3.219157031
Italy,1993,6.412189,3.481115659
Italy,1994,6.182798,3.499690471
Italy,1995,6.157893,3.504186907
Italy,1996,6.348938,3.275925813
Italy,1997,6.265896,3.501540283
Italy,1998,5.947945,3.709214287
Italy,1999,5.439456,3.453588758
Italy,2000,5.431369,3.362136066
Italy,2001,5.298044,3.574970268
Italy,2002,5.34118,3.842771794
Italy,2003,5.234479,3.499713985
Italy,2004,5.31370163,3.802960633
Italy,2005,4.930044509,
Jamaica,2002,0.1023526,
Jamaica,2004,4.417507172,2.799214234
Jamaica,2005,4.417507172,
Japan,1950,24.59151,1.691761937
Japan,1951,22.29591,1.579055647
Japan,1952,22.08236,1.525598571
Japan,1953,23.71347,1.569268202
Japan,1954,26.39625,1.707157658
Japan,1955,28.07184,1.713670166
Japan,1956,27.20567,1.617269761
Japan,1957,26.59276,1.615644939
Japan,1958,27.66998,1.547725904
Japan,1959,24.61028,1.49259569
Japan,1960,23.21706,1.446518129
Japan,1961,21.11743,1.400094543
Japan,1962,18.91668,1.464126426
Japan,1963,17.30252,1.504359566
Japan,1964,16.28279,1.450982567
Japan,1965,15.84236,1.508884052
Japan,1966,16.12502,1.423429422
Japan,1967,14.90673,1.422807889
Japan,1968,15.12224,1.405045813
Japan,1969,15.03189,1.392082103
Japan,1970,15.5977,1.411687299
Japan,1971,15.73448,1.435325096
Japan,1972,16.93228,1.464074963
Japan,1973,17.40054,1.472272276
Japan,1974,17.45248,1.427884091
Japan,1975,17.71988,1.577606837
Japan,1976,17.25519,1.607183901
Japan,1977,17.36071,1.712421952
Japan,1978,17.03292,1.772627853
Japan,1979,17.21527,1.802008771
Japan,1980,16.62432,1.854145617
Japan,1981,15.94026,1.94575056
Japan,1982,16.10316,1.998152764
Japan,1983,19.1621,2.342760973
Japan,1984,18.27207,2.278118504
Japan,1985,17.23945,2.194101569
Japan,1986,18.65963,2.051830755
Japan,1987,16.91342,2.069102242
Japan,1988,15.85286,1.963234776
Japan,1989,14.41714,1.864218056
Japan,1990,13.47138,1.878225911
Japan,1991,13.14442,1.993578894
Japan,1992,13.60945,2.167087979
Japan,1993,13.2138,2.294508584
Japan,1994,13.42681,2.413340069
Japan,1995,13.55417,2.32468112
Japan,1996,13.8193,2.390442313
Japan,1997,14.50057,2.433664805
Japan,1998,19.48383,2.731787117
Japan,1999,19.21572,2.848545974
Japan,2000,18.35094,2.880182508
Japan,2001,17.73354,2.869461011
Japan,2002,18.02855,2.974292498
Japan,2003,19.64956,3.000827432
Japan,2004,18.53678,2.942084213
Japan,2005,18.94693,
Jordan,2002,24.4132,
Jordan,2004,0.201448724,2.630502343
Jordan,2005,0.201448724,
Kazakhstan,1981,25.95578,4.085030218
Kazakhstan,1982,25.19905,4.402842209
Kazakhstan,1985,25.35711,4.19261081
Kazakhstan,1986,18.90608,3.470902338
Kazakhstan,1987,18.45182,3.505721497
Kazakhstan,1988,19.10512,3.53664359
Kazakhstan,1989,21.81671,3.750625989
Kazakhstan,1990,20.99151,3.562455884
Kazakhstan,1991,19.86248,3.950688722
Kazakhstan,1992,21.39656,3.738905564
Kazakhstan,1993,25.45937,4.413229387
Kazakhstan,1994,25.91698,4.807082419
Kazakhstan,1995,30.82395,5.612378319
Kazakhstan,1996,32.14676,5.790490857
Kazakhstan,1997,31.42593,5.786206699
Kazakhstan,1998,30.33114,5.688855188
Kazakhstan,1999,27.94533,5.773803601
Kazakhstan,2000,30.73418,
Kazakhstan,2001,30.30312,6.503953387
Kazakhstan,2002,28.98491,6.071455657
Kazakhstan,2003,29.28847,6.070551623
Kazakhstan,2004,28.99517,6.042292619
Kazakhstan,2005,25.4046,
Kenya,2002,9.247238,
Kenya,2004,10.93771839,1.886605931
Kenya,2005,10.93771839,
Kuwait,1972,0.3344417,1.581950944
Kuwait,1975,0.5039009,3.463254826
Kuwait,1976,0.2114564,1.098232518
Kuwait,1977,0.3212973,
Kuwait,1978,1.210655,2.105530315
Kuwait,1979,0.3448732,
Kuwait,1980,0.9172871,2.507381036
Kuwait,1981,0.9992955,0.8423701
Kuwait,1982,0.1200728,0.508308297
Kuwait,1983,0.4176624,1.820654217
Kuwait,1984,0.69339,1.128354779
Kuwait,1985,1.075324,4.236955955
Kuwait,1986,0.7646793,2.007864002
Kuwait,1987,1.038386,0.895877845
Kuwait,1993,1.153198,1.74959833
Kuwait,1994,1.377272,0.782664946
Kuwait,1995,1.446493,2.44401417
Kuwait,1996,1.521961,1.245782034
Kuwait,1997,1.604368,0.641518079
Kuwait,1998,1.308118,0.758412111
Kuwait,1999,1.526372,1.531091348
Kuwait,2000,1.235284,1.045165655
Kuwait,2001,1.152414,1.790319318
Kuwait,2002,1.564255,1.374412909
Kuwait,2004,1.508789182,1.48732201
Kuwait,2005,1.498057424,
Kyrgyzstan,1981,17.47066,3.811670737
Kyrgyzstan,1982,17.13514,4.639450618
Kyrgyzstan,1985,15.18141,3.495998285
Kyrgyzstan,1986,11.66019,3.512413881
Kyrgyzstan,1987,14.29389,2.992058153
Kyrgyzstan,1988,14.31887,3.272167909
Kyrgyzstan,1989,15.29714,3.203490248
Kyrgyzstan,1990,16.08053,3.205404669
Kyrgyzstan,1991,15.4267,3.470492281
Kyrgyzstan,1992,13.81654,4.42457914
Kyrgyzstan,1993,16.42881,4.213494685
Kyrgyzstan,1994,16.70971,6.202858316
Kyrgyzstan,1995,17.27548,3.805940286
Kyrgyzstan,1996,13.68134,5.392789219
Kyrgyzstan,1997,13.46826,5.111785521
Kyrgyzstan,1998,12.96068,5.361421419
Kyrgyzstan,1999,13.98882,5.115880063
Kyrgyzstan,2000,12.68084,4.890424289
Kyrgyzstan,2001,13.07456,6.882778187
Kyrgyzstan,2002,13.28607,4.794583934
Kyrgyzstan,2003,11.00537,5.531125707
Kyrgyzstan,2004,9.828025,5.558093298
Kyrgyzstan,2005,9.875281,
Laos,2002,27.75632,
Laos,2004,26.21919823,1.223519639
Laos,2005,26.21919823,
Latvia,1980,29.73946,4.301256198
Latvia,1981,30.21741,5.022051465
Latvia,1982,30.77425,4.0251223
Latvia,1983,29.75416,4.702721656
Latvia,1984,30.19956,4.651833901
Latvia,1985,26.26718,4.282308366
Latvia,1986,22.45244,4.389910592
Latvia,1987,20.57013,3.048614934
Latvia,1988,20.63623,3.626969569
Latvia,1989,22.74245,3.100489273
Latvia,1990,23.40659,4.995960504
Latvia,1991,25.41869,4.44892618
Latvia,1992,31.31146,4.767594429
Latvia,1993,37.87399,4.991762086
Latvia,1994,36.34945,5.861208162
Latvia,1995,36.20045,5.510127739
Latvia,1996,32.74305,5.481729687
Latvia,1997,31.48581,5.34020681
Latvia,1998,30.4372,5.422850053
Latvia,1999,26.96423,4.704294672
Latvia,2000,27.64352,5.827325991
Latvia,2001,25.62863,
Latvia,2002,24.55983,4.951250516
Latvia,2003,21.85237,5.396543884
Latvia,2004,20.02737,6.06133563
Latvia,2005,20.36959,
Lebanon,2002,6.259573,
Lebanon,2004,5.83831501,1.224345145
Lebanon,2005,5.83831501,
Lesotho,2002,8.874297,
Lesotho,2004,7.858619213,1.809793721
Lesotho,2005,7.858619213,
Liberia,2002,10.03827,
Liberia,2004,7.1848526,2.876893769
Liberia,2005,7.1848526,
Libya,2002,4.083238,
Libya,2004,4.667024612,1.225710376
Libya,2005,4.667024612,
Lithuania,1981,32.5018,6.3381075
Lithuania,1982,32.52202,5.29858751
Lithuania,1985,32.62048,4.934710997
Lithuania,1986,24.06269,4.685610217
Lithuania,1987,27.33072,4.935023093
Lithuania,1988,25.06441,4.094388613
Lithuania,1989,25.68806,5.313685833
Lithuania,1990,24.39866,5.2829028
Lithuania,1991,29.01119,5.101663126
Lithuania,1992,32.62127,4.863420147
Lithuania,1993,39.87783,5.994979712
Lithuania,1994,43.71309,6.801578684
Lithuania,1995,43.22044,5.773701395
Lithuania,1996,44.35212,5.388926901
Lithuania,1997,42.48084,6.041508186
Lithuania,1998,39.97705,6.102399287
Lithuania,1999,40.51219,6.254113606
Lithuania,2000,42.39795,5.368229243
Lithuania,2001,39.38716,5.903449146
