Entity,Year,"Estimated average age at marriage, women","Estimated average age at marriage, men"
Solomon Islands,1970,22.299999,27.4
Solomon Islands,1976,21.1,25.5
Solomon Islands,1986,21.200001,25
Solomon Islands,1999,22.6,26.1
Solomon Islands,2009,23.299999,27.1
Somalia,1980,20.1,26.4
Somalia,1982,20.6,26.5
Somalia,2006,20.4,
South Africa,1980,25.700001,27.799999
South Africa,1985,26.1,27.9
South Africa,1991,26.799999,28.9
South Africa,1996,27.9,30.299999
South Africa,2011,28,31.200001
South Sudan,1973,18.700001,25.799999
South Sudan,1983,20.700001,27.200001
South Sudan,1993,20.5,28.200001
South Sudan,2008,20.700001,27.1
Spain,1990,25.6,27.799999
Spain,1991,25.9,28.1
Spain,1992,26.200001,28.4
Spain,1993,26.6,28.700001
Spain,1994,26.9,28.9
Spain,1995,27.1,29.200001
Spain,1996,27.4,29.5
Spain,1997,27.6,29.700001
Spain,1998,27.799999,29.799999
Spain,1999,28,30
Spain,2000,28.1,30.200001
Spain,2002,28.6,30.700001
Spain,2003,28.9,30.9
Spain,2004,29.200001,31.299999
Spain,2005,29.4,31.6
Spain,2006,29.6,31.799999
Spain,2007,29.799999,32
Spain,2008,30.1,32.299999
Spain,2009,30.5,32.700001
Spain,2010,30.9,33.099998
Spain,2011,31.299999,33.400002
Spain,2012,31.6,33.700001
Spain,2013,32.200001,34.400002
Spain,2014,32.299999,34.5
Spain,2015,32.700001,34.900002
Spain,2016,33,35.099998
Spain,2017,33.200001,35.400002
Sri Lanka,1971,23.5,28.1
Sri Lanka,1981,24.4,27.9
Sri Lanka,2001,23.799999,27.6
Sri Lanka,2012,23.4,27.200001
Sudan,1978,21.4,27.9
Sudan,1989,24.1,
Sudan,2000,15,29.700001
Sudan,2010,22,28.9
Sudan,2014,21.9,
Suriname,1999,20.799999,
Suriname,2004,,31.799999
Suriname,2006,22.700001,
Suriname,2010,22.799999,
Suriname,2012,,32.799999
Swaziland,2000,23.799999,30.1
Swaziland,2006,26,30
Swaziland,2010,26.200001,
Swaziland,2014,26.5,
Sweden,1990,27.700001,30.299999
Sweden,1991,27.9,30.6
Sweden,1992,28.200001,30.9
Sweden,1993,28.299999,31.1
Sweden,1994,28.700001,31.299999
Sweden,1996,29.200001,31.799999
Sweden,1997,29.5,32.200001
Sweden,1998,29.700001,32.400002
Sweden,1999,30.200001,32.900002
Sweden,2000,30.4,33
Sweden,2001,30.299999,33
Sweden,2002,30.6,33.299999
Sweden,2003,31,33.799999
Sweden,2004,31.299999,34.099998
Sweden,2005,31.700001,34.599998
Sweden,2006,31.5,34.400002
Sweden,2008,32.299999,35.200001
Sweden,2009,32.299999,35.200001
Sweden,2010,32.700001,35.599998
Sweden,2011,33,35.5
Sweden,2012,33.299999,35.900002
Sweden,2013,33,35.700001
Sweden,2014,33.299999,35.799999
Sweden,2015,33.599998,36.200001
Sweden,2016,33.799999,36.5
Sweden,2017,33.799999,36.599998
Switzerland,1990,27,29.4
Switzerland,1991,27.1,29.5
Switzerland,1992,27.1,29.5
Switzerland,1993,27.200001,29.9
Switzerland,1994,27.4,29.9
Switzerland,1995,27.5,30.1
Switzerland,1997,27.799999,
Switzerland,1998,27.9,30.4
Switzerland,1999,28,
Switzerland,2000,28.200001,30.799999
Switzerland,2001,28.4,31.1
Switzerland,2003,28.700001,31.200001
Switzerland,2004,29,31.4
Switzerland,2005,29.1,31.5
Switzerland,2006,29.1,31.6
Switzerland,2007,29.299999,31.700001
Switzerland,2008,29.6,32.099998
Switzerland,2009,29.6,32.099998
Switzerland,2010,29.799999,32.200001
Switzerland,2011,29.9,32.400002
Switzerland,2012,29.9,32.400002
Switzerland,2013,30.1,32.5
Switzerland,2014,30.1,32.5
Switzerland,2015,30.200001,32.599998
Switzerland,2016,30.4,32.700001
Switzerland,2017,30.4,32.799999
Syria,1978,22.200001,30.799999
Syria,2001,25.4,29.299999
Syria,2006,25.4,
Taiwan,1980,23.799999,25.299999
Taiwan,1990,25.9,28.799999
Taiwan,2000,27.6,30.5
Tajikistan,1989,,23.200001
Tajikistan,2000,21.4,24.1
Tajikistan,2005,22.9,
Tajikistan,2010,,24.700001
Tajikistan,2012,21.9,
Tajikistan,2017,20.700001,
Tanzania,1973,18.5,
Tanzania,1991,20.5,25.1
Tanzania,1994,20.5,25.1
Tanzania,1996,20.5,25.1
Tanzania,1999,20.4,24.700001
Tanzania,2003,20.700001,25
Tanzania,2004,20,25.1
Tanzania,2007,20.299999,25.200001
Tanzania,2009,21,25.1
Tanzania,2011,20.9,25.4
Tanzania,2015,21,25.200001
Thailand,1970,22,24.700001
Thailand,1980,22.799999,24.9
Thailand,1990,23.5,26
Thailand,2000,24.1,27.4
Thailand,2010,24.9,28.5
Timor,2003,21.799999,
Timor,2004,,27
Timor,2009,23.1,
Timor,2010,,27.799999
Timor,2015,,28.1
Timor,2016,23,
Togo,1970,,26
Togo,1981,,25.6
Togo,1988,20.299999,
Togo,1998,21.4,
Togo,2000,21.1,
Togo,2010,22.4,27.6
Togo,2013,22.299999,
Togo,2017,21.299999,
Tokelau,1972,23.6,22.700001
Tokelau,1976,25.299999,24
Tokelau,1986,26,26.6
Tokelau,1991,25.6,
Tokelau,2011,27.9,27
Tonga,1976,24.299999,27.1
Tonga,1986,24.799999,27.1
Tonga,1996,25.5,28
Tonga,2006,25.6,28
Tonga,2011,24.700001,27.200001
Tonga,2016,25.299999,27.4
Trinidad and Tobago,1970,24,27.4
Trinidad and Tobago,1980,25.299999,28.1
Trinidad and Tobago,1990,26.799999,29.799999
Trinidad and Tobago,2000,28.1,31.4
Trinidad and Tobago,2011,29.200001,31.799999
Tunisia,1975,22.6,27.1
Tunisia,1984,24.299999,28.1
Tunisia,1994,26.6,30.299999
Tunisia,2004,28.700001,32.599998
Tunisia,2014,28.200001,32.900002
Turkey,2003,24.1,27.5
Turkey,2006,23.5,26.9
Turkey,2007,23.5,26.799999
Turkey,2008,23.6,26.9
Turkey,2009,23.700001,27
Turkey,2010,23.799999,27.1
Turkey,2011,23.9,27.200001
Turkey,2013,24.200001,27.299999
Turkey,2014,24.299999,27.4
Turkey,2015,24.5,27.5
Turkey,2016,24.700001,27.700001
Turkey,2017,24.799999,27.799999
Turkmenistan,2000,23.4,
Turkmenistan,2006,24.799999,
Turkmenistan,2015,23.5,
Turks and Caicos Islands,1970,23.4,
Turks and Caicos Islands,1980,22.5,26.6
Turks and Caicos Islands,2001,25.200001,
Tuvalu,1979,25.4,29.1
Tuvalu,1991,21.4,26.700001
Tuvalu,2002,20.700001,26.5
Uganda,1988,19,
Uganda,1995,18.200001,22.5
Uganda,2000,19.6,23.4
Uganda,2004,20,23.799999
Uganda,2006,20.4,23.799999
Uganda,2011,20,24.299999
Uganda,2016,20.700001,24.299999
Ukraine,1999,21.5,
Ukraine,2005,23.9,
Ukraine,2007,23.1,25.9
Ukraine,2012,23,
United Arab Emirates,1975,18,25.9
United Arab Emirates,2005,25.299999,26.799999
United Kingdom,1990,25.200001,27.200001
United Kingdom,1991,25.5,27.5
United Kingdom,1992,25.9,27.9
United Kingdom,1993,26.200001,28.200001
United Kingdom,1994,26.5,28.5
United Kingdom,1995,26.799999,28.9
United Kingdom,1996,27.200001,29.299999
United Kingdom,1997,27.5,29.6
United Kingdom,1998,27.700001,29.799999
United Kingdom,1999,28,30.1
United Kingdom,2000,28.200001,30.5
United Kingdom,2001,28.4,30.6
United Kingdom,2002,28.700001,30.9
United Kingdom,2003,28.9,31.200001
United Kingdom,2004,29.1,31.4
United Kingdom,2005,29.5,31.700001
United Kingdom,2006,29.700001,31.799999
United Kingdom,2007,29.799999,32
United Kingdom,2008,29.9,32.099998
United Kingdom,2009,29.9,32.099998
United Kingdom,2010,30,32.099998
United Kingdom,2011,30.200001,32.200001
United Kingdom,2012,30.299999,32.400002
United Kingdom,2013,30.6,32.5
United Kingdom,2014,30.799999,32.700001
United Kingdom,2015,31.200001,33.200001
United States,1990,23.9,26.1
United States,1991,24.1,26.299999
United States,1992,24.4,26.5
United States,1993,24.5,26.5
United States,1994,24.5,26.700001
United States,1995,24.5,26.9
United States,1996,24.799999,27.1
United States,1997,25,26.799999
United States,1998,25,26.700001
United States,1999,25.1,26.9
United States,2000,25.1,26.799999
United States,2001,25.1,26.9
United States,2002,25.299999,26.9
United States,2003,25.299999,27.1
United States,2004,25.299999,27.4
United States,2005,25.299999,27.1
United States,2006,25.5,27.5
United States,2007,25.6,27.5
United States,2008,25.9,27.6
United States,2009,25.9,28.1
United States,2010,26.1,28.200001
United States,2011,26.4,28.4
United States,2012,26.6,28.6
United States,2013,26.6,29
United States,2014,27,29.299999
United States,2015,27.1,29.200001
United States,2016,27.4,29.5
United States,2017,27.4,29.5
United States Virgin Islands,1990,27.5,30.1
United States Virgin Islands,2010,30.9,32.5
Uruguay,1975,22.5,25.4
Uruguay,1985,22.9,25.200001
Uruguay,1996,23.299999,25.6
Uruguay,2011,24,26.5
Uzbekistan,1996,20.6,
Uzbekistan,2000,21.6,24.1
Uzbekistan,2002,21.5,24
Uzbekistan,2006,22.5,
Vanuatu,1979,22,25.799999
Vanuatu,1989,22.6,25.299999
Vanuatu,1999,23,25.299999
Vanuatu,2009,22.5,25.5
Venezuela,1971,20.1,25.6
Venezuela,1981,21.299999,25
Venezuela,1990,22.1,25.4
Venezuela,2001,22.700001,26
Venezuela,2011,22.9,25.799999
Vietnam,1988,23.6,
Vietnam,1997,22.200001,26.1
Vietnam,2000,22.9,26
Vietnam,2002,23.200001,26.1
Vietnam,2005,23.200001,25.9
Vietnam,2006,22.799999,
Vietnam,2007,23.299999,26.6
Vietnam,2010,22.299999,
Vietnam,2011,22.799999,26.4
Vietnam,2013,22.4,
Vietnam,2015,22.799999,26.9
Wallis and Futuna,1976,25.1,27
Wallis and Futuna,1983,22.9,26.200001
Wallis and Futuna,1990,23.4,28.5
Wallis and Futuna,1996,24.299999,28.4
Wallis and Futuna,2003,26.200001,28.4
Wallis and Futuna,2013,27.799999,28.799999
Western Sahara,1970,18,25.299999
Yemen,1991,20.799999,24.700001
Yemen,1997,20.700001,
Yemen,2003,22.200001,25.4
Yemen,2006,22.6,25.299999
Yemen,2013,22.799999,26.1
Zambia,1992,20,
Zambia,1996,20.299999,25
Zambia,1999,22,26.6
Zambia,2001,20.5,24.799999
Zambia,2007,21.1,25.4
Zambia,2013,21.799999,25.9
Zimbabwe,1987,21.5,26.4
Zimbabwe,1988,20.700001,
Zimbabwe,1994,21,25.5
Zimbabwe,1997,21.5,26
Zimbabwe,1999,21,25.700001
Zimbabwe,2005,20.799999,25.9
Zimbabwe,2009,20.9,26
Zimbabwe,2010,20.6,25.5
Zimbabwe,2014,20.299999,
Zimbabwe,2015,20.200001,25.700001
Zimbabwe,2017,21.1,26
