Entity,Year,area_disaggregated_categories,area_aggregated_categories
Rainfed villages,1300,166834.1953,
Rainfed villages,1400,161424.0413,
Rainfed villages,1500,209518.4419,
Rainfed villages,1600,284479.0481,
Rainfed villages,1700,389080.1614,
Rainfed villages,1710,429168.6275,
Rainfed villages,1720,486673.1557,
Rainfed villages,1730,542043.6326,
Rainfed villages,1740,641832.0949,
Rainfed villages,1750,828499.1756,
Rainfed villages,1760,993927.397,
Rainfed villages,1770,1185974.687,
Rainfed villages,1780,1489339.684,
Rainfed villages,1790,1617866.802,
Rainfed villages,1800,1662546.522,
Rainfed villages,1810,1806814.282,
Rainfed villages,1820,1896784.281,
Rainfed villages,1830,2044566.889,
Rainfed villages,1840,2131805.946,
Rainfed villages,1850,2245884.153,
Rainfed villages,1860,2309967.167,
Rainfed villages,1870,2304546.039,
Rainfed villages,1880,2379919.717,
Rainfed villages,1890,2535844.407,
Rainfed villages,1900,2660414.781,
Rainfed villages,1910,2672462.275,
Rainfed villages,1920,2714168.449,
Rainfed villages,1930,2864057.435,
Rainfed villages,1940,3068484.039,
Rainfed villages,1950,3273099.19,
Rainfed villages,1960,3571779.595,
Rainfed villages,1970,4082326.657,
Rainfed villages,1980,4473269.965,
Rainfed villages,1990,5214556.701,
Rainfed villages,2000,5331506.914,
Rainfed villages,2001,5301558.405,
Rainfed villages,2002,5272871.696,
Rainfed villages,2003,5218317.303,
Rainfed villages,2004,5249864.082,
Rainfed villages,2005,5265603.039,
Rainfed villages,2006,5236866.601,
Rainfed villages,2007,5267815.774,
Rainfed villages,2008,5294425.034,
Rainfed villages,2009,5305388.827,
Rainfed villages,2010,5305955.128,
Rainfed villages,2011,5325342.233,
Rainfed villages,2012,5359623.765,
Rainfed villages,2013,5382708.786,
Rainfed villages,2014,5405958.489,
Rainfed villages,2015,5436989.582,
Remote croplands,-10000,0,
Remote croplands,-9000,0,
Remote croplands,-8000,0,
Remote croplands,-7000,4.32402,
Remote croplands,-6000,39.16896,
Remote croplands,-5000,347.6223,
Remote croplands,-4000,10106.13844,
Remote croplands,-3000,3095.0355,
Remote croplands,-2000,917.34214,
Remote croplands,-1000,816.29673,
Remote croplands,0,1076.47799,
Remote croplands,100,1110.68783,
Remote croplands,200,1130.04326,
Remote croplands,300,1139.1227,
Remote croplands,400,1111.30049,
Remote croplands,500,1091.40863,
Remote croplands,600,1119.94198,
Remote croplands,700,1157.34015,
Remote croplands,800,1165.19343,
Remote croplands,900,1235.09011,
Remote croplands,1000,1314.28073,
Remote croplands,1100,3335.94677,
Remote croplands,1200,8779.22976,
Remote croplands,1300,9788.9798,
Remote croplands,1400,3441.31413,
Remote croplands,1500,8108.4314,
Remote croplands,1600,3236.78367,
Remote croplands,1700,10867.13942,
Remote croplands,1710,15848.61509,
Remote croplands,1720,23217.96825,
Remote croplands,1730,29342.44173,
Remote croplands,1740,36494.55725,
Remote croplands,1750,41270.7364,
Remote croplands,1760,46032.73319,
Remote croplands,1770,50170.10427,
Remote croplands,1780,50581.30419,
Remote croplands,1790,54488.76035,
Remote croplands,1800,58511.62891,
Remote croplands,1810,52687.95843,
Remote croplands,1820,49134.89106,
Remote croplands,1830,56081.42132,
Remote croplands,1840,60492.22561,
Remote croplands,1850,68492.64709,
Remote croplands,1860,77829.2495,
Remote croplands,1870,123664.8448,
Remote croplands,1880,245847.5976,
Remote croplands,1890,415862.2014,
Remote croplands,1900,503230.3741,
Remote croplands,1910,653045.7185,
Remote croplands,1920,1048381.595,
Remote croplands,1930,1365073.828,
Remote croplands,1940,1604497.169,
Remote croplands,1950,1872841.743,
Remote croplands,1960,2028995.482,
Remote croplands,1970,2262610.615,
Remote croplands,1980,2394746.312,
Remote croplands,1990,2539911.802,
Remote croplands,2000,2640181.911,
Remote croplands,2001,2663055.719,
Remote croplands,2002,2667929.13,
Remote croplands,2003,2689941.17,
Remote croplands,2004,2711371.144,
Remote croplands,2005,2723055.614,
Remote croplands,2006,2712833.597,
Remote croplands,2007,2713087.729,
Remote croplands,2008,2731345.453,
Remote croplands,2009,2735365.348,
Remote croplands,2010,2725351.628,
Remote croplands,2011,2756671.062,
Remote croplands,2012,2786738.761,
Remote croplands,2013,2762034.495,
Remote croplands,2014,2782540.25,
Remote croplands,2015,2781684.302,
Remote rangelands,-10000,0,
Remote rangelands,-9000,0,
Remote rangelands,-8000,16.39491,
Remote rangelands,-7000,22.088879,
Remote rangelands,-6000,28.642829,
Remote rangelands,-5000,39.688029,
Remote rangelands,-4000,44.061639,
Remote rangelands,-3000,49.074667,
Remote rangelands,-2000,167.71091,
Remote rangelands,-1000,876439.1732,
Remote rangelands,0,898955.6042,
Remote rangelands,100,965346.7874,
Remote rangelands,200,990195.5916,
Remote rangelands,300,989651.5456,
Remote rangelands,400,920055.5885,
Remote rangelands,500,1282355.625,
Remote rangelands,600,1877208.549,
Remote rangelands,700,2468737.462,
Remote rangelands,800,2686847.071,
Remote rangelands,900,2755937.422,
Remote rangelands,1000,2835090.521,
Remote rangelands,1100,2829430.262,
Remote rangelands,1200,2909853.136,
Remote rangelands,1300,2968086.625,
Remote rangelands,1400,3037140.027,
Remote rangelands,1500,3268202.886,
Remote rangelands,1600,3547125.22,
Remote rangelands,1700,3878046.234,
Remote rangelands,1710,3825480.977,
Remote rangelands,1720,4008620.535,
Remote rangelands,1730,4633070.025,
Remote rangelands,1740,5226431.058,
Remote rangelands,1750,6770549.083,
Remote rangelands,1760,6945033.535,
Remote rangelands,1770,7086303.939,
Remote rangelands,1780,7079797.891,
Remote rangelands,1790,7202821.719,
Remote rangelands,1800,7880503.262,
Remote rangelands,1810,7971620.812,
Remote rangelands,1820,8142727.377,
Remote rangelands,1830,9298379.413,
Remote rangelands,1840,9436700.139,
Remote rangelands,1850,9508529.742,
Remote rangelands,1860,9667378.701,
Remote rangelands,1870,9936203.109,
Remote rangelands,1880,11617796.95,
Remote rangelands,1890,13519309.08,
Remote rangelands,1900,18177251.14,
Remote rangelands,1910,18847595.2,
Remote rangelands,1920,19269088.03,
Remote rangelands,1930,19516250.43,
Remote rangelands,1940,20074906.27,
Remote rangelands,1950,20215997.88,
Remote rangelands,1960,19519700.75,
Remote rangelands,1970,18685164.19,
Remote rangelands,1980,18173901.34,
Remote rangelands,1990,17730991.82,
Remote rangelands,2000,17726553.33,
Remote rangelands,2001,17670184.57,
Remote rangelands,2002,17637326.86,
Remote rangelands,2003,17581254.79,
Remote rangelands,2004,17576156.67,
Remote rangelands,2005,17549978.98,
Remote rangelands,2006,17555111.68,
Remote rangelands,2007,17556670.09,
Remote rangelands,2008,17548789.79,
Remote rangelands,2009,17547947.34,
Remote rangelands,2010,17540226.07,
Remote rangelands,2011,17512285.79,
Remote rangelands,2012,17495195.62,
Remote rangelands,2013,17469453.72,
Remote rangelands,2014,17396818.53,
Remote rangelands,2015,17338527.37,
Remote woodlands,-10000,34744795.53,
Remote woodlands,-9000,35119362.4,
Remote woodlands,-8000,35349922.79,
Remote woodlands,-7000,35514178.16,
Remote woodlands,-6000,35353848.19,
Remote woodlands,-5000,34382745.89,
Remote woodlands,-4000,32686879.22,
Remote woodlands,-3000,31418574.03,
Remote woodlands,-2000,29696070.9,
Remote woodlands,-1000,28398202.93,
Remote woodlands,0,25850352.23,
Remote woodlands,100,25579515.23,
Remote woodlands,200,25237721.76,
Remote woodlands,300,25117653.03,
Remote woodlands,400,24736344.49,
Remote woodlands,500,24289206.11,
Remote woodlands,600,23827862.54,
Remote woodlands,700,23212604.02,
Remote woodlands,800,22532708.91,
Remote woodlands,900,21864859.23,
Remote woodlands,1000,21340027.92,
Remote woodlands,1100,19758710.48,
Remote woodlands,1200,18669453.69,
Remote woodlands,1300,18125221.28,
Remote woodlands,1400,17591484.57,
Remote woodlands,1500,16664727.79,
Remote woodlands,1600,19535849.72,
Remote woodlands,1700,18670521.19,
Remote woodlands,1710,18495337.37,
Remote woodlands,1720,18163186.77,
Remote woodlands,1730,17872063.45,
Remote woodlands,1740,17641281.18,
Remote woodlands,1750,17450734.63,
Remote woodlands,1760,17278897.22,
Remote woodlands,1770,17110115.7,
Remote woodlands,1780,16934307.81,
Remote woodlands,1790,16792738.75,
Remote woodlands,1800,16510053.48,
Remote woodlands,1810,16192406.81,
Remote woodlands,1820,15850077.68,
Remote woodlands,1830,15411191.52,
Remote woodlands,1840,14904023.68,
Remote woodlands,1850,14563761.35,
Remote woodlands,1860,14096823.75,
Remote woodlands,1870,13897321.55,
Remote woodlands,1880,13570695.15,
Remote woodlands,1890,13117775.98,
Remote woodlands,1900,12785480.61,
Remote woodlands,1910,12250193.49,
Remote woodlands,1920,11898150.39,
Remote woodlands,1930,11501275.13,
Remote woodlands,1940,11093028.77,
Remote woodlands,1950,10739414.68,
Remote woodlands,1960,10100969.74,
Remote woodlands,1970,9612284.89,
Remote woodlands,1980,9078748.815,
Remote woodlands,1990,8697919.427,
Remote woodlands,2000,8651823.235,
Remote woodlands,2001,8661599.877,
Remote woodlands,2002,8669486.134,
Remote woodlands,2003,8674850.137,
Remote woodlands,2004,8681507.275,
Remote woodlands,2005,8693001.46,
Remote woodlands,2006,8705447.895,
Remote woodlands,2007,8717833.683,
Remote woodlands,2008,8728787.953,
Remote woodlands,2009,8740731.473,
Remote woodlands,2010,8754953.672,
Remote woodlands,2011,8761138.277,
Remote woodlands,2012,8771590.413,
Remote woodlands,2013,8812798.512,
Remote woodlands,2014,8779865.883,
Remote woodlands,2015,8749492.437,
Residential irrigated croplands,-10000,0,
Residential irrigated croplands,-9000,0,
Residential irrigated croplands,-8000,0,
Residential irrigated croplands,-7000,0,
Residential irrigated croplands,-6000,0,
Residential irrigated croplands,-5000,0,
Residential irrigated croplands,-4000,3917.41609,
Residential irrigated croplands,-3000,12302.1559,
Residential irrigated croplands,-2000,15118.83589,
Residential irrigated croplands,-1000,14714.39713,
Residential irrigated croplands,0,24411.90574,
Residential irrigated croplands,100,24611.69604,
Residential irrigated croplands,200,22599.35705,
Residential irrigated croplands,300,18520.32935,
Residential irrigated croplands,400,22280.83405,
Residential irrigated croplands,500,29089.43908,
Residential irrigated croplands,600,31174.41218,
Residential irrigated croplands,700,31937.73215,
Residential irrigated croplands,800,29951.22485,
Residential irrigated croplands,900,35762.1769,
Residential irrigated croplands,1000,35285.78317,
Residential irrigated croplands,1100,42404.71751,
Residential irrigated croplands,1200,41484.45471,
Residential irrigated croplands,1300,47286.79511,
Residential irrigated croplands,1400,44700.74597,
Residential irrigated croplands,1500,51704.00627,
Residential irrigated croplands,1600,47897.8021,
Residential irrigated croplands,1700,51601.27309,
Residential irrigated croplands,1710,58287.87743,
Residential irrigated croplands,1720,66519.61804,
Residential irrigated croplands,1730,72516.56404,
Residential irrigated croplands,1740,77490.12494,
Residential irrigated croplands,1750,78165.882,
Residential irrigated croplands,1760,82395.66591,
Residential irrigated croplands,1770,83092.35271,
Residential irrigated croplands,1780,73952.22569,
Residential irrigated croplands,1790,73791.03523,
Residential irrigated croplands,1800,81337.75458,
Residential irrigated croplands,1810,113943.7315,
Residential irrigated croplands,1820,152259.8348,
Residential irrigated croplands,1830,185888.5248,
Residential irrigated croplands,1840,224561.9594,
Residential irrigated croplands,1850,256033.9308,
Residential irrigated croplands,1860,289315.1067,
Residential irrigated croplands,1870,332564.6003,
Residential irrigated croplands,1880,366166.5437,
Residential irrigated croplands,1890,397705.8089,
Residential irrigated croplands,1900,427026.2381,
Residential irrigated croplands,1910,535224.1308,
Residential irrigated croplands,1920,616881.719,
Residential irrigated croplands,1930,665772.2911,
Residential irrigated croplands,1940,726605.8704,
Residential irrigated croplands,1950,739292.4775,
Residential irrigated croplands,1960,664424.5708,
Residential irrigated croplands,1970,662686.2461,
Residential irrigated croplands,1980,761997.2311,
Residential irrigated croplands,1990,835622.0279,
Residential irrigated croplands,2000,920858.9935,
Residential irrigated croplands,2001,932046.3431,
Residential irrigated croplands,2002,945808.4301,
Residential irrigated croplands,2003,967339.3613,
Residential irrigated croplands,2004,974187.0538,
Residential irrigated croplands,2005,983668.9867,
Residential irrigated croplands,2006,994471.9309,
Residential irrigated croplands,2007,995282.3654,
Residential irrigated croplands,2008,1007881.351,
Residential irrigated croplands,2009,1006750.505,
Residential irrigated croplands,2010,1016379.712,
Residential irrigated croplands,2011,1024943.12,
Residential irrigated croplands,2012,1023503.832,
Residential irrigated croplands,2013,1037032.582,
Residential irrigated croplands,2014,1042831.624,
Residential irrigated croplands,2015,1048619.037,
Residential rainfed croplands,-10000,0,
Residential rainfed croplands,-9000,0,
Residential rainfed croplands,-8000,0,
Residential rainfed croplands,-7000,0,
Residential rainfed croplands,-6000,306.9184,
Residential rainfed croplands,-5000,2104.8061,
Residential rainfed croplands,-4000,12304.99675,
Residential rainfed croplands,-3000,45778.65152,
Residential rainfed croplands,-2000,112444.075,
Residential rainfed croplands,-1000,256360.8154,
Residential rainfed croplands,0,1292112.348,
Residential rainfed croplands,100,1285177.649,
Residential rainfed croplands,200,1221897.782,
Residential rainfed croplands,300,942425.8081,
Residential rainfed croplands,400,966389.9566,
Residential rainfed croplands,500,945094.6094,
Residential rainfed croplands,600,1039951.236,
Residential rainfed croplands,700,985464.859,
Residential rainfed croplands,800,1022860.416,
Residential rainfed croplands,900,1235182.829,
Residential rainfed croplands,1000,1331474.162,
Residential rainfed croplands,1100,2029360.185,
Residential rainfed croplands,1200,2486627.127,
Residential rainfed croplands,1300,2642732.05,
Residential rainfed croplands,1400,2232336.106,
Residential rainfed croplands,1500,2698153.991,
Residential rainfed croplands,1600,2802084.463,
Residential rainfed croplands,1700,3034634.163,
Residential rainfed croplands,1710,3172969.919,
Residential rainfed croplands,1720,3305989.43,
Residential rainfed croplands,1730,3434559.086,
Residential rainfed croplands,1740,3564858.834,
Residential rainfed croplands,1750,3745540.17,
Residential rainfed croplands,1760,3982940.66,
Residential rainfed croplands,1770,4163417.826,
Residential rainfed croplands,1780,4192046.072,
Residential rainfed croplands,1790,4335646.995,
Residential rainfed croplands,1800,4563351.474,
Residential rainfed croplands,1810,4674423.378,
Residential rainfed croplands,1820,4811181.255,
Residential rainfed croplands,1830,4962154.102,
Residential rainfed croplands,1840,5348353.835,
Residential rainfed croplands,1850,5664433.226,
Residential rainfed croplands,1860,6179658.546,
Residential rainfed croplands,1870,6600347.919,
Residential rainfed croplands,1880,7150940.201,
Residential rainfed croplands,1890,7579155.953,
Residential rainfed croplands,1900,7981623.453,
Residential rainfed croplands,1910,8549518.459,
Residential rainfed croplands,1920,8771739.628,
Residential rainfed croplands,1930,9142553.393,
Residential rainfed croplands,1940,9762465.336,
Residential rainfed croplands,1950,10231869.47,
Residential rainfed croplands,1960,10916609.29,
Residential rainfed croplands,1970,10778455.33,
Residential rainfed croplands,1980,10471962.92,
Residential rainfed croplands,1990,10382785.03,
Residential rainfed croplands,2000,10196049.41,
Residential rainfed croplands,2001,10180800.05,
Residential rainfed croplands,2002,10145943.06,
Residential rainfed croplands,2003,10177069.42,
Residential rainfed croplands,2004,10154890.32,
Residential rainfed croplands,2005,10162805.91,
Residential rainfed croplands,2006,10075087.19,
Residential rainfed croplands,2007,10045669.71,
Residential rainfed croplands,2008,10058410.58,
Residential rainfed croplands,2009,10040996.01,
Residential rainfed croplands,2010,9992112.6,
Residential rainfed croplands,2011,9974042.736,
Residential rainfed croplands,2012,10008646.02,
Residential rainfed croplands,2013,9983415.998,
Residential rainfed croplands,2014,9982451.56,
Residential rainfed croplands,2015,9998304.106,
Residential rangelands,-10000,0,
Residential rangelands,-9000,0,
Residential rangelands,-8000,0,
Residential rangelands,-7000,0,
Residential rangelands,-6000,0,
Residential rangelands,-5000,58.3299,
Residential rangelands,-4000,58.3299,
Residential rangelands,-3000,0,
Residential rangelands,-2000,497.471,
Residential rangelands,-1000,356.9964,
Residential rangelands,0,25808.44325,
Residential rangelands,100,33073.98825,
Residential rangelands,200,39847.12957,
Residential rangelands,300,46164.40046,
Residential rangelands,400,42249.20311,
Residential rangelands,500,51681.2114,
Residential rangelands,600,120984.7458,
Residential rangelands,700,114693.2931,
Residential rangelands,800,209316.4847,
Residential rangelands,900,304390.5655,
Residential rangelands,1000,344634.3746,
Residential rangelands,1100,444667.6438,
Residential rangelands,1200,636084.2317,
Residential rangelands,1300,733499.8009,
Residential rangelands,1400,681753.1024,
Residential rangelands,1500,803971.7889,
Residential rangelands,1600,988274.436,
Residential rangelands,1700,1086627.526,
Residential rangelands,1710,1080426.532,
Residential rangelands,1720,1089222.885,
Residential rangelands,1730,1092165.808,
Residential rangelands,1740,1092111.182,
Residential rangelands,1750,1086022.114,
Residential rangelands,1760,1142770.804,
Residential rangelands,1770,1243881.646,
Residential rangelands,1780,1447417.014,
Residential rangelands,1790,1526276.756,
Residential rangelands,1800,1513408.578,
Residential rangelands,1810,1637624.211,
Residential rangelands,1820,1684414.239,
Residential rangelands,1830,1830139.644,
Residential rangelands,1840,1981953.848,
Residential rangelands,1850,2125356.119,
Residential rangelands,1860,2202558.523,
Residential rangelands,1870,2104611.233,
Residential rangelands,1880,2185192.999,
Residential rangelands,1890,2313737.867,
Residential rangelands,1900,2478382.966,
Residential rangelands,1910,2671489.754,
Residential rangelands,1920,2845547.412,
Residential rangelands,1930,3146488.091,
Residential rangelands,1940,3435818.24,
Residential rangelands,1950,3918543.448,
Residential rangelands,1960,4441824.945,
Residential rangelands,1970,5087574.164,
Residential rangelands,1980,5880471.324,
Residential rangelands,1990,6263443.961,
Residential rangelands,2000,6750194.64,
Residential rangelands,2001,6773724.015,
Residential rangelands,2002,6804637.713,
Residential rangelands,2003,6760472.448,
Residential rangelands,2004,6790501.905,
Residential rangelands,2005,6756374.239,
Residential rangelands,2006,6817851.751,
Residential rangelands,2007,6844917.805,
Residential rangelands,2008,6828674.599,
Residential rangelands,2009,6831532.515,
Residential rangelands,2010,6859690.012,
Residential rangelands,2011,6851927.221,
Residential rangelands,2012,6825984.493,
Residential rangelands,2013,6849202.913,
Residential rangelands,2014,6885179.792,
Residential rangelands,2015,6905140.785,
Residential woodlands,-10000,1027.8421,
Residential woodlands,-9000,1027.8421,
Residential woodlands,-8000,1382.3376,
Residential woodlands,-7000,2529.6077,
Residential woodlands,-6000,7543.1622,
Residential woodlands,-5000,12264.47105,
Residential woodlands,-4000,24840.8906,
Residential woodlands,-3000,198788.9754,
Residential woodlands,-2000,662326.689,
Residential woodlands,-1000,1386064.688,
Residential woodlands,0,3434911.899,
Residential woodlands,100,3453010.275,
Residential woodlands,200,3455237.84,
Residential woodlands,300,2846612.622,
Residential woodlands,400,3162962.138,
Residential woodlands,500,3367864.989,
Residential woodlands,600,3563757.769,
Residential woodlands,700,3618486.852,
Residential woodlands,800,3415513.949,
Residential woodlands,900,3664414.035,
Residential woodlands,1000,3670298.525,
Residential woodlands,1100,4338471.393,
Residential woodlands,1200,4587396.655,
Residential woodlands,1300,4643916.026,
Residential woodlands,1400,4644722.538,
Residential woodlands,1500,5039650.205,
Residential woodlands,1600,4847096.611,
Residential woodlands,1700,4790547.73,
Residential woodlands,1710,4828323.047,
Residential woodlands,1720,4921418.394,
Residential woodlands,1730,4954304.243,
Residential woodlands,1740,4995249.712,
Residential woodlands,1750,5027095.692,
Residential woodlands,1760,4935946.234,
Residential woodlands,1770,4857938.697,
Residential woodlands,1780,4769122.559,
Residential woodlands,1790,4706469.069,
Residential woodlands,1800,4695345.111,
Residential woodlands,1810,4647796.772,
Residential woodlands,1820,4668655.356,
Residential woodlands,1830,4683256.078,
Residential woodlands,1840,4677086.658,
Residential woodlands,1850,4650099.081,
Residential woodlands,1860,4712434.208,
Residential woodlands,1870,4792463.413,
Residential woodlands,1880,4781519.585,
Residential woodlands,1890,4767918.278,
Residential woodlands,1900,4689613.425,
Residential woodlands,1910,4625480.745,
Residential woodlands,1920,4545529.66,
Residential woodlands,1930,4442600.649,
Residential woodlands,1940,4178939.131,
Residential woodlands,1950,3994944.335,
Residential woodlands,1960,3972438.658,
Residential woodlands,1970,4105019.044,
Residential woodlands,1980,4206019.08,
Residential woodlands,1990,4227561.196,
Residential woodlands,2000,4198044.571,
Residential woodlands,2001,4206688.789,
Residential woodlands,2002,4217701.656,
Residential woodlands,2003,4223244.534,
Residential woodlands,2004,4219611.051,
Residential woodlands,2005,4239222.373,
Residential woodlands,2006,4256212.745,
Residential woodlands,2007,4261809.423,
Residential woodlands,2008,4252002.478,
Residential woodlands,2009,4250703.12,
Residential woodlands,2010,4255600.557,
Residential woodlands,2011,4264001.945,
Residential woodlands,2012,4256854.696,
Residential woodlands,2013,4268437.032,
Residential woodlands,2014,4285249.54,
Residential woodlands,2015,4302009.421,
Rice villages,-10000,0,
Rice villages,-9000,0,
Rice villages,-8000,0,
Rice villages,-7000,0,
Rice villages,-6000,0,
Rice villages,-5000,0,
Rice villages,-4000,0,
Rice villages,-3000,0,
Rice villages,-2000,0,
Rice villages,-1000,148.2767,
Rice villages,0,664.3366,
Rice villages,100,664.3366,
Rice villages,200,738.4769,
Rice villages,300,738.4769,
Rice villages,400,738.4769,
Rice villages,500,517.5807,
Rice villages,600,866.4035,
Rice villages,700,866.4035,
Rice villages,800,1401.8081,
Rice villages,900,1309.5514,
Rice villages,1000,1252.4759,
Rice villages,1100,1451.1672,
Rice villages,1200,1951.3956,
Rice villages,1300,2065.81301,
Rice villages,1400,2259.67391,
Rice villages,1500,2822.23631,
Rice villages,1600,3910.6503,
Rice villages,1700,5346.5308,
Rice villages,1710,5902.8747,
Rice villages,1720,7209.3526,
Rice villages,1730,8826.74513,
Rice villages,1740,11702.44413,
Rice villages,1750,20235.89553,
Rice villages,1760,26768.91917,
Rice villages,1770,37906.74856,
Rice villages,1780,60658.33481,
Rice villages,1790,70988.91251,
Rice villages,1800,73942.83102,
Rice villages,1810,105965.3856,
Rice villages,1820,115224.7916,
Rice villages,1830,137019.857,
Rice villages,1840,153505.347,
Rice villages,1850,175041.0049,
Rice villages,1860,198340.7913,
Rice villages,1870,211938.1684,
Rice villages,1880,237216.0496,
Rice villages,1890,268808.2565,
Rice villages,1900,294754.7875,
Rice villages,1910,347061.9509,
Rice villages,1920,390654.9861,
Rice villages,1930,441328.5237,
Rice villages,1940,468163.1589,
Rice villages,1950,565372.7937,
Rice villages,1960,728901.1932,
Rice villages,1970,817518.8574,
Rice villages,1980,902294.4659,
Rice villages,1990,890264.8424,
Rice villages,2000,926154.3518,
Rice villages,2001,921688.4162,
Rice villages,2002,912686.7288,
Rice villages,2003,921859.4447,
Rice villages,2004,952792.8508,
Rice villages,2005,988816.2732,
Rice villages,2006,1028648.149,
Rice villages,2007,1046832.998,
Rice villages,2008,1079278.437,
Rice villages,2009,1060721.329,
Rice villages,2010,1062914.274,
Rice villages,2011,1073449.063,
Rice villages,2012,1064026.712,
Rice villages,2013,1073049.057,
Rice villages,2014,1078841.453,
Rice villages,2015,1078847.537,
Semi-natural land,-10000,,78894394.58
Semi-natural land,-9000,,80218373.04
Semi-natural land,-8000,,81465246.99
Semi-natural land,-7000,,82617609.49
Semi-natural land,-6000,,83693188.68
Semi-natural land,-5000,,84459149.89
Semi-natural land,-4000,,85056224.34
Semi-natural land,-3000,,85511781.82
Semi-natural land,-2000,,86305813.23
Semi-natural land,-1000,,85642679.14
Semi-natural land,0,,84629744.86
Semi-natural land,100,,84818676.48
Semi-natural land,200,,84991954.06
Semi-natural land,300,,85459586.15
Semi-natural land,400,,85793530.67
Semi-natural land,500,,85496317.51
Semi-natural land,600,,84704484.88
Semi-natural land,700,,84171992
Semi-natural land,800,,83513878.57
Semi-natural land,900,,82783555.7
Semi-natural land,1000,,82350071.9
Semi-natural land,1100,,81432391.49
Semi-natural land,1200,,80951746.84
Semi-natural land,1300,,80619521.01
Semi-natural land,1400,,80588655.02
Semi-natural land,1500,,79677475.84
Semi-natural land,1600,,78708678.07
Semi-natural land,1700,,77347901.69
Semi-natural land,1710,,77236364.6
Semi-natural land,1720,,76740902.25
Semi-natural land,1730,,75944746.6
Semi-natural land,1740,,75008181.44
Semi-natural land,1750,,72688939.79
Semi-natural land,1760,,71742611.08
Semi-natural land,1770,,70846364.32
Semi-natural land,1780,,69919689.12
Semi-natural land,1790,,69225924.66
Semi-natural land,1800,,68232215.77
Semi-natural land,1810,,67377905
Semi-natural land,1820,,66680100.74
Semi-natural land,1830,,65080886.35
Semi-natural land,1840,,63599696.13
Semi-natural land,1850,,62559624.02
Semi-natural land,1860,,61364491.84
Semi-natural land,1870,,60668693.66
Semi-natural land,1880,,57920951.12
Semi-natural land,1890,,55435314.59
Semi-natural land,1900,,50489771.41
Semi-natural land,1910,,47920335.25
Semi-natural land,1920,,45376252.54
Semi-natural land,1930,,42802265.74
Semi-natural land,1940,,40007268.56
Semi-natural land,1950,,37517883.07
Semi-natural land,1960,,35482338.71
Semi-natural land,1970,,34665012.89
Semi-natural land,1980,,33517343.93
Semi-natural land,1990,,32812778.52
Semi-natural land,2000,,32002717.3
Semi-natural land,2001,,31984038.65
Semi-natural land,2002,,31975743.53
Semi-natural land,2003,,31965190.42
Semi-natural land,2004,,31911896.64
Semi-natural land,2005,,31977818.72
Semi-natural land,2006,,31984838.29
Semi-natural land,2007,,31959854.76
Semi-natural land,2008,,31926349.36
Semi-natural land,2009,,31920645.4
Semi-natural land,2010,,31924002.84
Semi-natural land,2011,,31995423.52
Semi-natural land,2012,,31958492.46
Semi-natural land,2013,,32017059.58
Semi-natural land,2014,,31988274.29
Semi-natural land,2015,,31963460.83
Urban,-10000,0,0
Urban,-9000,0,0
Urban,-8000,0,60.2029
Urban,-7000,0,60.2029
Urban,-6000,0,44.117
Urban,-5000,0,44.117
Urban,-4000,0,277.7667
Urban,-3000,0,602.0583
Urban,-2000,0,1360.1656
Urban,-1000,0,4843.91682
Urban,0,14.49159,31626.34486
Urban,100,14.49159,42782.48874
Urban,200,74.69449,53495.00687
Urban,300,252.85349,66529.02137
Urban,400,135.49679,82261.45547
Urban,500,0,98006.30389
Urban,600,0,107952.6252
Urban,700,0,114647.8743
Urban,800,0,122397.5312
Urban,900,0,127346.6337
Urban,1000,10.4287,131672.0146
Urban,1100,189.64532,141294.387
Urban,1200,383.94172,154735.2825
Urban,1300,386.00141,168097.0094
Urban,1400,442.47401,178737.8853
Urban,1500,442.47401,205792.696
Urban,1600,576.20181,220516.0853
Urban,1700,646.78671,405904.4614
Urban,1710,813.93062,406312.5205
Urban,1720,918.40042,392641.4358
Urban,1730,988.76099,393722.8586
Urban,1740,1044.70049,399359.113
Urban,1750,1075.05711,390639.2577
Urban,1760,1246.65321,350354.9199
Urban,1770,1419.10821,317333.2401
Urban,1780,2393.37265,350030.62
Urban,1790,3484.15035,370208.7758
Urban,1800,4376.69665,344947.1745
Urban,1810,7455.25942,422972.0149
Urban,1820,8908.64855,429741.0722
Urban,1830,12996.51015,478829.7693
Urban,1840,17261.06459,508275.6305
Urban,1850,19568.58178,542151.9513
Urban,1860,22051.46177,568779.0793
Urban,1870,21664.47776,525658.3888
Urban,1880,28979.03628,578076.1975
Urban,1890,39083.6788,632155.1969
Urban,1900,52234.88874,704643.2937
Urban,1910,78231.99629,792202.5024
Urban,1920,102395.596,895943.2978
Urban,1930,130204.4576,967237.3134
Urban,1940,154894.6517,1001898.714
Urban,1950,198004.0962,1101196.674
Urban,1960,257481.4621,1242104.486
Urban,1970,330082.3558,1482036.415
Urban,1980,393201.6073,1671676.877
Urban,1990,472857.3481,1739284.15
Urban,2000,571287.3932,1944387.438
Urban,2001,581220.8433,1964196.485
Urban,2002,590038.7953,1986866.642
Urban,2003,598964.1359,2009323.823
Urban,2004,608630.6542,2020720.07
Urban,2005,618253.1455,2042534.269
Urban,2006,628423.008,2071488.415
Urban,2007,639872.2864,2091669.628
Urban,2008,650046.1745,2108382.42
Urban,2009,660011.2287,2126617.106
