Entity,Year,Health Expenditure and Financing (per capita) (OECDstat (2017))
New Zealand,2015,3183.9663
Norway,1970,846.9044
Norway,1971,948.4623
Norway,1972,1068.0202
Norway,1973,1147.8994
Norway,1974,1184.7628
Norway,1975,1312.8012
Norway,1976,1397.1974
Norway,1977,1499.7419
Norway,1978,1699.6421
Norway,1979,1651.6198
Norway,1980,1737.859
Norway,1981,1782.7722
Norway,1982,1833.8316
Norway,1983,1947.5575
Norway,1984,1938.0624
Norway,1985,2025.9757
Norway,1986,2075.2096
Norway,1987,2140.5139
Norway,1988,2119.0708
Norway,1989,2112.6695
Norway,1990,2519.8144
Norway,1991,2660.3272
Norway,1992,2737.9341
Norway,1993,2761.3593
Norway,1994,2800.1692
Norway,1995,2863.3941
Norway,1996,3034.7886
Norway,1997,3426.2475
Norway,1998,3639.4707
Norway,1999,3826.0384
Norway,2000,4003.9711
Norway,2001,4139.3039
Norway,2002,4504.0563
Norway,2003,4633.588
Norway,2004,4734.1539
Norway,2005,4822.7491
Norway,2006,4846.3557
Norway,2007,4965.1445
Norway,2008,5149.5973
Norway,2009,5254.0755
Norway,2010,5240.4165
Norway,2011,5387.9816
Norway,2012,5499.0862
Norway,2013,5557.2025
Norway,2014,5730.1556
Norway,2015,5926.4438
Poland,1970,..
Poland,1971,..
Poland,1972,..
Poland,1973,..
Poland,1974,..
Poland,1975,..
Poland,1976,..
Poland,1977,..
Poland,1978,..
Poland,1979,..
Poland,1980,..
Poland,1981,..
Poland,1982,..
Poland,1983,..
Poland,1984,..
Poland,1985,..
Poland,1986,..
Poland,1987,..
Poland,1988,..
Poland,1989,..
Poland,1990,427.8173
Poland,1991,438.6615
Poland,1992,469.5296
Poland,1993,495.4858
Poland,1994,508.6694
Poland,1995,534.474
Poland,1996,603.1162
Poland,1997,625.1421
Poland,1998,643.9559
Poland,1999,732.2129
Poland,2000,749.8991
Poland,2001,814.007
Poland,2002,889.627
Poland,2003,904.2159
Poland,2004,942.0814
Poland,2005,965.1666
Poland,2006,1023.0938
Poland,2007,1107.0177
Poland,2008,1255.96
Poland,2009,1332.3118
Poland,2010,1340.7184
Poland,2011,1366.5163
Poland,2012,1380.6929
Poland,2013,1455.2589
Poland,2014,1499.4553
Poland,2015,1527.8929
Portugal,1970,237.0312
Portugal,1971,271.9299
Portugal,1972,362.9296
Portugal,1973,436.2657
Portugal,1974,465.4141
Portugal,1975,586.6569
Portugal,1976,589.9406
Portugal,1977,550.1092
Portugal,1978,577.0041
Portugal,1979,586.0709
Portugal,1980,709.0758
Portugal,1981,749.3987
Portugal,1982,769.8922
Portugal,1983,725.81
Portugal,1984,727.9294
Portugal,1985,809.3355
Portugal,1986,930.6231
Portugal,1987,962.9728
Portugal,1988,1079.2977
Portugal,1989,1060.3577
Portugal,1990,1100.2537
Portugal,1991,1260.1745
Portugal,1992,1305.9827
Portugal,1993,1332.6912
Portugal,1994,1336.6224
Portugal,1995,1555.9956
Portugal,1996,1660.6355
Portugal,1997,1717.3753
Portugal,1998,1782.9635
Portugal,1999,1901.5175
Portugal,2000,2153.7887
Portugal,2001,2187.8126
Portugal,2002,2232.7837
Portugal,2003,2292.0779
Portugal,2004,2431.0609
Portugal,2005,2481.444
Portugal,2006,2436.1823
Portugal,2007,2472.8037
Portugal,2008,2552.405
Portugal,2009,2613.2917
Portugal,2010,2645.6631
Portugal,2011,2524.7798
Portugal,2012,2386.2305
Portugal,2013,2306.5946
Portugal,2014,2312.9412
Portugal,2015,2319.3756
Slovak Republic,1970,..
Slovak Republic,1971,..
Slovak Republic,1972,..
Slovak Republic,1973,..
Slovak Republic,1974,..
Slovak Republic,1975,..
Slovak Republic,1976,..
Slovak Republic,1977,..
Slovak Republic,1978,..
Slovak Republic,1979,..
Slovak Republic,1980,..
Slovak Republic,1981,..
Slovak Republic,1982,..
Slovak Republic,1983,..
Slovak Republic,1984,..
Slovak Republic,1985,..
Slovak Republic,1986,..
Slovak Republic,1987,..
Slovak Republic,1988,..
Slovak Republic,1989,..
Slovak Republic,1990,..
Slovak Republic,1991,..
Slovak Republic,1992,..
Slovak Republic,1993,..
Slovak Republic,1994,..
Slovak Republic,1995,..
Slovak Republic,1996,..
Slovak Republic,1997,821.5848
Slovak Republic,1998,837.7805
Slovak Republic,1999,833.5161
Slovak Republic,2000,810.1319
Slovak Republic,2001,842.8819
Slovak Republic,2002,910.4797
Slovak Republic,2003,950.2762
Slovak Republic,2004,1187.6545
Slovak Republic,2005,1290.7632
Slovak Republic,2006,1455.7134
Slovak Republic,2007,1689.6859
Slovak Republic,2008,1727.8643
Slovak Republic,2009,1864.0134
Slovak Republic,2010,1917.8972
Slovak Republic,2011,1872.8004
Slovak Republic,2012,1955.786
Slovak Republic,2013,1955.2659
Slovak Republic,2014,1842.2812
Slovak Republic,2015,1916.8807
Slovenia,1970,..
Slovenia,1971,..
Slovenia,1972,..
Slovenia,1973,..
Slovenia,1974,..
Slovenia,1975,..
Slovenia,1976,..
Slovenia,1977,..
Slovenia,1978,..
Slovenia,1979,..
Slovenia,1980,..
Slovenia,1981,..
Slovenia,1982,..
Slovenia,1983,..
Slovenia,1984,..
Slovenia,1985,..
Slovenia,1986,..
Slovenia,1987,..
Slovenia,1988,..
Slovenia,1989,..
Slovenia,1990,..
Slovenia,1991,..
Slovenia,1992,..
Slovenia,1993,..
Slovenia,1994,..
Slovenia,1995,1302.0993
Slovenia,1996,1382.4006
Slovenia,1997,1476.5463
Slovenia,1998,1537.2319
Slovenia,1999,1615.3151
Slovenia,2000,1775.6261
Slovenia,2001,1891.9529
Slovenia,2002,1864.5666
Slovenia,2003,1936.9238
Slovenia,2004,1981.1986
Slovenia,2005,2066.8623
Slovenia,2006,2132.2841
Slovenia,2007,2178.1724
Slovenia,2008,2352.881
Slovenia,2009,2345.0101
Slovenia,2010,2363.6692
Slovenia,2011,2368.1191
Slovenia,2012,2350.1776
Slovenia,2013,2329.7555
Slovenia,2014,2340.6884
Slovenia,2015,2353.321
Spain,1970,448.6712
Spain,1971,529.0742
Spain,1972,598.3453
Spain,1973,625.202
Spain,1974,712.0427
Spain,1975,737.2338
Spain,1976,838.3206
Spain,1977,897.2817
Spain,1978,904.8541
Spain,1979,887.8727
Spain,1980,913.767
Spain,1981,930.2032
Spain,1982,953.6557
Spain,1983,994.0806
Spain,1984,972.3343
Spain,1985,969.0119
Spain,1986,989.7395
Spain,1987,1056.5485
Spain,1988,1232.2096
Spain,1989,1317.4873
Spain,1990,1444.19
Spain,1991,1522.8289
Spain,1992,1623.3291
Spain,1993,1674.5823
Spain,1994,1691.7669
Spain,1995,1773.4063
Spain,1996,1822.1491
Spain,1997,1853.2472
Spain,1998,1916.3749
Spain,1999,1993.7851
Spain,2000,2049.5785
Spain,2001,2095.6373
Spain,2002,2127.0201
Spain,2003,2385.9139
Spain,2004,2447.9456
Spain,2005,2515.3131
Spain,2006,2602.8273
Spain,2007,2679.2603
Spain,2008,2820.1949
Spain,2009,2919.5785
Spain,2010,2917.9495
Spain,2011,2902.7335
Spain,2012,2824.2009
Spain,2013,2755.9181
Spain,2014,2830.0676
Spain,2015,2896.8668
Sweden,1970,1168.3438
Sweden,1971,1264.5827
Sweden,1972,1311.8471
Sweden,1973,1355.4941
Sweden,1974,1450.5871
Sweden,1975,1549.189
Sweden,1976,1627.8297
Sweden,1977,1773.2115
Sweden,1978,1810.4277
Sweden,1979,1848.868
Sweden,1980,1953.5603
Sweden,1981,1986.0949
Sweden,1982,2031.7116
Sweden,1983,2046.4383
Sweden,1984,2079.5479
Sweden,1985,2013.3008
Sweden,1986,1997.8438
Sweden,1987,2080.6575
Sweden,1988,2099.4967
Sweden,1989,2158.6983
Sweden,1990,2182.6409
Sweden,1991,2139.2097
Sweden,1992,2184.6582
Sweden,1993,2195.9112
Sweden,1994,2154.1985
Sweden,1995,2203.4506
Sweden,1996,2295.8033
Sweden,1997,2304.9606
Sweden,1998,2428.7845
Sweden,1999,2541.0711
Sweden,2000,2656.362
Sweden,2001,2916.3359
Sweden,2002,3088.2543
Sweden,2003,3188.528
Sweden,2004,3233.9575
Sweden,2005,3318.2521
Sweden,2006,3405.7841
Sweden,2007,3458.3971
Sweden,2008,3513.5332
Sweden,2009,3553.986
Sweden,2010,3543.5822
Sweden,2011,4543.4803
Sweden,2012,4606.2456
Sweden,2013,4693.0745
Sweden,2014,4786.5334
Sweden,2015,4906.8583
Switzerland,1970,1672.2598
Switzerland,1971,1808.617
Switzerland,1972,1840.0689
Switzerland,1973,1909.8974
Switzerland,1974,2058.5251
Switzerland,1975,2175.9491
Switzerland,1976,2233.4705
Switzerland,1977,2293.6911
Switzerland,1978,2306.4702
Switzerland,1979,2392.3016
Switzerland,1980,2505.0154
Switzerland,1981,2554.0175
Switzerland,1982,2557.1418
Switzerland,1983,2699.0504
Switzerland,1984,2677.8657
Switzerland,1985,2765.2105
Switzerland,1986,2871.506
Switzerland,1987,2981.6448
Switzerland,1988,3076.9371
Switzerland,1989,3194.6702
Switzerland,1990,3251.551
Switzerland,1991,3442.2275
Switzerland,1992,3561.0551
Switzerland,1993,3556.6773
Switzerland,1994,3604.8755
Switzerland,1995,3752.1866
Switzerland,1996,3906.0381
Switzerland,1997,3982.1448
Switzerland,1998,4142.3256
Switzerland,1999,4248.5318
Switzerland,2000,4344.558
Switzerland,2001,4545.3768
Switzerland,2002,4706.3575
Switzerland,2003,4811.0269
Switzerland,2004,4928.0873
Switzerland,2005,4964.2494
Switzerland,2006,4906.6836
Switzerland,2007,4975.4899
Switzerland,2008,5100.4791
Switzerland,2009,5236.1522
Switzerland,2010,5371.4504
Switzerland,2011,5485.8134
Switzerland,2012,5687.2677
Switzerland,2013,5818.7818
Switzerland,2014,5971.8173
Switzerland,2015,6062.2568
Turkey,1970,..
Turkey,1971,..
Turkey,1972,..
Turkey,1973,..
Turkey,1974,..
Turkey,1975,165.0731
Turkey,1976,140.9377
Turkey,1977,167.3497
Turkey,1978,185.7754
Turkey,1979,185.7688
Turkey,1980,182.3208
Turkey,1981,203.7051
Turkey,1982,171.7645
Turkey,1983,179.843
Turkey,1984,180.2676
Turkey,1985,129.4716
Turkey,1986,167.0179
Turkey,1987,184.8806
Turkey,1988,201.9671
Turkey,1989,216.9416
Turkey,1990,249.5391
Turkey,1991,280.5111
Turkey,1992,287.4862
Turkey,1993,298.9687
Turkey,1994,270.0727
Turkey,1995,265.1805
Turkey,1996,322.5513
Turkey,1997,367.7261
Turkey,1998,427.0581
Turkey,1999,516.4664
Turkey,2000,575.1512
Turkey,2001,582.2162
Turkey,2002,634.4325
Turkey,2003,656.849
Turkey,2004,697.9255
Turkey,2005,748.9754
Turkey,2006,832.1519
Turkey,2007,878.5876
Turkey,2008,871.6667
Turkey,2009,862.9134
Turkey,2010,852.6704
Turkey,2011,862.9516
Turkey,2012,856.9456
Turkey,2013,903.5676
Turkey,2014,917.6357
Turkey,2015,974.8436
United Kingdom,1970,656.0517
United Kingdom,1971,684.045
United Kingdom,1972,723.019
United Kingdom,1973,755.9272
United Kingdom,1974,851.4209
United Kingdom,1975,889.9373
United Kingdom,1976,920.0744
United Kingdom,1977,924.6097
United Kingdom,1978,953.2253
United Kingdom,1979,975.3974
United Kingdom,1980,1018.0133
United Kingdom,1981,1053.2004
United Kingdom,1982,1042.4711
United Kingdom,1983,1128.0444
United Kingdom,1984,1133.5529
United Kingdom,1985,1155.5843
United Kingdom,1986,1185.9615
United Kingdom,1987,1262.1952
United Kingdom,1988,1310.9193
United Kingdom,1989,1326.9804
United Kingdom,1990,1344.0919
United Kingdom,1991,1426.0631
United Kingdom,1992,1545.4584
United Kingdom,1993,1600.5217
United Kingdom,1994,1681.6816
United Kingdom,1995,1709.2018
United Kingdom,1996,1745.8191
United Kingdom,1997,1748.6616
United Kingdom,1998,1837.6474
United Kingdom,1999,1965.5434
United Kingdom,2000,2044.202
United Kingdom,2001,2204.104
United Kingdom,2002,2335.376
United Kingdom,2003,2487.615
United Kingdom,2004,2606.135
United Kingdom,2005,2712.273
United Kingdom,2006,2812.727
United Kingdom,2007,2894.783
United Kingdom,2008,2945.846
United Kingdom,2009,3085.415
United Kingdom,2010,3036.12
United Kingdom,2011,3063.044
United Kingdom,2012,3099.058
United Kingdom,2013,3673.108
United Kingdom,2014,3731.278
United Kingdom,2015,3755.9433
United States,1970,1452.5874
United States,1971,1513.5113
United States,1972,1609.232
United States,1973,1688.367
United States,1974,1746.0535
United States,1975,1809.8533
United States,1976,1954.6698
United States,1977,2092.2439
United States,1978,2177.4709
United States,1979,2260.2595
United States,1980,2363.7486
United States,1981,2485.7482
United States,1982,2611.8782
United States,1983,2743.7236
United States,1984,2902.8663
United States,1985,3068.3808
United States,1986,3202.9039
United States,1987,3364.5363
United States,1988,3610.2574
United States,1989,3835.6971
United States,1990,4093.4464
United States,1991,4277.884
United States,1992,4466.39
United States,1993,4623.3645
United States,1994,4721.7997
United States,1995,4835.5526
United States,1996,4945.7865
United States,1997,5068.7317
United States,1998,5243.21
United States,1999,5425.5428
United States,2000,5635.34
United States,2001,5934.7847
United States,2002,6341.6322
United States,2003,6695.7248
United States,2004,6924.3707
United States,2005,7092.7348
United States,2006,7269.6777
United States,2007,7449.0334
United States,2008,7561.5873
United States,2009,7778.6191
United States,2010,7929.372
United States,2011,8005.7887
United States,2012,8103.3367
United States,2013,8157.4229
United States,2014,8404.4305
United States,2015,8714.8975
