Entity,Year,Economic Complexity Index (ECI) (Observatory of Economic Complexity (2016)),ECI+ (Observatory of Economic Complexity (2016)),Economic Complexity Index (ECI) (Atlas of Economic Complexity (2016)),OEC ECI Ranking (Observatory of Economic Complexity (2016)),Atlas of Economic Complexity ECI Ranking (Atlas of Economic Complexity (2016))
Ecuador,1970,-.998564,-1.33538,,80,
Ecuador,1971,-1.07145,-1.3736,,85,
Ecuador,1972,-1.11334,-1.24191,,86,
Ecuador,1973,-1.04445,-1.19089,,83,
Ecuador,1974,-.934708,-1.16368,,78,
Ecuador,1975,-1.04695,-1.12466,,81,
Ecuador,1976,-1.16866,-1.22392,,84,
Ecuador,1977,-1.1865799,-1.07643,,86,
Ecuador,1978,-1.32066,-1.09228,,93,
Ecuador,1979,-1.11174,-.82728201,,82,
Ecuador,1980,-.64409602,-.68148702,,74,
Ecuador,1981,-.78041601,-.599769,,77,
Ecuador,1982,-.69191402,-.51426601,,74,
Ecuador,1983,-.87895203,-.424705,,81,
Ecuador,1984,-.89757401,-.75351202,,82,
Ecuador,1985,-1.1044199,-.96856499,,89,
Ecuador,1986,-1.2186,-1.07532,,88,
Ecuador,1987,-1.20318,-.80742598,,89,
Ecuador,1988,-1.0098799,-.78237802,,83,
Ecuador,1989,-.96727699,-.99267101,,80,
Ecuador,1990,-.93695003,-1.00195,,82,
Ecuador,1991,-.96701801,-.96823698,,84,
Ecuador,1992,-1.02447,-.827766,,100,
Ecuador,1993,-.95574898,-.73234099,,98,
Ecuador,1994,-.968503,-.71588999,,99,
Ecuador,1995,-1.0181,-.74773598,-1.0635999,103,101
Ecuador,1996,-1.06839,-.81761402,-1.1378,101,102
Ecuador,1997,-1.01785,-.807684,-1.1900001,99,103
Ecuador,1998,-.97280997,-.49890399,-1.053,97,103
Ecuador,1999,-.888551,-.472673,-.9781,98,97
Ecuador,2000,-.84181398,-.456049,-.96450001,96,99
Ecuador,2001,-.87160802,-.481603,-1.0597,94,101
Ecuador,2002,-.87859601,-.54125702,-1.2047,96,103
Ecuador,2003,-.85624701,-.57649797,-1.0765001,96,100
Ecuador,2004,-.84619099,-.87250501,-1.304,93,108
Ecuador,2005,-.77455997,-.54911202,-1.1619999,87,100
Ecuador,2006,-.85128403,-.73025501,-1.0955,95,99
Ecuador,2007,-.83403802,-.55719602,-.9734,92,95
Ecuador,2008,-.80363798,-.574417,-.9454,95,94
Ecuador,2009,-.86762297,-.603616,-1.1098,96,100
Ecuador,2010,-.70819998,-.54607898,-.77240002,90,86
Ecuador,2011,-.77002299,-.61906701,-.93790001,90,95
Ecuador,2012,-.70856303,-.60201198,-.91140002,86,95
Ecuador,2013,-1.06674,-.97034103,-1.0795,98,105
Ecuador,2014,-1.30875,-.99714398,-1.3141,99,108
Ecuador,2015,-1.33499,-1.08043,-1.1856,102,104
Ecuador,2016,-1.3774,,-1.1564,82,101
Egypt,1964,-.221166,.16942,,48,
Egypt,1965,-.25562099,.239141,,49,
Egypt,1966,-.121717,.27290699,,44,
Egypt,1967,-.086773999,.20854899,,44,
Egypt,1968,-.152495,.183211,,46,
Egypt,1969,-.21496201,.201098,,49,
Egypt,1970,-.136492,.184484,,48,
Egypt,1971,-.026385,.143613,,46,
Egypt,1972,.084044002,.097456999,,44,
Egypt,1973,.118683,.070284002,,40,
Egypt,1974,.063234001,.082056001,,46,
Egypt,1975,.077666,.032675002,,43,
Egypt,1976,.061756,.0058380002,,49,
Egypt,1977,.061074998,-.0163,,47,
Egypt,1978,-.0027900001,-.049343001,,49,
Egypt,1979,-.154764,-.037831001,,57,
Egypt,1980,-.377018,-.073302999,,66,
Egypt,1981,-.55860698,-.066900998,,71,
Egypt,1982,-.537723,-.12528101,,70,
Egypt,1983,-.40460899,-.045334,,65,
Egypt,1984,-.49294701,-.0063470001,,67,
Egypt,1985,-.458009,.021764001,,67,
Egypt,1986,-.37087899,.049392,,66,
Egypt,1987,-.47398001,.044025999,,70,
Egypt,1988,-.39986601,.010344,,65,
Egypt,1989,-.45167899,-.00063899998,,66,
Egypt,1990,-.53515702,.110464,,70,
Egypt,1991,-.439201,.181959,,66,
Egypt,1992,-.32447699,.260041,,70,
Egypt,1993,-.374028,.18346401,,74,
Egypt,1994,-.40399399,.157424,,74,
Egypt,1995,-.44687101,.113623,-.38339999,74,75
Egypt,1996,-.46766999,.146834,-.59829998,75,80
Egypt,1997,-.53571397,.129196,-.37470001,77,71
Egypt,1998,-.51621997,.153938,-.47350001,74,79
Egypt,1999,-.40957201,.15634599,-.52640003,72,84
Egypt,2000,-.36753201,.177314,-.4637,72,73
Egypt,2001,-.432688,.147222,-.48550001,71,69
Egypt,2002,-.40860999,.110669,-.3971,73,71
Egypt,2003,-.368092,.152849,-.4163,73,72
Egypt,2004,-.35188299,.207278,-.42609999,74,73
Egypt,2005,-.31344101,.26182199,-.29969999,74,71
Egypt,2006,-.225445,.28095499,-.233,72,65
Egypt,2007,-.220008,.27932999,-.35409999,68,69
Egypt,2008,-.203256,.251654,-.1393,67,59
Egypt,2009,-.246454,.27256501,-.3136,70,64
Egypt,2010,-.222178,.28193,-.43740001,69,69
Egypt,2011,-.28997701,.19304501,-.2471,69,63
Egypt,2012,-.321576,.182796,-.25060001,69,66
Egypt,2013,-.48866299,-.059151001,-.17839999,69,62
Egypt,2014,-.34140301,.114287,-.21690001,61,60
Egypt,2015,-.27180299,.125018,-.29350001,61,63
Egypt,2016,-.41086799,,-.042199999,52,57
El Salvador,1964,.37213099,.35009101,,28,
El Salvador,1965,.354408,.46244001,,29,
El Salvador,1966,.33683601,.380317,,30,
El Salvador,1967,.44373399,.43333599,,30,
El Salvador,1968,.579651,.54850298,,28,
El Salvador,1969,.54775298,.553729,,29,
El Salvador,1970,.565368,.54883599,,31,
El Salvador,1971,.55493098,.50799501,,30,
El Salvador,1972,.67843401,.52451801,,25,
El Salvador,1973,.681508,.49169999,,26,
El Salvador,1974,.65958601,.49360099,,28,
El Salvador,1975,.610358,.42022601,,30,
El Salvador,1976,.368276,.297739,,38,
El Salvador,1977,.27419701,.35709101,,41,
El Salvador,1978,.33176899,.44036299,,34,
El Salvador,1979,.28621399,.48166999,,36,
El Salvador,1980,.19241101,.39397001,,38,
El Salvador,1981,.293248,.30662501,,35,
El Salvador,1982,.36667201,.311555,,32,
El Salvador,1983,.34550601,.25277701,,34,
El Salvador,1984,.148986,.060012002,,43,
El Salvador,1985,-.55949301,-.40008,,70,
El Salvador,1986,.294898,.17146599,,35,
El Salvador,1987,.472801,.24638601,,28,
El Salvador,1988,.31961599,.28457001,,35,
El Salvador,1989,.296832,.347404,,31,
El Salvador,1990,.322887,.31134799,,30,
El Salvador,1991,.27809399,.29561201,,32,
El Salvador,1992,.40018699,.279338,,33,
El Salvador,1993,.240982,.219843,,39,
El Salvador,1994,.148981,.23193701,,42,
El Salvador,1995,-.018033,.13249201,-.088699996,59,63
El Salvador,1996,-.191735,-.015117,-.2366,64,69
El Salvador,1997,-.111639,.020137999,-.0027000001,61,61
El Salvador,1998,-.014612,.054163001,-.1433,62,62
El Salvador,1999,-.030598,.073326997,-.2093,59,64
El Salvador,2000,-.077974997,.048799999,-.3055,61,66
El Salvador,2001,-.098119996,-.025294,-.38119999,65,67
El Salvador,2002,-.125807,-.010519,-.2256,65,64
El Salvador,2003,-.102685,.027970999,-.1626,65,59
El Salvador,2004,-.094958998,.111789,-.1399,63,61
El Salvador,2005,-.080838002,.10771,-.4188,60,74
El Salvador,2006,-.116526,.158498,-.32100001,59,66
El Salvador,2007,-.189023,.106597,-.1903,67,59
El Salvador,2008,-.061822999,.13636599,-.050299998,61,57
El Salvador,2009,-.081826001,.080592997,-.29730001,62,63
El Salvador,2010,-.049823999,.079617999,-.2484,63,60
El Salvador,2011,-.117335,.033652999,-.204,62,59
El Salvador,2012,-.0072329999,.028401,-.086400002,56,61
El Salvador,2013,-.14516801,-.119284,-.0239,55,59
El Salvador,2014,-.070683002,-.003148,-.094499998,50,57
El Salvador,2015,-.133223,.094512999,-.1838,53,60
El Salvador,2016,-.263641,,.051399998,49,53
Estonia,1992,.154759,.15621901,,42,
Estonia,1993,.217702,.28602201,,40,
Estonia,1994,.25636801,.36448601,,38,
Estonia,1995,.45792401,.535034,.62639999,34,30
Estonia,1996,.54541498,.54058701,.63080001,31,36
Estonia,1997,.51490402,.57788199,.5237,30,39
Estonia,1998,.54772401,.57092398,.63609999,32,33
Estonia,1999,.47442901,.59397298,.5262,32,32
Estonia,2000,.50222301,.62629598,.39379999,33,40
Estonia,2001,.584589,.64057398,.51239997,31,33
Estonia,2002,.49896401,.63277799,.55659997,33,32
Estonia,2003,.51596397,.64436001,.54320002,32,34
Estonia,2004,.56266302,.661246,.60079998,32,33
Estonia,2005,.674146,.71262097,.62849998,30,31
Estonia,2006,.69454801,.738074,.64999998,30,29
Estonia,2007,.71306902,.75775498,.73159999,28,29
Estonia,2008,.71007502,.755014,.7489,29,29
Estonia,2009,.71677703,.72392601,.73379999,27,28
Estonia,2010,.704934,.717776,.78979999,29,27
Estonia,2011,.74633801,.68957603,.8423,31,26
Estonia,2012,.76016998,.66804701,.77069998,31,29
Estonia,2013,.68393999,.60058302,.84740001,33,28
Estonia,2014,.752262,.60839999,.91360003,30,26
Estonia,2015,.73856401,.64667302,.92180002,30,25
Estonia,2016,.649198,,1.0711,23,22
Ethiopia,1964,-.90229601,-.989268,,77,
Ethiopia,1965,-.742513,-.89282101,,72,
Ethiopia,1966,-.87962699,-.88298303,,74,
Ethiopia,1967,-.85368901,-.903175,,73,
Ethiopia,1968,-.93243498,-.84618503,,79,
Ethiopia,1969,-.87045997,-.88400602,,78,
Ethiopia,1970,-1.02267,-.96973199,,82,
Ethiopia,1971,-1.03374,-1.06463,,84,
Ethiopia,1972,-1.15615,-1.10782,,90,
Ethiopia,1973,-1.07269,-1.0959001,,84,
Ethiopia,1974,-1.0336601,-1.0725,,84,
Ethiopia,1975,-.994609,-1.1311001,,79,
Ethiopia,1976,-1.02621,-1.10093,,82,
Ethiopia,1977,-1.05803,-1.30768,,82,
Ethiopia,1978,-1.0711499,-1.51591,,80,
Ethiopia,1979,-1.19928,-1.67031,,88,
Ethiopia,1980,-1.17153,-1.59738,,85,
Ethiopia,1981,-1.05514,-1.36242,,83,
Ethiopia,1982,-.71920002,-1.12064,,77,
Ethiopia,1983,-.758394,-1.11141,,76,
Ethiopia,1984,-.70973003,-1.1452,,74,
Ethiopia,1985,-.77553701,-1.2327,,77,
Ethiopia,1986,-.96959698,-1.1672,,84,
Ethiopia,1987,-.81294799,-1.03026,,79,
Ethiopia,1988,-.96433198,-1.02917,,81,
Ethiopia,1989,-.97168797,-1.1142,,81,
Ethiopia,1990,-.93203199,-1.16493,,81,
Ethiopia,1991,-1.0410399,-1.20359,,87,
Ethiopia,1992,-1.0628999,-1.24968,,102,
Ethiopia,1993,-.91632301,-1.42584,,94,
Ethiopia,1994,-.72994602,-1.37304,,90,
Ethiopia,1995,-1.02858,-1.44262,-1.3959,105,110
Ethiopia,1996,-1.2039599,-1.59426,-1.2586,105,104
Ethiopia,1997,-1.3356301,-1.7998101,-1.3867,111,109
Ethiopia,1998,-1.34347,-1.96222,-1.3478,111,110
Ethiopia,1999,-1.08673,-2.0206399,-1.2652,102,107
Ethiopia,2000,-1.09717,-1.8626,-1.2234,105,108
Ethiopia,2001,-.99010998,-1.76923,-1.3285,102,107
Ethiopia,2002,-.93398398,-1.80757,-1.303,99,106
Ethiopia,2003,-.93630999,-1.8506,-1.4105,98,108
Ethiopia,2004,-1.1605999,-1.96595,-1.3581001,105,110
Ethiopia,2005,-.93745601,-1.84811,-1.3099999,102,105
Ethiopia,2006,-1.05951,-1.92089,-1.2658,103,104
Ethiopia,2007,-1.14921,-1.99393,-1.2209001,107,107
Ethiopia,2008,-1.3133,-1.98947,-1.1977,113,106
Ethiopia,2009,-1.30834,-2.0335801,-.98040003,112,94
Ethiopia,2010,-1.2717,-2.00104,-1.3509001,111,109
Ethiopia,2011,-1.26465,-1.79712,-1.483,112,115
Ethiopia,2012,-1.1507601,-1.65004,-1.3102,108,113
Ethiopia,2013,-1.46341,-2.0288601,-1.3281,105,111
Ethiopia,2014,-1.56239,-1.8107001,-1.5304,102,116
Ethiopia,2015,-1.46649,-1.55586,-1.2156,103,106
Ethiopia,2016,-1.3311,,-1.1418,81,100
Finland,1964,1.47829,1.26094,,11,
Finland,1965,1.41401,1.26943,,13,
Finland,1966,1.4211,1.25054,,12,
Finland,1967,1.32294,1.3008,,13,
Finland,1968,1.38039,1.36292,,12,
Finland,1969,1.45759,1.34421,,11,
Finland,1970,1.42408,1.3365099,,11,
Finland,1971,1.35226,1.29019,,12,
Finland,1972,1.37407,1.28152,,11,
Finland,1973,1.34622,1.2918,,14,
Finland,1974,1.41397,1.28064,,11,
Finland,1975,1.41914,1.29954,,11,
Finland,1976,1.27995,1.21385,,11,
Finland,1977,1.29729,1.20099,,11,
Finland,1978,1.34838,1.18064,,11,
Finland,1979,1.35975,1.22938,,11,
Finland,1980,1.46544,1.1905299,,11,
Finland,1981,1.3633699,1.14047,,11,
Finland,1982,1.43566,1.1475,,10,
Finland,1983,1.47076,1.11999,,9,
Finland,1984,1.44496,1.2271399,,10,
Finland,1985,1.58759,1.2812099,,10,
Finland,1986,1.57979,1.25071,,10,
Finland,1987,1.69034,1.2796299,,9,
Finland,1988,1.65903,1.30514,,8,
Finland,1989,1.7338001,1.3205,,7,
Finland,1990,1.8112,1.34883,,7,
Finland,1991,1.81157,1.34708,,7,
Finland,1992,1.8564,1.3614,,7,
Finland,1993,1.89635,1.30899,,7,
Finland,1994,1.9172,1.25648,,6,
Finland,1995,1.87757,1.24112,2.2481999,6,5
Finland,1996,1.9377199,1.22938,2.3299999,6,4
Finland,1997,1.9087501,1.26869,2.0409999,6,5
Finland,1998,1.89548,1.25122,2.2361,5,5
Finland,1999,1.89805,1.28265,2.2335999,6,5
Finland,2000,1.85628,1.23366,2.1684999,7,5
Finland,2001,1.85446,1.22628,2.0604999,6,5
Finland,2002,1.86151,1.22149,2.1324,7,5
Finland,2003,1.80769,1.20789,2.237,7,5
Finland,2004,1.81559,1.17263,2.1979001,7,5
Finland,2005,1.80046,1.15611,2.1210999,5,5
Finland,2006,1.7772501,1.14652,1.9385,5,5
Finland,2007,1.77327,1.1539,2.0139999,5,5
Finland,2008,1.75639,1.13624,1.8453,5,5
Finland,2009,1.71426,1.11494,2.0320001,5,5
Finland,2010,1.67979,1.05848,1.9802999,6,5
Finland,2011,1.71439,1.05119,1.8377,6,5
Finland,2012,1.61173,.97556698,1.6911,9,6
Finland,2013,1.57477,.90260297,1.6993999,8,8
Finland,2014,1.49895,.86685699,1.7546,9,9
Finland,2015,1.45829,.875278,1.6188,9,10
Finland,2016,,,1.5501,,10
France,1964,1.79019,1.62361,,8,
France,1965,1.76682,1.60833,,9,
France,1966,1.73585,1.57366,,9,
France,1967,1.7497,1.58954,,9,
France,1968,1.75071,1.57033,,9,
France,1969,1.73018,1.54293,,9,
France,1970,1.73046,1.52258,,9,
France,1971,1.69848,1.5375,,8,
France,1972,1.66878,1.5447,,9,
France,1973,1.61751,1.54091,,9,
France,1974,1.65195,1.53376,,8,
France,1975,1.58377,1.52141,,8,
France,1976,1.49599,1.44723,,8,
France,1977,1.54568,1.4187599,,8,
France,1978,1.62775,1.41667,,7,
France,1979,1.68432,1.44584,,8,
France,1980,1.6675,1.3970799,,7,
France,1981,1.61752,1.37909,,8,
France,1982,1.64914,1.34444,,7,
France,1983,1.64592,1.30698,,8,
France,1984,1.65194,1.35475,,8,
France,1985,1.75725,1.41403,,8,
France,1986,1.71191,1.40259,,8,
France,1987,1.69556,1.42091,,8,
France,1988,1.62,1.4020801,,9,
France,1989,1.6425101,1.40298,,9,
France,1990,1.5834399,1.35709,,10,
France,1991,1.62708,1.35856,,10,
France,1992,1.71048,1.35726,,10,
France,1993,1.72926,1.34894,,10,
France,1994,1.71064,1.33105,,11,
France,1995,1.69969,1.32646,1.8923,9,9
France,1996,1.60763,1.27222,1.8362,10,9
France,1997,1.58323,1.2707601,1.8238,9,9
France,1998,1.54483,1.23408,1.8534,9,9
France,1999,1.56021,1.2373199,1.7998,10,9
France,2000,1.58127,1.27001,1.6866,10,9
France,2001,1.58792,1.28145,1.6639,9,10
France,2002,1.60699,1.26954,1.6868,10,10
France,2003,1.60873,1.24773,1.7566,10,9
France,2004,1.55541,1.22891,1.6887,11,10
France,2005,1.54456,1.19735,1.6319,12,11
France,2006,1.50134,1.18571,1.4843,11,12
France,2007,1.4714299,1.17978,1.5006,12,13
France,2008,1.46951,1.18023,1.4534,12,12
France,2009,1.46536,1.15922,1.6342,12,11
France,2010,1.45099,1.17829,1.5553,12,12
France,2011,1.43611,1.18559,1.5334001,14,13
France,2012,1.36854,1.19476,1.4518,14,12
France,2013,1.24155,1.20508,1.5096,16,12
France,2014,1.15748,1.1439101,1.5161999,19,12
France,2015,1.20672,1.1356699,1.4466,18,12
France,2016,1.15695,,1.3635,13,14
Gabon,1964,-1.3259701,-1.63186,,90,
Gabon,1965,-1.37709,-1.8688101,,92,
Gabon,1966,-1.51319,-1.9758,,93,
Gabon,1967,-1.45307,-2.0913501,,92,
Gabon,1968,-1.2429301,-1.78923,,93,
Gabon,1969,-1.4146399,-1.76508,,95,
Gabon,1970,-1.24468,-1.66257,,92,
Gabon,1971,-1.62498,-1.8077,,95,
Gabon,1972,-1.3714,-1.71731,,95,
Gabon,1973,-1.5803601,-1.82595,,96,
Gabon,1974,-1.60746,-1.80749,,96,
Gabon,1975,-1.8840801,-1.98713,,96,
Gabon,1976,-1.66631,-2.0010099,,95,
Gabon,1977,-1.53803,-2.0067599,,93,
Gabon,1978,-1.31778,-1.85437,,92,
Gabon,1979,-1.39642,-1.80722,,93,
Gabon,1980,-1.37809,-1.6143,,92,
Gabon,1981,-1.48457,-1.73833,,91,
Gabon,1982,-1.5229,-1.8507,,92,
Gabon,1983,-1.5676301,-1.90144,,94,
Gabon,1984,-1.49385,-1.5577199,,95,
Gabon,1985,-1.1978,-1.55467,,90,
Gabon,1986,-1.3926899,-1.64803,,93,
Gabon,1987,-1.51237,-1.73362,,95,
Gabon,1988,-1.49476,-1.82774,,96,
Gabon,1989,-1.22518,-1.89221,,91,
Gabon,1990,-1.34855,-1.93385,,94,
Gabon,1991,-1.35225,-2.0080199,,94,
Gabon,1992,-1.1294399,-2.0216801,,104,
Gabon,1993,-1.46737,-2.37554,,113,
Gabon,1994,-1.6092499,-2.3817301,,115,
Gabon,1995,-1.34952,-2.4601901,-1.5129,111,115
Gabon,1996,-1.25007,-2.57936,-1.8439,106,116
Gabon,1997,-1.5865,-2.7414401,-1.0048,114,98
Gabon,1998,-1.55086,-2.7722399,-.98689997,114,98
Gabon,1999,-1.14666,-2.5948601,-1.0286,104,100
Gabon,2000,-1.18934,-2.51278,-.69660002,109,89
Gabon,2001,-.92049301,-2.1385801,-.82990003,99,88
Gabon,2002,-1.2671601,-2.3415899,-.91579998,112,90
Gabon,2003,-1.6291,-2.2990201,-.78509998,118,86
Gabon,2004,-.95678598,-2.3026199,-.66949999,101,82
Gabon,2005,-1.31646,-2.3184099,-1.2686,113,103
Gabon,2006,-1.26555,-2.4467399,-1.7679,113,117
Gabon,2007,-.96108401,-2.35922,-1.2158,101,106
Gabon,2008,-.69301301,-2.1443701,-1.2672,92,109
Gabon,2009,-.74922198,-2.2179201,-1.2841001,92,111
Gabon,2010,-1.09114,-2.21825,-.98280001,106,94
Gabon,2011,-.82972801,-2.5645001,-1.1138,93,98
Gabon,2012,-1.36163,-3.0899799,-1.4252,112,116
Gabon,2013,,,-1.6107,,116
Gabon,2014,,,-1.6281,,120
Gabon,2015,,,-1.2031,,105
Gabon,2016,,,-1.5187,,113
Georgia,1992,-.21613,-.66468102,,64,
Georgia,1993,-.039227001,-.059547,,57,
Georgia,1994,-.014192,-.021638,,56,
Georgia,1995,.458729,.22356001,1.1838,33,22
Georgia,1996,.37478,.244021,.62599999,36,37
Georgia,1997,.20616999,.13715599,.39179999,45,42
Georgia,1998,.172483,.125645,.74910003,48,28
Georgia,1999,.238245,.18609799,.49340001,44,35
Georgia,2000,.211482,.26383999,.42449999,44,37
Georgia,2001,.217142,.31369501,.48590001,44,34
Georgia,2002,.13830499,.36394599,.48570001,47,35
Georgia,2003,.178932,.28577799,.41999999,44,36
Georgia,2004,-.17425001,.104236,.46540001,68,36
Georgia,2005,-.18584999,.077656001,.089199997,67,56
Georgia,2006,-.30543301,.094341002,.085699998,74,51
Georgia,2007,-.257126,.128334,.1213,71,47
Georgia,2008,-.48080301,.072002999,-.33610001,78,68
Georgia,2009,-.332959,-.164409,-.24529999,72,61
Georgia,2010,-.28524899,-.12559301,-.36320001,73,64
Georgia,2011,-.152888,-.056751002,-.3998,64,69
Georgia,2012,-.168891,.019277001,-.3337,65,71
Georgia,2013,-.41984099,-.336523,-.053100001,66,61
Georgia,2014,-.45795399,-.392979,-.37259999,70,68
Georgia,2015,-.45547199,-.33999199,-.37909999,68,73
Georgia,2016,-.84373701,,-.27070001,67,68
Germany,1964,2.3397999,1.97284,,1,
Germany,1965,2.3527801,1.94563,,1,
Germany,1966,2.2633901,1.91272,,1,
Germany,1967,2.2853601,1.88399,,1,
Germany,1968,2.2904301,1.88355,,1,
Germany,1969,2.2825799,1.8489,,1,
Germany,1970,2.30919,1.84823,,1,
Germany,1971,2.2474101,1.83445,,1,
Germany,1972,2.2994499,1.8340501,,1,
Germany,1973,2.31199,1.80586,,1,
Germany,1974,2.1881001,1.80088,,1,
Germany,1975,2.0945001,1.78092,,1,
Germany,1976,1.88162,1.68235,,1,
Germany,1977,1.91189,1.65341,,1,
Germany,1978,1.98571,1.63835,,1,
Germany,1979,2.1357901,1.71401,,1,
Germany,1980,2.0861001,1.66259,,1,
Germany,1981,2.01825,1.6211801,,1,
Germany,1982,1.98445,1.54883,,1,
Germany,1983,1.98972,1.50607,,1,
Germany,1984,2.0475299,1.54651,,2,
Germany,1985,2.1301899,1.62024,,2,
Germany,1986,2.1391301,1.646,,2,
Germany,1987,2.16696,1.6313,,2,
Germany,1988,2.1772299,1.60987,,2,
Germany,1989,2.1976099,1.59322,,2,
Germany,1990,2.19821,1.5676,,3,
Germany,1991,2.2251501,1.56415,,3,
Germany,1992,2.3240399,1.58885,,3,
Germany,1993,2.28213,1.54783,,3,
Germany,1994,2.2987199,1.53768,,2,
Germany,1995,2.30351,1.53307,2.4216001,2,3
Germany,1996,2.33549,1.49231,2.434,2,3
Germany,1997,2.25612,1.47598,2.3064001,2,3
Germany,1998,2.2021799,1.42397,2.4730999,3,2
Germany,1999,2.2671399,1.42803,2.3791001,2,2
Germany,2000,2.2616799,1.47431,2.2990999,2,3
Germany,2001,2.2382801,1.49262,2.316,3,2
Germany,2002,2.2377,1.4848599,2.388,2,2
Germany,2003,2.19574,1.46278,2.3566999,2,2
Germany,2004,2.2044499,1.4298199,2.3485999,2,2
Germany,2005,2.15958,1.39215,2.2786,2,2
Germany,2006,2.1112599,1.3651201,2.0741,2,2
Germany,2007,2.0148499,1.35092,2.0876,2,3
Germany,2008,1.95078,1.33671,2.0099001,2,3
Germany,2009,1.91653,1.3147,2.1784,3,3
Germany,2010,1.88894,1.31267,2.0769999,3,3
Germany,2011,1.9408,1.34741,2.0695,3,3
Germany,2012,1.8734699,1.33438,1.9339,3,3
Germany,2013,1.8460799,1.34992,1.9756,3,3
Germany,2014,1.81367,1.30898,2.0716,4,3
Germany,2015,1.91906,1.31157,2.0711,4,3
Germany,2016,1.89589,,1.9895,5,3
Ghana,1964,-1.01263,-1.4281501,,85,
Ghana,1965,-.76300198,-1.4404401,,74,
Ghana,1966,-1.04538,-1.42432,,83,
Ghana,1967,-.953906,-1.38509,,78,
Ghana,1968,-.77376699,-1.30566,,67,
Ghana,1969,-.85149598,-1.20673,,77,
Ghana,1970,-1.05177,-1.3224601,,83,
Ghana,1971,-.99383903,-1.2512701,,81,
Ghana,1972,-1.04168,-1.258,,81,
Ghana,1973,-1.17829,-1.33433,,91,
Ghana,1974,-1.29589,-1.46043,,92,
Ghana,1975,-1.17729,-1.33332,,88,
Ghana,1976,-1.42182,-1.44961,,91,
Ghana,1977,-1.52408,-1.50253,,92,
Ghana,1978,-1.19743,-1.60444,,85,
Ghana,1979,-1.19881,-1.59667,,87,
Ghana,1980,-1.0772099,-1.60037,,82,
Ghana,1981,-1.16804,-1.67161,,87,
Ghana,1982,-1.40758,-1.80442,,90,
Ghana,1983,-1.09926,-1.4682699,,85,
Ghana,1984,-1.22104,-1.6761,,90,
Ghana,1985,-.99911499,-1.47159,,84,
Ghana,1986,-.99125999,-1.51117,,85,
Ghana,1987,-1.16508,-1.56198,,88,
Ghana,1988,-1.16574,-1.50385,,87,
Ghana,1989,-1.13832,-1.53517,,86,
Ghana,1990,-1.10949,-1.6312701,,89,
Ghana,1991,-1.43848,-1.8161401,,96,
Ghana,1992,-1.54193,-1.7401299,,111,
Ghana,1993,-1.5791399,-1.80481,,115,
Ghana,1994,-1.6695499,-1.80112,,116,
Ghana,1995,-1.64302,-1.69212,-1.3392,115,108
Ghana,1996,-1.3665299,-1.58338,-1.3063999,115,106
Ghana,1997,-1.27141,-1.42794,-1.2023,109,104
Ghana,1998,-1.23054,-1.43847,-1.154,105,106
Ghana,1999,-1.3434401,-1.50604,-1.0201,111,99
Ghana,2000,-1.29443,-1.53494,-1.2798001,112,110
Ghana,2001,-1.17101,-1.6016901,-1.3135,111,106
Ghana,2002,-1.13735,-1.75836,-1.5482,108,114
Ghana,2003,-1.24972,-1.85233,-1.2589,112,104
Ghana,2004,-1.3586299,-1.98289,-1.0863,114,101
Ghana,2005,-1.3826801,-1.95288,-1.2329,115,101
Ghana,2006,-1.22288,-1.9729,-1.1809,110,102
Ghana,2007,-1.05022,-1.87629,-1.1059999,104,100
Ghana,2008,-1.01148,-1.83966,-1.0801001,104,102
Ghana,2009,-.96516502,-1.84067,-1.2634,100,110
Ghana,2010,-1.12736,-1.80581,-1.0827,108,101
Ghana,2011,-1.05444,-1.20491,-1.3029,104,109
Ghana,2012,-1.00907,-1.06275,-1.0994,101,101
Ghana,2013,-1.27263,-1.25159,-.95109999,102,98
Ghana,2014,-1.47184,-1.22961,-1.3328,100,109
Ghana,2015,-1.15991,-1.10084,-1.5705,98,117
Ghana,2016,-1.19204,,-1.2539001,78,108
Greece,1964,-.052428,.26963699,,38,
Greece,1965,.137747,.26459301,,35,
Greece,1966,.23292901,.32504901,,35,
Greece,1967,.13330901,.296413,,39,
Greece,1968,.172181,.34475201,,38,
Greece,1969,.117929,.29066601,,40,
Greece,1970,.263971,.28310499,,34,
Greece,1971,.31483701,.30527899,,35,
Greece,1972,.221012,.324002,,39,
Greece,1973,.201106,.338182,,39,
Greece,1974,.32517001,.379098,,36,
Greece,1975,.41503599,.35817,,33,
Greece,1976,.55502599,.38940799,,34,
Greece,1977,.47587001,.37056699,,34,
Greece,1978,.447339,.35247201,,32,
Greece,1979,.27287099,.325571,,37,
Greece,1980,.14174099,.344594,,42,
Greece,1981,.31737399,.34748301,,33,
Greece,1982,.354312,.39451599,,33,
Greece,1983,.41565099,.35267299,,31,
Greece,1984,.38295299,.51251501,,34,
Greece,1985,.31527299,.52372497,,34,
Greece,1986,.279589,.48347801,,36,
Greece,1987,.28967899,.47351599,,36,
Greece,1988,.21904799,.46128801,,39,
Greece,1989,.095416002,.44464201,,41,
Greece,1990,.152017,.40983701,,36,
Greece,1991,.14316601,.42210799,,39,
Greece,1992,.081694998,.433332,,46,
Greece,1993,.099136002,.404369,,48,
Greece,1994,-.0065310001,.35831499,,54,
Greece,1995,.0060740001,.32227999,.1829,57,52
Greece,1996,.029852999,.220898,.2994,53,48
