Entity,Year,Number of departures (per 1000 people)
Indonesia,2003,15.77000896
Indonesia,2004,17.62406898
Indonesia,2005,18.11102535
Indonesia,2006,21.61085475
Indonesia,2007,22.13837082
Indonesia,2008,23.23008477
Indonesia,2009,21.11218312
Indonesia,2010,25.70878279
Indonesia,2011,27.47168767
Indonesia,2012,29.94978786
Indonesia,2013,31.84116154
Indonesia,2014,31.6464731
Indonesia,2015,31.67002278
Indonesia,2016,31.93989405
Indonesia,2017,33.54655002
Iran,1995,16.50828508
Iran,1996,19.77815695
Iran,1997,22.85101693
Iran,1998,26.44731359
Iran,1999,28.52634676
Iran,2000,34.56730549
Iran,2001,35.76942279
Iran,2002,42.96641544
Iran,2014,98.17488577
Iran,2015,83.41682681
Iran,2016,112.1984127
Iran,2017,129.8994313
Ireland,1995,705.7667545
Ireland,1996,751.3381407
Ireland,1997,830.9357403
Ireland,1998,896.9223443
Ireland,1999,952.3845034
Ireland,2000,994.1726712
Ireland,2001,1090.464309
Ireland,2002,1178.550983
Ireland,2003,1233.322682
Ireland,2004,1328.907083
Ireland,2005,1469.501533
Ireland,2006,1602.399481
Ireland,2007,1753.376153
Ireland,2008,1754.521172
Ireland,2009,1553.785519
Ireland,2010,1516.834406
Ireland,2011,1422.244658
Ireland,2012,1434.928285
Ireland,2013,1422.850736
Ireland,2014,1433.313152
Ireland,2015,1508.733491
Ireland,2016,1607.878309
Ireland,2017,1697.479313
Israel,1995,407.3940487
Israel,1996,440.0913563
Israel,1997,463.8450994
Israel,1998,499.5813097
Israel,1999,522.9387755
Israel,2000,561.2975036
Israel,2001,553.0361857
Israel,2002,498.173516
Israel,2003,493.1461799
Israel,2004,530.768101
Israel,2005,532.0269549
Israel,2006,526.390405
Israel,2007,577.5685575
Israel,2008,575.6074869
Israel,2009,535.294432
Israel,2010,559.9716669
Israel,2011,564.9128229
Israel,2012,549.7756147
Israel,2013,590.2351262
Israel,2014,630.6218581
Israel,2015,702.9749048
Israel,2016,793.4706295
Israel,2017,871.975575
Italy,1996,319.6079879
Italy,1997,303.285062
Italy,1998,311.000046
Italy,1999,305.0267641
Italy,2000,352.6388591
Italy,2001,360.9885896
Italy,2002,402.7059216
Italy,2003,428.7319276
Italy,2004,373.6998839
Italy,2005,399.2962918
Italy,2006,413.1468196
Italy,2007,441.302974
Italy,2008,449.8635153
Italy,2009,465.1803064
Italy,2010,475.5267929
Italy,2011,468.6975118
Italy,2012,459.7939221
Italy,2013,436.7138611
Italy,2014,441.8881399
Italy,2015,452.7208384
Italy,2016,479.4359154
Italy,2017,525.2560898
Japan,1995,121.9556916
Japan,1996,132.7560295
Japan,1997,133.2968419
Japan,1998,125.0474684
Japan,1999,129.1784792
Japan,2000,140.4807518
Japan,2001,127.5354112
Japan,2002,129.6480835
Japan,2003,104.1043549
Japan,2004,131.7381674
Japan,2005,136.2103105
Japan,2006,137.1486226
Japan,2007,135.1161319
Japan,2008,124.8369943
Japan,2009,120.6275821
Japan,2010,129.9055204
Japan,2011,132.9390689
Japan,2012,144.8808656
Japan,2013,137.1022794
Japan,2014,132.8058707
Japan,2015,127.5277055
Japan,2016,134.7774787
Japan,2017,141.096246
Jordan,1995,246.6703871
Jordan,1996,241.9231897
Jordan,1997,255.1597418
Jordan,1998,273.34092
Jordan,1999,311.2724703
Jordan,2000,318.4320211
Jordan,2001,337.9235742
Jordan,2002,241.3244248
Jordan,2003,227.7286394
Jordan,2004,256.5216567
Jordan,2005,266.5331493
Jordan,2006,360.4510238
Jordan,2007,338.1132602
Jordan,2008,303.860414
Jordan,2009,301.1237457
Jordan,2010,377.0332717
Jordan,2011,254.91941
Jordan,2012,196.0570144
Jordan,2013,178.0479479
Jordan,2014,139.6250738
Jordan,2016,159.7960702
Jordan,2017,164.0839083
Kazakhstan,1996,33.57321599
Kazakhstan,1997,27.32542818
Kazakhstan,1998,33.30834102
Kazakhstan,1999,26.6605468
Kazakhstan,2000,83.78334688
Kazakhstan,2001,154.3914577
Kazakhstan,2002,153.0390981
Kazakhstan,2003,159.232486
Kazakhstan,2004,260.7742564
Kazakhstan,2005,196.4081537
Kazakhstan,2006,236.1497363
Kazakhstan,2007,287.3252928
Kazakhstan,2008,270.4478755
Kazakhstan,2009,329.8986343
Kazakhstan,2010,361.0492718
Kazakhstan,2011,474.2347454
Kazakhstan,2012,528.5226871
Kazakhstan,2013,582.9574038
Kazakhstan,2014,591.7301803
Kuwait,1995,545.1211963
Kuwait,1996,644.0977116
Kuwait,1997,639.5330534
Kuwait,1998,688.3208185
Kuwait,1999,617.7614858
Kuwait,2000,602.708972
Kuwait,2001,789.814896
Kuwait,2002,804.6335699
Kuwait,2003,817.8439347
Kuwait,2004,873.2125299
Kuwait,2005,954.4839001
Kuwait,2006,1063.830682
Kuwait,2007,1058.156674
Kyrgyzstan,1995,9.209718446
Kyrgyzstan,1998,6.919689662
Kyrgyzstan,1999,9.296752335
Kyrgyzstan,2000,9.594969786
Kyrgyzstan,2001,9.302137469
Kyrgyzstan,2002,11.8219889
Kyrgyzstan,2003,23.00081296
Kyrgyzstan,2004,46.81959763
Kyrgyzstan,2005,38.93387053
Kyrgyzstan,2006,86.9998467
Kyrgyzstan,2007,106.1043201
Kyrgyzstan,2008,427.3600692
Kyrgyzstan,2009,437.2782494
Kyrgyzstan,2010,246.3334496
Kyrgyzstan,2011,555.0719907
Kyrgyzstan,2012,645.7768583
Kyrgyzstan,2013,698.1257431
Kyrgyzstan,2014,649.4730529
Kyrgyzstan,2015,672.833185
Kyrgyzstan,2016,688.3789785
Kyrgyzstan,2017,716.923325
Laos,2010,269.9209161
Laos,2011,282.3089398
Laos,2012,319.8668655
Laos,2013,439.9068328
Laos,2014,504.8357026
Laos,2015,460.2363727
Laos,2016,452.62507
Laos,2017,444.5798873
Latin America & Caribbean,1995,48.74728931
Latin America & Caribbean,1996,53.42435929
Latin America & Caribbean,1997,54.39574239
Latin America & Caribbean,1998,57.41147756
Latin America & Caribbean,1999,55.88927414
Latin America & Caribbean,2000,59.45882942
Latin America & Caribbean,2001,59.79776541
Latin America & Caribbean,2002,55.0789454
Latin America & Caribbean,2003,54.9127314
Latin America & Caribbean,2004,60.73566245
Latin America & Caribbean,2005,65.18743701
Latin America & Caribbean,2006,67.9080053
Latin America & Caribbean,2007,73.07864376
Latin America & Caribbean,2008,73.75693604
Latin America & Caribbean,2009,70.32389312
Latin America & Caribbean,2010,75.04992504
Latin America & Caribbean,2011,82.90265034
Latin America & Caribbean,2012,87.8925512
Latin America & Caribbean,2013,90.44783529
Latin America & Caribbean,2014,95.95987702
Latin America & Caribbean,2015,101.1454875
Latin America & Caribbean,2016,106.2199136
Latin America & Caribbean,2017,108.6853675
Latvia,1995,729.1586186
Latvia,1996,731.7206178
Latvia,1997,771.5227936
Latvia,1998,813.6865311
Latvia,1999,943.7427264
Latvia,2000,1096.492154
Latvia,2001,1153.959703
Latvia,2002,998.1936418
Latvia,2003,999.1455252
Latvia,2004,1085.668382
Latvia,2005,1321.690782
Latvia,2006,1420.420609
Latvia,2007,1544.317317
Latvia,2008,1736.996182
Latvia,2009,1525.912734
Latvia,2010,1588.516153
Latvia,2011,1581.291338
Latvia,2012,89.95639327
Latvia,2013,882.420017
Latvia,2014,925.8785564
Latvia,2015,869.7732066
Latvia,2016,989.519463
Latvia,2017,1058.87445
Libya,1995,97.80152675
Libya,1996,97.89740987
Libya,1997,127.0208777
Lithuania,1995,530.4342507
Lithuania,1996,795.1992621
Lithuania,1997,833.8142007
Lithuania,1998,913.1298264
Lithuania,1999,989.4337443
Lithuania,2000,1037.851875
Lithuania,2001,976.7149992
Lithuania,2002,1040.932401
Lithuania,2003,1025.411885
Lithuania,2005,491.4932244
Lithuania,2006,547.1100266
Lithuania,2007,514.0355536
Lithuania,2008,549.3661965
Lithuania,2009,407.2191611
Lithuania,2010,455.5607142
Lithuania,2011,503.9438727
Lithuania,2012,571.6632422
Lithuania,2013,596.4115903
Lithuania,2014,610.0873458
Lithuania,2015,640.2952243
Lithuania,2016,680.9075001
Lithuania,2017,718.5998902
Luxembourg,1997,1654.547622
Luxembourg,1998,1782.43466
Luxembourg,1999,1879.319357
Luxembourg,2000,2177.400871
Luxembourg,2001,2090.481853
Luxembourg,2002,2351.095422
Luxembourg,2003,2260.700131
Luxembourg,2004,2401.248649
Luxembourg,2005,2547.521487
Luxembourg,2006,2293.514896
Luxembourg,2007,2358.367726
Luxembourg,2008,2435.280876
Luxembourg,2009,2736.132009
Luxembourg,2010,2440.068409
Luxembourg,2011,3169.691346
Luxembourg,2012,2975.820517
Luxembourg,2013,2988.810365
Luxembourg,2014,3262.51665
Luxembourg,2015,2988.040814
Luxembourg,2016,2728.456704
Luxembourg,2017,3006.09393
Macao,2005,1303.467555
Macao,2006,1307.467769
Macao,2007,1188.909597
Macao,2008,1178.190641
Macao,2009,1277.333704
Macao,2010,1402.31559
Macao,2011,1652.594738
Macao,2012,2294.984632
Macao,2013,2511.109838
Macao,2014,2610.478259
Macao,2015,2439.503313
Macao,2016,2043.560009
Macao,2017,2234.297674
Madagascar,1995,2.894162696
Malaysia,1995,1007.143144
Malaysia,1996,1109.862709
Malaysia,1997,1213.290317
Malaysia,1998,1159.067616
Malaysia,1999,1150.54162
Malaysia,2000,1316.851385
Malaysia,2001,1529.522016
Malaysia,2002,1234.19287
Malaysia,2003,1304.280747
Malaysia,2004,1221.930039
Maldives,1995,125.943593
Maldives,1996,123.3963297
Maldives,1997,124.8699272
Maldives,1998,137.441216
Maldives,1999,153.0143834
Maldives,2000,149.7945675
Maldives,2001,142.8437046
Maldives,2002,146.08906
Maldives,2003,145.5946051
Maldives,2004,196.5060579
Maldives,2005,241.5034689
Maldives,2006,226.0432354
Maldives,2007,303.5081977
Maldives,2008,356.4659445
Malta,1995,431.8807479
Malta,1996,442.2158171
Malta,1997,449.3313584
Malta,1998,433.4431216
Malta,1999,461.8425194
Malta,2000,512.7061399
Malta,2001,455.4382894
Malta,2002,396.4956853
Malta,2003,436.5475611
Malta,2004,505.8963087
Malta,2005,557.159625
Malta,2006,634.085683
Malta,2007,688.4275332
Malta,2008,637.5510224
Malta,2009,640.0356868
Malta,2010,709.2746099
Malta,2011,742.3102424
Malta,2012,788.0427019
Malta,2013,852.1786899
Malta,2014,899.7648185
Malta,2015,961.6832153
Malta,2016,1091.45372
Malta,2017,1231.484745
Mauritius,1995,95.32659158
Mauritius,1996,105.8204791
Mauritius,1997,114.9541403
Mauritius,1998,123.2311377
Mauritius,1999,131.0340544
Mauritius,2000,137.3356711
Mauritius,2001,134.5830892
Mauritius,2002,134.4821317
Mauritius,2003,132.6882979
Mauritius,2004,147.4197852
Mauritius,2005,148.9919837
Mauritius,2006,150.7298241
Mauritius,2007,171.825464
Mauritius,2008,181.6543568
Mauritius,2009,157.1231709
Mauritius,2010,169.5457454
Mauritius,2011,174.8637021
Mauritius,2012,188.7119968
Mauritius,2013,181.1460347
Mauritius,2014,176.8530312
Mauritius,2015,191.6672277
Mauritius,2016,205.7819993
Mauritius,2017,223.783877
Mexico,1995,89.85005026
Mexico,1996,94.06667031
Mexico,1997,91.58964562
Mexico,1998,97.51930795
Mexico,1999,103.2097731
Mexico,2000,108.916984
Mexico,2001,117.1567236
Mexico,2002,114.4931282
Mexico,2003,104.5432851
Mexico,2004,116.7711755
Mexico,2005,122.6581241
Mexico,2006,127.1840999
Mexico,2007,136.4225544
Mexico,2008,127.8089811
Mexico,2009,122.1070271
Mexico,2010,122.1797595
Mexico,2011,124.2673431
Mexico,2012,128.9515709
Mexico,2013,129.8475879
Mexico,2014,147.0034197
Mexico,2015,155.7141332
Mexico,2016,158.5614939
Mexico,2017,147.6193589
Moldova,2009,26.16667471
Moldova,2010,32.90244789
Moldova,2011,38.23048742
Moldova,2012,41.2415273
Moldova,2013,44.28750233
Moldova,2014,50.78173219
Moldova,2015,53.40299169
Moldova,2016,49.83172642
Moldova,2017,64.51158532
Morocco,1995,48.64224247
Morocco,1996,44.13595725
Morocco,1997,43.23310142
Morocco,1998,45.25246135
Morocco,1999,54.1823933
Morocco,2000,52.27105063
Morocco,2001,58.28969202
Morocco,2002,51.94432382
Morocco,2003,54.01432123
Morocco,2004,53.11590384
Morocco,2005,73.62127212
Morocco,2006,69.16246298
Morocco,2007,85.47396949
Morocco,2008,108.2702693
Morocco,2009,71.67888037
Morocco,2010,67.1096645
Morocco,2011,72.37021241
Morocco,2012,69.68904735
Morocco,2013,64.89327392
Morocco,2014,53.90744156
Morocco,2015,54.87981866
Morocco,2016,52.83928077
Morocco,2017,51.73535895
Nepal,1995,4.673686918
Nepal,1996,5.432951692
Nepal,1997,5.89554093
Nepal,1998,5.33769566
Nepal,1999,5.363427108
Nepal,2000,6.528814332
Nepal,2001,8.277536872
Nepal,2002,9.688052051
Nepal,2003,10.34042316
Nepal,2004,11.30012747
Nepal,2005,14.54741907
Nepal,2006,15.99807684
Nepal,2007,17.89062511
Nepal,2008,21.1891142
Nepal,2009,22.0260174
Nepal,2010,28.30907455
Nepal,2011,28.3234836
Nepal,2012,31.17549143
Nepal,2013,35.12557124
Nepal,2017,40.84627475
Netherlands,1995,796.4936426
Netherlands,1996,824.6355011
Netherlands,1997,823.6684571
Netherlands,1998,862.8522101
Netherlands,1999,897.0352303
Netherlands,2000,872.5621586
Netherlands,2001,885.8183069
Netherlands,2002,1035.300855
Netherlands,2003,1012.307814
Netherlands,2004,1052.096334
Netherlands,2005,1044.064817
Netherlands,2006,1021.344478
Netherlands,2007,1069.669465
Netherlands,2008,1118.779967
Netherlands,2009,1109.471841
Netherlands,2010,1105.480857
Netherlands,2011,1111.838359
Netherlands,2012,1111.790048
Netherlands,2013,1076.739755
Netherlands,2014,1063.029439
Netherlands,2015,1066.71087
Netherlands,2016,1053.298254
New Caledonia,1995,304.4124324
New Caledonia,1996,323.9456581
New Caledonia,1997,312.782373
New Caledonia,1998,331.2564851
New Caledonia,1999,329.8058447
New Caledonia,2000,323.594241
New Caledonia,2001,312.8968729
New Caledonia,2002,325.0711093
New Caledonia,2003,346.2112066
New Caledonia,2004,389.0710383
New Caledonia,2005,413.3476857
New Caledonia,2006,424.1781548
New Caledonia,2007,443.0512017
New Caledonia,2008,461.3800206
New Caledonia,2009,483.8381785
New Caledonia,2010,528.5285285
New Caledonia,2011,487.5172007
New Caledonia,2012,467.1814672
New Caledonia,2013,458.9417789
New Caledonia,2014,462.6002611
New Caledonia,2015,466.226138
New Caledonia,2016,484.5416742
New Caledonia,2017,481.3520645
New Zealand,1995,250.4491752
New Zealand,1996,292.8724544
New Zealand,1997,299.3679422
New Zealand,1998,305.6356488
New Zealand,1999,308.9880316
New Zealand,2000,332.5815901
New Zealand,2001,331.6582915
New Zealand,2002,327.4661264
New Zealand,2003,341.1799762
New Zealand,2004,423.9755352
New Zealand,2005,452.8411427
New Zealand,2006,444.7258997
New Zealand,2007,468.2986884
New Zealand,2008,461.758768
New Zealand,2009,445.7769721
New Zealand,2010,465.6721907
New Zealand,2011,478.1021898
New Zealand,2012,492.7292938
New Zealand,2013,494.5858941
New Zealand,2014,504.6898907
New Zealand,2015,524.8384359
New Zealand,2016,556.3368278
New Zealand,2017,595.1313127
Nicaragua,1995,55.28781318
Nicaragua,1996,59.99005697
Nicaragua,1997,68.94188826
Nicaragua,1998,86.65963259
Nicaragua,1999,91.31940376
Nicaragua,2000,96.68186256
Nicaragua,2001,97.82875067
Nicaragua,2002,102.8668528
Nicaragua,2003,107.2339201
Nicaragua,2004,132.0224502
Nicaragua,2005,137.5636511
Nicaragua,2006,141.8293714
Nicaragua,2007,171.8547235
Nicaragua,2008,168.379478
Nicaragua,2009,151.4140537
Nicaragua,2010,158.2509299
Nicaragua,2011,157.02966
Nicaragua,2012,166.5785281
Nicaragua,2013,167.1783209
Nicaragua,2014,159.4613366
Nicaragua,2015,152.0872537
Nicaragua,2016,159.5140626
Nicaragua,2017,157.9392371
Niger,1995,1.055149165
Niger,1996,1.018333672
Niger,1997,0.982312385
Niger,1998,0.947279267
North America,1995,234.9816858
North America,1996,240.5769536
North America,1997,238.9483302
North America,1998,239.528263
North America,1999,244.1222525
North America,2000,257.189452
North America,2001,246.0860442
North America,2002,237.4861496
North America,2003,229.8836307
North America,2004,250.5759814
North America,2005,258.0110832
North America,2006,261.0078575
North America,2007,266.9818207
North America,2008,268.828848
North America,2009,259.4996943
North America,2010,261.373664
North America,2011,259.1405429
North America,2012,266.5950045
North America,2013,268.4091202
North America,2014,287.1701912
North America,2015,298.3103901
North America,2016,310.0195318
North America,2017,333.2092054
Norway,1995,135.3464318
Norway,1996,157.9426915
Norway,1997,170.9360189
Norway,1999,508.9745138
Norway,2000,533.0700493
Norway,2001,520.1881982
Norway,2002,579.3098038
Norway,2003,566.9402424
Norway,2004,644.6119371
Norway,2005,684.793581
Norway,2006,694.3197308
Norway,2007,720.9364402
Norway,2009,1375.103909
Norway,2010,1552.3847
Norway,2011,1641.400274
Norway,2012,1843.153422
Norway,2013,1826.907233
Norway,2014,1788.901105
Norway,2015,1685.856856
Norway,2016,1534.04735
Norway,2017,1546.69729
Oman,2002,882.4972101
Oman,2005,803.5777927
Oman,2006,870.3088784
Oman,2007,849.8694213
Oman,2008,747.3684439
Oman,2009,570.5976742
Oman,2010,615.8226641
Oman,2011,755.5753802
Oman,2012,833.5632752
Oman,2013,836.0543945
Oman,2014,847.7817681
Oman,2015,913.8508647
Oman,2016,941.7455673
Oman,2017,964.7858555
Palau,1998,485.8561866
Panama,1995,67.52490209
Panama,1996,67.23064115
Panama,1997,67.9761775
Panama,1998,72.45063056
Panama,1999,74.3807967
Panama,2000,71.27896574
Panama,2001,64.73153889
Panama,2002,63.50688176
Panama,2003,70.73471242
Panama,2004,78.29845229
Panama,2005,85.57363611
Panama,2006,83.72876009
Panama,2007,90.91417094
Panama,2008,104.9408066
Panama,2009,93.87087447
Panama,2010,107.5970666
Panama,2011,111.65705
Panama,2012,118.4753102
Panama,2013,161.2625057
Panama,2014,218.494636
Panama,2015,186.4332522
Panama,2016,190.8719103
Panama,2017,223.7356435
Papua New Guinea,1995,10.42033592
Papua New Guinea,1997,12.4153477
Papua New Guinea,1998,12.28459901
Papua New Guinea,1999,10.68045747
Papua New Guinea,2000,9.33200436
Papua New Guinea,2001,6.647828819
Papua New Guinea,2002,15.69345631
Paraguay,1995,89.68986631
Paraguay,1996,85.81939247
Paraguay,1997,74.09126759
Paraguay,1998,62.48391236
Paraguay,1999,54.07031103
Paraguay,2000,33.00205556
Paraguay,2001,29.03845357
Paraguay,2002,25.59628916
Paraguay,2003,27.28269689
Paraguay,2004,29.80500514
Paraguay,2005,32.43899485
Paraguay,2006,35.69731128
Paraguay,2007,40.5621104
Paraguay,2008,45.97232036
Paraguay,2009,46.99863916
Paraguay,2010,48.63220318
Paraguay,2011,55.13377249
Paraguay,2012,62.70360055
Paraguay,2013,68.05098875
Paraguay,2014,65.01252025
Paraguay,2015,151.8273735
Paraguay,2016,223.4841884
Paraguay,2017,227.2694907
Peru,1995,21.13253762
Peru,1996,20.86651348
Peru,1997,23.24044646
Peru,1998,21.34941984
Peru,1999,20.06940258
Peru,2000,28.16914561
Peru,2001,40.36347999
Peru,2002,46.31323528
Peru,2003,53.19674577
Peru,2004,59.94897407
Peru,2005,66.67774944
Peru,2006,66.44020467
Peru,2007,67.68524657
Peru,2008,66.79007527
Peru,2009,65.20350822
Peru,2010,70.06280392
Peru,2011,71.63981143
Peru,2012,76.12993098
Peru,2013,77.34155483
Peru,2014,78.84196203
Peru,2015,82.70475858
Peru,2016,86.58066153
Peru,2017,89.38152184
Philippines,1995,23.12570294
Philippines,1996,29.68671197
Philippines,1997,26.41492143
Philippines,1998,24.32601574
Philippines,1999,22.99051984
Philippines,2000,21.41257089
Philippines,2001,22.43134293
Philippines,2002,24.20344365
Philippines,2003,21.71453173
Philippines,2004,22.67399823
Philippines,2005,24.85098767
Philippines,2006,31.2608833
Philippines,2007,34.33620973
Philippines,2008,36.96893763
Philippines,2009,34.5691782
Philippines,2014,34.84437198
Philippines,2015,50.28689633
Philippines,2016,55.19732623
Poland,1995,942.7905658
Poland,1996,1157.637005
Poland,1997,1257.708347
Poland,1998,1275.829251
Poland,1999,1425.158142
Poland,2000,1481.417434
Poland,2001,1388.880319
Poland,2002,1178.199611
Poland,2003,1013.753067
Poland,2004,974.9563553
Poland,2005,1070.104122
Poland,2006,1171.854097
Poland,2007,1247.646939
Poland,2008,1317.822945
Poland,2009,1029.314548
Poland,2010,1123.997359
Poland,2011,1136.791901
Poland,2012,1268.680659
Poland,2013,1382.222111
Poland,2014,931.2913499
Poland,2015,1166.206485
Poland,2016,1171.975192
Poland,2017,1229.729185
Portugal,2004,1634.989247
Portugal,2005,1724.215082
Portugal,2006,1746.578311
Portugal,2007,1990.80638
Portugal,2012,129.436062
Portugal,2013,142.4842658
Portugal,2014,156.5224782
Portugal,2015,182.7559481
Portugal,2016,187.9820854
Portugal,2017,213.2368499
Puerto Rico,1995,335.8581066
Puerto Rico,1996,317.8817904
Puerto Rico,1997,332.7632114
Puerto Rico,1998,330.5915393
Puerto Rico,1999,298.4146917
Puerto Rico,2000,330.3937301
Puerto Rico,2001,348.541181
Puerto Rico,2002,320.8932916
Puerto Rico,2003,332.4538465
Puerto Rico,2004,355.64238
Puerto Rico,2005,368.9783904
Puerto Rico,2006,385.7864499
Puerto Rico,2007,380.9151215
Puerto Rico,2008,382.358744
Puerto Rico,2009,298.3630137
Puerto Rico,2010,263.3329079
Puerto Rico,2011,251.1735022
Puerto Rico,2012,241.0243203
Puerto Rico,2013,233.5045979
Puerto Rico,2014,224.3361432
Puerto Rico,2015,214.7889382
Puerto Rico,2016,231.6146683
Puerto Rico,2017,237.326339
Romania,1995,252.9065295
Romania,1996,254.1225953
Romania,1997,276.8026111
Romania,1998,306.2555937
Romania,1999,279.1913863
Romania,2000,284.6325471
Romania,2001,289.5359067
Romania,2002,264.9272249
Romania,2003,301.1449813
Romania,2004,325.0084795
Romania,2005,334.9017586
Romania,2006,420.2180264
Romania,2007,525.7869781
Romania,2008,636.4825962
Romania,2009,575.5741982
Romania,2010,538.6017425
Romania,2011,542.7961187
Romania,2012,555.8370997
Romania,2013,568.6636599
Romania,2014,617.7614633
Romania,2015,662.0076495
Romania,2016,818.5833027
Romania,2017,1018.709839
Russia,1995,143.7499285
Russia,1996,82.74835667
Russia,1997,75.59731462
Russia,1998,72.01835284
Russia,1999,85.80003509
Russia,2000,125.3167221
Russia,2001,123.513384
Russia,2002,140.586029
Russia,2003,142.2208634
Russia,2004,170.1082886
Russia,2005,197.9953487
Russia,2006,203.4749811
Russia,2007,240.0824822
Russia,2008,255.971686
Russia,2009,240.0526519
Russia,2010,275.2758255
Russia,2011,305.8599225
Russia,2012,333.885757
Russia,2013,376.7693111
Russia,2014,319.0731927
Russia,2015,239.7692608
Russia,2016,219.3326485
Russia,2017,274.2585414
Samoa,1999,333.8033438
Samoa,2000,349.34998
Samoa,2001,318.9683652
Samoa,2002,300.1438425
Samoa,2003,287.0619491
Samoa,2004,302.0455194
Samoa,2005,289.0028845
Samoa,2006,281.6216992
Samoa,2007,285.2660106
Samoa,2008,288.7874198
Samoa,2009,232.6512504
Samoa,2010,300.7438039
Samoa,2011,303.7327152
Samoa,2012,295.9924733
Samoa,2013,267.3558506
Samoa,2014,296.4272713
Samoa,2015,278.6967315
Samoa,2017,279.98371
Saudi Arabia,2002,360.4441241
Saudi Arabia,2003,181.9437256
Saudi Arabia,2004,164.0629406
Saudi Arabia,2005,184.1823696
Saudi Arabia,2006,81.37258959
Saudi Arabia,2007,163.3893169
Saudi Arabia,2008,157.5512215
Saudi Arabia,2009,226.2439026
Saudi Arabia,2010,650.0113252
Saudi Arabia,2011,541.1611721
Saudi Arabia,2012,641.9160708
Saudi Arabia,2013,639.6491961
Saudi Arabia,2014,644.1390997
Saudi Arabia,2015,659.7238331
Saudi Arabia,2016,657.0580512
Saudi Arabia,2017,639.7129073
Seychelles,1995,411.664719
Seychelles,1996,379.4967088
Seychelles,1997,388.0029488
Seychelles,1998,393.1714989
Seychelles,1999,397.9604527
Seychelles,2000,443.7268122
Seychelles,2001,504.9136721
Seychelles,2002,633.0399054
Seychelles,2003,604.0033341
Seychelles,2004,581.9945438
Seychelles,2005,627.5797147
Seychelles,2006,650.1182033
Seychelles,2007,682.0881305
Seychelles,2008,621.003726
Seychelles,2009,561.2957914
Seychelles,2010,657.2351565
Seychelles,2011,548.941572
Seychelles,2012,509.6089601
Seychelles,2013,522.5183159
Seychelles,2014,547.2914546
Seychelles,2015,599.4497907
Seychelles,2016,718.2314607
Seychelles,2017,772.0960321
Sierra Leone,1997,1.393580934
Sierra Leone,1998,1.607847767
Sierra Leone,1999,2.929377442
Sierra Leone,2000,2.848193271
Sierra Leone,2001,4.220168735
Sierra Leone,2002,5.446605514
Sierra Leone,2003,2.500216846
Sierra Leone,2004,5.147347416
Sierra Leone,2005,11.13393076
Sierra Leone,2006,11.4555528
Sierra Leone,2007,11.80300551
Sierra Leone,2008,11.84032367
Sierra Leone,2009,11.40998945
Sierra Leone,2010,11.76703743
Sierra Leone,2011,14.97347426
Sierra Leone,2012,15.37073852
Sierra Leone,2013,16.03564478
Sierra Leone,2014,13.13714815
Sierra Leone,2015,8.428877888
Sierra Leone,2016,12.43883675
Singapore,1995,813.4473313
Singapore,1996,900.3722447
Singapore,1997,967.0609198
Singapore,1998,953.6024657
Singapore,1999,1003.101253
Singapore,2000,1103.308012
Singapore,2001,1054.371036
Singapore,2002,1053.412996
Singapore,2003,1025.802792
Singapore,2004,1239.600793
Singapore,2005,1209.397055
Singapore,2006,1257.11001
Singapore,2007,1312.819011
Singapore,2008,1410.919875
Singapore,2009,1395.668795
Singapore,2010,1446.205945
Singapore,2011,1495.653288
Singapore,2012,1514.935612
Singapore,2013,1601.544832
Singapore,2014,1627.687247
Singapore,2015,1648.599224
Singapore,2016,1689.588344
Singapore,2017,1762.037456
Slovakia,2005,555.9477569
Slovakia,2006,586.0726507
Slovakia,2007,670.3727257
Slovakia,2008,684.6701007
Slovakia,2009,599.657731
Slovakia,2010,499.3111287
Slovakia,2011,608.5154372
Slovakia,2012,497.2650423
Slovakia,2013,393.2838425
Slovakia,2014,444.022117
Slovakia,2015,512.0025606
Slovakia,2016,569.8978309
Slovakia,2017,711.4111824
Slovenia,2000,987.9708888
Slovenia,2001,1031.595434
Slovenia,2002,1066.41665
Slovenia,2003,1059.259931
Slovenia,2004,1402.09473
Slovenia,2005,1329.684865
Slovenia,2006,1335.414188
Slovenia,2007,1236.793415
Slovenia,2008,1216.534179
Slovenia,2009,1267.852774
Slovenia,2010,1402.920946
Slovenia,2011,1325.96599
Slovenia,2012,1202.629452
Slovenia,2013,1267.990095
Slovenia,2014,1281.292738
Slovenia,2015,1389.366091
Slovenia,2016,1381.569963
Slovenia,2017,1457.845853
South Asia,1995,4.052471048
South Asia,1996,4.409670315
South Asia,1997,4.555014228
South Asia,1998,4.630677664
South Asia,1999,4.877597222
South Asia,2000,5.099879867
South Asia,2001,5.103783752
South Asia,2002,5.427169997
South Asia,2003,5.885620076
South Asia,2004,6.679313345
South Asia,2005,7.558234775
South Asia,2006,8.375978209
South Asia,2007,9.794009831
South Asia,2008,9.541626697
South Asia,2009,10.53921892
South Asia,2010,11.72739514
South Asia,2011,12.49154322
South Asia,2012,13.13011899
South Asia,2013,13.62985136
South Asia,2014,14.76967369
South Asia,2015,16.13264175
South Asia,2016,17.09397628
South Asia,2017,18.37663322
South Korea,1995,84.69165419
South Korea,1996,102.12043
South Korea,1997,98.83887175
South Korea,1998,66.26121658
South Korea,1999,93.1426322
South Korea,2000,117.1712686
South Korea,2001,128.4352742
South Korea,2002,149.5023501
