Entity,Year,Afforestation,Conversion as share of forest area,Deforestation,Deforestation as share of forest area,Expansion as share of forest area,Forest area,Forest expansion,Natural forest expansion,Net forest conversion,Share of global afforestation,Share of global deforestation,Share of global forest area,Share of global forest expansion,Share of global net forest conversion,Share of regional afforestation,Share of regional deforestation,Share of regional forest area,Share of regional forest expansion,Share of regional net forest conversion
Bolivia,2010,,-0.3988998231360767,190.69,0.35920951678229346,-0.039690306353783227,53086.01,-21.07,,-211.76,,2.339479030690863,1.2927889097620402,-0.30351614887416695,17.515446777888982,,,,,
Bolivia,2015,,-0.4587790775674733,242.54,0.4661790501203024,0.007399972552829077,52027.22,3.85,,-238.69,,3.2276609505457508,1.2739693502493372,0.08207327758035189,8.45357246576992,,,,,
"Bonaire, Sint Eustatius and Saba",1990,,,,,,1.91,,,,,,4.508509424420505e-05,,,,,,,
"Bonaire, Sint Eustatius and Saba",2000,,,,,,1.91,,,,,,4.5934998869373707e-05,,,,,,,
"Bonaire, Sint Eustatius and Saba",2010,,,,,,1.91,,,,,,4.6513701399775506e-05,,,,,,,
"Bonaire, Sint Eustatius and Saba",2015,,,,,,1.91,,,,,,4.676939223307019e-05,,,,,,,
Bosnia and Herzegovina,1990,,,,,,2210.0,,,,,,0.05216652265952521,,,,,,,
Bosnia and Herzegovina,2000,0.86,,,,,2111.65,,,,0.0310431210609528,,0.05078462846204868,,,,,,,
Bosnia and Herzegovina,2010,0.46,,,,,2102.66,,,,0.02056564464354373,,0.05120549706034134,,,,,,,
Bosnia and Herzegovina,2015,0.42,,,,,2160.5,,,,0.027380471204871134,,0.05290328372751211,,,,,,,
Botswana,1990,,,,,,18803.7,,,,,,0.4438568516438527,,,,,,,
Botswana,2000,,,,,,17620.7,,,,,,0.423773211820719,,,,,,,
Botswana,2010,,,,,,16437.7,,,,,,0.4003027589000471,,,,,,,
Botswana,2015,,,,,,15846.2,,,,,,0.3880194467034957,,,,,,,
Brazil,1990,,-0.642036481699717,4254.8,0.7225020292138877,0.08046554751417054,588898.0,473.86,,-3780.94,,30.806992900663595,13.900796769750714,6.552294879541812,57.31840797528345,,,,,
Brazil,2000,,-0.7169065010599022,5129.3,0.9307577765172425,0.21385127545734023,551088.6,1178.51,,-3950.79,,39.99288918274723,13.25353623975117,12.439977748620636,115.83143007086292,,,,,
