Entity,Year,‘cost of basic needs’ approach - share of population below poverty line,$1.90 - share of population below poverty line,$5 - share of population below poverty line,$10 - share of population below poverty line,$30 - share of population below poverty line,‘cost of basic needs’ approach - share of population above poverty line,$1.90 - share of population above poverty line,$5 - share of population above poverty line,$10 - share of population above poverty line,$30 - share of population above poverty line,$1.90-$5 - share of population between poverty lines,$5-$10 - share of population between poverty lines,$10-$30 - share of population between poverty lines,‘cost of basic needs’ approach - number below poverty line,$1.90 - number below poverty line,$5 - number below poverty line,$10 - number below poverty line,$30 - number below poverty line,‘cost of basic needs’ approach - number above poverty line,$1.90 - number above poverty line,$5 - number above poverty line,$10 - number above poverty line,$30 - number above poverty line,$1.90-$5 - number between poverty lines,$5-$10 - number between poverty lines,$10-$30 - number between poverty lines
Latin America and Caribbean,1829,85.3067608586335,83.4323159013603,97.1466369738681,99.5463172876897,99.9799476071001,14.693239141366504,16.567684098639702,2.853363026131902,0.45368271231029667,0.02005239289989902,13.7143210725078,2.399680313821605,0.43363031941039765,20162253.0,19719228.0,22960608.0,23527772.0,23630261.0,3472747.0,3915772.0,674392.0,107228.0,4739.0,3241380.0,567164.0,102489.0
Latin America and Caribbean,1830,85.2729459127973,83.335804421814,97.1224518052644,99.5432109012499,99.9799628116665,14.727054087202703,16.664195578185996,2.8775481947355956,0.4567890987500931,0.020037188333503764,13.7866473834504,2.4207590959855025,0.43675191041658934,20433103.0,19968925.0,23272482.0,23852544.0,23957198.0,3528897.0,3993074.0,689518.0,109456.0,4801.0,3303556.0,580062.0,104654.0
Latin America and Caribbean,1831,85.2675670447448,83.3337640357918,97.1145880377859,99.5424482793261,99.98016027479039,14.732432955255206,16.666235964208198,2.885411962214107,0.45755172067390504,0.019839725209607195,13.780824001994091,2.427860241540202,0.43771199546429784,20710639.0,20240938.0,23588162.0,24177865.0,24284181.0,3578361.0,4048062.0,700838.0,111135.0,4819.0,3347224.0,589703.0,106316.0
Latin America and Caribbean,1832,85.1630227057073,83.18537806968,97.081624272906,99.5391615660849,99.9805323516182,14.836977294292694,16.81462193032,2.918375727094002,0.46083843391510015,0.019467648381805702,13.896246203226,2.457537293178902,0.44137078553329445,20964581.0,20477744.0,23898583.0,24503555.0,24612207.0,3652419.0,4139255.0,718417.0,113445.0,4792.0,3420839.0,604972.0,108652.0
Latin America and Caribbean,1833,85.1108838265241,83.05837406777759,97.0445455749908,99.53277400103289,99.9804305267589,14.889116173475898,16.941625932222408,2.9554544250091936,0.46722599896710904,0.019569473241105584,13.986171507213214,2.4882284260420846,0.44765652572600345,21230059.0,20718081.0,24206792.0,24827455.0,24939119.0,3713941.0,4225919.0,737209.0,116545.0,4881.0,3488711.0,620664.0,111663.0
Latin America and Caribbean,1834,85.0533024349587,82.9594385403375,97.0156125993644,99.5278137784364,99.9803812056392,14.946697565041305,17.0405614596625,2.9843874006355975,0.4721862215636037,0.019618794360795277,14.056174059026901,2.512201179071994,0.4525674272028084,21495521.0,20966339.0,24518756.0,25153664.0,25268042.0,3777479.0,4306661.0,754244.0,119336.0,4958.0,3552417.0,634909.0,114377.0
Latin America and Caribbean,1835,85.0179482024796,82.8950506740367,96.99382686592391,99.5243604182152,99.98048378025281,14.982051797520398,17.104949325963304,3.006173134076093,0.4756395817848045,0.019516219747188757,14.098776191887211,2.5305335522912884,0.4561233620376157,21764595.0,21221133.0,24830420.0,25478237.0,25595004.0,3835405.0,4378867.0,769580.0,121764.0,4996.0,3609287.0,647817.0,116768.0
Latin America and Caribbean,1836,85.0348994807064,82.87806051548891,96.9776248332282,99.5213751229434,99.9801349904194,14.9651005192936,17.12193948451109,3.022375166771795,0.4786248770566033,0.01986500958059878,14.099564317739294,2.5437502897151916,0.4587598674760045,22049549.0,21490281.0,25146298.0,25805892.0,25924848.0,3880450.0,4439719.0,783702.0,124107.0,5151.0,3656017.0,659594.0,118956.0
Latin America and Caribbean,1837,84.9906301514884,82.81389526783491,96.9487017498219,99.51531071646559,99.9801044627076,15.009369848511597,17.18610473216509,3.0512982501781067,0.4846892835344079,0.019895537292399013,14.134806481986985,2.566608966643699,0.46479374624200887,22317690.0,21746101.0,25457760.0,26131726.0,26253776.0,3941311.0,4512899.0,801240.0,127275.0,5224.0,3711659.0,673966.0,122050.0
Latin America and Caribbean,1838,85.0381478733058,82.9277847697805,96.9617616972275,99.51821547624941,99.9800738915942,14.961852126694197,17.0722152302195,3.0382383027724984,0.48178452375059067,0.019926108405798004,14.033976927447,2.5564537790219077,0.46185841534479266,22608242.0,22047181.0,25778254.0,26457913.0,26580702.0,3977758.0,4538819.0,807746.0,128087.0,5298.0,3731073.0,679659.0,122790.0
Latin America and Caribbean,1839,85.09547486571431,83.0629745575015,96.9860740863364,99.524875408042,99.9804957639506,14.904525134285691,16.937025442498495,3.0139259136635985,0.47512459195799295,0.019504236049399992,13.923099528834896,2.5388013217056056,0.45562035590859296,22902596.0,22355569.0,26102832.0,26786125.0,26908751.0,4011404.0,4558431.0,811168.0,127875.0,5249.0,3747263.0,683293.0,122626.0
Latin America and Caribbean,1840,85.0180686197005,82.9646297840891,96.9510758720989,99.51877449262871,99.9804910830699,14.9819313802995,17.035370215910902,3.0489241279011026,0.4812255073712919,0.019508916930107034,13.9864460880098,2.5676986205298107,0.46171659044118485,23161472.0,22602054.0,26412381.0,27111899.0,27237685.0,4081527.0,4640946.0,830618.0,131100.0,5315.0,3810327.0,699518.0,125785.0
Latin America and Caribbean,1841,84.8827646309436,82.60646857645901,96.861752889628,99.50406655850969,99.9801875577373,15.117235369056402,17.393531423540992,3.1382471103720064,0.49593344149030827,0.01981244226270462,14.255284313168985,2.642313668881698,0.47612099922760365,23406422.0,22778733.0,26709628.0,27438246.0,27569536.0,4168578.0,4796266.0,865372.0,136754.0,5463.0,3930895.0,728618.0,131290.0
Latin America and Caribbean,1842,84.81466644898849,82.4727895807101,96.84276737440631,99.5056118350362,99.9807136281094,15.18533355101151,17.5272104192899,3.157232625593693,0.49438816496379445,0.019286371890601117,14.369977793696208,2.6628444606298984,0.47510179307319333,23664988.0,23011558.0,27021069.0,27764056.0,27896618.0,4237012.0,4890442.0,880931.0,137944.0,5381.0,4009511.0,742987.0,132563.0
Latin America and Caribbean,1843,84.8766450881498,82.6710264600294,96.8886080164663,99.5168717230094,99.98126696624,15.1233549118502,17.328973539970605,3.111391983533693,0.48312827699059824,0.01873303376000024,14.217581556436912,2.6282637065430947,0.464395243230598,23958131.0,23335551.0,27348748.0,28090628.0,28221713.0,4268869.0,4891449.0,878253.0,136373.0,5288.0,4013197.0,741880.0,131085.0
Latin America and Caribbean,1844,84.8816907282686,82.7154905566747,96.9001142857899,99.52227032702649,99.981847021725,15.118309271731405,17.284509443325305,3.099885714210103,0.4777296729735099,0.018152978274997622,14.184623729115202,2.622156041236593,0.45957669469851226,24241362.0,23622717.0,27673704.0,28422565.0,28553816.0,4317638.0,4936283.0,885296.0,136435.0,5184.0,4050987.0,748862.0,131251.0
Latin America and Caribbean,1845,84.7713667453413,82.4532755955057,96.8269639126091,99.5103663326663,99.9817612133255,15.228633254658703,17.5467244044943,3.173036087390898,0.48963366733370606,0.01823878667450174,14.373688317103401,2.6834024200571918,0.4713948806592043,24488752.0,23819102.0,27971373.0,28746554.0,28882731.0,4399247.0,5068898.0,916627.0,141445.0,5269.0,4152271.0,775181.0,136177.0
Latin America and Caribbean,1846,84.7708835420688,82.5281199212918,96.8522554951285,99.5190335250803,99.98227388780731,15.229116457931198,17.471880078708196,3.147744504871497,0.4809664749196969,0.01772611219269038,14.324135573836699,2.6667780299518,0.4632403627270065,24765814.0,24110591.0,28295387.0,29074486.0,29209822.0,4449186.0,5104410.0,919614.0,140514.0,5179.0,4184796.0,779099.0,135336.0
Latin America and Caribbean,1847,84.6686192535415,82.27301995037129,96.7708505780837,99.5056194330202,99.9821948700454,15.331380746458507,17.726980049628708,3.229149421916304,0.4943805669797996,0.0178051299545956,14.497830627712403,2.7347688549365046,0.476575437025204,25012803.0,24305095.0,28588044.0,29395950.0,29536739.0,4529196.0,5236904.0,953955.0,146050.0,5260.0,4282949.0,807905.0,140790.0
Latin America and Caribbean,1848,84.5676655948733,82.111615671842,96.7236943068677,99.4988873264021,99.9821475375241,15.432334405126696,17.888384328157997,3.2763056931323007,0.5011126735979019,0.017852462475900666,14.612078635025696,2.775193019534399,0.48326021112200124,25265436.0,24531667.0,28897171.0,29726288.0,29870667.0,4610564.0,5344334.0,978829.0,149712.0,5334.0,4365505.0,829117.0,144379.0
Latin America and Caribbean,1849,84.51027923708459,82.1044003762545,96.7091903526626,99.4984826540235,99.9825885108419,15.489720762915411,17.895599623745497,3.2908096473373973,0.5015173459764952,0.017411489158106974,14.6047899764081,2.789292301360902,0.48410585681838825,25526330.0,24799634.0,29211011.0,30053517.0,30199741.0,4678670.0,5405366.0,993989.0,151483.0,5259.0,4411377.0,842506.0,146224.0
Latin America and Caribbean,1850,84.3101709733085,81.835065879754,96.6638177931988,99.4980498134179,99.98334158972591,15.689829026691498,18.164934120246002,3.3361822068011975,0.501950186582107,0.016658410274089874,14.828751913444805,2.8342320202190905,0.4852917763080171,25858773.0,25099634.0,29647760.0,30517047.0,30665891.0,4812228.0,5571367.0,1023240.0,153953.0,5109.0,4548127.0,869287.0,148844.0
Latin America and Caribbean,1851,83.73537065792111,80.99912843927059,96.4370636796575,99.443395544941,99.98066374523819,16.26462934207889,19.000871560729408,3.5629363203425015,0.5566044550590021,0.01933625476181078,15.437935240386906,3.0063318652834994,0.5372682002971914,26027465.0,25176959.0,29975532.0,30909990.0,31076989.0,5055535.0,5906041.0,1107467.0,173009.0,6010.0,4798573.0,934458.0,166999.0
Latin America and Caribbean,1852,83.9699097504252,81.3203951102562,96.4592394404888,99.43572161542869,99.9792904611067,16.030090249574798,18.6796048897438,3.540760559511199,0.5642783845713097,0.02070953889329985,15.138844330232601,2.976482174939889,0.5435688456780099,26448002.0,25613484.0,30381766.0,31319269.0,31490477.0,5048997.0,5883515.0,1115233.0,177731.0,6523.0,4768282.0,937503.0,171208.0
Latin America and Caribbean,1853,84.1181247794633,81.1437345719565,96.2381033997693,99.37295191609479,99.9762684842767,15.881875220536699,18.8562654280435,3.761896600230699,0.6270480839052084,0.023731515723298457,15.0943688278128,3.1348485163254907,0.6033165681819099,26843776.0,25894589.0,30711504.0,31711896.0,31904427.0,5068224.0,6017411.0,1200496.0,200104.0,7573.0,4816915.0,1000393.0,192530.0
Latin America and Caribbean,1854,84.1789413455826,81.0963707600996,96.1039445729527,99.3272098746103,99.9735503570103,15.8210586544174,18.903629239900397,3.896055427047301,0.672790125389696,0.026449642989703648,15.007573812853096,3.223265301657605,0.6463404823999923,27208317.0,26211969.0,31062716.0,32104540.0,32313450.0,5113682.0,6110031.0,1259283.0,217459.0,8549.0,4850748.0,1041824.0,208910.0
Latin America and Caribbean,1855,83.97124754349309,80.7474737204533,95.9303664107669,99.273414363597,99.97044623199079,16.028752456506908,19.2525262795467,4.069633589233106,0.7265856364030014,0.02955376800920817,15.182892690313594,3.343047952830105,0.6970318683937933,27490507.0,26435108.0,31405683.0,32500130.0,32728325.0,5247493.0,6302892.0,1332317.0,237870.0,9675.0,4970575.0,1094447.0,228194.0
Latin America and Caribbean,1856,84.0607035402559,81.1057263356055,96.01050777407781,99.27606680507391,99.9691220113891,15.9392964597441,18.894273664394504,3.9894922259221914,0.7239331949260901,0.030877988610896523,14.904781438472313,3.2655590309961013,0.6930552063151936,27866964.0,26887360.0,31828444.0,32911009.0,33140764.0,5284036.0,6263641.0,1322557.0,239991.0,10236.0,4941084.0,1082565.0,229755.0
Latin America and Caribbean,1857,83.32578398425599,80.00462355243731,95.6465234457467,99.1711555173005,99.9631847619588,16.67421601574401,19.99537644756269,4.353476554253305,0.8288444826994947,0.036815238041199905,15.641899893309386,3.5246320715538104,0.7920292446582948,27968299.0,26853552.0,32103755.0,33286798.0,33552642.0,5596701.0,6711448.0,1461244.0,278202.0,12357.0,5250204.0,1183043.0,265845.0
Latin America and Caribbean,1858,83.0546856963692,79.83203633458031,95.6923759877388,99.1811061200199,99.96280422349349,16.945314303630795,20.16796366541969,4.307624012261201,0.8188938799800951,0.03719577650650763,15.86033965315849,3.4887301322811055,0.7816981034735875,28223643.0,27128522.0,32518183.0,33703723.0,33969360.0,5758357.0,6853477.0,1463817.0,278277.0,12640.0,5389661.0,1185540.0,265637.0
Latin America and Caribbean,1859,83.1179899342809,79.9376803577992,95.6701398104614,99.16367963596319,99.9609118356002,16.8820100657191,20.062319642200805,4.329860189538607,0.8363203640368084,0.03908816439980001,15.732459452662198,3.4935398255017986,0.7972321996370084,28587601.0,27493765.0,32904787.0,34106355.0,34380555.0,5806398.0,6900234.0,1489212.0,287644.0,13444.0,5411022.0,1201568.0,274200.0
Latin America and Caribbean,1860,82.8728926065132,79.626066952101,95.5724876221067,99.1305542893233,99.9584087509659,17.127107393486796,20.373933047899,4.427512377893294,0.8694457106767004,0.04159124903409861,15.946420670005708,3.5580666672165933,0.8278544616426018,28848883.0,27718631.0,33269739.0,34508338.0,34796522.0,5962117.0,7092370.0,1541261.0,302663.0,14478.0,5551109.0,1238599.0,288184.0
Latin America and Caribbean,1861,82.8012882574255,79.6031167999742,95.5796422102588,99.12226857710729,99.95676733800249,17.198711742574503,20.396883200025798,4.420357789741203,0.8777314228927082,0.043232661997507194,15.976525410284594,3.542626366848495,0.834498760895201,29169238.0,28042586.0,33670797.0,34918793.0,35212770.0,6058762.0,7185414.0,1557204.0,309207.0,15230.0,5628210.0,1247996.0,293977.0
Latin America and Caribbean,1862,83.0757456170231,80.0502412621089,95.59962613791751,99.1025173223413,99.953702385366,16.924254382976898,19.949758737891102,4.400373862082489,0.8974826776587008,0.04629761463399973,15.549384875808613,3.502891184423788,0.8511850630247011,29609857.0,28531507.0,34073618.0,35322119.0,35625498.0,6032143.0,7110493.0,1568381.0,319881.0,16501.0,5542112.0,1248500.0,303379.0
Latin America and Caribbean,1863,82.6110375954513,79.5578321490969,95.400966849662,99.0276582653841,99.9477312474324,17.388962404548707,20.442167850903104,4.599033150338002,0.9723417346158953,0.05226875256759911,15.843134700565102,3.6266914157221066,0.9200729820482962,29791192.0,28690145.0,34403496.0,35711354.0,36043150.0,6270808.0,7371854.0,1658503.0,350646.0,18849.0,5713351.0,1307857.0,331797.0
Latin America and Caribbean,1864,82.36959900866499,79.4603469434246,95.4012210293472,99.01602291740011,99.94562118474481,17.63040099133501,20.539653056575403,4.598778970652802,0.9839770825998926,0.05437881525519117,15.940874085922601,3.6148018880529094,0.9295982673447014,30046782.0,28985545.0,34800457.0,36119064.0,36458163.0,6431218.0,7492455.0,1677543.0,358935.0,19836.0,5814912.0,1318607.0,339099.0
Latin America and Caribbean,1865,81.63532587249101,78.7004884330686,95.28908905155579,98.98171647245209,99.9424316639962,18.36467412750899,21.2995115669314,4.710910948444209,1.0182835275479079,0.05756833600379707,16.58860061848719,3.692627420896301,0.9607151915441108,30120986.0,29038119.0,35158815.0,36521284.0,36875759.0,6776014.0,7858881.0,1738185.0,375716.0,21241.0,6120696.0,1362469.0,354475.0
Latin America and Caribbean,1866,81.0892184757386,78.1373469810218,95.13635579348009,98.9261169047402,99.9374912236213,18.910781524261395,21.862653018978193,4.863644206519908,1.0738830952598022,0.06250877637870644,16.999008812458285,3.7897611112601055,1.0113743188810957,30260064.0,29158514.0,35502034.0,36916259.0,37293674.0,7056936.0,8158486.0,1814966.0,400741.0,23326.0,6343520.0,1414225.0,377415.0
Latin America and Caribbean,1867,80.368551393328,77.4445891341941,95.034469859981,98.894015528156,99.9341192257048,19.631448606671995,22.555410865805896,4.965530140018998,1.1059844718439962,0.06588077429519501,17.589880725786898,3.859545668175002,1.0401036975488012,30324662.0,29221393.0,35858406.0,37314690.0,37707142.0,7407338.0,8510608.0,1873594.0,417310.0,24858.0,6637014.0,1456284.0,392452.0
Latin America and Caribbean,1868,80.1451697927488,77.2757968905643,94.9665101677394,98.85955255919761,99.9302258927289,19.854830207251197,22.724203109435706,5.033489832260599,1.1404474408023901,0.06977410727110112,17.690713277175107,3.8930423914582093,1.070673333531289,30578588.0,29483807.0,36233522.0,37718874.0,38127378.0,7575412.0,8670192.0,1920478.0,435126.0,26622.0,6749715.0,1485351.0,408505.0
Latin America and Caribbean,1869,79.58492918412679,76.60204647522339,94.67179576737959,98.7431800930437,99.92004150403851,20.415070815873207,23.39795352477661,5.328204232620408,1.256819906956295,0.07995849596149185,18.069749292156203,4.071384325664113,1.1768614109948032,30699091.0,29548474.0,36518699.0,38089195.0,38543157.0,7874910.0,9025527.0,2055302.0,484806.0,30843.0,6970225.0,1570496.0,453963.0
Latin America and Caribbean,1870,79.7832366529166,76.7554945974812,94.41558570803839,98.6006350319306,99.9054594001856,20.2167633470834,23.244505402518797,5.5844142919616075,1.3993649680694062,0.094540599814394,17.66009111055719,4.185049323892201,1.3048243682550122,31133812.0,29952296.0,36843793.0,38476925.0,38986107.0,7889187.0,9070703.0,2179206.0,546074.0,36893.0,6891497.0,1633132.0,509182.0
Latin America and Caribbean,1871,79.52523358843099,76.3133157814545,94.2866592674637,98.5673560157409,99.9039247319783,20.474766411569007,23.686684218545494,5.713340732536295,1.4326439842591014,0.09607526802170696,17.9733434860092,4.280696748277194,1.3365687162373945,31525393.0,30252125.0,37377117.0,39074071.0,39603914.0,8116607.0,9389875.0,2264883.0,567929.0,38086.0,7124993.0,1696954.0,529843.0
Latin America and Caribbean,1872,78.6290892688719,75.253616129187,93.9755604284865,98.504297837041,99.900814536519,21.370910731128106,24.746383870813006,6.024439571513497,1.495702162959006,0.09918546348100676,18.72194429929951,4.528737408554491,1.3965166994779992,31662362.0,30303126.0,37842079.0,39665711.0,40228060.0,8605638.0,9964874.0,2425921.0,602289.0,39940.0,7538953.0,1823632.0,562349.0
Latin America and Caribbean,1873,78.6991761165274,75.17919251381319,94.00133996704379,98.5092441478364,99.9024068589494,21.300823883472603,24.82080748618681,5.998660032956209,1.490755852163602,0.09759314105059502,18.8221474532306,4.5079041807926075,1.393162711113007,32191111.0,30751297.0,38450308.0,40294221.0,40864081.0,8712889.0,10152703.0,2453692.0,609779.0,39919.0,7699011.0,1843913.0,569859.0
Latin America and Caribbean,1874,78.2101757096169,74.39407565168081,93.875037692135,98.5209772766943,99.9076378261088,21.789824290383095,25.605924348319192,6.124962307865005,1.4790227233057038,0.09236217389120327,19.480962040454187,4.645939584559301,1.3866605494145006,32491635.0,30906274.0,38999445.0,40929554.0,41505629.0,9052364.0,10637725.0,2544554.0,614445.0,38371.0,8093171.0,1930109.0,576074.0
Latin America and Caribbean,1875,77.9879381887443,74.2560070383561,94.05975385276099,98.6242861485239,99.9167302727995,22.012061811255705,25.743992961643897,5.940246147239009,1.3757138514761067,0.08326972720050207,19.80374681440489,4.564532295762902,1.2924441242756046,32904671.0,31330095.0,39685691.0,41611559.0,42156867.0,9287329.0,10861906.0,2506309.0,580441.0,35133.0,8355597.0,1925867.0,545308.0
Latin America and Caribbean,1876,77.85528623705929,73.8503997549673,93.791847102518,98.55668534386321,99.91756795834,22.14471376294071,26.1496002450327,6.208152897481995,1.443314656136792,0.08243204165999884,19.941447347550707,4.764838241345203,1.3608826144767932,33360990.0,31644896.0,40189806.0,42231539.0,42814678.0,9489010.0,11205104.0,2660194.0,618460.0,35322.0,8544910.0,2041733.0,583138.0
Latin America and Caribbean,1877,78.127476879562,74.184723412708,93.8684634128588,98.5278105985601,99.9079781831109,21.872523120438004,25.815276587292004,6.131536587141198,1.4721894014399055,0.09202181688910116,19.683740000150806,4.659347185701293,1.3801675845508043,33997172.0,32281483.0,40846862.0,42874377.0,43474957.0,9517829.0,11233518.0,2668138.0,640623.0,40043.0,8565380.0,2027515.0,600580.0
Latin America and Caribbean,1878,78.0930667248842,74.2613000956111,94.2937904221439,98.6878989503664,99.9218765327341,21.906933275115804,25.738699904388895,5.7062095778561,1.312101049633597,0.0781234672658968,20.032490326532795,4.394108528222503,1.2339775823677002,34507764.0,32814583.0,41666540.0,43608208.0,44153478.0,9680236.0,11373417.0,2521460.0,579791.0,34521.0,8851957.0,1941669.0,545270.0
Latin America and Caribbean,1879,77.7678758249244,74.3948299478113,94.5108094477856,98.74856057513661,99.9244936780238,22.232124175075597,25.605170052188697,5.489190552214396,1.251439424863392,0.07550632197620644,20.1159794999743,4.237751127351004,1.1759331028871856,34889780.0,33376497.0,42401330.0,44302554.0,44830125.0,9974220.0,11487504.0,2462670.0,561446.0,33875.0,9024833.0,1901225.0,527571.0
Latin America and Caribbean,1880,78.1551526049553,75.54810892533939,94.8625414608944,98.8333902063461,99.930395145857,21.844847395044695,24.451891074660608,5.1374585391055945,1.1666097936539046,0.06960485414299455,19.314432535555014,3.97084874545169,1.09700493951091,35597327.0,34409897.0,43207041.0,45015644.0,45515297.0,9949673.0,11137103.0,2339958.0,531356.0,31703.0,8797144.0,1808602.0,499653.0
Latin America and Caribbean,1881,77.8479421680512,75.4641290012506,94.9026171828013,98.8590435973105,99.9341593064146,22.152057831948795,24.535870998749402,5.097382817198707,1.140956402689497,0.06584069358540035,19.438488181550696,3.9564264145092096,1.0751157091040966,35996888.0,34894613.0,43882970.0,45712421.0,46209555.0,10243111.0,11345387.0,2357030.0,527578.0,30445.0,8988357.0,1829452.0,497133.0
Latin America and Caribbean,1882,76.84122572357161,74.4749558497241,94.2628145198443,98.53581167848769,99.8999761077374,23.15877427642839,25.525044150275903,5.737185480155702,1.4641883215123102,0.10002389226259822,19.7878586701202,4.272997158643392,1.364164429249712,36069271.0,34958544.0,44246965.0,46252710.0,46893048.0,10870729.0,11981456.0,2693035.0,687290.0,46951.0,9288421.0,2005745.0,640339.0
Latin America and Caribbean,1883,76.7301264247162,74.5731203126834,93.97470061368661,98.3467754273196,99.8782924804097,23.269873575283796,25.4268796873166,6.025299386313392,1.6532245726804007,0.12170751959030213,19.401580301003207,4.372074813632992,1.5315170530900986,36561138.0,35533346.0,44778005.0,46861255.0,47591008.0,11087862.0,12115654.0,2870995.0,787745.0,57992.0,9244659.0,2083250.0,729753.0
Latin America and Caribbean,1884,75.5335004824162,72.93147699867309,93.6466746250319,98.2520245472229,99.87113668312459,24.4664995175838,27.06852300132691,6.353325374968094,1.7479754527770979,0.1288633168754103,20.715197626358815,4.605349922190996,1.6191121359016876,36532533.0,35274038.0,45293151.0,47520574.0,48303674.0,11833467.0,13091962.0,3072849.0,845426.0,62326.0,10019113.0,2227424.0,783100.0
Latin America and Caribbean,1885,76.1433875270569,73.8260479181581,93.33689190647641,97.97543332131539,99.8294361625152,23.856612472943098,26.173952081841904,6.66310809352359,2.0245666786846073,0.1705638374848064,19.510843988318314,4.638541414838983,1.8540028411998009,37374982.0,36237516.0,45814414.0,48091242.0,49001279.0,11710018.0,12847484.0,3270587.0,993759.0,83721.0,9576898.0,2276828.0,910037.0
Latin America and Caribbean,1886,75.27819107471579,72.8093630372224,93.2557886053669,98.01346384685739,99.8423468315197,24.721808925284208,27.190636962777603,6.744211394633098,1.986536153142609,0.15765316848029443,20.446425568144505,4.757675241490489,1.8288829846623145,37487034.0,36257607.0,46439518.0,48808745.0,49719492.0,12310967.0,13540394.0,3358482.0,989255.0,78508.0,10181911.0,2369227.0,910747.0
Latin America and Caribbean,1887,75.52695205602559,73.3339968958856,93.2756218324934,98.0122155543479,99.845349639117,24.473047943974407,26.666003104114395,6.7243781675066,1.987784445652096,0.15465036088299655,19.941624936607795,4.736593721854504,1.8331340847690996,38156216.0,37048335.0,47122844.0,49515771.0,50441870.0,12363784.0,13471665.0,3397156.0,1004229.0,78129.0,10074509.0,2392927.0,926099.0
Latin America and Caribbean,1888,75.15969261628031,72.7946105306209,92.72226741448239,97.6765060815687,99.7976642147268,24.84030738371969,27.2053894693791,7.277732585517612,2.3234939184312964,0.20233578527320617,19.927656883861488,4.954238667086315,2.12115813315809,38528362.0,37315974.0,47531289.0,50070931.0,51158279.0,12733638.0,13946027.0,3730711.0,1191069.0,103721.0,10215316.0,2539642.0,1087348.0
Latin America and Caribbean,1889,74.9106357106404,72.6048956714412,92.6596053383681,97.6433493168594,99.7972183066105,25.089364289359594,27.3951043285588,7.340394661631905,2.3566506831406,0.2027816933894968,20.054709666926897,4.9837439784913045,2.1538689897511034,38957276.0,37758176.0,48187628.0,50779424.0,51899543.0,13047724.0,14246824.0,3817372.0,1225576.0,105457.0,10429452.0,2591796.0,1120120.0
Latin America and Caribbean,1890,73.7225877997398,71.4703251137244,92.9310953008079,97.93940145732721,99.8507474631838,26.2774122002602,28.5296748862756,7.068904699192103,2.0605985426727926,0.14925253681620632,21.460770187083497,5.0083061565193105,1.9113460058565863,38895300.0,37707029.0,49029516.0,51671849.0,52680256.0,13863700.0,15051971.0,3729483.0,1087151.0,78744.0,11322488.0,2642332.0,1008407.0
Latin America and Caribbean,1891,73.1835858328154,70.7980227523003,93.01944018388501,98.0401723187189,99.8648490570783,26.816414167184604,29.201977247699702,6.98055981611499,1.959827681281098,0.1351509429216975,22.22141743158471,5.020732134833892,1.8246767383594005,39271044.0,37990927.0,49915162.0,52609337.0,53588477.0,14389956.0,15670073.0,3745838.0,1051663.0,72523.0,11924235.0,2694175.0,979140.0
Latin America and Caribbean,1892,74.1576661992102,71.9961484380175,92.4834119403937,97.60669467623529,99.7992111565798,25.842333800789802,28.0038515619825,7.516588059606306,2.3933053237647073,0.20078884342019876,20.487263502376194,5.123282735841599,2.1925164803445085,40471546.0,39291898.0,50472822.0,53268853.0,54465419.0,14103454.0,15283102.0,4102178.0,1306146.0,109581.0,11180924.0,2796032.0,1196566.0
Latin America and Caribbean,1893,74.9401040574621,73.0428655288177,92.3039358187401,97.4558466631668,99.772190044122,25.059895942537906,26.9571344711823,7.696064181259899,2.5441533368332045,0.22780995587800135,19.2610702899224,5.151910844426695,2.316343380955203,41589510.0,40536600.0,51225916.0,54085072.0,55370573.0,13907491.0,14960401.0,4271085.0,1411929.0,126428.0,10689316.0,2859156.0,1285501.0
Latin America and Caribbean,1894,74.6821103434202,73.0715181503197,91.83361549520829,97.0428021071679,99.68646836203379,25.317889656579794,26.928481849680296,8.166384504791708,2.9571978928320988,0.3135316379662072,18.762097344888588,5.209186611959609,2.6436662548658916,42149089.0,41240103.0,51829055.0,54769016.0,56261048.0,14288910.0,15197896.0,4608944.0,1668983.0,176951.0,10588952.0,2939961.0,1492032.0
Latin America and Caribbean,1895,72.65367263335149,70.9480444254517,91.3375589879991,96.72483526434709,99.6121206778373,27.34632736664851,29.051955574548302,8.662441012000897,3.2751647356529077,0.3878793221627035,20.389514562547404,5.38727627634799,2.887285413490204,41711927.0,40732692.0,52438720.0,55531663.0,57189311.0,15700074.0,16679309.0,4973281.0,1880338.0,222689.0,11706028.0,3092943.0,1657648.0
Latin America and Caribbean,1896,73.6230645776468,71.9005596299159,91.03202753402991,96.4531052624479,99.5411618250146,26.3769354223532,28.099440370084096,8.967972465970092,3.546894737552094,0.45883817498540225,19.131467904114004,5.421077728417998,3.088056562566692,42978200.0,41972671.0,53140856.0,56305464.0,58108148.0,15397800.0,16403329.0,5235144.0,2070535.0,267851.0,11168186.0,3164608.0,1802684.0
Latin America and Caribbean,1897,73.6302734194589,71.533719854807,91.65724863797729,97.187925629966,99.7264898598488,26.369726580541098,28.466280145192997,8.34275136202271,2.812074370033997,0.27351014015120256,20.123528783170286,5.530676991988713,2.5385642298827946,43743009.0,42497467.0,54452655.0,57738375.0,59246510.0,15665991.0,16911532.0,4956345.0,1670625.0,162490.0,11955187.0,3285720.0,1508136.0
