Entity,Year,"Air pollution death rates (per 100,000)- IHME"
Somalia,2010,159.2096756
Somalia,2015,142.3132024
South Africa,1990,106.8528742
South Africa,1995,97.64459101
South Africa,2000,110.3026327
South Africa,2005,95.0808404
South Africa,2010,75.21376247
South Africa,2015,66.7072949
South Korea,1990,35.65953521
South Korea,1995,31.19057219
South Korea,2000,29.09966279
South Korea,2005,28.41359528
South Korea,2010,28.96869264
South Korea,2015,37.36774961
South Sudan,1990,175.2264914
South Sudan,1995,157.5864153
South Sudan,2000,129.7690789
South Sudan,2005,115.2934157
South Sudan,2010,117.3766213
South Sudan,2015,120.7190682
Spain,1990,38.88149513
Spain,1995,39.63709169
Spain,2000,39.93171558
Spain,2005,36.45938705
Spain,2010,31.06977965
Spain,2015,30.85738281
Sri Lanka,1990,69.3902839
Sri Lanka,1995,68.05760204
Sri Lanka,2000,72.6395112
Sri Lanka,2005,80.35432547
Sri Lanka,2010,72.88385532
Sri Lanka,2015,70.15251904
Sudan,1990,146.745157
Sudan,1995,132.9051447
Sudan,2000,114.9589545
Sudan,2005,104.8538019
Sudan,2010,90.68381623
Sudan,2015,81.82763122
Suriname,1990,64.35949472
Suriname,1995,58.01062798
Suriname,2000,54.60372777
Suriname,2005,45.5471396
Suriname,2010,37.5994714
Suriname,2015,37.85633016
Swaziland,1990,109.8122098
Swaziland,1995,89.95257667
Swaziland,2000,113.0088
Swaziland,2005,144.3431131
Swaziland,2010,128.8890373
Swaziland,2015,107.2031562
Sweden,1990,36.76618508
Sweden,1995,30.90868704
Sweden,2000,27.3306272
Sweden,2005,21.23489248
Sweden,2010,19.17910849
Sweden,2015,23.18419429
Switzerland,1990,45.94810598
Switzerland,1995,42.39981936
Switzerland,2000,37.54470381
Switzerland,2005,32.29115973
Switzerland,2010,29.61661376
Switzerland,2015,31.40227345
Syria,1990,41.01226805
Syria,1995,33.89031335
Syria,2000,30.91083781
Syria,2005,28.71844918
Syria,2010,31.38772154
Syria,2015,35.88135878
Taiwan,1990,30.37377319
Taiwan,1995,31.54878505
Taiwan,2000,32.8101858
Taiwan,2005,37.61852568
Taiwan,2010,43.03889873
Taiwan,2015,47.15729447
Tajikistan,1990,192.7690813
Tajikistan,1995,173.1274184
Tajikistan,2000,135.9308721
Tajikistan,2005,97.73932397
Tajikistan,2010,82.12594548
Tajikistan,2015,69.04051406
Tanzania,1990,139.4653111
Tanzania,1995,127.3667091
Tanzania,2000,107.1159728
Tanzania,2005,93.22288679
Tanzania,2010,83.60214997
Tanzania,2015,78.18234153
Thailand,1990,61.2361182
Thailand,1995,63.6579236
Thailand,2000,65.7512981
Thailand,2005,63.16385115
Thailand,2010,66.87946734
Thailand,2015,77.0417857
Timor,1990,113.7853018
Timor,1995,96.35313763
Timor,2000,88.31302985
Timor,2005,68.68374767
Timor,2010,66.92467141
Timor,2015,60.92663971
Togo,1990,132.0528914
Togo,1995,128.9023319
Togo,2000,124.2526807
Togo,2005,108.8091056
Togo,2010,97.88810276
Togo,2015,90.29911598
Tonga,1990,50.86541059
Tonga,1995,53.68939601
Tonga,2000,52.19713785
Tonga,2005,46.48929753
Tonga,2010,36.69998841
Tonga,2015,32.91310568
Trinidad and Tobago,1990,43.48549701
Trinidad and Tobago,1995,43.45446359
Trinidad and Tobago,2000,42.1800476
Trinidad and Tobago,2005,33.6239289
Trinidad and Tobago,2010,31.4565259
Trinidad and Tobago,2015,36.69800062
Tunisia,1990,40.15057348
Tunisia,1995,40.02772039
Tunisia,2000,36.68979916
Tunisia,2005,32.23275126
Tunisia,2010,34.99447194
Tunisia,2015,40.83233071
Turkey,1990,79.9083442
Turkey,1995,68.32175422
Turkey,2000,54.25906857
Turkey,2005,41.5566843
Turkey,2010,34.3036867
Turkey,2015,37.12497128
Turkmenistan,1990,101.1553686
Turkmenistan,1995,93.69972977
Turkmenistan,2000,87.46439708
Turkmenistan,2005,62.47526617
Turkmenistan,2010,63.22902627
Turkmenistan,2015,57.91719304
Uganda,1990,130.3455676
Uganda,1995,125.5296171
Uganda,2000,115.8999046
Uganda,2005,100.9784057
Uganda,2010,85.6239174
Uganda,2015,80.39808017
Ukraine,1990,173.3447658
Ukraine,1995,188.8761763
Ukraine,2000,163.4543529
Ukraine,2005,160.4301156
Ukraine,2010,140.2444788
Ukraine,2015,138.2983639
United Arab Emirates,1990,29.66840111
United Arab Emirates,1995,27.95450564
United Arab Emirates,2000,24.29648303
United Arab Emirates,2005,19.70542362
United Arab Emirates,2010,21.16984106
United Arab Emirates,2015,28.98201637
United Kingdom,1990,75.22987435
United Kingdom,1995,69.00783046
United Kingdom,2000,59.70189814
United Kingdom,2005,49.79090882
United Kingdom,2010,43.49626252
United Kingdom,2015,44.12213748
United States,1990,45.04939425
United States,1995,43.29024523
United States,2000,40.92797462
United States,2005,37.14550112
United States,2010,30.23173777
United States,2015,30.60318995
Uruguay,1990,53.27192484
Uruguay,1995,51.57128326
Uruguay,2000,46.97561089
Uruguay,2005,43.86926303
Uruguay,2010,42.97319101
Uruguay,2015,41.99072428
Uzbekistan,1990,115.2863377
Uzbekistan,1995,110.0143651
Uzbekistan,2000,93.19475503
Uzbekistan,2005,83.01523048
Uzbekistan,2010,78.5859942
Uzbekistan,2015,73.06921762
Vanuatu,1990,108.4398944
Vanuatu,1995,105.5394532
Vanuatu,2000,100.3095531
Vanuatu,2005,97.61635447
Vanuatu,2010,90.17366101
Vanuatu,2015,86.39953448
Venezuela,1990,29.70005153
Venezuela,1995,27.95701148
Venezuela,2000,27.91387378
Venezuela,2005,26.9022712
Venezuela,2010,26.07059432
Venezuela,2015,30.48166982
Vietnam,1990,85.19483381
Vietnam,1995,83.94644246
Vietnam,2000,82.4842311
Vietnam,2005,81.39137062
Vietnam,2010,73.40401062
Vietnam,2015,71.67868316
World,1990,113.935105
World,1995,109.0303878
World,2000,104.3425524
World,2005,99.16764684
World,2010,91.33638232
World,2015,87.98199706
Yemen,1990,151.043199
Yemen,1995,131.9325878
Yemen,2000,97.12654864
Yemen,2005,76.75341331
Yemen,2010,70.23275248
Yemen,2015,66.57589693
Zambia,1990,143.5228041
Zambia,1995,145.6369646
Zambia,2000,139.9926841
Zambia,2005,128.0181343
Zambia,2010,112.9125594
Zambia,2015,94.5982465
Zimbabwe,1990,68.38429836
Zimbabwe,1995,62.90894235
Zimbabwe,2000,77.75814156
Zimbabwe,2005,94.92950048
Zimbabwe,2010,93.27600128
Zimbabwe,2015,69.63940105
